animal,pair,epoch,area,unit,contrib
28,CA1-CA3,naive,CA1,0,0.682082
28,CA1-CA3,naive,CA1,1,0.466489
28,CA1-CA3,naive,CA1,2,0.571313
28,CA1-CA3,naive,CA1,3,1.003987
28,CA1-CA3,naive,CA1,4,0.501634
28,CA1-CA3,naive,CA1,5,0.771909
28,CA1-CA3,naive,CA1,6,0.942536
28,CA1-CA3,naive,CA1,7,0.858381
28,CA1-CA3,naive,CA1,8,0.696805
28,CA1-CA3,naive,CA1,9,0.014258
28,CA1-CA3,naive,CA1,10,0.871256
28,CA1-CA3,naive,CA1,11,0.57727
28,CA1-CA3,naive,CA1,12,0.406919
28,CA1-CA3,naive,CA1,13,0.001168
28,CA1-CA3,naive,CA1,14,0.484754
28,CA1-CA3,naive,CA1,15,0.545166
28,CA1-CA3,naive,CA1,16,0.763676
28,CA1-CA3,naive,CA1,17,0.693477
28,CA1-CA3,naive,CA1,18,0.520029
28,CA1-CA3,naive,CA1,19,0.016352
28,CA1-CA3,naive,CA1,20,0.55441
28,CA1-CA3,naive,CA1,21,0.004452
28,CA1-CA3,naive,CA1,22,0.759728
28,CA1-CA3,naive,CA1,23,0.364919
28,CA1-CA3,naive,CA3,0,1.030019
28,CA1-CA3,naive,CA3,1,2.44507
28,CA1-CA3,naive,CA3,2,1.844668
28,CA1-CA3,naive,CA3,3,0.0
28,CA1-CA3,naive,CA3,4,0.812161
28,CA1-CA3,naive,CA3,5,1.834215
28,CA1-CA3,naive,CA3,6,0.0
28,CA1-CA3,naive,CA3,7,7.331578
28,CA1-CA3,naive,CA3,8,9.197588
28,CA1-CA3,naive,CA3,9,1.532983
28,CA1-CA3,naive,CA3,10,13.895227
28,CA1-CA3,naive,CA3,11,14.918788
28,CA1-CA3,intermediate,CA1,0,0.814325
28,CA1-CA3,intermediate,CA1,1,0.899532
28,CA1-CA3,intermediate,CA1,2,0.020569
28,CA1-CA3,intermediate,CA1,3,0.773927
28,CA1-CA3,intermediate,CA1,4,0.948426
28,CA1-CA3,intermediate,CA1,5,0.500446
28,CA1-CA3,intermediate,CA1,6,0.793124
28,CA1-CA3,intermediate,CA1,7,0.977324
28,CA1-CA3,intermediate,CA1,8,0.884176
28,CA1-CA3,intermediate,CA1,9,0.501586
28,CA1-CA3,intermediate,CA1,10,0.760397
28,CA1-CA3,intermediate,CA1,11,0.852024
28,CA1-CA3,intermediate,CA1,12,0.561563
28,CA1-CA3,intermediate,CA1,13,0.041601
28,CA1-CA3,intermediate,CA1,14,0.547572
28,CA1-CA3,intermediate,CA1,15,0.720854
28,CA1-CA3,intermediate,CA1,16,0.567375
28,CA1-CA3,intermediate,CA1,17,0.734473
28,CA1-CA3,intermediate,CA1,18,1.18235
28,CA1-CA3,intermediate,CA1,19,0.535071
28,CA1-CA3,intermediate,CA1,20,0.76581
28,CA1-CA3,intermediate,CA1,21,0.021592
28,CA1-CA3,intermediate,CA1,22,0.816692
28,CA1-CA3,intermediate,CA1,23,0.678022
28,CA1-CA3,intermediate,CA3,0,1.045308
28,CA1-CA3,intermediate,CA3,1,1.108003
28,CA1-CA3,intermediate,CA3,2,0.98383
28,CA1-CA3,intermediate,CA3,3,365236360.704492
28,CA1-CA3,intermediate,CA3,4,1.190561
28,CA1-CA3,intermediate,CA3,5,1.1001
28,CA1-CA3,intermediate,CA3,6,504102408.539535
28,CA1-CA3,intermediate,CA3,7,2.787324
28,CA1-CA3,intermediate,CA3,8,2.132952
28,CA1-CA3,intermediate,CA3,9,0.991822
28,CA1-CA3,intermediate,CA3,10,4.090264
28,CA1-CA3,intermediate,CA3,11,20.088195
28,CA1-CA3,expert,CA1,0,1.011135
28,CA1-CA3,expert,CA1,1,0.885259
28,CA1-CA3,expert,CA1,2,0.708415
28,CA1-CA3,expert,CA1,3,0.689416
28,CA1-CA3,expert,CA1,4,0.05771
28,CA1-CA3,expert,CA1,5,1.050076
28,CA1-CA3,expert,CA1,6,0.707971
28,CA1-CA3,expert,CA1,7,0.949703
28,CA1-CA3,expert,CA1,8,0.598255
28,CA1-CA3,expert,CA1,9,0.783861
28,CA1-CA3,expert,CA1,10,0.690392
28,CA1-CA3,expert,CA1,11,0.941748
28,CA1-CA3,expert,CA1,12,0.613093
28,CA1-CA3,expert,CA1,13,0.018515
28,CA1-CA3,expert,CA1,14,0.559355
28,CA1-CA3,expert,CA1,15,0.717664
28,CA1-CA3,expert,CA1,16,0.757745
28,CA1-CA3,expert,CA1,17,0.880327
28,CA1-CA3,expert,CA1,18,0.016323
28,CA1-CA3,expert,CA1,19,0.595635
28,CA1-CA3,expert,CA1,20,0.021027
28,CA1-CA3,expert,CA1,21,1.240246
28,CA1-CA3,expert,CA1,22,0.805908
28,CA1-CA3,expert,CA1,23,0.692969
28,CA1-CA3,expert,CA3,0,0.932404
28,CA1-CA3,expert,CA3,1,0.919951
28,CA1-CA3,expert,CA3,2,0.977045
28,CA1-CA3,expert,CA3,3,0.987071
28,CA1-CA3,expert,CA3,4,0.777795
28,CA1-CA3,expert,CA3,5,1.345577
28,CA1-CA3,expert,CA3,6,1.646167
28,CA1-CA3,expert,CA3,7,0.928024
28,CA1-CA3,expert,CA3,8,1.369494
28,CA1-CA3,expert,CA3,9,0.964494
28,CA1-CA3,expert,CA3,10,0.813291
28,CA1-CA3,expert,CA3,11,1.434673
28,CA1-DG,naive,CA1,0,0.67567
28,CA1-DG,naive,CA1,1,0.483107
28,CA1-DG,naive,CA1,2,0.936433
28,CA1-DG,naive,CA1,3,0.852399
28,CA1-DG,naive,CA1,4,0.569046
28,CA1-DG,naive,CA1,5,0.60199
28,CA1-DG,naive,CA1,6,0.823624
28,CA1-DG,naive,CA1,7,0.714109
28,CA1-DG,naive,CA1,8,1.011324
28,CA1-DG,naive,CA1,9,0.025794
28,CA1-DG,naive,CA1,10,0.935542
28,CA1-DG,naive,CA1,11,0.942426
28,CA1-DG,naive,CA1,12,0.523092
28,CA1-DG,naive,CA1,13,0.001145
28,CA1-DG,naive,CA1,14,0.551251
28,CA1-DG,naive,CA1,15,0.733664
28,CA1-DG,naive,CA1,16,1.13168
28,CA1-DG,naive,CA1,17,0.634835
28,CA1-DG,naive,CA1,18,0.58365
28,CA1-DG,naive,CA1,19,0.016462
28,CA1-DG,naive,CA1,20,0.604099
28,CA1-DG,naive,CA1,21,0.006905
28,CA1-DG,naive,CA1,22,0.682692
28,CA1-DG,naive,CA1,23,0.590348
28,CA1-DG,naive,DG,0,1.615073
28,CA1-DG,naive,DG,1,1.089947
28,CA1-DG,naive,DG,2,1.299504
28,CA1-DG,naive,DG,3,1.054369
28,CA1-DG,naive,DG,4,0.955449
28,CA1-DG,naive,DG,5,0.942157
28,CA1-DG,naive,DG,6,1.104127
28,CA1-DG,naive,DG,7,1.140096
