pair,metric,contrast,unit,n,mean_a,mean_b,delta,t,p,bh_pass
CA1-RSC,ifi,expert-naive,animals,8,0.013210331797756679,0.017558423889589104,0.004348092091832425,0.0912487439818858,0.9298512589431588,False
CA1-CA3,ifi,expert-naive,animals,6,0.013802020434661206,0.06386684680088996,0.05006482636622874,1.1251187705188332,0.3116291183079911,False
CA1-DG,ifi,expert-naive,animals,8,0.015186547903871266,0.02952435846623122,0.014337810562359953,0.25043036935729923,0.8094458036668082,False
CA1-V1,ifi,expert-naive,animals,10,-0.01622919100143676,-0.002571492126326478,0.013657698875110282,1.1036670436054492,0.2983711427959706,False
CA3-DG,ifi,expert-naive,animals,4,-0.14481632668095162,-0.14224436783302985,0.0025719588479217875,0.027329786036953387,0.9799130662039424,False
CA1-SUB,ifi,expert-naive,animals,4,-0.28316419136804083,-0.06845190177242313,0.21471228959561767,1.6553620648037826,0.19642641984769693,False
RSC-SUB,ifi,expert-naive,animals,4,0.017697839805956555,-0.050560229252451364,-0.06825806905840792,-0.9378021912437523,0.4175285106503891,False
V1-RSC,ifi,expert-naive,animals,6,0.05732073045081631,0.07003620314204545,0.01271547269122914,0.4868786744525281,0.6469364081762716,False
CA1-RSC,ifi,expert-naive,ccs,74,0.007908249192313883,0.011190335856727416,0.0032820866644135156,0.06981611077688486,0.9445309242871751,False
CA1-CA3,ifi,expert-naive,ccs,56,0.0020727418844391937,0.06126740349188375,0.05919466160744456,0.8070094907759081,0.4231372165854743,False
CA1-DG,ifi,expert-naive,ccs,75,0.02155350211252846,0.024863359189662912,0.0033098570771344384,0.05829378629218595,0.9536717464387113,False
CA1-V1,ifi,expert-naive,ccs,97,-0.017938516973251013,-0.0012780407668770465,0.016660476206373974,0.6063287250128659,0.5457275993601796,False
CA3-DG,ifi,expert-naive,ccs,40,-0.14481632668095162,-0.14224436783302985,0.0025719588479217958,0.03824435324804491,0.9696879591859793,False
CA1-SUB,ifi,expert-naive,ccs,35,-0.2720655105911824,-0.11017175294828152,0.16189375764290093,2.516465939897592,0.01673802398066803,False
RSC-SUB,ifi,expert-naive,ccs,36,0.01703623789165962,-0.02742123350462578,-0.04445747139628539,-0.9367975506346782,0.3552822304173979,False
V1-RSC,ifi,expert-naive,ccs,57,0.058569625656980026,0.07223136537989558,0.013661739722915539,0.47850604155571674,0.6341530373615396,False
CA1-RSC,peak_r,expert-naive,animals,8,0.029948989583333335,0.047888041666666666,0.01793905208333333,3.7617537501800795,0.0070586631415417295,True
CA1-CA3,peak_r,expert-naive,animals,6,0.057681583333333335,0.06686566666666666,0.00918408333333333,2.301807664603694,0.06961520896610661,False
CA1-DG,peak_r,expert-naive,animals,8,0.04924775,0.055331374999999995,0.006083624999999997,2.219577550337223,0.06191584494935178,False
CA1-V1,peak_r,expert-naive,animals,10,0.03732772857142856,0.05721219999999999,0.019884471428571426,4.286427783856238,0.0020306937638935683,True
CA3-DG,peak_r,expert-naive,animals,4,0.10802524999999999,0.12219325,0.014168000000000007,5.249777363473852,0.01345984662463326,True
CA1-SUB,peak_r,expert-naive,animals,4,0.029824999999999997,0.0401605,0.010335500000000004,1.7131199351680333,0.18520746275490754,False
RSC-SUB,peak_r,expert-naive,animals,4,0.05303091666666667,0.06933275,0.01630183333333333,2.691126790578168,0.07434305268237434,False
V1-RSC,peak_r,expert-naive,animals,6,0.07863945238095238,0.10805754761904764,0.029418095238095243,2.5097627896817976,0.05384360148206602,False
CA1-RSC,peak_r,expert-naive,ccs,74,0.030648783783783783,0.04883283783783783,0.01818405405405405,6.845705891238525,2.0104692009489025e-09,True
CA1-CA3,peak_r,expert-naive,ccs,56,0.056505535714285716,0.06592767857142857,0.009422142857142855,2.0392178787976794,0.04624488742314649,True
CA1-DG,peak_r,expert-naive,ccs,75,0.05133413333333334,0.05698466666666666,0.005650533333333333,2.7551762488059004,0.007379803036390899,True
CA1-V1,peak_r,expert-naive,ccs,97,0.03786134020618556,0.057986391752577325,0.020125051546391756,5.961434592204897,4.1404102105638016e-08,True
CA3-DG,peak_r,expert-naive,ccs,40,0.10802525,0.12219324999999999,0.014168000000000004,3.8602682176449497,0.0004148706510192084,True
CA1-SUB,peak_r,expert-naive,ccs,35,0.03181171428571428,0.04373542857142858,0.011923714285714287,3.0569581286138163,0.004334260267730021,True
RSC-SUB,peak_r,expert-naive,ccs,36,0.05354194444444444,0.07053194444444445,0.016989999999999998,3.677495631653956,0.0007846840205104268,True
V1-RSC,peak_r,expert-naive,ccs,57,0.07927596491228071,0.11054456140350878,0.03126859649122807,5.823313217851956,2.9412926438180474e-07,True
CA1-RSC,peak_r,intermediate-naive,animals,8,0.029948989583333335,0.04697386458333333,0.017024875,3.3686299476905104,0.011942642141134533,True
CA1-CA3,peak_r,intermediate-naive,animals,6,0.057681583333333335,0.06640779166666667,0.00872620833333333,2.3078566539468244,0.0690917321809589,False
CA1-DG,peak_r,intermediate-naive,animals,8,0.04924775,0.05597975,0.006731999999999999,2.8283566304074252,0.025466136139620735,False
CA1-V1,peak_r,intermediate-naive,animals,10,0.03732772857142856,0.05336158571428572,0.016033857142857145,4.34505755682052,0.0018636501540248076,True
CA3-DG,peak_r,intermediate-naive,animals,4,0.10802524999999999,0.12407625,0.01605100000000001,3.488237885255986,0.03981746101547487,False
CA1-SUB,peak_r,intermediate-naive,animals,4,0.029824999999999997,0.04327475,0.013449750000000002,1.780741789070187,0.17298875199282718,False
RSC-SUB,peak_r,intermediate-naive,animals,4,0.05303091666666667,0.07088933333333333,0.01785841666666667,2.50526930828358,0.0873003664451774,False
V1-RSC,peak_r,intermediate-naive,animals,6,0.07863945238095238,0.105738,0.02709854761904762,2.4820917201601813,0.05569809905366204,False
CA1-RSC,peak_r,intermediate-naive,ccs,74,0.030648783783783783,0.04789337837837838,0.01724459459459459,6.51365789194135,8.196394707932301e-09,True
CA1-CA3,peak_r,intermediate-naive,ccs,56,0.056505535714285716,0.06558,0.009074464285714286,2.041496415584065,0.0460102697652256,True
CA1-DG,peak_r,intermediate-naive,ccs,75,0.05133413333333334,0.05787613333333334,0.006541999999999999,3.3842955373881973,0.001144256541743586,True
CA1-V1,peak_r,intermediate-naive,ccs,97,0.03786134020618556,0.05430298969072165,0.016441649484536084,5.327551450100767,6.563771514143211e-07,True
CA3-DG,peak_r,intermediate-naive,ccs,40,0.10802525,0.12407625,0.016051000000000003,4.181495912876469,0.00015855724018569827,True
CA1-SUB,peak_r,intermediate-naive,ccs,35,0.03181171428571428,0.047425714285714286,0.015613999999999998,3.647025917065032,0.0008790868017231761,True
RSC-SUB,peak_r,intermediate-naive,ccs,36,0.05354194444444444,0.07127888888888889,0.017736944444444448,3.8288746132952416,0.000510631087926284,True
V1-RSC,peak_r,intermediate-naive,ccs,57,0.07927596491228071,0.10830684210526316,0.029030877192982453,5.6743359192681435,5.11605716517318e-07,True
CA1-RSC,far_r,expert-naive,animals,8,0.010380934895833334,0.024684230902777778,0.014303296006944445,2.7542461022890095,0.028329982379297115,False
CA1-CA3,far_r,expert-naive,animals,6,-0.003824385416666666,0.0013938819444444443,0.005218267361111111,1.2188971591370017,0.27724720420513416,False
CA1-DG,far_r,expert-naive,animals,8,-0.0009467604166666665,0.0044969375,0.005443697916666667,1.9824629203234472,0.0878622092033363,False
CA1-V1,far_r,expert-naive,animals,10,0.02206172976190476,0.040665655952380954,0.01860392619047619,4.430290838517246,0.0016464627109181646,True
CA3-DG,far_r,expert-naive,animals,4,0.002871895833333334,0.006940479166666667,0.004068583333333334,1.9096306340357014,0.1521812959645533,False
CA1-SUB,far_r,expert-naive,animals,4,0.004884791666666667,0.011598604166666665,0.006713812499999999,1.50931766048555,0.22835917625320667,False
RSC-SUB,far_r,expert-naive,animals,4,0.025062208333333332,0.03617040972222223,0.011108201388888888,1.5037463113773821,0.22968654436953978,False
V1-RSC,far_r,expert-naive,animals,6,0.04855007936507936,0.07402007539682541,0.025469996031746035,2.170006246538147,0.08214238894502224,False
CA1-RSC,far_r,expert-naive,ccs,74,0.010708468468468468,0.025378423423423422,0.014669954954954954,5.4221064220296284,7.275337208216202e-07,True
CA1-CA3,far_r,expert-naive,ccs,56,-0.0034084672619047606,0.0024235863095238086,0.0058320535714285705,2.3582575252557527,0.021943295818574092,True
CA1-DG,far_r,expert-naive,ccs,75,-0.0009082555555555551,0.004126666666666667,0.005034922222222221,3.354162292780613,0.0012578581399409617,True
CA1-V1,far_r,expert-naive,ccs,97,0.022535395189003438,0.04134834192439863,0.01881294673539519,5.695806900450325,1.340462598046687e-07,True
CA3-DG,far_r,expert-naive,ccs,40,0.0028718958333333335,0.006940479166666666,0.004068583333333332,2.143509056201801,0.038366181206394484,True
CA1-SUB,far_r,expert-naive,ccs,35,0.005609047619047619,0.013589095238095239,0.00798004761904762,2.6712944388228332,0.011511505018899505,True
RSC-SUB,far_r,expert-naive,ccs,36,0.025930416666666664,0.03837113425925926,0.012440717592592593,2.939952506000289,0.005781892639146368,True
V1-RSC,far_r,expert-naive,ccs,57,0.04860387426900585,0.07593652046783626,0.02733264619883041,5.021894817167481,5.537840879482398e-06,True
CA1-RSC,peak_minus_far,expert-naive,animals,8,0.01395126302083333,0.016096039930555556,0.0021447769097222235,2.0464836712671115,0.07994422260119874,False
CA1-CA3,peak_minus_far,expert-naive,animals,6,0.05487351041666666,0.060234409722222236,0.005360899305555558,0.921561670192423,0.3990421906185733,False
CA1-DG,peak_minus_far,expert-naive,animals,8,0.046297510416666666,0.0465781875,0.0002806770833333357,0.18787550886286558,0.8563043623270592,False
CA1-V1,peak_minus_far,expert-naive,animals,10,0.008795241666666669,0.009393686904761906,0.0005984452380952387,0.7208574983397003,0.489297118005105,False
CA3-DG,peak_minus_far,expert-naive,animals,4,0.10187460416666667,0.11207127083333333,0.010196666666666663,5.685420825141391,0.01078478939268351,False
CA1-SUB,peak_minus_far,expert-naive,animals,4,0.02086670833333333,0.023761145833333337,0.002894437500000002,0.8514318402268972,0.45709697942396793,False
RSC-SUB,peak_minus_far,expert-naive,animals,4,0.024371874999999998,0.028127090277777784,0.0037552152777777857,1.3801689935554633,0.2614004406976403,False
V1-RSC,peak_minus_far,expert-naive,animals,6,0.02525953968253969,0.027635019841269842,0.0023754801587301546,1.4592275365416423,0.20431785498467434,False
CA1-RSC,peak_minus_far,expert-naive,ccs,74,0.019940315315315316,0.023454414414414416,0.0035140990990990993,3.5384674359520476,0.0007042340613442535,True
CA1-CA3,peak_minus_far,expert-naive,ccs,56,0.05991400297619048,0.06350409226190476,0.0035900892857142863,0.8407516639100749,0.40412745529616156,False
CA1-DG,peak_minus_far,expert-naive,ccs,75,0.05224238888888887,0.052857999999999995,0.0006156111111111125,0.2873256766267456,0.7746660329068271,False
CA1-V1,peak_minus_far,expert-naive,ccs,97,0.015325945017182128,0.016638049828178694,0.0013121048109965647,2.142771141271273,0.03466012803007932,False
CA3-DG,peak_minus_far,expert-naive,ccs,40,0.10515335416666667,0.11525277083333334,0.010099416666666666,2.6981353933014534,0.010249970357128905,True
CA1-SUB,peak_minus_far,expert-naive,ccs,35,0.026202666666666662,0.030146333333333334,0.0039436666666666665,2.1603686953191032,0.03788213146187922,False
RSC-SUB,peak_minus_far,expert-naive,ccs,36,0.027611527777777773,0.03216081018518519,0.004549282407407407,3.050725365691456,0.004334650121134157,True
V1-RSC,peak_minus_far,expert-naive,ccs,57,0.030672090643274856,0.03460804093567252,0.003935950292397664,3.347936973615794,0.0014604856710414913,True
CA1-RSC,peak_minus_far,intermediate-naive,animals,8,0.01395126302083333,0.01737397135416667,0.003422708333333339,2.484834927773428,0.04191231587595881,False
CA1-CA3,peak_minus_far,intermediate-naive,animals,6,0.05487351041666666,0.06176238888888889,0.006888878472222222,1.3979721954943527,0.22097536338537244,False
CA1-DG,peak_minus_far,intermediate-naive,animals,8,0.046297510416666666,0.049937999999999996,0.003640489583333332,2.1592526887544072,0.06768257898616212,False
CA1-V1,peak_minus_far,intermediate-naive,animals,10,0.008795241666666669,0.01034819880952381,0.0015529571428571426,1.0482428010788523,0.32185994099025667,False
CA3-DG,peak_minus_far,intermediate-naive,animals,4,0.10187460416666667,0.11390395833333335,0.012029354166666669,3.254437198483118,0.047330282108659895,False
CA1-SUB,peak_minus_far,intermediate-naive,animals,4,0.02086670833333333,0.026870291666666664,0.006003583333333334,2.030436758246896,0.1352870200588673,False
RSC-SUB,peak_minus_far,intermediate-naive,animals,4,0.024371874999999998,0.027114027777777782,0.002742152777777784,1.2072845087848338,0.31382701817502967,False
