pair,metric,contrast,n,mean_a,mean_b,delta,t,p,bh_pass
CA1-RSC,ifi,expert-naive,8,-0.012406400186453028,0.08832257368662969,0.10072897387308269,1.8512997927883552,0.10656364343089418,False
CA1-CA3,ifi,expert-naive,7,0.02373213112374701,0.029003898572791297,0.005271767449044297,0.09239055519900839,0.9293953709725171,False
CA1-DG,ifi,expert-naive,8,-0.0031569754342470197,0.02982837736332064,0.03298535279756766,0.5037802773598004,0.6298802185574148,False
CA1-V1,ifi,expert-naive,10,-4.9153950161714975e-05,-0.02654313684170439,-0.02649398289154268,-1.436074791112231,0.1848135108763996,False
CA3-DG,ifi,expert-naive,4,-0.15412400465480763,-0.12857071335872228,0.02555329129608535,0.5540713559157738,0.6181535436697377,False
CA1-SUB,ifi,expert-naive,4,-0.25606072643456174,0.013553124719090731,0.2696138511536525,1.3477337312574595,0.27048475723395743,False
RSC-SUB,ifi,expert-naive,4,-0.03805954621332364,-0.062025263655213964,-0.023965717441890324,-1.1713608337590333,0.3260234141117242,False
V1-RSC,ifi,expert-naive,6,0.041363379152967006,0.0261687820134389,-0.015194597139528102,-0.7310911394181758,0.4975301333503501,False
CA1-RSC,peak_r,expert-naive,8,0.03839481944444444,0.05507752777777778,0.016682708333333334,3.038615580796937,0.018883736726611186,False
CA1-CA3,peak_r,expert-naive,7,0.08272614285714286,0.09484957142857142,0.012123428571428573,2.7978771484603167,0.0312512555204775,False
CA1-DG,peak_r,expert-naive,8,0.058343124999999996,0.061043375000000004,0.002700250000000001,0.9061578208444157,0.3949723813310459,False
CA1-V1,peak_r,expert-naive,10,0.04115625,0.0633003,0.02214405,5.03482005443342,0.0007047314847578998,True
CA3-DG,peak_r,expert-naive,4,0.130174,0.1460025,0.015828500000000002,7.390161459889184,0.005123865579339396,True
CA1-SUB,peak_r,expert-naive,4,0.03283625,0.04500008333333333,0.012163833333333334,2.1785086349770646,0.11751335750768527,False
RSC-SUB,peak_r,expert-naive,4,0.06380991666666667,0.07904975,0.015239833333333327,2.4351998908946513,0.09289741684935071,False
V1-RSC,peak_r,expert-naive,6,0.09472383333333334,0.12341099999999999,0.028687166666666663,2.8377758803758644,0.036341222474246274,False
CA1-RSC,peak_r,intermediate-naive,8,0.03839481944444444,0.0548935,0.016498680555555555,2.664824976724696,0.03224070871650794,False
CA1-CA3,peak_r,intermediate-naive,7,0.08272614285714286,0.09365142857142858,0.010925285714285717,2.658535229792882,0.03759749111132289,False
CA1-DG,peak_r,intermediate-naive,8,0.058343124999999996,0.062885,0.004541875000000004,1.6582069726773934,0.1412405511962786,False
CA1-V1,peak_r,intermediate-naive,10,0.04115625,0.057961950000000005,0.0168057,4.926253998437161,0.0008175413176272646,True
CA3-DG,peak_r,intermediate-naive,4,0.130174,0.1476205,0.017446499999999993,4.249378837768266,0.023880387684033548,False
CA1-SUB,peak_r,intermediate-naive,4,0.03283625,0.04721466666666667,0.014378416666666664,2.197882820178024,0.11540010897610886,False
RSC-SUB,peak_r,intermediate-naive,4,0.06380991666666667,0.07959675,0.015786833333333326,2.2676702460997378,0.10815726895891559,False
V1-RSC,peak_r,intermediate-naive,6,0.09472383333333334,0.12047633333333331,0.025752499999999998,2.9109696728648395,0.03336206191507108,False
CA1-RSC,far_r,expert-naive,8,0.013197685185185184,0.027118394675925927,0.01392070949074074,2.4222287950373014,0.04594160362969609,False
CA1-CA3,far_r,expert-naive,7,-0.011470464285714285,-0.0022638928571428575,0.009206571428571427,2.6475613065583214,0.03815276275631966,False
CA1-DG,far_r,expert-naive,8,-0.0006219062500000003,0.005380333333333333,0.006002239583333334,2.4369413879423862,0.044960253446138264,False
CA1-V1,far_r,expert-naive,10,0.024377991666666664,0.045523683333333335,0.021145691666666667,5.56170884006416,0.00035110173291676193,True
CA3-DG,far_r,expert-naive,4,0.0013775416666666667,0.0028506666666666667,0.0014731250000000003,0.8127395403075784,0.47587330414593726,False
