pair,dim,n_animals,mean_ifi,t,p,cc_peak,fdr_pass
CA1-CA3,1,7,-0.04989563257687242,-1.8869355949120161,0.1081104562976205,0.20765714285714285,False
CA1-CA3,2,7,-0.08727676775475712,-0.4476724113217754,0.670099030512159,0.11802857142857144,False
CA1-CA3,3,7,-0.108065040620134,-0.5111133084300064,0.6275287965720273,0.05208571428571429,False
CA1-CA3,4,7,-0.06634635559554218,-0.37701337394086576,0.7191379649275444,0.03787142857142857,False
CA1-CA3,5,7,-0.1452476346153235,-1.168210320659558,0.28703552779280306,0.046657142857142855,False
CA1-CA3,6,7,0.01978703414882111,0.11584883154364849,0.9115524317751877,0.0396,False
CA1-CA3,7,7,0.23043797551611542,1.8631189914073933,0.11173961066621832,0.03202857142857143,False
CA1-CA3,8,7,-0.10718874995034663,-0.7168673812314956,0.5003965133589003,0.032042857142857144,False
CA1-CA3,9,6,-0.17005649738951403,-1.0361146909754537,0.34763544962326726,0.03053333333333333,False
CA1-CA3,10,6,0.10539177593798106,0.6944879738039956,0.5183169260900202,0.026683333333333337,False
CA1-CA3,11,4,-0.014607832402474659,-0.0835454887978831,0.938680337225009,0.0259,False
CA1-CA3,12,4,-0.1390144382312945,-0.601509455434781,0.5899171119354301,0.024974999999999997,False
CA1-CA3,13,4,-0.05776112284021497,-0.24079900875383878,0.8252293112892606,0.02585,False
CA1-CA3,14,3,0.48028361070310915,12.63514440740041,0.006205578992811798,0.02656666666666667,False
CA1-CA3,15,3,-0.026339604861246535,-0.23934337053370675,0.8331315827873113,0.031566666666666666,False
CA1-CA3,16,3,0.30016225230743016,1.1432489353417392,0.37133031642559133,0.0305,False
CA1-CA3,17,3,0.11449022813054681,0.22318787994758305,0.8441117063335685,0.027133333333333332,False
CA1-CA3,18,3,-0.029413042333374422,-0.12051520019715219,0.9150906310868798,0.032266666666666666,False
CA1-CA3,19,3,0.09135314395588374,0.3970488287723093,0.7296952704661137,0.037433333333333325,False
CA1-CA3,20,3,0.2672255612683311,0.8794270676183356,0.471926709454223,0.02776666666666666,False
CA1-DG,1,11,-0.1349339857813903,-1.8750770752323112,0.0902515650217583,0.21271818181818178,False
CA1-DG,2,11,-0.21474613206640292,-2.136456269055919,0.05838266822105985,0.11361818181818183,False
CA1-DG,3,11,-0.09211342038043978,-0.6659890742890348,0.5204846603006561,0.07917272727272728,False
CA1-DG,4,11,0.018318354975053675,0.16971593180816577,0.8686177636364671,0.0571,False
CA1-DG,5,11,-0.056396285789985394,-0.5553123328830853,0.590886173206085,0.04654545454545455,False
CA1-DG,6,10,-0.15867339162872413,-1.5122144389846368,0.1647696901593949,0.04932,False
CA1-DG,7,10,-0.08805262107341386,-0.6104564639364033,0.5566586007330551,0.043769999999999996,False
CA1-DG,8,10,-0.15337186998394742,-0.9388743917117774,0.3723069820119117,0.037380000000000004,False
CA1-DG,9,10,0.0013522405972493574,0.013075261545614896,0.989853005405498,0.03895,False
CA1-DG,10,10,-0.12631375336274928,-0.78007547018122,0.4553712300075963,0.03481,False
CA1-DG,11,10,-0.08991851033480161,-0.7136116303799546,0.493555950653342,0.03483,False
CA1-DG,12,10,-0.17540426072104057,-1.2807297106537707,0.23230658436991508,0.03576,False
CA1-DG,13,9,0.02058628596818537,0.15807706638845587,0.8783133788741246,0.027933333333333334,False
CA1-DG,14,9,0.1471562824145608,0.7872624512116181,0.4538178566416302,0.026266666666666667,False
CA1-DG,15,9,0.169168682517712,0.9892616605014729,0.35150802828910416,0.029866666666666666,False
CA1-DG,16,9,-0.044756664578469926,-0.4267978223747939,0.6807801060344278,0.02437777777777778,False
CA1-DG,17,8,-0.2274950371666057,-1.230205097669286,0.25835500568944786,0.0277875,False
CA1-DG,18,8,-0.19681506787379474,-0.9428839945924345,0.37713528730343093,0.0329125,False
CA1-DG,19,8,0.05701739256406676,0.4285851775299603,0.6811047685676688,0.0243125,False
CA1-DG,20,8,-0.16979467478740415,-1.6840974371524926,0.1360356460740321,0.023899999999999998,False
CA1-DG,21,6,-0.007273001726598463,-0.04158331666159652,0.9684403032958131,0.02376666666666667,False
CA1-DG,22,6,0.0014626226804693627,0.0069768825804639,0.9947031089638364,0.025566666666666668,False
CA1-DG,23,5,-0.10494969784110494,-0.5389303988152128,0.618529936853697,0.02172,False
CA1-DG,24,4,0.340202032794522,1.0949605916860305,0.35356923447444044,0.024849999999999997,False
CA1-DG,25,4,0.016701787648724598,0.0736250991481976,0.9459428964321296,0.02675,False
CA1-DG,26,4,-0.16341744768743058,-0.7532790225477771,0.506007606650453,0.0289,False
CA1-DG,27,4,-0.0292587400001795,-0.10852869479884618,0.9204280769825213,0.026000000000000002,False
CA1-DG,28,4,0.673806097552,5.564278394392027,0.01145297431080872,0.024475000000000004,False
CA1-DG,29,3,0.2862376962426604,1.0767159993904751,0.39423449270272426,0.027633333333333333,False
CA1-DG,30,3,0.31541262932169284,0.9724414196057121,0.43340407893726884,0.022333333333333334,False
CA1-RSC,1,12,0.14871717022788986,1.2432950789331427,0.23960573904581794,0.08696666666666665,False
CA1-RSC,2,12,0.09020558160173275,1.129597908324619,0.28267660008810364,0.060941666666666665,False
CA1-RSC,3,12,-0.0068232306399160815,-0.06313808186533708,0.9507892563926205,0.050566666666666676,False
CA1-RSC,4,12,0.09985521267159309,2.643502852077264,0.02284987841591322,0.035449999999999995,False
CA1-RSC,5,12,0.12296259813238246,1.646204643434003,0.127964316823534,0.036333333333333336,False
CA1-RSC,6,12,0.17301882600920074,1.3248842412226425,0.21207281851878332,0.03443333333333334,False
CA1-RSC,7,12,0.277055390024631,3.0241381176398114,0.011569851776760749,0.030225000000000005,False
CA1-RSC,8,11,0.20035195744600365,1.6256753541684608,0.1350795330956402,0.031027272727272726,False
CA1-RSC,9,10,0.0885964120037457,0.7199770601470216,0.48981336238201845,0.03141000000000001,False
CA1-RSC,10,10,0.04867669123036471,0.44419698094286275,0.6673886596945371,0.02701,False
CA1-RSC,11,9,0.03851622545753438,0.3723045942850682,0.7193354215482004,0.029211111111111108,False
CA1-RSC,12,8,0.001890118631029919,0.025681093385994135,0.9802284809070168,0.025937500000000002,False
CA1-RSC,13,8,-0.021841110151428117,-0.13721728293707242,0.894722435956345,0.025025,False
CA1-RSC,14,8,0.02738569905636301,0.14134497595785317,0.8915791744421164,0.02765,False
CA1-RSC,15,8,-0.1113541797943283,-0.6473123919473145,0.5380709938845529,0.0236875,False
CA1-RSC,16,8,0.16893234438425148,1.12120307256404,0.29918620523035894,0.028137500000000003,False
CA1-RSC,17,7,-0.24086627794678292,-1.0398485011134984,0.3384868112757578,0.026971428571428566,False
CA1-RSC,18,7,-0.1459004923596639,-1.0241533853857248,0.3452682674094779,0.02381428571428571,False
CA1-RSC,19,6,-0.1780157506009279,-1.1276094916096204,0.3106695688362216,0.02753333333333333,False
CA1-RSC,20,6,0.13827940931259086,0.6959714439644837,0.517463008207776,0.025499999999999995,False
CA1-RSC,21,4,-0.2528000102656555,-2.151407612554979,0.12054778918617348,0.021975,False
CA1-RSC,22,4,-0.0663266390878331,-0.18150591787700143,0.8675413111493061,0.0235,False
CA1-RSC,23,3,0.28851498765474665,1.3515517493228726,0.3090908928823315,0.028566666666666667,False
CA1-RSC,24,3,0.3235303626607975,1.2915816899045272,0.32563291120763105,0.0263,False
CA1-RSC,25,3,0.11261718022473773,0.23044576329144525,0.8391714592923113,0.0236,False
CA1-RSC,26,3,-0.01529121779729927,-0.0804577337600692,0.9431996401254249,0.029,False
CA1-RSC,27,3,0.21146128973044712,1.1910325961324728,0.3558275749830766,0.022199999999999998,False
CA1-RSC,28,3,0.7308382527269416,4.869815714187027,0.03967469027296433,0.02273333333333333,False
CA1-RSC,29,3,-0.5028881459479378,-2.0162710725282613,0.1813071069294165,0.024666666666666667,False
CA1-RSC,30,3,0.07284691298676467,0.6263612468457671,0.5950378058119606,0.0217,False
CA1-SUB,1,7,-0.10337937571068753,-1.8207661258031338,0.11849448402026148,0.09028571428571429,False
CA1-SUB,2,7,-0.04155232192494047,-0.3272697984932962,0.7545806091073568,0.05857142857142857,False
CA1-SUB,3,7,-0.08260352694994733,-1.372228292029095,0.2190818915776273,0.04965714285714286,False
CA1-SUB,4,7,-0.09727921494119854,-0.8614986046253256,0.4220522240080013,0.038014285714285716,False
CA1-SUB,5,7,0.010368458911441376,0.07512029432042104,0.9425610177055753,0.03971428571428571,False
CA1-SUB,6,7,-0.14858544648372524,-1.2929498562254427,0.2435788153738915,0.03168571428571428,False
CA1-SUB,7,6,0.14385152567358528,1.2605887060939458,0.26308211492735223,0.036366666666666665,False
CA1-SUB,8,6,-0.15999490541738468,-0.775818215294313,0.47293715565960315,0.03753333333333333,False
CA1-SUB,9,6,-0.11262269458677061,-0.5074134637241788,0.6334471771063936,0.030533333333333332,False
CA1-SUB,10,6,0.14740933416069427,1.5338998567059428,0.18563709366839148,0.028599999999999997,False
CA1-SUB,11,6,0.13691070781750767,0.6806725231997398,0.5263155811866045,0.028283333333333337,False
CA1-SUB,12,6,0.1609233564678265,1.145111431348778,0.30399936459079213,0.029099999999999997,False
CA1-SUB,13,6,0.12030000943810697,0.4863153595519235,0.6473086566663198,0.0237,False
CA1-SUB,14,5,-0.039993095100484745,-0.31055892510933875,0.7716453705477617,0.02938,False
CA1-SUB,15,5,0.20484046345549628,0.7412056882469988,0.4997234337715589,0.028239999999999998,False
CA1-SUB,16,5,-0.008247787476007162,-0.034843836852391015,0.9738737302012512,0.027600000000000003,False
CA1-SUB,17,5,-0.4997411411265681,-2.6385352468192833,0.05766865832910573,0.026140000000000004,False
CA1-SUB,18,5,0.17111583015789894,0.7709928502364388,0.4837261160702074,0.0248,False
CA1-SUB,19,5,0.0026019066435381336,0.01229447646011554,0.9907794330123233,0.02532,False
CA1-SUB,20,5,-0.18289349071191102,-2.0250659736148364,0.11284473709326943,0.02172,False
CA1-SUB,21,3,0.38161515103982063,1.0605754094354451,0.40003068857089463,0.0318,False
CA1-SUB,22,3,0.2155928056031552,5.953959962562382,0.0270688893085209,0.0207,False
CA1-V1,1,13,-0.13708111263764414,-1.396331771883136,0.1879077878211162,0.10765384615384617,False
CA1-V1,2,13,-0.0009913853417552636,-0.00718825877964015,0.9943827688180147,0.07241538461538462,False
CA1-V1,3,13,-0.18636653859716024,-2.5550306116835864,0.025231150706887254,0.0506846153846154,False
CA1-V1,4,13,-0.05766136208954402,-0.6681717717906259,0.5166701324623417,0.0405923076923077,False
CA1-V1,5,13,-0.052973986042988,-0.406749010730995,0.69135335304024,0.03475384615384615,False
CA1-V1,6,13,0.07826940403088486,0.9389490765113021,0.3662725579972491,0.03178461538461538,False
CA1-V1,7,13,0.01540534839033373,0.1980391491359265,0.8463296733539227,0.031107692307692312,False
CA1-V1,8,13,0.02896523101093779,0.458292514940067,0.6549309369144373,0.030199999999999998,False
CA1-V1,9,12,0.03410102950380935,0.23655344390348984,0.8173504891395938,0.026525000000000003,False
CA1-V1,10,12,-0.17458114876151867,-1.4151117567956055,0.1847167150607923,0.02853333333333333,False
CA1-V1,11,12,-0.1595069659787086,-1.2504910039156658,0.2370666391720465,0.027925000000000005,False
CA1-V1,12,12,-0.12322722589021529,-1.3889113874175205,0.19233744524114532,0.024475,False
CA1-V1,13,12,0.02207820486953077,0.17028493135346207,0.8678776285830561,0.026725000000000002,False
CA1-V1,14,11,-0.1735052841980558,-1.7690490288052412,0.10731787668305373,0.02467272727272727,False
CA1-V1,15,11,-0.23586686857909941,-1.9227080269273114,0.08343462016228452,0.026090909090909088,False
CA1-V1,16,11,-0.051466595674610434,-0.5623561743405597,0.5862575150988205,0.026190909090909095,False
CA1-V1,17,11,-0.011297398864474778,-0.07326760013869557,0.9430379812063499,0.02362727272727273,False
CA1-V1,18,10,-0.23348555022225118,-2.6077274416897263,0.028376315610126414,0.026990000000000004,False
CA1-V1,19,10,-0.19101278417303558,-1.6235548449465835,0.138918512057044,0.026889999999999997,False
