pair,dim,n_animals,mean_ifi,t,p,cc_peak,fdr_pass
CA1-CA3,1,9,0.012201066330494637,1.797914133604253,0.1099027918607823,0.34117777777777775,False
CA1-CA3,2,9,-0.016624031758834746,-1.0890051224897912,0.3078660474728805,0.22026666666666667,False
CA1-CA3,3,9,-0.005870804444019356,-0.1389056714563676,0.8929577397785622,0.10994444444444444,False
CA1-CA3,4,9,0.10112318139581146,1.7663294741819004,0.11532946502257418,0.06072222222222223,False
CA1-CA3,5,9,-0.010083567147399565,-0.16775764175002963,0.8709372387143558,0.04295555555555555,False
CA1-CA3,6,8,-0.017618511808489546,-0.696026125534806,0.5088553361964057,0.036537499999999994,False
CA1-CA3,7,8,-0.01708270257439242,-0.41821972254476175,0.6883181504933775,0.029925,False
CA1-CA3,8,8,-0.031213004277956983,-0.40533672513657687,0.6973321446336893,0.0278625,False
CA1-CA3,9,8,-0.04054499255886784,-0.7841091829084347,0.45868278108947713,0.021775,False
CA1-CA3,10,8,-0.0837835638125938,-0.6935342557016932,0.5103248060690388,0.017599999999999998,False
CA1-CA3,11,8,-0.13150393002558025,-4.941284267486695,0.0016727012575264383,0.0139375,True
CA1-CA3,12,8,-0.013870331496066403,-0.20977015830780876,0.8398217080828899,0.0124,False
CA1-CA3,13,6,0.007903949803399701,0.12832150290031902,0.9028961778025101,0.012499999999999999,False
CA1-CA3,14,5,-0.04273146427771707,-0.48999937586823766,0.6497944867714243,0.01016,False
CA1-CA3,15,5,0.011576243690053304,0.12162718527275758,0.909059656764635,0.00912,False
CA1-CA3,16,4,0.06266879230145518,0.7850771254919096,0.4896993099142111,0.00865,False
CA1-CA3,17,4,0.03471893494979278,1.3727723798986682,0.26344301985812074,0.0076500000000000005,False
CA1-CA3,18,4,-0.06816805419611051,-0.38800069429877104,0.7239092602303834,0.00825,False
CA1-CA3,19,4,-0.11498877940808741,-1.8856949290581366,0.1558155620237441,0.0071,False
CA1-CA3,20,4,-0.044423440561287504,-0.3397581346099824,0.7564348734425373,0.00685,False
CA1-CA3,21,4,-0.13344799514642589,-2.5082888844546027,0.08706858779827442,0.007075,False
CA1-CA3,22,4,-0.20715006900078925,-2.5701140501549595,0.08248495243405653,0.005725000000000001,False
CA1-CA3,23,3,-0.4357276799773851,-4.122742021238005,0.05410347880355408,0.0076,False
CA1-DG,1,11,-0.011595350854716406,-0.6264339166707148,0.5450639660247679,0.2396,False
CA1-DG,2,11,-0.045558635917241366,-1.8857956716399265,0.08867381417361045,0.13426363636363636,False
CA1-DG,3,11,-0.05291573414989691,-1.8143388463096484,0.09969406509654596,0.07450909090909091,False
CA1-DG,4,11,-0.011524177722277366,-0.2562997401929189,0.8029149070724035,0.056172727272727284,False
CA1-DG,5,11,-0.04040098783795408,-1.5809322868646396,0.14497472145252782,0.04114545454545455,False
CA1-DG,6,10,-0.06648482313723489,-1.2945465860788787,0.22770248204153168,0.03368999999999999,False
CA1-DG,7,10,-0.02429086789354592,-0.41042198811417524,0.6910950111891109,0.028300000000000002,False
CA1-DG,8,10,-0.07985835272211257,-1.3628019091399524,0.20606634302744362,0.023479999999999997,False
CA1-DG,9,10,-0.07584915297961592,-2.4507184960551522,0.036713420421056,0.02128,False
CA1-DG,10,10,-0.06397264223811035,-1.3442753885071417,0.2117595430958342,0.016380000000000002,False
CA1-DG,11,10,-0.06237035797136394,-0.8824993955021543,0.4004633385765686,0.013999999999999999,False
CA1-DG,12,10,-0.049580796022411056,-0.9693877409099405,0.3576799413051819,0.01217,False
CA1-DG,13,10,-0.12196510251191248,-1.5472644522133172,0.1562043323006583,0.010920000000000001,False
CA1-DG,14,9,-0.09900705488506355,-1.5511302390389845,0.15946908200667417,0.0096,False
CA1-DG,15,9,-0.2793451528017598,-3.557538468245746,0.007427326051431983,0.010188888888888888,False
CA1-DG,16,9,-0.034226656492418794,-0.566831598640874,0.5863760596756467,0.009255555555555555,False
CA1-DG,17,9,0.05430408872942553,0.9743644375063789,0.3584130516964404,0.008422222222222222,False
CA1-DG,18,9,0.010165625750058537,0.1256642484338847,0.903098347972727,0.007877777777777779,False
CA1-DG,19,8,-0.10456078311243798,-1.028364777570636,0.337995342422867,0.0073124999999999996,False
CA1-DG,20,8,0.15415186618979748,1.2350550482406923,0.2566529273708244,0.0075625,False
CA1-DG,21,8,0.0886447467954416,0.7349324172567117,0.4862671090027679,0.0067375,False
CA1-DG,22,8,0.16883815847537617,1.1651461713246958,0.28212388433925295,0.0067625,False
CA1-DG,23,8,0.10270644398787511,0.8476414623407115,0.42466851436269126,0.006175,False
CA1-DG,24,7,-0.07167421074718298,-0.478501876139591,0.6492301918329162,0.0067142857142857134,False
CA1-DG,25,7,-0.027565781885251963,-0.30551320778454966,0.7702971603851888,0.005814285714285715,False
CA1-DG,26,5,-0.1740881264586795,-2.062283062859814,0.10817211666339825,0.005240000000000001,False
CA1-DG,27,4,-0.03485693058622347,-0.18547510640298,0.8646879479472558,0.0063,False
CA1-DG,28,4,0.22712593697693034,0.8307501219319412,0.46705178913752055,0.0052,False
CA1-DG,29,4,-0.04068151357400657,-0.1779610826490245,0.8700919105760221,0.006175,False
CA1-DG,30,3,-0.11267936531094426,-0.36290859308791273,0.7514384551410661,0.004866666666666666,False
CA1-RSC,1,12,0.1397833437235493,4.736834600521197,0.0006125617036953736,0.1191,True
CA1-RSC,2,12,0.039108223517767764,2.285650494711919,0.04310600479030604,0.08314166666666666,False
CA1-RSC,3,12,0.04579130776132267,2.225403770494396,0.047910248596460744,0.06435833333333334,False
CA1-RSC,4,12,0.07803572249867968,2.932159711558531,0.013637638164255048,0.05126666666666666,False
CA1-RSC,5,12,0.08439202030030178,3.0540039050908545,0.010968784698545562,0.0443,False
CA1-RSC,6,12,0.05848838218720767,1.9427909739260956,0.07806990591686604,0.03440000000000001,False
CA1-RSC,7,12,0.06196257534694479,2.042997466738833,0.06576392773008555,0.02795833333333333,False
CA1-RSC,8,12,0.03957780664566878,1.2331053910981036,0.24323854465877434,0.023475,False
CA1-RSC,9,12,0.056803253490883,3.147507708990067,0.009283329310523518,0.02051666666666667,False
CA1-RSC,10,11,0.044708705089681715,1.1203246126748325,0.288760136257873,0.017772727272727273,False
CA1-RSC,11,10,0.06305766506560653,1.842166298397742,0.09857155565150078,0.01715,False
CA1-RSC,12,10,0.03577072993799314,0.6358746589135609,0.5406884574509606,0.015209999999999998,False
CA1-RSC,13,10,0.0625848841882848,1.0111390909495586,0.33836018869919343,0.013680000000000001,False
CA1-RSC,14,9,0.03912491918712892,0.4343568210532707,0.6755066831421797,0.012333333333333332,False
CA1-RSC,15,9,0.0735220973107058,1.264406151603531,0.24167593433962686,0.011722222222222222,False
CA1-RSC,16,9,-0.034175974901250045,-1.2399087073398136,0.2501435770255062,0.010100000000000001,False
CA1-RSC,17,9,0.037605787858850194,0.3022343328461353,0.7701819066271867,0.009944444444444443,False
CA1-RSC,18,9,0.17327768593535056,2.4206111896460842,0.0418102011677059,0.009066666666666666,False
CA1-RSC,19,7,0.05612232181987665,0.8516735128568426,0.42707442944788454,0.009014285714285713,False
CA1-RSC,20,7,0.15810006633881798,0.8295522675267878,0.43854272547066064,0.008542857142857142,False
CA1-RSC,21,7,0.13475520173078526,1.3088698467147348,0.23847150746547952,0.008528571428571429,False
CA1-RSC,22,6,0.01381196088113707,0.10976503024448267,0.9168651516570024,0.007866666666666668,False
CA1-RSC,23,6,-0.24127643984331648,-1.5149078590513128,0.1902252905450556,0.007016666666666668,False
CA1-RSC,24,5,-0.1329831897010675,-1.8795081811702354,0.1333569938163905,0.0064600000000000005,False
CA1-RSC,25,5,-0.02960559849806866,-0.1659256796419126,0.8762643937963469,0.0071,False
