pair,dim,window_bins,window_ms,n_animals,mean_ifi,t,p
CA1-CA3,1,1,10,7,-0.02198317236134148,-0.6184032447025054,0.559038287826505
CA1-CA3,1,2,20,7,-0.010503002835247067,-0.28515206057380055,0.7851149327563144
CA1-CA3,1,3,30,7,-0.0008340189441124721,-0.02573272758369355,0.9803050194594968
CA1-CA3,1,4,40,7,0.001572172011972966,0.06161088402026828,0.9528737705609033
CA1-CA3,1,5,50,7,-0.002050397521322284,-0.09349325796499904,0.928555529587484
CA1-CA3,1,6,60,7,-0.0035534377385386374,-0.16126010533974522,0.8771814829160653
CA1-CA3,1,7,70,7,-0.0010446588110990705,-0.05063428930365627,0.9612605071669966
CA1-CA3,1,8,80,7,0.0024335796936825007,0.13862096189816486,0.8942851907076622
CA1-CA3,1,9,90,7,0.005483051172106125,0.336918569733346,0.747650981508823
CA1-CA3,1,10,100,7,0.00632756580886798,0.37739818449209767,0.7188666039985032
CA1-CA3,1,11,110,7,0.004621210760273105,0.26838154739458,0.7973945248178144
CA1-CA3,1,12,120,7,0.0023496458529562725,0.13463431923438193,0.897303827603267
CA1-CA3,1,13,130,7,0.0008016516376383379,0.0479666234266152,0.9632996202335112
CA1-CA3,1,14,140,7,-0.000917906731394493,-0.057766154095669195,0.9558106685957525
CA1-CA3,1,15,150,7,-0.0044443990951952336,-0.2897115309943111,0.7817879359299803
CA1-CA3,1,16,160,7,-0.00709718684892363,-0.49259569746652554,0.6398032933486174
CA1-CA3,1,17,170,7,-0.008305863069025138,-0.6214156013996682,0.5571827587494476
CA1-CA3,1,18,180,7,-0.010702048940776249,-0.8465629764548132,0.42970410671976594
CA1-CA3,1,19,190,7,-0.013668853510934973,-1.0650604038896974,0.32782031294673347
CA1-CA3,1,20,200,7,-0.014831979715907034,-1.0947987419844385,0.31559506747508426
CA1-CA3,1,21,210,7,-0.01529848434476845,-1.1297816023074558,0.30170107425572307
CA1-CA3,1,22,220,7,-0.014627186474052778,-1.115315703061482,0.30738306028402396
CA1-CA3,1,23,230,7,-0.013645661990570804,-1.0882796297528776,0.3182422541784051
CA1-CA3,1,24,240,7,-0.012617415064666107,-0.9917563609177348,0.3596118687286457
CA1-CA3,1,25,250,7,-0.013392447922988432,-1.033870225639457,0.3410570414088498
CA1-CA3,2,1,10,7,0.009374411639975835,0.16025843863753664,0.8779367764386977
CA1-CA3,2,2,20,7,0.024510722739125,0.42010952589122824,0.6890345899248062
CA1-CA3,2,3,30,7,0.010906550463338164,0.1883897701612422,0.8567813968301069
CA1-CA3,2,4,40,7,-0.003671769281490041,-0.0662586095983247,0.9493245706278404
CA1-CA3,2,5,50,7,-0.003905317302434097,-0.07772594081683307,0.9405732661656221
CA1-CA3,2,6,60,7,-0.009218454665126358,-0.2207200514546224,0.8326295132563609
CA1-CA3,2,7,70,7,-0.01283159342166916,-0.344915719379216,0.7419270136715459
CA1-CA3,2,8,80,7,-0.013976223472518135,-0.38431353763969645,0.713997720945641
CA1-CA3,2,9,90,7,-0.01442065546669081,-0.39876015628494277,0.7038740198544293
CA1-CA3,2,10,100,7,-0.015326689755292274,-0.46638190245850547,0.6573942519396453
CA1-CA3,2,11,110,7,-0.01619174270767363,-0.5208100950261988,0.6211525837080538
CA1-CA3,2,12,120,7,-0.016248610866976414,-0.5463843170896667,0.6045089773970586
CA1-CA3,2,13,130,7,-0.016502652875333337,-0.5780309600689438,0.5842692074089538
CA1-CA3,2,14,140,7,-0.01760339277836995,-0.619932729526108,0.5580956923545562
CA1-CA3,2,15,150,7,-0.019968201271051905,-0.6911281415834833,0.5153202036020521
CA1-CA3,2,16,160,7,-0.022712113797019335,-0.7790305993202856,0.46556756684011746
CA1-CA3,2,17,170,7,-0.025710202959573315,-0.8951486857709006,0.40518454746629967
CA1-CA3,2,18,180,7,-0.027837900582542874,-0.9868310182040013,0.3618335425846466
CA1-CA3,2,19,190,7,-0.02825020619007981,-1.0425545675335468,0.3373285754408286
CA1-CA3,2,20,200,7,-0.030251974739178327,-1.185847490040796,0.2805105488858439
CA1-CA3,2,21,210,7,-0.031482665590523755,-1.2799019423889388,0.24783687864882317
CA1-CA3,2,22,220,7,-0.03337307588771123,-1.3525336230508218,0.22495123808864512
CA1-CA3,2,23,230,7,-0.03464095641217332,-1.4058623377172748,0.20937890335626969
CA1-CA3,2,24,240,7,-0.03657701124173873,-1.5150731585638892,0.18053182542171164
CA1-CA3,2,25,250,7,-0.037498840003001375,-1.5669868194218992,0.16816112750636733
CA1-CA3,3,1,10,7,-0.022438025767384028,-0.40993912481992373,0.6960854227625718
CA1-CA3,3,2,20,7,-0.05775693585216422,-0.7389794425376209,0.48780971597176437
CA1-CA3,3,3,30,7,-0.0628474166214713,-0.7864744111592087,0.46151319085333187
CA1-CA3,3,4,40,7,-0.05448025031410105,-0.7121496354591105,0.5031100394189464
CA1-CA3,3,5,50,7,-0.043071781367938336,-0.5932169139302318,0.5747000448124432
CA1-CA3,3,6,60,7,-0.02921100321407884,-0.4284094647361419,0.6833057041197348
CA1-CA3,3,7,70,7,-0.02182484069532257,-0.3382216546711424,0.7467170818021269
CA1-CA3,3,8,80,7,-0.020858753475375885,-0.3420914192932723,0.7439464673130205
CA1-CA3,3,9,90,7,-0.02799889516333517,-0.5046568593070817,0.6317939688756848
CA1-CA3,3,10,100,7,-0.03330584424918579,-0.6782110708091342,0.5229189396872993
CA1-CA3,3,11,110,7,-0.03578740531410261,-0.8503340543258151,0.4277625118248308
CA1-CA3,3,12,120,7,-0.036562020953178544,-0.9850176024617936,0.3626542557572317
CA1-CA3,3,13,130,7,-0.03691174972172843,-1.1482804870991992,0.2945640474695088
CA1-CA3,3,14,140,7,-0.0360716218783916,-1.2221320503193225,0.2674869765907668
CA1-CA3,3,15,150,7,-0.0316177161162168,-1.0476012283507525,0.3351771390110116
CA1-CA3,3,16,160,7,-0.027422365295045374,-0.9193910811116801,0.39335176713655906
CA1-CA3,3,17,170,7,-0.025989532512657308,-0.8773375198575799,0.4140485019467755
CA1-CA3,3,18,180,7,-0.02439125787482774,-0.8589915810248034,0.4233295417085913
CA1-CA3,3,19,190,7,-0.022597779045629318,-0.8174606799024996,0.44490538345839553
CA1-CA3,3,20,200,7,-0.019385932833039927,-0.7168657536121226,0.5003974478272822
CA1-CA3,3,21,210,7,-0.017702142049998006,-0.6800179172022701,0.5218516534422342
CA1-CA3,3,22,220,7,-0.014856170510245483,-0.5874451074767553,0.578325977510566
CA1-CA3,3,23,230,7,-0.014266919281484446,-0.585972788709162,0.5792530874927232
CA1-CA3,3,24,240,7,-0.015673928803982908,-0.6785484178099587,0.5227195644483642
CA1-CA3,3,25,250,7,-0.016373059267357527,-0.7528906990277427,0.48000266495421784
CA1-CA3,4,1,10,7,0.0002643732393407479,0.010145235428243077,0.9922343272542651
CA1-CA3,4,2,20,7,-0.009703632941326413,-0.41393099763598895,0.6933139561572761
CA1-CA3,4,3,30,7,-0.027374236681411458,-0.863546813041991,0.4210107941986421
CA1-CA3,4,4,40,7,-0.022421382376678678,-0.663041140074844,0.531935468151359
CA1-CA3,4,5,50,7,-0.006352302491728945,-0.17315218602896873,0.8682254787423838
CA1-CA3,4,6,60,7,0.006193029381622352,0.13848209522626986,0.8943903065606373
CA1-CA3,4,7,70,7,0.0001332496819491618,0.003091861149410888,0.9976332912206434
CA1-CA3,4,8,80,7,-0.0074875970964639405,-0.19557461823007366,0.8513982845567493
CA1-CA3,4,9,90,7,-0.0006996355479879873,-0.020853433412359818,0.9840387648554993
CA1-CA3,4,10,100,7,-0.010814860528296662,-0.33081576104032756,0.7520309896206996
CA1-CA3,4,11,110,7,-0.01732643707557133,-0.5340488856151171,0.6125052426768702
CA1-CA3,4,12,120,7,-0.027263393986232332,-0.9396783774355313,0.38365444028267515
CA1-CA3,4,13,130,7,-0.03268562777768814,-1.201238346663521,0.2749210051159638
