pair,dim,window_bins,window_ms,n_animals,mean_ifi,t,p
CA1-CA3,1,1,10,9,-0.04380217931672354,-0.6366225051340065,0.5421535079398914
CA1-CA3,1,2,20,9,0.011607312552067902,0.13795684143669767,0.8936837047590396
CA1-CA3,1,3,30,9,0.02364534231308657,0.2667213237000321,0.7964299773043221
CA1-CA3,1,4,40,9,-0.003788886782368035,-0.06628463239600427,0.9487777889788163
CA1-CA3,1,5,50,9,-0.031192968636879925,-0.7025551613879983,0.5022601731798395
CA1-CA3,1,6,60,9,-0.05109621789089188,-1.167766116537587,0.27652380751368966
CA1-CA3,1,7,70,9,-0.05841824573993602,-1.4668989773096641,0.1805806476560398
CA1-CA3,1,8,80,9,-0.050064837855722626,-1.5668782345051593,0.15577788389370384
CA1-CA3,1,9,90,9,-0.041940455445774766,-1.3228632895562258,0.22244178470248174
CA1-CA3,1,10,100,9,-0.044194148400945286,-1.5043733492460185,0.17089765149045155
CA1-CA3,1,11,110,9,-0.05169957524048266,-1.9494389621993304,0.08706762271098498
CA1-CA3,1,12,120,9,-0.06317414300739667,-2.4643369549223015,0.03905376106669389
CA1-CA3,1,13,130,9,-0.06726280089608759,-2.672798298447536,0.028239475624284603
CA1-CA3,1,14,140,9,-0.069065163022246,-2.820716173631188,0.022469085340853585
CA1-CA3,1,15,150,9,-0.06890498254160798,-3.0059384189865863,0.016917896812797203
CA1-CA3,1,16,160,9,-0.0666427816826884,-2.8865825137035417,0.02030535361095972
CA1-CA3,1,17,170,9,-0.0669615691500656,-2.871709487250105,0.020774312564301227
CA1-CA3,1,18,180,9,-0.0692838540742461,-2.8646443659332856,0.021000998952955506
CA1-CA3,1,19,190,9,-0.06850438093411988,-2.9305252576507286,0.018982879536462095
CA1-CA3,1,20,200,9,-0.06734074971181973,-2.8279208504417515,0.02222121540897477
CA1-CA3,1,21,210,9,-0.07015573441316064,-2.722836039581499,0.026133798545232314
CA1-CA3,1,22,220,9,-0.06569656222701077,-2.6673938040485456,0.028477085809901236
CA1-CA3,1,23,230,9,-0.06323811614617629,-2.6440079115555997,0.02952908547329704
CA1-CA3,1,24,240,9,-0.06355175314295104,-2.57593339785129,0.03282324547783595
CA1-CA3,1,25,250,9,-0.06444275739977164,-2.6087851977258416,0.03118911520400231
CA1-CA3,2,1,10,9,0.11700477922147044,1.033768215059143,0.33148054741688776
CA1-CA3,2,2,20,9,0.08388870919976867,0.791664852285791,0.4513885770821081
CA1-CA3,2,3,30,9,0.07715882700587363,0.7704762359517658,0.4631613398313805
CA1-CA3,2,4,40,9,-0.05754731801198259,-0.7794031709285262,0.458176557344967
CA1-CA3,2,5,50,9,-0.04418464514526391,-0.5886432734947368,0.572341378414323
CA1-CA3,2,6,60,9,-0.030068423646958695,-0.3953554464262911,0.7029136999113499
CA1-CA3,2,7,70,9,-0.04100323750615695,-0.5769766453683794,0.5798244964965977
CA1-CA3,2,8,80,9,-0.03512481777500248,-0.5070715438902422,0.6257833967315343
CA1-CA3,2,9,90,9,-0.0110451749520546,-0.16034950284911945,0.8765807242014158
CA1-CA3,2,10,100,9,-0.013926525578696423,-0.19249698509589572,0.8521497301698203
CA1-CA3,2,11,110,9,-0.021438150550531585,-0.28954771383372274,0.7795246471360205
CA1-CA3,2,12,120,9,-0.010942051769014964,-0.16444264834252548,0.8734616337649725
CA1-CA3,2,13,130,9,-0.004365812865885173,-0.06079848674072384,0.9530111344459344
CA1-CA3,2,14,140,9,-0.008786461772605773,-0.11922831527880029,0.9080341135453118
CA1-CA3,2,15,150,9,0.004914347338859159,0.06484759316260616,0.9498865086397509
CA1-CA3,2,16,160,9,0.011994571161483792,0.1936935668309542,0.8512434593392568
CA1-CA3,2,17,170,9,0.015223744959113819,0.24953648872187897,0.8092336100611692
CA1-CA3,2,18,180,9,0.009540414533081154,0.15265153729781647,0.8824529634607714
CA1-CA3,2,19,190,9,0.002985127827316284,0.0489063813817083,0.9621928549700322
CA1-CA3,2,20,200,9,0.0062077002398082965,0.09955908047319625,0.9231440125321604
CA1-CA3,2,21,210,9,0.012517656434498672,0.20518009929626213,0.8425559179252525
CA1-CA3,2,22,220,9,0.004370667298086817,0.08107099712682331,0.9373770131710086
CA1-CA3,2,23,230,9,-0.007138150013790195,-0.15286517160738985,0.8822898905526042
CA1-CA3,2,24,240,9,-0.01057082061394282,-0.22397217622960386,0.8283929085817753
CA1-CA3,2,25,250,9,-0.006554602184056082,-0.1434148824597312,0.8895091503954622
CA1-CA3,3,1,10,9,0.11527280200055606,0.822649613035489,0.434540859743221
CA1-CA3,3,2,20,9,0.08032873773279076,0.672667267290261,0.5201116141838651
CA1-CA3,3,3,30,9,0.09555940598364837,0.7558947816036917,0.4713810513865384
CA1-CA3,3,4,40,9,0.10160703276626253,0.7875979788400572,0.4536323997001368
CA1-CA3,3,5,50,9,0.06468894926854148,0.49661822361232305,0.6328154196519067
CA1-CA3,3,6,60,9,0.06576994511738107,0.6679045109073409,0.5229921733578013
CA1-CA3,3,7,70,9,0.06611521630528887,0.6804317833371976,0.5154366074849254
CA1-CA3,3,8,80,9,0.01949427206735835,0.19854221106817316,0.847573599405025
CA1-CA3,3,9,90,9,0.012643899110429827,0.13322546477383884,0.8973053343279137
CA1-CA3,3,10,100,9,0.002949571768623612,0.027912837855716972,0.9784154190216997
CA1-CA3,3,11,110,9,-0.03851585170328053,-0.34985454607858985,0.7354796964756689
CA1-CA3,3,12,120,9,-0.020602491041074995,-0.20928469568032754,0.8394569995510354
