animal,pair,window_bins,window_ms,mean_ifi,n_ccs,wmean_ifi
28,CA1-CA3,1,10,-0.02103343328402818,9,-0.05354086522812599
28,CA1-CA3,2,20,-0.09382057049212349,9,-0.08163470427197897
28,CA1-CA3,3,30,-0.09960366217570873,9,-0.07982734836815901
28,CA1-CA3,4,40,-0.08886995773423065,9,-0.06414715581711952
28,CA1-CA3,5,50,-0.07840125111149895,9,-0.04546849472444978
28,CA1-CA3,6,60,-0.07416099319694419,9,-0.03356462137969849
28,CA1-CA3,7,70,-0.07140374802027266,9,-0.03077185951355313
28,CA1-CA3,8,80,-0.08003135202441686,9,-0.038373558890785066
28,CA1-CA3,9,90,-0.08765710264286802,9,-0.044566690529269946
28,CA1-CA3,10,100,-0.09269536641509024,9,-0.04804695984927389
28,CA1-CA3,11,110,-0.07093961280938542,9,-0.039390278262176
28,CA1-CA3,12,120,-0.05723599838281336,9,-0.03402187152027372
28,CA1-CA3,13,130,-0.04737529857623381,9,-0.029535252068020903
28,CA1-CA3,14,140,-0.04078667581092399,9,-0.025000830421479093
28,CA1-CA3,15,150,-0.03715756455044198,9,-0.02207943805382783
28,CA1-CA3,16,160,-0.038322987423616645,9,-0.023683075847691883
28,CA1-CA3,17,170,-0.03873505343300069,9,-0.024966531097708106
28,CA1-CA3,18,180,-0.03379152748242806,9,-0.021412022522779087
28,CA1-CA3,19,190,-0.030776685247821487,9,-0.017196916253875066
28,CA1-CA3,20,200,-0.030652573871875557,9,-0.014663890257847688
28,CA1-CA3,21,210,-0.03065068775537637,9,-0.012913782048915343
28,CA1-CA3,22,220,-0.02970817020750229,9,-0.012814294840695323
28,CA1-CA3,23,230,-0.03084714263204623,9,-0.014104001146238275
28,CA1-CA3,24,240,-0.03269677918111281,9,-0.015920454039551012
28,CA1-CA3,25,250,-0.03196028220471496,9,-0.015684457951362068
28,CA1-DG,1,10,0.007436080587442665,9,0.006211304682841908
28,CA1-DG,2,20,0.00046286008676869113,9,0.015199114203860681
28,CA1-DG,3,30,0.016703636304004964,9,0.02088002551607671
28,CA1-DG,4,40,0.01336480602327746,9,0.01600338909605899
28,CA1-DG,5,50,0.024558595500701896,9,0.014497733937645934
28,CA1-DG,6,60,0.019965581543433683,9,0.010576163728365855
28,CA1-DG,7,70,0.01986156123518653,9,0.01180296738611531
28,CA1-DG,8,80,0.016616579009406815,9,0.01576107286971917
28,CA1-DG,9,90,0.012708166515310362,9,0.018625133295377932
28,CA1-DG,10,100,0.0032744778469640757,9,0.01710206997224731
28,CA1-DG,11,110,0.0024879641214391895,9,0.016597780754740363
28,CA1-DG,12,120,-0.00288296439932918,9,0.014363215447033237
28,CA1-DG,13,130,-0.0004187006288611046,9,0.015674817268707546
28,CA1-DG,14,140,-0.003807339902073607,9,0.01626492809722408
28,CA1-DG,15,150,0.002799998040210447,9,0.02018163675551298
28,CA1-DG,16,160,-0.00017476176401023792,9,0.02040446595748582
28,CA1-DG,17,170,-0.002144979942876626,9,0.019799617862998296
28,CA1-DG,18,180,-0.0041106301646479755,9,0.01813979994215958
28,CA1-DG,19,190,-0.0041254223746167015,9,0.01624475917096984
28,CA1-DG,20,200,-0.007393521489495914,9,0.013609367567979001
28,CA1-DG,21,210,-0.007194218353610449,9,0.013220407487105642
28,CA1-DG,22,220,-0.00474966688648722,9,0.015036015189283368
28,CA1-DG,23,230,-0.0028635435354065018,9,0.017021381049693293
28,CA1-DG,24,240,-0.003375695651043242,9,0.017607319769743883
28,CA1-DG,25,250,-0.0034404802182746927,9,0.017430145061953395
28,CA1-V1,1,10,-0.009122293966771566,10,-0.006465254607705785
28,CA1-V1,2,20,-0.011654970599645358,10,-0.007890851011111978
28,CA1-V1,3,30,-0.004645236875993647,10,-0.005072725202539994
28,CA1-V1,4,40,-0.006839551490803258,10,-0.006357163954832412
28,CA1-V1,5,50,-0.0073596237495939364,10,-0.007904090235526358
28,CA1-V1,6,60,-0.003931972059885161,10,-0.007464677206357013
28,CA1-V1,7,70,0.000838060814017591,10,-0.004890809366332142
28,CA1-V1,8,80,0.0007299784081384014,10,-0.005316911195884281
28,CA1-V1,9,90,0.001521597880892038,10,-0.004746605927496812
28,CA1-V1,10,100,0.0009788552134038287,10,-0.004994594323051397
28,CA1-V1,11,110,-0.0064783138001929755,10,-0.008117510682861845
28,CA1-V1,12,120,-0.009746250614268894,10,-0.01009252296261632
28,CA1-V1,13,130,-0.012695313077076506,10,-0.011473290941060404
28,CA1-V1,14,140,-0.015345478949040403,10,-0.013372590324538847
28,CA1-V1,15,150,-0.017490400587634642,10,-0.014768993789117375
28,CA1-V1,16,160,-0.01725606833889761,10,-0.01562623045560335
28,CA1-V1,17,170,-0.01704403716234413,10,-0.01595693254751172
28,CA1-V1,18,180,-0.0187402079389936,10,-0.016616165701335582
28,CA1-V1,19,190,-0.02156705042459424,10,-0.01778913565213651
28,CA1-V1,20,200,-0.02282952428739486,10,-0.018460930933477747
28,CA1-V1,21,210,-0.02233119501325142,10,-0.018271166519363325
28,CA1-V1,22,220,-0.023264321341266752,10,-0.01876917402649995
28,CA1-V1,23,230,-0.023711417663541873,10,-0.018948676028563698
28,CA1-V1,24,240,-0.02461776200965962,10,-0.01915248164306975
28,CA1-V1,25,250,-0.025051666706075188,10,-0.01937854861378958
28,CA3-DG,1,10,-0.07888679122245236,7,-0.0610054288731413
28,CA3-DG,2,20,-0.11466016314038055,7,-0.07777269958495858
28,CA3-DG,3,30,-0.11043546739695691,7,-0.07215149603625168
28,CA3-DG,4,40,-0.07946097555795564,7,-0.049141787303284716
28,CA3-DG,5,50,-0.0629874088465782,7,-0.03208975748190472
28,CA3-DG,6,60,-0.05526991840306787,7,-0.02128651587245441
28,CA3-DG,7,70,-0.050021298213090745,7,-0.015241474024188347
28,CA3-DG,8,80,-0.03776110236106205,7,-0.011582907598551535
28,CA3-DG,9,90,-0.03770348957693372,7,-0.01249912530108034
28,CA3-DG,10,100,-0.023128521469144337,7,-0.006288649412651659
28,CA3-DG,11,110,-0.019904294526612742,7,-1.0711675799435362e-05
28,CA3-DG,12,120,-0.012104661845136061,7,0.008146845656470116
28,CA3-DG,13,130,-0.013296393908100699,7,0.01028305986044986
28,CA3-DG,14,140,-0.00948873434990702,7,0.011340116606139938
28,CA3-DG,15,150,-0.005144057803427761,7,0.009508827758583
28,CA3-DG,16,160,-0.015859032024995733,7,0.0018642498269150303
28,CA3-DG,17,170,-0.013689160026425737,7,0.0006986053614450755
28,CA3-DG,18,180,-0.023392753192100216,7,-0.0028746571949761694
28,CA3-DG,19,190,-0.02388285381222301,7,-0.0007573473700959576
28,CA3-DG,20,200,-0.019953203538041916,7,0.002305366614093736
28,CA3-DG,21,210,-0.013761052686752125,7,0.004085982883255378
28,CA3-DG,22,220,-0.012981273739653873,7,0.0024974686538986922
28,CA3-DG,23,230,-0.008811037380620524,7,0.001567083971707374
28,CA3-DG,24,240,0.0012846841817911638,7,0.003992031656350842
28,CA3-DG,25,250,0.0039595964738049485,7,0.005663805745626752
34,CA1-CA3,1,10,0.10211357441366006,5,0.0650401803760859
34,CA1-CA3,2,20,0.05887308903337942,5,0.04825350353033082
34,CA1-CA3,3,30,0.005144475494169754,5,0.032122300271654185
34,CA1-CA3,4,40,-0.04070562095317569,5,0.019400273869918442
34,CA1-CA3,5,50,-0.0716380408504189,5,0.009648196625347709
34,CA1-CA3,6,60,-0.09620921849275112,5,-0.001081345889522215
34,CA1-CA3,7,70,-0.08682710495552474,5,-0.004644916013690385
34,CA1-CA3,8,80,-0.0904707731372538,5,-0.01118657049238079
34,CA1-CA3,9,90,-0.08374175346155427,5,-0.011705199928710578
34,CA1-CA3,10,100,-0.07846912639900708,5,-0.01202726567923923
34,CA1-CA3,11,110,-0.0779073501455059,5,-0.012808302465600779
34,CA1-CA3,12,120,-0.07344078297765264,5,-0.013760645961730267
34,CA1-CA3,13,130,-0.07327344537118072,5,-0.015663301763087563
34,CA1-CA3,14,140,-0.07014570204286305,5,-0.014413176462994969
34,CA1-CA3,15,150,-0.06359969675056373,5,-0.012818369792139406
34,CA1-CA3,16,160,-0.06694940912743526,5,-0.01402753217322664
34,CA1-CA3,17,170,-0.07239939617762264,5,-0.016960909163466813
34,CA1-CA3,18,180,-0.07627952127976267,5,-0.019780943507809512
34,CA1-CA3,19,190,-0.0805484559291892,5,-0.02216943543917034
34,CA1-CA3,20,200,-0.08262071464454797,5,-0.024798843780462633
34,CA1-CA3,21,210,-0.08504219793023973,5,-0.027112754882851788
34,CA1-CA3,22,220,-0.07584205633981078,5,-0.026333124411007842
34,CA1-CA3,23,230,-0.07036220504112876,5,-0.026245118763273304
34,CA1-CA3,24,240,-0.06593639043510388,5,-0.02547722205184253
34,CA1-CA3,25,250,-0.06171791071079315,5,-0.025336434692158842
34,CA1-V1,1,10,0.01957474630075342,10,0.02059939678608912
34,CA1-V1,2,20,0.005386372297923101,10,0.01278405678753289
34,CA1-V1,3,30,0.008843771222764227,10,0.008701636908035663
34,CA1-V1,4,40,0.015830644060689163,10,0.012127406563510636
34,CA1-V1,5,50,0.020099786408569104,10,0.015188776403330766
34,CA1-V1,6,60,0.016474262989210998,10,0.014364944410885953
34,CA1-V1,7,70,0.01474181115938789,10,0.012926837579185196
34,CA1-V1,8,80,0.014893571709327586,10,0.011967655514911066
34,CA1-V1,9,90,0.012203899634370512,10,0.010339504976389828
34,CA1-V1,10,100,0.011789616408557194,10,0.00991753130854431
34,CA1-V1,11,110,0.01216984444647795,10,0.009481774945222288
34,CA1-V1,12,120,0.011173824688550892,10,0.008833269643244969
34,CA1-V1,13,130,0.006871133361796206,10,0.006392799876180177
34,CA1-V1,14,140,0.008713297250519845,10,0.00739348226625019
34,CA1-V1,15,150,0.007738791961277869,10,0.00707694992299552
34,CA1-V1,16,160,0.006013415732043221,10,0.006265043736970659
34,CA1-V1,17,170,0.00451364078442281,10,0.0056488804083116104
34,CA1-V1,18,180,0.004972328307024982,10,0.005917494854571737
34,CA1-V1,19,190,0.005752120864508166,10,0.006417054341105855
34,CA1-V1,20,200,0.007085279194401312,10,0.007151295951973148
34,CA1-V1,21,210,0.007169643099223603,10,0.007293310628310268
34,CA1-V1,22,220,0.00450517089657103,10,0.006179781690724513
34,CA1-V1,23,230,0.0038530067316108847,10,0.005908922813507053
34,CA1-V1,24,240,0.0033529601981400424,10,0.005655268087268428
34,CA1-V1,25,250,0.002093912122383703,10,0.005366612519358303
36,CA1-V1,1,10,0.017144293875678306,10,0.009321174335209586
36,CA1-V1,2,20,0.03273033664800926,10,0.0232892281668609
36,CA1-V1,3,30,0.037484632493422126,10,0.026419691750159638
36,CA1-V1,4,40,0.030372196608858502,10,0.022568233545689965
36,CA1-V1,5,50,0.018635792962518792,10,0.012428462353183407
36,CA1-V1,6,60,0.019764629016858958,10,0.012080151985823125
36,CA1-V1,7,70,0.022772950598244322,10,0.014199787649265537
36,CA1-V1,8,80,0.019566172697479393,10,0.012334740608735384
36,CA1-V1,9,90,0.010100032680015424,10,0.005696904291276783
36,CA1-V1,10,100,0.00564113085527345,10,0.002074527624783292
36,CA1-V1,11,110,0.00304251139763219,10,4.05896075309783e-05
36,CA1-V1,12,120,-0.0010796634852645343,10,-0.002665091923629812
36,CA1-V1,13,130,-0.007830405635625403,10,-0.006910529892401068
36,CA1-V1,14,140,-0.011186186379564126,10,-0.009569558825808337
36,CA1-V1,15,150,-0.01422076395506075,10,-0.011468388141025063
36,CA1-V1,16,160,-0.015025055376984162,10,-0.0117923219006705
36,CA1-V1,17,170,-0.01614149933593607,10,-0.012300481178919754
36,CA1-V1,18,180,-0.016087968237789234,10,-0.013126552464091772
36,CA1-V1,19,190,-0.019395799227522235,10,-0.015393009959042508
36,CA1-V1,20,200,-0.02344848218404031,10,-0.01776585992335125
36,CA1-V1,21,210,-0.024150121051290583,10,-0.01802978292049437
36,CA1-V1,22,220,-0.024441196246494417,10,-0.018028804060974693
36,CA1-V1,23,230,-0.025455124308803034,10,-0.01816179257743288
36,CA1-V1,24,240,-0.028276757038954704,10,-0.019242606679440194
36,CA1-V1,25,250,-0.027436548605253436,10,-0.018626602590621683
41,CA1-CA3,1,10,-0.11105315829008688,9,-0.019937094918745464
41,CA1-CA3,2,20,-0.07677398638625119,9,-0.012712890535788359
41,CA1-CA3,3,30,-0.06942308414697876,9,-0.01298714464863806
41,CA1-CA3,4,40,-0.022517995841265185,9,-0.004519790553279705
41,CA1-CA3,5,50,0.012014869172038386,9,0.00221111937828332
41,CA1-CA3,6,60,0.025420976844966765,9,0.005866758766871564
41,CA1-CA3,7,70,0.019298190975780474,9,0.006262494555135189
41,CA1-CA3,8,80,0.023516222167345384,9,0.009821118250204482
41,CA1-CA3,9,90,0.03586640721751769,9,0.012598051012960717
41,CA1-CA3,10,100,0.0356087765169573,9,0.010638571662016465
41,CA1-CA3,11,110,0.03514175016401485,9,0.007824341534091105
41,CA1-CA3,12,120,0.03365802252053027,9,0.004410440972962554
41,CA1-CA3,13,130,0.046062804124018523,9,0.0027515387654654107
41,CA1-CA3,14,140,0.051470096491543556,9,-0.00015581479955522625
41,CA1-CA3,15,150,0.03979003214151432,9,-0.004976431040096887
41,CA1-CA3,16,160,0.040294690415856926,9,-0.006903143034322975
41,CA1-CA3,17,170,0.038692560063851404,9,-0.008166890771760783
41,CA1-CA3,18,180,0.034493306400683446,9,-0.010990275154419044
41,CA1-CA3,19,190,0.03550059431582375,9,-0.013123284484696665
41,CA1-CA3,20,200,0.039285720076443376,9,-0.014525278819034216
41,CA1-CA3,21,210,0.032407969105072015,9,-0.016774490974204494
41,CA1-CA3,22,220,0.02460951449986496,9,-0.017811624058204037
41,CA1-CA3,23,230,0.02703696052643445,9,-0.017001503906635008
41,CA1-CA3,24,240,0.026739292215134894,9,-0.017257910020142243
41,CA1-CA3,25,250,0.021050245359889825,9,-0.01861939198180274
41,CA1-V1,1,10,0.0037111110689775086,10,0.005640171829522716
41,CA1-V1,2,20,0.002122647405877036,10,0.00471992688785576
41,CA1-V1,3,30,0.008995603270291908,10,0.009681333626195717
41,CA1-V1,4,40,0.008784749040079268,10,0.009541974419466831
41,CA1-V1,5,50,0.005956126758475783,10,0.008541990331875676
41,CA1-V1,6,60,0.006833277631859131,10,0.009009997688751227
41,CA1-V1,7,70,0.0048474138124865885,10,0.006751494598812222
41,CA1-V1,8,80,-0.0002540148716841049,10,0.0033518250724782414
41,CA1-V1,9,90,-0.00536015887744634,10,-0.0001406777149063319
41,CA1-V1,10,100,-0.00925175483309001,10,-0.002496908035101475
41,CA1-V1,11,110,-0.01701102969812642,10,-0.007465349634040304
41,CA1-V1,12,120,-0.022033162847295125,10,-0.01073864472016056
41,CA1-V1,13,130,-0.024392334323031156,10,-0.012694439297542508
41,CA1-V1,14,140,-0.02777673374937361,10,-0.014887788745072426
41,CA1-V1,15,150,-0.030142747060492397,10,-0.016620931241682027
41,CA1-V1,16,160,-0.029906838713124013,10,-0.016951448161591245
41,CA1-V1,17,170,-0.028683231670829878,10,-0.01628360014657982
41,CA1-V1,18,180,-0.028357703014386497,10,-0.01624524350462001
41,CA1-V1,19,190,-0.02857844191282405,10,-0.016469113079159364
41,CA1-V1,20,200,-0.029564774926957048,10,-0.017321827090074543
41,CA1-V1,21,210,-0.030901757424355934,10,-0.018084448857006715
41,CA1-V1,22,220,-0.03288726953116819,10,-0.019163145605589602
41,CA1-V1,23,230,-0.03418558386454336,10,-0.019918370579836822
41,CA1-V1,24,240,-0.03452965096427382,10,-0.020249831119828005
41,CA1-V1,25,250,-0.03625517650603718,10,-0.021438938324039463
52,CA1-CA3,1,10,0.01865856144883825,10,0.029807189692129574
52,CA1-CA3,2,20,0.015507436187356099,10,0.03307371356216103
52,CA1-CA3,3,30,0.02325105169641479,10,0.04105786265511011
52,CA1-CA3,4,40,0.02836911192107459,10,0.04550093471444892
52,CA1-CA3,5,50,0.04351534909582182,10,0.05170402930574911
52,CA1-CA3,6,60,0.04514660423556858,10,0.053215083027423546
52,CA1-CA3,7,70,0.04680685858075712,10,0.05487699645179742
52,CA1-CA3,8,80,0.04669554097576021,10,0.0554908878720541
52,CA1-CA3,9,90,0.04014701797369133,10,0.05131724224970825
52,CA1-CA3,10,100,0.0317016067389779,10,0.045275355159610196
52,CA1-CA3,11,110,0.026374757467694427,10,0.040566477568847306
52,CA1-CA3,12,120,0.02566534171661137,10,0.04009572333971416
52,CA1-CA3,13,130,0.02449404478342161,10,0.039377112423440046
52,CA1-CA3,14,140,0.022062174179340595,10,0.0369855314334578
52,CA1-CA3,15,150,0.019198293849976386,10,0.03435357031661071
52,CA1-CA3,16,160,0.0166669721600879,10,0.03158771035859488
52,CA1-CA3,17,170,0.017076323497993554,10,0.030063955251675444
52,CA1-CA3,18,180,0.015357303330143688,10,0.027446732797645642
52,CA1-CA3,19,190,0.01168417201018859,10,0.024688978545748877
52,CA1-CA3,20,200,0.012772895485279118,10,0.023948773208963877
52,CA1-CA3,21,210,0.012334353812983357,10,0.022582546989620273
52,CA1-CA3,22,220,0.011433568756394768,10,0.02200265447161718
52,CA1-CA3,23,230,0.00949231139916853,10,0.021115479091187803
52,CA1-CA3,24,240,0.005137118222924871,10,0.019275941110767175
52,CA1-CA3,25,250,0.0012827553030519787,10,0.016407332853338785
52,CA1-DG,1,10,-0.031185166837979606,10,-0.039601933564819815
52,CA1-DG,2,20,-0.036372895837488026,10,-0.037404617392554435
52,CA1-DG,3,30,-0.041779167542803655,10,-0.03229853438387763
52,CA1-DG,4,40,-0.03973496736622089,10,-0.023176642312358737
52,CA1-DG,5,50,-0.04518427015708294,10,-0.02120883055278461
52,CA1-DG,6,60,-0.04189367184915098,10,-0.01744272382727319
52,CA1-DG,7,70,-0.03827644917516489,10,-0.017261864174902018
52,CA1-DG,8,80,-0.044526864641028605,10,-0.021994749871568468
52,CA1-DG,9,90,-0.05020890638524337,10,-0.026650010873358044
52,CA1-DG,10,100,-0.050739676737979765,10,-0.02831657137085717
52,CA1-DG,11,110,-0.04577921746144545,10,-0.027587746626149365
52,CA1-DG,12,120,-0.04724354593202212,10,-0.0284355820281887
52,CA1-DG,13,130,-0.04353800027456976,10,-0.02659512302780103
52,CA1-DG,14,140,-0.03428872529578639,10,-0.021410592478214023
52,CA1-DG,15,150,-0.02824822634792517,10,-0.01869595862677243
52,CA1-DG,16,160,-0.023086144041961455,10,-0.015711327561323967
52,CA1-DG,17,170,-0.018065036456050156,10,-0.011978732382844035
52,CA1-DG,18,180,-0.013699562528575706,10,-0.00810457187543862
52,CA1-DG,19,190,-0.016220331985050015,10,-0.007247971810110788
52,CA1-DG,20,200,-0.015689762254994924,10,-0.006008750287656218
52,CA1-DG,21,210,-0.01594487892887473,10,-0.006219675293778954
52,CA1-DG,22,220,-0.020168486399014453,10,-0.008943334522516772
52,CA1-DG,23,230,-0.022681171540369374,10,-0.011528328817648694
52,CA1-DG,24,240,-0.021459314339121932,10,-0.012380510317276232
52,CA1-DG,25,250,-0.024760812296093802,10,-0.014183467736077811
52,CA1-RSC,1,10,0.0396786057128626,5,0.03227899981089319
52,CA1-RSC,2,20,0.12586617279075507,5,0.11026738498446427
52,CA1-RSC,3,30,0.17161988536092215,5,0.1528103039355266
