animal,pair,window_bins,window_ms,mean_ifi,n_ccs,wmean_ifi
28,CA1-CA3,1,10,0.1271606015907594,3,0.13911548427824486
28,CA1-CA3,2,20,0.07525320172430507,3,0.24249262793815593
28,CA1-CA3,3,30,0.044023116698431564,3,0.2576429579805748
28,CA1-CA3,4,40,-0.07466960078675541,3,0.09149999091284014
28,CA1-CA3,5,50,-0.176800739067836,3,-0.02139848138358003
28,CA1-CA3,6,60,-0.08633968283037909,3,0.004089791428583253
28,CA1-CA3,7,70,-0.11147077224765194,3,-0.03181147884665026
28,CA1-CA3,8,80,-0.15182470478234877,3,-0.07110479502736046
28,CA1-CA3,9,90,-0.13400710821628428,3,-0.039441124285591274
28,CA1-CA3,10,100,-0.2007534393767,3,-0.08772356523816642
28,CA1-CA3,11,110,-0.2753459015577422,3,-0.15524283094857858
28,CA1-CA3,12,120,-0.24962693844738518,3,-0.17039652360712926
28,CA1-CA3,13,130,-0.2877026322981862,3,-0.21188859015142147
28,CA1-CA3,14,140,-0.22987445611755983,3,-0.18639489926285369
28,CA1-CA3,15,150,-0.21348213549258188,3,-0.16157049705500698
28,CA1-CA3,16,160,-0.2051509297039671,3,-0.13987817948790704
28,CA1-CA3,17,170,-0.19033578349726307,3,-0.12952908501208385
28,CA1-CA3,18,180,-0.23702480845717785,3,-0.164840724858542
28,CA1-CA3,19,190,-0.26816872603908304,3,-0.19891494262109638
28,CA1-CA3,20,200,-0.2655200582057579,3,-0.20508784033726113
28,CA1-CA3,21,210,-0.2365989390570777,3,-0.19171914552407637
28,CA1-CA3,22,220,-0.21202210508144667,3,-0.16815672963001252
28,CA1-CA3,23,230,-0.19610461996382988,3,-0.15669879228303216
28,CA1-CA3,24,240,-0.19770659464138807,3,-0.1568164777376875
28,CA1-CA3,25,250,-0.18134233992542328,3,-0.1447206344572029
28,CA1-DG,1,10,-0.24253879445334192,4,-0.19939034797643992
28,CA1-DG,2,20,-0.23895189262521718,4,-0.21049408356900298
28,CA1-DG,3,30,-0.13514458132427729,4,-0.1583573325945238
28,CA1-DG,4,40,-0.07565029712304172,4,-0.10666935203382905
28,CA1-DG,5,50,-0.10244025023070305,4,-0.09357444598615311
28,CA1-DG,6,60,-0.10661550296958566,4,-0.08057168183336415
28,CA1-DG,7,70,-0.12336408784564334,4,-0.08334942205553358
28,CA1-DG,8,80,-0.12174029653613191,4,-0.07940086065963174
28,CA1-DG,9,90,-0.12845031747818747,4,-0.0838620558466546
28,CA1-DG,10,100,-0.12489228496782406,4,-0.08163289826681566
28,CA1-DG,11,110,-0.0899401704810574,4,-0.0600239816060689
28,CA1-DG,12,120,-0.07219533398239641,4,-0.04351019406585358
28,CA1-DG,13,130,-0.08804772251450053,4,-0.0411206799853904
28,CA1-DG,14,140,-0.0755661144379848,4,-0.036286578809768086
28,CA1-DG,15,150,-0.06154240776109423,4,-0.031156382489100232
28,CA1-DG,16,160,-0.06278913577680403,4,-0.03254502963891371
28,CA1-DG,17,170,-0.06051991641243347,4,-0.025045262691721373
