animal,pair,window_bins,window_ms,n_dims,n_pos,n_neg,mixed,frac_pos
28,CA1-CA3,1,10,5,2,3,1,0.4
28,CA1-CA3,2,20,5,2,3,1,0.4
28,CA1-CA3,3,30,5,2,3,1,0.4
28,CA1-CA3,4,40,5,2,3,1,0.4
28,CA1-CA3,5,50,5,3,2,1,0.6
28,CA1-CA3,6,60,5,3,2,1,0.6
28,CA1-CA3,7,70,5,3,2,1,0.6
28,CA1-CA3,8,80,5,3,2,1,0.6
28,CA1-CA3,9,90,5,4,1,1,0.8
28,CA1-CA3,10,100,5,3,2,1,0.6
28,CA1-CA3,11,110,5,3,2,1,0.6
28,CA1-CA3,12,120,5,3,2,1,0.6
28,CA1-CA3,13,130,5,3,2,1,0.6
28,CA1-CA3,14,140,5,3,2,1,0.6
28,CA1-CA3,15,150,5,3,2,1,0.6
28,CA1-CA3,16,160,5,3,2,1,0.6
28,CA1-CA3,17,170,5,3,2,1,0.6
28,CA1-CA3,18,180,5,3,2,1,0.6
28,CA1-CA3,19,190,5,3,2,1,0.6
28,CA1-CA3,20,200,5,4,1,1,0.8
28,CA1-CA3,21,210,5,4,1,1,0.8
28,CA1-CA3,22,220,5,4,1,1,0.8
28,CA1-CA3,23,230,5,5,0,0,1.0
28,CA1-CA3,24,240,5,5,0,0,1.0
28,CA1-CA3,25,250,5,4,1,1,0.8
28,CA1-DG,1,10,5,1,4,1,0.2
28,CA1-DG,2,20,5,1,4,1,0.2
28,CA1-DG,3,30,5,0,5,0,0.0
28,CA1-DG,4,40,5,0,5,0,0.0
28,CA1-DG,5,50,5,0,5,0,0.0
28,CA1-DG,6,60,5,1,4,1,0.2
28,CA1-DG,7,70,5,1,4,1,0.2
28,CA1-DG,8,80,5,1,4,1,0.2
28,CA1-DG,9,90,5,1,4,1,0.2
28,CA1-DG,10,100,5,1,4,1,0.2
28,CA1-DG,11,110,5,1,4,1,0.2
28,CA1-DG,12,120,5,1,4,1,0.2
28,CA1-DG,13,130,5,1,4,1,0.2
28,CA1-DG,14,140,5,1,4,1,0.2
28,CA1-DG,15,150,5,1,4,1,0.2
28,CA1-DG,16,160,5,1,4,1,0.2
28,CA1-DG,17,170,5,1,4,1,0.2
28,CA1-DG,18,180,5,1,4,1,0.2
28,CA1-DG,19,190,5,1,4,1,0.2
28,CA1-DG,20,200,5,1,4,1,0.2
28,CA1-DG,21,210,5,1,4,1,0.2
28,CA1-DG,22,220,5,1,4,1,0.2
28,CA1-DG,23,230,5,1,4,1,0.2
28,CA1-DG,24,240,5,1,4,1,0.2
28,CA1-DG,25,250,5,1,4,1,0.2
28,CA1-V1,1,10,5,2,3,1,0.4
28,CA1-V1,2,20,5,1,4,1,0.2
28,CA1-V1,3,30,5,1,4,1,0.2
28,CA1-V1,4,40,5,1,4,1,0.2
28,CA1-V1,5,50,5,1,4,1,0.2
28,CA1-V1,6,60,5,1,4,1,0.2
28,CA1-V1,7,70,5,1,4,1,0.2
28,CA1-V1,8,80,5,1,4,1,0.2
28,CA1-V1,9,90,5,1,4,1,0.2
28,CA1-V1,10,100,5,1,4,1,0.2
28,CA1-V1,11,110,5,0,5,0,0.0
28,CA1-V1,12,120,5,0,5,0,0.0
28,CA1-V1,13,130,5,0,5,0,0.0
28,CA1-V1,14,140,5,0,5,0,0.0
28,CA1-V1,15,150,5,0,5,0,0.0
28,CA1-V1,16,160,5,0,5,0,0.0
28,CA1-V1,17,170,5,0,5,0,0.0
28,CA1-V1,18,180,5,0,5,0,0.0
28,CA1-V1,19,190,5,0,5,0,0.0
28,CA1-V1,20,200,5,0,5,0,0.0
28,CA1-V1,21,210,5,0,5,0,0.0
28,CA1-V1,22,220,5,0,5,0,0.0
28,CA1-V1,23,230,5,0,5,0,0.0
28,CA1-V1,24,240,5,0,5,0,0.0
28,CA1-V1,25,250,5,0,5,0,0.0
28,CA3-DG,1,10,5,1,4,1,0.2
28,CA3-DG,2,20,5,1,4,1,0.2
28,CA3-DG,3,30,5,1,4,1,0.2
28,CA3-DG,4,40,5,1,4,1,0.2
28,CA3-DG,5,50,5,1,4,1,0.2
28,CA3-DG,6,60,5,1,4,1,0.2
28,CA3-DG,7,70,5,1,4,1,0.2
28,CA3-DG,8,80,5,1,4,1,0.2
28,CA3-DG,9,90,5,1,4,1,0.2
28,CA3-DG,10,100,5,1,4,1,0.2
28,CA3-DG,11,110,5,2,3,1,0.4
28,CA3-DG,12,120,5,3,2,1,0.6
28,CA3-DG,13,130,5,3,2,1,0.6
28,CA3-DG,14,140,5,3,2,1,0.6
28,CA3-DG,15,150,5,3,2,1,0.6
28,CA3-DG,16,160,5,2,3,1,0.4
28,CA3-DG,17,170,5,2,3,1,0.4
