animal,learner,pair,dim,window_bins,window_ms,ifi,degenerate,cc_peak,sig
28,1,CA1-CA3,1,1,10,-0.4569536423841059,0,0.06,0
28,1,CA1-CA3,1,2,20,-0.44736842105263147,0,0.06,0
28,1,CA1-CA3,1,3,30,0.051282051282051364,0,0.06,0
28,1,CA1-CA3,1,4,40,0.05128205128205135,0,0.06,0
28,1,CA1-CA3,1,5,50,0.05128205128205132,0,0.06,0
28,1,CA1-CA3,1,6,60,0.051282051282051364,0,0.06,0
28,1,CA1-CA3,1,7,70,-0.20129870129870128,0,0.06,0
28,1,CA1-CA3,1,8,80,-0.4265734265734265,0,0.06,0
28,1,CA1-CA3,1,9,90,-0.21084337349397586,0,0.06,0
28,1,CA1-CA3,1,10,100,-0.15159235668789808,0,0.06,0
28,1,CA1-CA3,1,11,110,-0.31410916580844483,0,0.06,0
28,1,CA1-CA3,1,12,120,-0.3847389558232931,0,0.06,0
28,1,CA1-CA3,1,13,130,-0.364394993045897,0,0.06,0
28,1,CA1-CA3,1,14,140,-0.23580034423407908,0,0.06,0
28,1,CA1-CA3,1,15,150,-0.15931108719052742,0,0.06,0
28,1,CA1-CA3,1,16,160,-0.21468074409250876,0,0.06,0
28,1,CA1-CA3,1,17,170,-0.19722497522299298,0,0.06,0
28,1,CA1-CA3,1,18,180,-0.3604213694507149,0,0.06,0
28,1,CA1-CA3,1,19,190,-0.40479360852197066,0,0.06,0
28,1,CA1-CA3,1,20,200,-0.41051273782650755,0,0.06,0
28,1,CA1-CA3,1,21,210,-0.43265052762259465,0,0.06,0
28,1,CA1-CA3,1,22,220,-0.40257407961688113,0,0.06,0
28,1,CA1-CA3,1,23,230,-0.38431911966987614,0,0.06,0
28,1,CA1-CA3,1,24,240,-0.3523246439129268,0,0.06,0
28,1,CA1-CA3,1,25,250,-0.3138381201044387,0,0.06,0
28,1,CA1-CA3,2,1,10,0.0,1,0.0413,0
28,1,CA1-CA3,2,2,20,-1.0,0,0.0413,0
28,1,CA1-CA3,2,3,30,-0.7768595041322314,0,0.0413,0
28,1,CA1-CA3,2,4,40,-0.8229508196721311,0,0.0413,0
28,1,CA1-CA3,2,5,50,-0.8229508196721312,0,0.0413,0
28,1,CA1-CA3,2,6,60,-0.8229508196721311,0,0.0413,0
28,1,CA1-CA3,2,7,70,-0.855614973262032,0,0.0413,0
28,1,CA1-CA3,2,8,80,-0.33976833976833964,0,0.0413,0
28,1,CA1-CA3,2,9,90,-0.33976833976833976,0,0.0413,0
28,1,CA1-CA3,2,10,100,-0.3422459893048128,0,0.0413,0
28,1,CA1-CA3,2,11,110,-0.4055299539170508,0,0.0413,0
28,1,CA1-CA3,2,12,120,-0.2851458885941645,0,0.0413,0
28,1,CA1-CA3,2,13,130,-0.17223105458399568,0,0.0413,0
28,1,CA1-CA3,2,14,140,-0.1899244332493703,0,0.0413,0
28,1,CA1-CA3,2,15,150,-0.191553544494721,0,0.0413,0
