animal,learner,pair,dim,window_bins,window_ms,ifi,degenerate,cc_peak,sig
28,1,CA1-CA3,1,1,10,0.22495894909688016,0,0.1948,1
28,1,CA1-CA3,1,2,20,0.5154004106776181,0,0.1948,1
28,1,CA1-CA3,1,3,30,0.6129561295612956,0,0.1948,1
28,1,CA1-CA3,1,4,40,0.3533003780168655,0,0.1948,1
28,1,CA1-CA3,1,5,50,0.18832522585128558,0,0.1948,1
28,1,CA1-CA3,1,6,60,0.11753995549261584,0,0.1948,1
28,1,CA1-CA3,1,7,70,0.06577520780628836,0,0.1948,1
28,1,CA1-CA3,1,8,80,0.04279766860949218,0,0.1948,1
28,1,CA1-CA3,1,9,90,0.08005698005698009,0,0.1948,1
28,1,CA1-CA3,1,10,100,0.041181041181041114,0,0.1948,1
28,1,CA1-CA3,1,11,110,-0.024863553668890176,0,0.1948,1
28,1,CA1-CA3,1,12,120,-0.0955113061086737,0,0.1948,1
28,1,CA1-CA3,1,13,130,-0.151860744297719,0,0.1948,1
28,1,CA1-CA3,1,14,140,-0.14352413857503024,0,0.1948,1
28,1,CA1-CA3,1,15,150,-0.112564731534478,0,0.1948,1
28,1,CA1-CA3,1,16,160,-0.07490053623940496,0,0.1948,1
28,1,CA1-CA3,1,17,170,-0.07788317523714433,0,0.1948,1
28,1,CA1-CA3,1,18,180,-0.09734652221698863,0,0.1948,1
28,1,CA1-CA3,1,19,190,-0.13013956997359483,0,0.1948,1
28,1,CA1-CA3,1,20,200,-0.14812128246046707,0,0.1948,1
28,1,CA1-CA3,1,21,210,-0.16330910349601938,0,0.1948,1
28,1,CA1-CA3,1,22,220,-0.12875108124293036,0,0.1948,1
28,1,CA1-CA3,1,23,230,-0.10840040241448694,0,0.1948,1
28,1,CA1-CA3,1,24,240,-0.1070432779730876,0,0.1948,1
28,1,CA1-CA3,1,25,250,-0.10916168012548658,0,0.1948,1
28,1,CA1-CA3,2,1,10,-0.0480225988700565,0,0.1067,1
28,1,CA1-CA3,2,2,20,-0.015668202764976897,0,0.1067,1
28,1,CA1-CA3,2,3,30,-0.08920187793427224,0,0.1067,1
28,1,CA1-CA3,2,4,40,-0.14120370370370364,0,0.1067,1
28,1,CA1-CA3,2,5,50,-0.14973519499277801,0,0.1067,1
28,1,CA1-CA3,2,6,60,-0.04874835309617921,0,0.1067,1
28,1,CA1-CA3,2,7,70,-0.07237687366167024,0,0.1067,1
28,1,CA1-CA3,2,8,80,-0.15039577836411608,0,0.1067,1
28,1,CA1-CA3,2,9,90,-0.09687906371911566,0,0.1067,1
28,1,CA1-CA3,2,10,100,-0.12096530920060321,0,0.1067,1
28,1,CA1-CA3,2,11,110,-0.1738020981003686,0,0.1067,1
28,1,CA1-CA3,2,12,120,-0.15435182750460166,0,0.1067,1
28,1,CA1-CA3,2,13,130,-0.16696588868940762,0,0.1067,1
28,1,CA1-CA3,2,14,140,-0.18210551908582545,0,0.1067,1
28,1,CA1-CA3,2,15,150,-0.15090824406148107,0,0.1067,1
28,1,CA1-CA3,2,16,160,-0.13501248014522352,0,0.1067,1
28,1,CA1-CA3,2,17,170,-0.10240035234529843,0,0.1067,1
28,1,CA1-CA3,2,18,180,-0.1483637823730174,0,0.1067,1
28,1,CA1-CA3,2,19,190,-0.19333212538503358,0,0.1067,1
28,1,CA1-CA3,2,20,200,-0.19246490136840247,0,0.1067,1
28,1,CA1-CA3,2,21,210,-0.14700854700854704,0,0.1067,1
28,1,CA1-CA3,2,22,220,-0.15405046480743692,0,0.1067,1
28,1,CA1-CA3,2,23,230,-0.17682732205553778,0,0.1067,1
28,1,CA1-CA3,2,24,240,-0.17682732205553797,0,0.1067,1
28,1,CA1-CA3,2,25,250,-0.1397092578423872,0,0.1067,1
28,1,CA1-CA3,3,1,10,0.20454545454545453,0,0.0496,0
28,1,CA1-CA3,3,2,20,-0.273972602739726,0,0.0496,0
28,1,CA1-CA3,3,3,30,-0.3916849015317287,0,0.0496,0
28,1,CA1-CA3,3,4,40,-0.4361054766734281,0,0.0496,0
28,1,CA1-CA3,3,5,50,-0.5689922480620155,0,0.0496,0
28,1,CA1-CA3,3,6,60,-0.3278106508875739,0,0.0496,0
28,1,CA1-CA3,3,7,70,-0.32781065088757394,0,0.0496,0
28,1,CA1-CA3,3,8,80,-0.34787600459242246,0,0.0496,0
28,1,CA1-CA3,3,9,90,-0.3851992409867173,0,0.0496,0
28,1,CA1-CA3,3,10,100,-0.522476050110538,0,0.0496,0
28,1,CA1-CA3,3,11,110,-0.6273720529039678,0,0.0496,0
28,1,CA1-CA3,3,12,120,-0.49901768172888017,0,0.0496,0
28,1,CA1-CA3,3,13,130,-0.544281263907432,0,0.0496,0
28,1,CA1-CA3,3,14,140,-0.3639937106918238,0,0.0496,0
28,1,CA1-CA3,3,15,150,-0.3769734308817866,0,0.0496,0
28,1,CA1-CA3,3,16,160,-0.40553977272727276,0,0.0496,0
28,1,CA1-CA3,3,17,170,-0.39072382290934643,0,0.0496,0
28,1,CA1-CA3,3,18,180,-0.46536412078152745,0,0.0496,0
28,1,CA1-CA3,3,19,190,-0.4810344827586207,0,0.0496,0
28,1,CA1-CA3,3,20,200,-0.45597399078840417,0,0.0496,0
28,1,CA1-CA3,3,21,210,-0.39947916666666666,0,0.0496,0
28,1,CA1-CA3,3,22,220,-0.3532647691939727,0,0.0496,0
28,1,CA1-CA3,3,23,230,-0.30308613542146484,0,0.0496,0
28,1,CA1-CA3,3,24,240,-0.3092491838955386,0,0.0496,0
28,1,CA1-CA3,3,25,250,-0.2951560818083961,0,0.0496,0
28,1,CA1-CA3,4,1,10,-0.79182156133829,0,0.0368,0
28,1,CA1-CA3,4,2,20,-0.6590330788804073,0,0.0368,0
28,1,CA1-CA3,4,3,30,-0.7442748091603053,0,0.0368,0
28,1,CA1-CA3,4,4,40,-0.60062893081761,0,0.0368,0
28,1,CA1-CA3,4,5,50,-0.5118483412322274,0,0.0368,0
28,1,CA1-CA3,4,6,60,-0.5118483412322274,0,0.0368,0
28,1,CA1-CA3,4,7,70,-0.5402521823472357,0,0.0368,0
28,1,CA1-CA3,4,8,80,-0.5706521739130435,0,0.0368,0
28,1,CA1-CA3,4,9,90,-0.5976230899830222,0,0.0368,0
28,1,CA1-CA3,4,10,100,-0.6108374384236455,0,0.0368,0
28,1,CA1-CA3,4,11,110,-0.3057946069994263,0,0.0368,0
28,1,CA1-CA3,4,12,120,-0.3057946069994263,0,0.0368,0
28,1,CA1-CA3,4,13,130,-0.24849149753154134,0,0.0368,0
28,1,CA1-CA3,4,14,140,-0.2617662612374404,0,0.0368,0
28,1,CA1-CA3,4,15,150,-0.3317376735280038,0,0.0368,0
28,1,CA1-CA3,4,16,160,-0.2697547683923706,0,0.0368,0
28,1,CA1-CA3,4,17,170,-0.24533106960950768,0,0.0368,0
28,1,CA1-CA3,4,18,180,-0.29493621955933513,0,0.0368,0
28,1,CA1-CA3,4,19,190,-0.32585034013605446,0,0.0368,0
28,1,CA1-CA3,4,20,200,-0.32225237449118044,0,0.0368,0
28,1,CA1-CA3,4,21,210,-0.27468933943754087,0,0.0368,0
28,1,CA1-CA3,4,22,220,-0.24728434504792335,0,0.0368,0
28,1,CA1-CA3,4,23,230,-0.2700384501626738,0,0.0368,0
28,1,CA1-CA3,4,24,240,-0.21953990343652371,0,0.0368,0
28,1,CA1-CA3,4,25,250,-0.21953990343652374,0,0.0368,0
28,1,CA1-CA3,5,1,10,1.0,0,0.023,0
28,1,CA1-CA3,5,2,20,-0.22705314009661834,0,0.023,0
28,1,CA1-CA3,5,3,30,-0.35624999999999996,0,0.023,0
28,1,CA1-CA3,5,4,40,-0.37609329446064144,0,0.023,0
28,1,CA1-CA3,5,5,50,-0.11848341232227494,0,0.023,0
28,1,CA1-CA3,5,6,60,-0.1647509578544061,0,0.023,0
28,1,CA1-CA3,5,7,70,-0.02500000000000005,0,0.023,0
28,1,CA1-CA3,5,8,80,0.006932409012131674,0,0.023,0
28,1,CA1-CA3,5,9,90,-0.10131477184841448,0,0.023,0
28,1,CA1-CA3,5,10,100,-0.14266929651545038,0,0.023,0
28,1,CA1-CA3,5,11,110,-0.12976256212037557,0,0.023,0
28,1,CA1-CA3,5,12,120,-0.10068529256721143,0,0.023,0
28,1,CA1-CA3,5,13,130,-0.0773993808049535,0,0.023,0
28,1,CA1-CA3,5,14,140,-0.1032132424537488,0,0.023,0
28,1,CA1-CA3,5,15,150,-0.07853403141361252,0,0.023,0
28,1,CA1-CA3,5,16,160,-0.05937353903693317,0,0.023,0
28,1,CA1-CA3,5,17,170,-0.023486901535681972,0,0.023,0
28,1,CA1-CA3,5,18,180,-0.025108225108225028,0,0.023,0
28,1,CA1-CA3,5,19,190,-0.010896898575020918,0,0.023,0
28,1,CA1-CA3,5,20,200,0.0067326732673268705,0,0.023,0
28,1,CA1-CA3,5,21,210,-0.003918495297805537,0,0.023,0
28,1,CA1-CA3,5,22,220,-0.014073792316469998,0,0.023,0
28,1,CA1-CA3,5,23,230,0.010642201834862416,0,0.023,0
28,1,CA1-CA3,5,24,240,0.026363308053448928,0,0.023,0
28,1,CA1-CA3,5,25,250,-0.001405481377371784,0,0.023,0
28,1,CA1-CA3,6,1,10,-1.0,0,0.0257,0
28,1,CA1-CA3,6,2,20,0.5053763440860216,0,0.0257,0
28,1,CA1-CA3,6,3,30,-0.047619047619047596,0,0.0257,0
28,1,CA1-CA3,6,4,40,-0.31182795698924726,0,0.0257,0
28,1,CA1-CA3,6,5,50,-0.45609065155807366,0,0.0257,0
28,1,CA1-CA3,6,6,60,-0.46814404432132967,0,0.0257,0
28,1,CA1-CA3,6,7,70,-0.4681440443213296,0,0.0257,0
28,1,CA1-CA3,6,8,80,-0.4681440443213296,0,0.0257,0
28,1,CA1-CA3,6,9,90,-0.4681440443213297,0,0.0257,0
28,1,CA1-CA3,6,10,100,0.1268533772652389,0,0.0257,0
28,1,CA1-CA3,6,11,110,-0.03661971830985919,0,0.0257,0
28,1,CA1-CA3,6,12,120,-0.016304347826086925,0,0.0257,0
28,1,CA1-CA3,6,13,130,0.10958904109589035,0,0.0257,0
28,1,CA1-CA3,6,14,140,0.0350484712900821,0,0.0257,0
28,1,CA1-CA3,6,15,150,0.10449826989619389,0,0.0257,0
28,1,CA1-CA3,6,16,160,0.052955665024630436,0,0.0257,0
28,1,CA1-CA3,6,17,170,0.09343936381709732,0,0.0257,0
28,1,CA1-CA3,6,18,180,0.03822557810287863,0,0.0257,0
28,1,CA1-CA3,6,19,190,0.1045694200351493,0,0.0257,0
28,1,CA1-CA3,6,20,200,0.1090836969456564,0,0.0257,0
28,1,CA1-CA3,6,21,210,0.15052950075642954,0,0.0257,0
28,1,CA1-CA3,6,22,220,0.1511325659116226,0,0.0257,0
28,1,CA1-CA3,6,23,230,0.1762162162162162,0,0.0257,0
28,1,CA1-CA3,6,24,240,0.18763326226012791,0,0.0257,0
28,1,CA1-CA3,6,25,250,0.18763326226012786,0,0.0257,0
28,1,CA1-CA3,7,1,10,0.0,1,0.0217,0
28,1,CA1-CA3,7,2,20,-0.22962962962962966,0,0.0217,0
28,1,CA1-CA3,7,3,30,-0.22962962962962966,0,0.0217,0
28,1,CA1-CA3,7,4,40,-0.2797619047619047,0,0.0217,0
28,1,CA1-CA3,7,5,50,-0.26099706744868034,0,0.0217,0
28,1,CA1-CA3,7,6,60,-0.2695652173913044,0,0.0217,0
28,1,CA1-CA3,7,7,70,0.07006369426751592,0,0.0217,0
28,1,CA1-CA3,7,8,80,-0.03416149068322977,0,0.0217,0
28,1,CA1-CA3,7,9,90,-0.20965692503176625,0,0.0217,0
28,1,CA1-CA3,7,10,100,-0.20965692503176625,0,0.0217,0
28,1,CA1-CA3,7,11,110,-0.17261330761812924,0,0.0217,0
28,1,CA1-CA3,7,12,120,-0.07980456026058626,0,0.0217,0
28,1,CA1-CA3,7,13,130,-0.01634683724235973,0,0.0217,0
28,1,CA1-CA3,7,14,140,-0.009887005649717626,0,0.0217,0
28,1,CA1-CA3,7,15,150,0.0762016412661195,0,0.0217,0
28,1,CA1-CA3,7,16,160,0.07620164126611949,0,0.0217,0
28,1,CA1-CA3,7,17,170,0.09257142857142855,0,0.0217,0
28,1,CA1-CA3,7,18,180,0.11433351924149461,0,0.0217,0
28,1,CA1-CA3,7,19,190,0.1331300813008129,0,0.0217,0
