dv,term,chi2,p,n_animals,n_obs,label_effect_circular
peak_r,epoch,8.686486576974186,0.012994315472638455,12,291,False
peak_r,label,0.03618361733250876,0.8491368034961333,12,291,False
peak_r,epoch:label,0.04033543377489229,0.9800342912214006,12,291,False
abs_ifi,epoch,13.596784171190993,0.0011155674434912455,12,291,False
abs_ifi,label,2.1624845148210197,0.1414158712279014,12,291,False
abs_ifi,epoch:label,0.9649514161889512,0.6172533594924917,12,291,False
peak_lag_ms,epoch,0.8334275928565038,0.6592095610788609,12,291,False
peak_lag_ms,label,4.135477912611077,0.04199320834833283,12,291,False
peak_lag_ms,epoch:label,2.3012896752399588,0.31643265589538816,12,291,False
ifi,epoch,0.5348703254422161,0.7653399515740518,12,291,True
ifi,label,26.306381759175807,2.9132444472265804e-07,12,291,True
ifi,epoch:label,0.4853148902133734,0.7845402158362612,12,291,True
