dv,term,chi2,p,n_animals,n_obs,label_effect_circular
peak_r,epoch,5.748160144463963,0.05646806215595434,12,297,False
peak_r,label,0.2795254380879503,0.5970124301876729,12,297,False
peak_r,epoch:label,0.05458603132081323,0.9730760732187673,12,297,False
abs_ifi,epoch,13.144664253495172,0.0013985320519939726,12,297,False
abs_ifi,label,0.8918254367616862,0.34498311085761446,12,297,False
abs_ifi,epoch:label,1.2372281240987688,0.538690512093117,12,297,False
peak_lag_ms,epoch,2.349638530242715,0.30887479909294085,12,297,False
peak_lag_ms,label,4.3732716192950685,0.03650683633032417,12,297,False
peak_lag_ms,epoch:label,2.5579495682472855,0.2783224948757833,12,297,False
ifi,epoch,2.419470256722126,0.2982762738932511,12,297,True
ifi,label,33.08656007270489,8.814590997695435e-09,12,297,True
ifi,epoch:label,1.1552051161196037,0.56124230075003,12,297,True
