animal,learner,pair,dim,epoch,bin_ms,lag_bins,lag_ms,r,label,ifi_fit,label_loo,ifi_loo,label_xv,ifi_xv,n_trials_xv,sig,p_perdim,cc_heldout,n_bins,n_fit_trials
28,1,CA1-CA3,1,naive,10,-25,-250,-0.0194,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-24,-240,-0.01759,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-23,-230,-0.01346,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-22,-220,-0.02592,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-21,-210,-0.02895,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-20,-200,-0.0223,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-19,-190,-0.02249,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-18,-180,-0.0283,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-17,-170,-0.02423,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-16,-160,-0.00917,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-15,-150,-0.00766,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-14,-140,-0.01108,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-13,-130,0.00092,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-12,-120,0.00367,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-11,-110,0.00062,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-10,-100,-0.01233,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-9,-90,-0.01836,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-8,-80,-0.02012,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-7,-70,-0.02427,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-6,-60,-0.03275,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-5,-50,-0.02916,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-4,-40,-0.02942,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-3,-30,-0.01691,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-2,-20,-0.00903,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,-1,-10,-0.00275,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,0,0,0.00937,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,1,10,0.01373,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,2,20,0.02171,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,3,30,0.00243,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,4,40,-0.01432,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,5,50,-0.02724,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,6,60,-0.03484,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
28,1,CA1-CA3,1,naive,10,7,70,-0.03861,FB,-0.18833,FB,-0.19423,FB,-0.19205,117,1,0.00498,0.11675,29009,137
