animal,pair,dim,epoch,label,label_loo,ifi_fit,cc_heldout,peak_r,ifi,peak_lag_ms
28,CA1-CA3,1,expert,FF,FF,0.28005,0.21764,0.18549,0.47130549775383596,0.0
28,CA1-CA3,1,intermediate,FF,FF,0.28005,0.21764,0.24066,0.32224564691184504,0.0
28,CA1-CA3,1,naive,FF,FF,0.28005,0.21764,0.21393,0.13351731643798345,0.0
28,CA1-CA3,2,expert,FB,FB,-0.47325,0.1839,0.17832,-0.7105972226334646,0.0
28,CA1-CA3,2,intermediate,FB,FB,-0.47325,0.1839,0.18338,-0.5593764098451051,0.0
28,CA1-CA3,2,naive,FB,FB,-0.47325,0.1839,0.19329,-0.11797237748794845,0.0
28,CA1-CA3,3,expert,FB,FB,-0.02883,0.0901,0.09887,-0.10039582583663184,0.0
28,CA1-CA3,3,intermediate,FB,FB,-0.02883,0.0901,0.10685,-0.10237293267229294,-10.0
28,CA1-CA3,3,naive,FB,FB,-0.02883,0.0901,0.01717,1.0,40.0
28,CA1-CA3,4,expert,FB,FB,-0.08342,0.08035,0.05749,-0.26767324383913377,-10.0
28,CA1-CA3,4,intermediate,FB,FB,-0.08342,0.08035,0.0645,-0.2733649949893251,-30.0
28,CA1-CA3,4,naive,FB,FB,-0.08342,0.08035,0.02455,0.47384382107657314,140.0
28,CA1-CA3,5,expert,FF,FF,0.11112,0.05,0.03957,-0.19465757317419738,0.0
28,CA1-CA3,5,intermediate,FF,FF,0.11112,0.05,0.01706,-0.6851490665923655,0.0
28,CA1-CA3,5,naive,FF,FF,0.11112,0.05,0.01989,0.36207253886010365,110.0
28,CA1-CA3,6,expert,FF,FF,0.1896,0.04238,0.04625,-0.05086722947045288,0.0
28,CA1-CA3,6,intermediate,FF,FF,0.1896,0.04238,0.03082,0.5694485753375766,20.0
28,CA1-CA3,6,naive,FF,FF,0.1896,0.04238,0.01682,-0.7670537010159652,0.0
28,CA1-CA3,7,expert,FF,FF,0.1124,0.03896,0.03733,-0.28022651396695253,120.0
28,CA1-CA3,7,intermediate,FF,FF,0.1124,0.03896,0.05154,-0.2337206581923107,-10.0
28,CA1-CA3,7,naive,FF,FF,0.1124,0.03896,0.00981,0.23410404624277456,190.0
28,CA1-CA3,8,expert,FB,FB,-0.24226,0.03016,0.02674,0.30007905138339913,-250.0
28,CA1-CA3,8,intermediate,FB,FB,-0.24226,0.03016,0.01369,0.20526315789473684,10.0
28,CA1-CA3,8,naive,FB,FB,-0.24226,0.03016,0.0384,-0.6573522017096473,-10.0
28,CA1-CA3,9,expert,FB,FB,-0.14841,0.02379,0.00314,-1.0,0.0
28,CA1-CA3,9,intermediate,FB,FB,-0.14841,0.02379,0.01152,-0.0026385224274406973,-30.0
28,CA1-CA3,9,naive,FB,FB,-0.14841,0.02379,0.01294,0.14218267659342654,-30.0
28,CA1-CA3,10,expert,FF,FF,0.29497,0.02085,0.01752,0.347767253044655,-120.0
28,CA1-CA3,10,intermediate,FF,FF,0.29497,0.02085,0.01752,0.06106106106106109,150.0
28,CA1-CA3,10,naive,FF,FF,0.29497,0.02085,0.01487,-0.27191457660789675,-10.0
28,CA1-DG,1,expert,FB,FB,-0.46629,0.23469,0.20433,-0.308165370576099,0.0
28,CA1-DG,1,intermediate,FB,FB,-0.46629,0.23469,0.21886,-0.47658659017569016,0.0
28,CA1-DG,1,naive,FB,FB,-0.46629,0.23469,0.29702,-0.23401287130015927,0.0
28,CA1-DG,2,expert,FB,FB,-0.02556,0.1591,0.16753,0.13840495547812626,0.0
28,CA1-DG,2,intermediate,FB,FB,-0.02556,0.1591,0.15798,0.051401031605361164,0.0
28,CA1-DG,2,naive,FB,FB,-0.02556,0.1591,0.17827,-0.2337722384159212,0.0
28,CA1-DG,3,expert,FB,FB,-0.07291,0.10158,0.10921,0.01920427842152179,0.0
28,CA1-DG,3,intermediate,FB,FB,-0.07291,0.10158,0.11373,-0.05663500287852628,0.0
28,CA1-DG,3,naive,FB,FB,-0.07291,0.10158,0.10658,-0.07238581456832889,0.0
28,CA1-DG,4,expert,FB,FB,-0.04356,0.06198,0.04061,0.03722174917893209,0.0
28,CA1-DG,4,intermediate,FB,FB,-0.04356,0.06198,0.02283,0.517948717948718,0.0
28,CA1-DG,4,naive,FB,FB,-0.04356,0.06198,0.0178,-0.8799832144355855,-50.0
28,CA1-DG,5,expert,FB,FB,-0.02131,0.04842,0.05196,-0.002309983023016426,10.0
28,CA1-DG,5,intermediate,FB,FB,-0.02131,0.04842,0.05451,-0.06120130355487797,0.0
28,CA1-DG,5,naive,FB,FF,-0.02131,0.04842,0.03567,-0.7386677177769019,-10.0
28,CA1-DG,6,expert,FF,FF,0.08845,0.04324,0.03774,0.18524056645263434,0.0
28,CA1-DG,6,intermediate,FF,FF,0.08845,0.04324,0.03938,0.16293929712460067,20.0
28,CA1-DG,6,naive,FF,FF,0.08845,0.04324,0.03721,-0.5155329405463309,0.0
28,CA1-DG,7,expert,FB,FB,-0.29454,0.03316,0.03279,-0.38369756342627487,0.0
28,CA1-DG,7,intermediate,FB,FB,-0.29454,0.03316,0.03317,0.12336664104534961,10.0
28,CA1-DG,7,naive,FB,FB,-0.29454,0.03316,0.03339,-0.09560879752097344,0.0
28,CA1-DG,8,expert,FB,FB,-0.11119,0.03027,0.01395,-0.3319534282018111,-250.0
28,CA1-DG,8,intermediate,FB,FB,-0.11119,0.03027,0.03093,0.06939094512365318,10.0
28,CA1-DG,8,naive,FB,FB,-0.11119,0.03027,0.03674,-0.20037718057520038,0.0
28,CA1-DG,9,expert,FF,FF,0.04866,0.0202,0.02087,0.10573906624838533,150.0
28,CA1-DG,9,intermediate,FF,FF,0.04866,0.0202,0.03631,-0.47137799746175935,0.0
28,CA1-DG,9,naive,FF,FB,0.04866,0.0202,0.03363,0.44178281068524977,0.0
28,CA1-DG,10,expert,FF,FF,0.07484,0.0186,0.00916,0.45601436265709155,20.0
28,CA1-DG,10,intermediate,FF,FF,0.07484,0.0186,0.02288,0.27158206743238233,0.0
28,CA1-DG,10,naive,FF,FF,0.07484,0.0186,0.01711,-0.6622748050551223,-10.0
28,CA1-V1,1,expert,FB,FB,-0.00965,0.16191,0.15607,-0.029103608847497155,170.0
28,CA1-V1,1,intermediate,FB,FB,-0.00965,0.16191,0.12934,0.022308025956574617,0.0
28,CA1-V1,1,naive,FB,FB,-0.00965,0.16191,0.19706,-0.0394346884902533,-40.0
28,CA1-V1,2,expert,FB,FB,-0.00751,0.1198,0.05216,-0.011410899008211616,0.0
28,CA1-V1,2,intermediate,FB,FB,-0.00751,0.1198,0.05334,-0.1560075959960088,0.0
28,CA1-V1,2,naive,FB,FB,-0.00751,0.1198,0.04052,-0.05609257526937604,-170.0
28,CA1-V1,3,expert,FF,FF,0.00534,0.08759,0.08978,0.017844770109683303,0.0
28,CA1-V1,3,intermediate,FF,FF,0.00534,0.08759,0.09728,0.009514076453269155,-130.0
28,CA1-V1,3,naive,FF,FF,0.00534,0.08759,0.09481,-0.007697440541442266,-150.0
28,CA1-V1,4,expert,FB,FB,-0.03827,0.05974,0.07306,-0.1189093663216361,-20.0
