family,metric,cell,contrast,n,med_delta,t_p,w_p
pair,rho_contrib_conn,CA1-CA3 CA1,expert-naive,5,0.2612,0.26762,0.3125
pair,rho_contrib_conn,CA1-CA3 CA1,intermediate-naive,5,0.2562,0.17754,0.3125
pair,rho_contrib_conn,CA1-CA3 CA1,expert-intermediate,5,-0.0184,0.94777,0.8125
pair,rho_contrib_conn,CA1-CA3 CA3,expert-naive,5,0.373,0.25266,0.3125
pair,rho_contrib_conn,CA1-CA3 CA3,intermediate-naive,5,0.1198,0.64516,1.0
pair,rho_contrib_conn,CA1-CA3 CA3,expert-intermediate,5,0.2468,0.29599,0.3125
pair,rho_contrib_conn,CA1-DG CA1,expert-naive,8,0.0962,0.35528,0.38281
pair,rho_contrib_conn,CA1-DG CA1,intermediate-naive,8,0.0831,0.25839,0.25
pair,rho_contrib_conn,CA1-DG CA1,expert-intermediate,8,0.0131,0.51224,0.74219
pair,rho_contrib_conn,CA1-DG DG,expert-naive,8,0.0331,0.64745,0.74219
pair,rho_contrib_conn,CA1-DG DG,intermediate-naive,8,-0.0547,0.91846,0.84375
pair,rho_contrib_conn,CA1-DG DG,expert-intermediate,8,-0.0918,0.51448,0.64062
pair,rho_contrib_conn,CA1-RSC CA1,expert-naive,8,0.1268,0.25239,0.38281
pair,rho_contrib_conn,CA1-RSC CA1,intermediate-naive,8,0.0727,0.20023,0.19531
pair,rho_contrib_conn,CA1-RSC CA1,expert-intermediate,8,0.063,0.69655,0.46094
pair,rho_contrib_conn,CA1-RSC RSC,expert-naive,8,0.0047,0.52577,1.0
pair,rho_contrib_conn,CA1-RSC RSC,intermediate-naive,8,0.0013,0.67791,0.74219
pair,rho_contrib_conn,CA1-RSC RSC,expert-intermediate,8,-0.0601,0.63836,0.84375
pair,rho_contrib_conn,CA1-SUB CA1,expert-naive,4,0.1426,0.43958,0.625
pair,rho_contrib_conn,CA1-SUB CA1,intermediate-naive,4,0.1353,0.20606,0.25
pair,rho_contrib_conn,CA1-SUB CA1,expert-intermediate,4,0.0557,0.85988,0.875
pair,rho_contrib_conn,CA1-SUB SUB,expert-naive,4,-0.1468,0.33962,0.625
pair,rho_contrib_conn,CA1-SUB SUB,intermediate-naive,4,0.1221,0.73123,0.875
pair,rho_contrib_conn,CA1-SUB SUB,expert-intermediate,4,-0.4477,0.17341,0.25
pair,rho_contrib_conn,CA1-V1 CA1,expert-naive,10,0.0484,0.54255,0.8457
pair,rho_contrib_conn,CA1-V1 CA1,intermediate-naive,10,0.0606,0.32253,0.43164
pair,rho_contrib_conn,CA1-V1 CA1,expert-intermediate,10,-0.1302,0.3096,0.32227
pair,rho_contrib_conn,CA1-V1 V1,expert-naive,10,-0.0535,0.83096,0.92188
pair,rho_contrib_conn,CA1-V1 V1,intermediate-naive,10,-0.0444,0.58223,0.76953
pair,rho_contrib_conn,CA1-V1 V1,expert-intermediate,10,0.0391,0.55633,0.8457
pair,rho_contrib_conn,CA3-DG CA3,expert-naive,4,0.079,0.38649,0.375
pair,rho_contrib_conn,CA3-DG CA3,intermediate-naive,4,0.123,0.60595,0.625
pair,rho_contrib_conn,CA3-DG CA3,expert-intermediate,4,0.1947,0.4526,0.625
pair,rho_contrib_conn,CA3-DG DG,expert-naive,4,0.2709,0.34584,0.375
pair,rho_contrib_conn,CA3-DG DG,intermediate-naive,4,-0.1283,0.15155,0.25
pair,rho_contrib_conn,CA3-DG DG,expert-intermediate,4,0.2908,0.21486,0.375
pair,rho_contrib_conn,RSC-SUB RSC,expert-naive,4,0.0285,0.7787,0.875
pair,rho_contrib_conn,RSC-SUB RSC,intermediate-naive,4,-0.0749,0.22669,0.25
pair,rho_contrib_conn,RSC-SUB RSC,expert-intermediate,4,0.0748,0.39581,0.375
pair,rho_contrib_conn,RSC-SUB SUB,expert-naive,4,-0.2287,0.26999,0.375
pair,rho_contrib_conn,RSC-SUB SUB,intermediate-naive,4,-0.0859,0.16791,0.25
pair,rho_contrib_conn,RSC-SUB SUB,expert-intermediate,4,-0.1428,0.31347,0.375
pair,rho_contrib_conn,V1-RSC V1,expert-naive,6,0.0804,0.87811,0.84375
pair,rho_contrib_conn,V1-RSC V1,intermediate-naive,6,0.0548,0.64517,0.6875
pair,rho_contrib_conn,V1-RSC V1,expert-intermediate,6,0.0469,0.91849,0.84375
pair,rho_contrib_conn,V1-RSC RSC,expert-naive,6,-0.1402,0.36494,0.4375
pair,rho_contrib_conn,V1-RSC RSC,intermediate-naive,6,0.0411,0.50599,0.6875
pair,rho_contrib_conn,V1-RSC RSC,expert-intermediate,6,-0.1727,0.42777,0.5625
pair,rho_contrib_conn_ratepart,CA1-CA3 CA1,expert-naive,5,0.3295,0.16204,0.1875
pair,rho_contrib_conn_ratepart,CA1-CA3 CA1,intermediate-naive,5,0.4499,0.13061,0.1875
pair,rho_contrib_conn_ratepart,CA1-CA3 CA1,expert-intermediate,5,-0.025,0.85693,1.0
pair,rho_contrib_conn_ratepart,CA1-CA3 CA3,expert-naive,5,0.4216,0.12147,0.3125
pair,rho_contrib_conn_ratepart,CA1-CA3 CA3,intermediate-naive,5,0.1902,0.9411,0.625
pair,rho_contrib_conn_ratepart,CA1-CA3 CA3,expert-intermediate,5,0.5392,0.08323,0.125
pair,rho_contrib_conn_ratepart,CA1-DG CA1,expert-naive,8,0.1414,0.37709,0.54688
pair,rho_contrib_conn_ratepart,CA1-DG CA1,intermediate-naive,8,0.0324,0.43732,0.64062
pair,rho_contrib_conn_ratepart,CA1-DG CA1,expert-intermediate,8,0.0704,0.66885,0.54688
pair,rho_contrib_conn_ratepart,CA1-DG DG,expert-naive,8,-0.4208,0.15195,0.25
pair,rho_contrib_conn_ratepart,CA1-DG DG,intermediate-naive,8,-0.3119,0.02373,0.05469
pair,rho_contrib_conn_ratepart,CA1-DG DG,expert-intermediate,8,0.0791,0.49167,0.64062
pair,rho_contrib_conn_ratepart,CA1-RSC CA1,expert-naive,8,0.1291,0.58146,0.46094
pair,rho_contrib_conn_ratepart,CA1-RSC CA1,intermediate-naive,8,0.0779,0.5218,0.64062
pair,rho_contrib_conn_ratepart,CA1-RSC CA1,expert-intermediate,8,0.0717,0.91802,0.84375
pair,rho_contrib_conn_ratepart,CA1-RSC RSC,expert-naive,8,0.0094,0.64607,0.94531
pair,rho_contrib_conn_ratepart,CA1-RSC RSC,intermediate-naive,8,0.0257,0.48899,0.54688
pair,rho_contrib_conn_ratepart,CA1-RSC RSC,expert-intermediate,8,-0.0326,0.99651,0.94531
pair,rho_contrib_conn_ratepart,CA1-SUB CA1,expert-naive,4,0.0737,0.93002,0.875
pair,rho_contrib_conn_ratepart,CA1-SUB CA1,intermediate-naive,4,0.0152,0.70334,1.0
pair,rho_contrib_conn_ratepart,CA1-SUB CA1,expert-intermediate,4,-0.0036,0.83134,1.0
pair,rho_contrib_conn_ratepart,CA1-SUB SUB,expert-naive,4,-0.1094,0.36423,0.625
pair,rho_contrib_conn_ratepart,CA1-SUB SUB,intermediate-naive,4,0.1124,0.61583,1.0
pair,rho_contrib_conn_ratepart,CA1-SUB SUB,expert-intermediate,4,-0.049,0.91382,0.875
pair,rho_contrib_conn_ratepart,CA1-V1 CA1,expert-naive,10,-0.0867,0.28369,0.375
pair,rho_contrib_conn_ratepart,CA1-V1 CA1,intermediate-naive,10,0.0007,0.92161,1.0
pair,rho_contrib_conn_ratepart,CA1-V1 CA1,expert-intermediate,10,-0.148,0.30773,0.55664
pair,rho_contrib_conn_ratepart,CA1-V1 V1,expert-naive,10,-0.0542,0.51914,0.76953
pair,rho_contrib_conn_ratepart,CA1-V1 V1,intermediate-naive,10,-0.0445,0.66418,0.8457
pair,rho_contrib_conn_ratepart,CA1-V1 V1,expert-intermediate,10,-0.0185,0.40949,0.55664
pair,rho_contrib_conn_ratepart,CA3-DG CA3,expert-naive,4,-0.0708,0.74023,1.0
pair,rho_contrib_conn_ratepart,CA3-DG CA3,intermediate-naive,4,0.0045,0.48036,1.0
pair,rho_contrib_conn_ratepart,CA3-DG CA3,expert-intermediate,4,-0.0418,0.57774,0.875
pair,rho_contrib_conn_ratepart,CA3-DG DG,expert-naive,4,-0.0003,0.79305,1.0
pair,rho_contrib_conn_ratepart,CA3-DG DG,intermediate-naive,4,-0.3025,0.01424,0.125
pair,rho_contrib_conn_ratepart,CA3-DG DG,expert-intermediate,4,0.2591,0.08466,0.125
pair,rho_contrib_conn_ratepart,RSC-SUB RSC,expert-naive,4,0.057,0.24812,0.375
pair,rho_contrib_conn_ratepart,RSC-SUB RSC,intermediate-naive,4,0.0306,0.56102,0.875
pair,rho_contrib_conn_ratepart,RSC-SUB RSC,expert-intermediate,4,0.0264,0.43326,0.875
pair,rho_contrib_conn_ratepart,RSC-SUB SUB,expert-naive,4,-0.1682,0.33109,0.375
pair,rho_contrib_conn_ratepart,RSC-SUB SUB,intermediate-naive,4,-0.015,0.33901,0.375
pair,rho_contrib_conn_ratepart,RSC-SUB SUB,expert-intermediate,4,-0.1532,0.33498,0.375
pair,rho_contrib_conn_ratepart,V1-RSC V1,expert-naive,6,-0.025,0.51301,0.84375
pair,rho_contrib_conn_ratepart,V1-RSC V1,intermediate-naive,6,0.0222,0.92615,1.0
pair,rho_contrib_conn_ratepart,V1-RSC V1,expert-intermediate,6,-0.0379,0.65921,0.6875
pair,rho_contrib_conn_ratepart,V1-RSC RSC,expert-naive,6,-0.0577,0.37572,0.4375
pair,rho_contrib_conn_ratepart,V1-RSC RSC,intermediate-naive,6,0.1136,0.50751,0.4375
pair,rho_contrib_conn_ratepart,V1-RSC RSC,expert-intermediate,6,-0.1602,0.44844,0.5625
pair,rho_contrib_conn_tune,CA1-CA3 CA1,expert-naive,5,0.2003,0.48675,0.625
pair,rho_contrib_conn_tune,CA1-CA3 CA1,intermediate-naive,5,0.0027,0.20396,0.625
pair,rho_contrib_conn_tune,CA1-CA3 CA1,expert-intermediate,5,-0.0455,0.53583,0.4375
pair,rho_contrib_conn_tune,CA1-CA3 CA3,expert-naive,5,-0.2126,0.55989,1.0
pair,rho_contrib_conn_tune,CA1-CA3 CA3,intermediate-naive,5,-0.1145,0.39865,0.4375
pair,rho_contrib_conn_tune,CA1-CA3 CA3,expert-intermediate,5,0.2499,0.41356,0.3125
pair,rho_contrib_conn_tune,CA1-DG CA1,expert-naive,8,0.0561,0.46696,0.46094
pair,rho_contrib_conn_tune,CA1-DG CA1,intermediate-naive,8,0.2928,0.03275,0.05469
pair,rho_contrib_conn_tune,CA1-DG CA1,expert-intermediate,8,-0.2863,0.09704,0.14844
pair,rho_contrib_conn_tune,CA1-DG DG,expert-naive,8,0.0261,0.87293,0.84375
pair,rho_contrib_conn_tune,CA1-DG DG,intermediate-naive,8,0.0675,0.7928,0.74219
pair,rho_contrib_conn_tune,CA1-DG DG,expert-intermediate,8,0.0227,0.56894,0.84375
pair,rho_contrib_conn_tune,CA1-RSC CA1,expert-naive,8,0.1429,0.52476,0.54688
pair,rho_contrib_conn_tune,CA1-RSC CA1,intermediate-naive,8,-0.0441,0.86237,0.84375
pair,rho_contrib_conn_tune,CA1-RSC CA1,expert-intermediate,8,0.1082,0.70038,0.84375
pair,rho_contrib_conn_tune,CA1-RSC RSC,expert-naive,8,0.1059,0.25583,0.3125
pair,rho_contrib_conn_tune,CA1-RSC RSC,intermediate-naive,8,0.0802,0.11899,0.19531
pair,rho_contrib_conn_tune,CA1-RSC RSC,expert-intermediate,8,-0.0726,0.36752,0.38281
pair,rho_contrib_conn_tune,CA1-SUB CA1,expert-naive,4,0.0632,0.53952,0.625
pair,rho_contrib_conn_tune,CA1-SUB CA1,intermediate-naive,4,0.1238,0.31207,0.25
pair,rho_contrib_conn_tune,CA1-SUB CA1,expert-intermediate,4,-0.3796,0.34558,0.25
pair,rho_contrib_conn_tune,CA1-SUB SUB,expert-naive,4,-0.0573,0.78339,0.625
pair,rho_contrib_conn_tune,CA1-SUB SUB,intermediate-naive,4,0.2647,0.32582,0.375
pair,rho_contrib_conn_tune,CA1-SUB SUB,expert-intermediate,4,-0.2775,0.4252,0.625
pair,rho_contrib_conn_tune,CA1-V1 CA1,expert-naive,10,0.096,0.22104,0.27539
pair,rho_contrib_conn_tune,CA1-V1 CA1,intermediate-naive,10,0.1202,0.08185,0.10547
pair,rho_contrib_conn_tune,CA1-V1 CA1,expert-intermediate,10,-0.0776,0.60341,0.49219
pair,rho_contrib_conn_tune,CA1-V1 V1,expert-naive,10,0.1928,0.24096,0.19336
pair,rho_contrib_conn_tune,CA1-V1 V1,intermediate-naive,10,0.1474,0.18792,0.23242
pair,rho_contrib_conn_tune,CA1-V1 V1,expert-intermediate,10,-0.0317,0.58924,0.69531
pair,rho_contrib_conn_tune,CA3-DG CA3,expert-naive,4,-0.0334,0.7595,1.0
pair,rho_contrib_conn_tune,CA3-DG CA3,intermediate-naive,4,-0.0012,0.61834,0.875
pair,rho_contrib_conn_tune,CA3-DG CA3,expert-intermediate,4,0.1782,0.37413,0.375
pair,rho_contrib_conn_tune,CA3-DG DG,expert-naive,4,0.0762,0.47301,0.875
pair,rho_contrib_conn_tune,CA3-DG DG,intermediate-naive,4,-0.1039,0.99074,0.875
