family,metric,cell,contrast,n,med_delta,t_p,w_p
pair,rho_contrib_conn,CA1-CA3 CA1,expert-naive,7,0.0265,0.2872,0.57812
pair,rho_contrib_conn,CA1-CA3 CA1,intermediate-naive,7,0.1336,0.18804,0.29688
pair,rho_contrib_conn,CA1-CA3 CA1,expert-intermediate,7,0.0218,0.78255,0.9375
pair,rho_contrib_conn,CA1-CA3 CA3,expert-naive,7,0.0081,0.63543,0.6875
pair,rho_contrib_conn,CA1-CA3 CA3,intermediate-naive,7,-0.0231,0.63966,0.9375
pair,rho_contrib_conn,CA1-CA3 CA3,expert-intermediate,7,-0.0734,0.76822,0.6875
pair,rho_contrib_conn,CA1-DG CA1,expert-naive,8,0.1045,0.1444,0.19531
pair,rho_contrib_conn,CA1-DG CA1,intermediate-naive,8,-0.013,0.47761,0.84375
pair,rho_contrib_conn,CA1-DG CA1,expert-intermediate,8,0.1246,0.36366,0.25
pair,rho_contrib_conn,CA1-DG DG,expert-naive,8,-0.1583,0.26557,0.38281
pair,rho_contrib_conn,CA1-DG DG,intermediate-naive,8,-0.0922,0.83105,0.74219
pair,rho_contrib_conn,CA1-DG DG,expert-intermediate,8,-0.1106,0.19388,0.25
pair,rho_contrib_conn,CA1-RSC CA1,expert-naive,8,0.0877,0.3826,0.54688
pair,rho_contrib_conn,CA1-RSC CA1,intermediate-naive,8,0.0437,0.22817,0.38281
pair,rho_contrib_conn,CA1-RSC CA1,expert-intermediate,8,-0.0992,0.93825,0.84375
pair,rho_contrib_conn,CA1-RSC RSC,expert-naive,8,-0.2201,0.19169,0.25
pair,rho_contrib_conn,CA1-RSC RSC,intermediate-naive,8,-0.0017,0.78178,1.0
pair,rho_contrib_conn,CA1-RSC RSC,expert-intermediate,8,-0.1763,0.2186,0.19531
pair,rho_contrib_conn,CA1-SUB CA1,expert-naive,4,0.0782,0.34922,0.625
pair,rho_contrib_conn,CA1-SUB CA1,intermediate-naive,4,0.2502,0.3515,0.375
pair,rho_contrib_conn,CA1-SUB CA1,expert-intermediate,4,-0.1287,0.582,0.625
pair,rho_contrib_conn,CA1-SUB SUB,expert-naive,4,0.0463,0.95019,0.875
pair,rho_contrib_conn,CA1-SUB SUB,intermediate-naive,4,-0.058,0.82556,0.875
pair,rho_contrib_conn,CA1-SUB SUB,expert-intermediate,4,-0.1153,0.82358,1.0
pair,rho_contrib_conn,CA1-V1 CA1,expert-naive,10,-0.0605,0.23394,0.27539
pair,rho_contrib_conn,CA1-V1 CA1,intermediate-naive,10,0.1396,0.31546,0.49219
pair,rho_contrib_conn,CA1-V1 CA1,expert-intermediate,10,-0.144,0.15951,0.06445
pair,rho_contrib_conn,CA1-V1 V1,expert-naive,10,0.0742,0.4327,0.76953
pair,rho_contrib_conn,CA1-V1 V1,intermediate-naive,10,-0.0089,0.71591,1.0
pair,rho_contrib_conn,CA1-V1 V1,expert-intermediate,10,0.0474,0.46698,1.0
pair,rho_contrib_conn,CA3-DG CA3,expert-naive,4,-0.0163,0.48177,1.0
pair,rho_contrib_conn,CA3-DG CA3,intermediate-naive,4,0.1718,0.88931,0.875
pair,rho_contrib_conn,CA3-DG CA3,expert-intermediate,4,0.088,0.62152,0.875
