animal,area,epoch,partner1,partner2,n_units,rho_conn,rho_intr,rho_resid,jaccard,jaccard_excess
28,CA1,expert,CA1-CA3,CA1-DG,30,0.8602892102335928,0.8327030033370411,0.22283479946846738,0.45454545454545453,0.30069930069930073
28,CA1,expert,CA1-CA3,CA1-V1,30,0.7308120133481646,0.7810901001112347,-0.3051521034384094,0.23076923076923078,0.07692307692307696
28,CA1,expert,CA1-DG,CA1-V1,30,0.7735261401557285,0.8295884315906562,0.13329360074945446,0.45454545454545453,0.30069930069930073
28,CA1,intermediate,CA1-CA3,CA1-DG,30,0.6943270300333704,0.7735261401557285,0.10861375130578196,0.3333333333333333,0.1794871794871795
28,CA1,intermediate,CA1-CA3,CA1-V1,30,0.5741935483870967,0.8246941045606229,-0.1931045753735739,0.14285714285714285,-0.010989010989010978
28,CA1,intermediate,CA1-DG,CA1-V1,30,0.4166852057842047,0.9016685205784205,-0.10650279906092813,0.06666666666666667,-0.08717948717948716
28,CA1,naive,CA1-CA3,CA1-DG,30,0.8731924360400445,0.850500556173526,0.7030837938980983,0.6,0.4461538461538461
28,CA1,naive,CA1-CA3,CA1-V1,30,0.4629588431590656,0.8540600667408231,0.1382633511624972,0.23076923076923078,0.07692307692307696
28,CA1,naive,CA1-DG,CA1-V1,30,0.5911012235817574,0.9608453837597329,0.38486806534459406,0.3333333333333333,0.1794871794871795
28,CA3,expert,CA1-CA3,CA3-DG,15,0.8214285714285712,0.8749999999999999,0.8001637314139971,0.6,0.4461538461538461
28,CA3,intermediate,CA1-CA3,CA3-DG,15,0.6749999999999999,0.982142857142857,0.038316707489308655,0.6,0.4461538461538461
28,CA3,naive,CA1-CA3,CA3-DG,15,0.92128801431127,0.9928443649373881,0.8761040066502984,0.6,0.4461538461538461
28,DG,expert,CA1-DG,CA3-DG,13,0.1868131868131868,0.9945054945054945,0.3120890979194672,0.14285714285714285,-0.038961038961038974
28,DG,intermediate,CA1-DG,CA3-DG,13,0.6153846153846153,0.989010989010989,0.2924111510122442,0.3333333333333333,0.1515151515151515
28,DG,naive,CA1-DG,CA3-DG,13,0.8296703296703297,0.989010989010989,0.7718185266496206,1.0,0.8181818181818181
34,CA1,expert,CA1-CA3,CA1-V1,27,0.6853915512611783,0.9481074481074481,0.3172991305080479,0.16666666666666666,0.017730496453900707
34,CA1,intermediate,CA1-CA3,CA1-V1,27,0.6538461538461537,0.8333333333333333,0.07572100394403887,0.2727272727272727,0.12379110251450676
34,CA1,naive,CA1-CA3,CA1-V1,27,0.749084249084249,0.905982905982906,0.1878164776884895,0.2727272727272727,0.12379110251450676
36,CA1,expert,CA1-CA3,CA1-V1,39,0.541497975708502,0.9080971659919028,-0.027927418462477753,0.1111111111111111,-0.03594771241830069
36,CA1,intermediate,CA1-CA3,CA1-V1,39,0.7892712550607287,0.9473684210526316,0.3601565740178173,0.25,0.1029411764705882
