animal,pair,epoch,area,n_units,rho_contrib_conn,rho_contrib_conn_ratepart,rho_contrib,rho_contrib_ratepart,rho_rate_rel,rho_contrib_conn_tune,rho_contrib_conn_tune_ratepart,rho_contrib_tune,rho_contrib_tune_ratepart,rho_rate_tune,rho_contrib_conn_tomrel,rho_contrib_conn_tomrel_ratepart,rho_rate_tomrel,rho_rel_tomrel
28,CA1-CA3,expert,CA1,24,0.6009,0.4207,0.1122,-0.1022,0.6678,0.3235,-0.1247,0.22,0.0,0.793,0.5435,0.3172,0.7104,0.8722
28,CA1-CA3,expert,CA3,12,0.7902,0.6124,-0.3776,0.0023,0.8462,-0.0182,-0.2242,0.0909,0.1951,0.3091,0.7762,0.6007,0.6993,0.8531
28,CA1-CA3,intermediate,CA1,24,0.3991,0.2152,0.3965,0.2332,0.4261,0.3636,0.0667,0.4872,0.3001,0.6383,0.4157,0.2654,0.38,0.9226
28,CA1-CA3,intermediate,CA3,9,-0.5667,-0.209,-0.6,0.025,0.7167,-0.2619,0.368,-0.6429,-0.253,0.6429,-0.7667,-0.585,0.7,0.8833
28,CA1-CA3,naive,CA1,23,-0.2223,-0.3749,-0.3844,-0.5071,0.1947,0.3676,0.1222,0.1986,-0.0234,0.5632,-0.0879,-0.2029,0.1719,0.8142
28,CA1-CA3,naive,CA3,7,-0.4643,-0.3819,-0.75,-0.591,0.6071,0.2,0.6018,0.1,0.5806,0.7,-0.9048,-0.9168,0.7381,0.75
28,CA1-DG,expert,CA1,24,0.0296,-0.1116,-0.0939,-0.2502,0.6678,0.1148,-0.0293,0.1565,0.0811,0.793,0.1017,-0.0243,0.7104,0.8722
28,CA1-DG,expert,DG,13,0.0824,0.0999,-0.3736,-0.3631,0.1374,-0.1538,-0.1084,-0.4121,-0.4188,0.5604,-0.1484,-0.1033,0.533,0.6484
28,CA1-DG,intermediate,CA1,24,0.2948,0.0173,0.2687,0.1861,0.4261,0.5919,0.3236,0.3043,0.2755,0.6383,0.2878,0.0512,0.38,0.9226
28,CA1-DG,intermediate,DG,13,0.0495,-0.1726,0.022,-0.2678,0.2747,0.3132,-0.0742,0.1813,-0.3949,0.5604,0.2308,-0.0753,0.4396,0.6978
28,CA1-DG,naive,CA1,23,-0.2253,-0.3822,-0.1542,-0.2218,0.1947,0.08,-0.2865,0.0237,-0.1694,0.5632,-0.0949,-0.2137,0.1719,0.8142
28,CA1-DG,naive,DG,12,0.5944,0.5463,-0.049,-0.1605,0.2797,0.8601,0.8259,0.2657,0.1407,0.4266,0.8112,0.7456,0.6294,0.6434
28,CA1-V1,expert,CA1,24,-0.0843,-0.147,-0.0774,-0.0868,0.6678,0.1035,0.1213,0.0513,0.1091,0.793,-0.0209,-0.0674,0.7104,0.8722
28,CA1-V1,expert,V1,67,0.2886,0.0219,0.3134,0.1143,0.5714,0.2294,-0.1706,0.2023,-0.1098,0.7326,0.2275,-0.004,0.483,0.912
28,CA1-V1,intermediate,CA1,24,0.6026,0.5554,0.3835,0.3798,0.4261,0.4457,0.4302,0.3231,0.4387,0.6383,0.6391,0.5991,0.38,0.9226
28,CA1-V1,intermediate,V1,65,0.4863,0.3642,0.0599,-0.0648,0.5403,0.3161,0.1003,-0.0221,-0.2188,0.7287,0.461,0.3252,0.4717,0.9122
28,CA1-V1,naive,CA1,23,0.2885,0.2386,-0.1769,-0.1855,0.1947,0.2609,0.0749,0.0583,0.0531,0.5632,0.2875,0.2455,0.1719,0.8142
28,CA1-V1,naive,V1,65,0.6523,0.3904,0.5639,0.286,0.683,0.6278,0.28,0.5276,0.1558,0.8136,0.6111,0.3416,0.632,0.9205
28,CA3-DG,expert,CA3,12,0.1399,-0.3641,-0.4196,-0.0242,0.8462,0.5727,0.5074,0.0545,0.1733,0.3091,0.014,-0.3778,0.6993,0.8531
28,CA3-DG,expert,DG,13,0.6429,0.639,-0.3077,-0.3077,0.1374,0.6099,0.5437,-0.4231,-0.4961,0.5604,0.6484,0.5917,0.533,0.6484
28,CA3-DG,intermediate,CA3,9,-0.3333,-0.2946,-0.6,0.025,0.7167,-0.0238,0.2876,-0.6429,-0.253,0.6429,-0.5833,-0.6481,0.7,0.8833
28,CA3-DG,intermediate,DG,13,-0.0824,-0.1178,0.1429,-0.0282,0.2747,0.1209,0.072,0.1758,-0.241,0.5604,0.0165,-0.0356,0.4396,0.6978
28,CA3-DG,naive,CA3,7,0.0,-0.0823,-0.75,-0.591,0.6071,0.7,0.3267,0.1,0.5806,0.7,-0.6429,-0.7128,0.7381,0.75
28,CA3-DG,naive,DG,12,0.1678,0.2132,-0.0769,-0.1862,0.2797,0.4545,0.5664,0.2517,0.1306,0.4266,0.3427,0.5472,0.6294,0.6434
34,CA1-CA3,expert,CA1,20,0.3053,-0.2589,-0.1759,-0.2959,0.618,0.5865,-0.0358,0.0331,-0.0758,0.8316,0.2256,-0.3221,0.5669,0.8571
34,CA1-CA3,expert,CA3,8,0.2857,-0.0418,-0.0476,0.3469,0.381,0.4286,-0.6579,-0.619,-0.0993,0.8095,0.6905,0.5328,0.5238,0.2143
