animal,pair,epoch,area,n_units,rho_contrib_conn,rho_contrib_conn_ratepart,rho_contrib,rho_contrib_ratepart,rho_rate_rel,rho_contrib_conn_tune,rho_contrib_conn_tune_ratepart,rho_contrib_tune,rho_contrib_tune_ratepart,rho_rate_tune,rho_contrib_conn_tomrel,rho_contrib_conn_tomrel_ratepart,rho_rate_tomrel,rho_rel_tomrel
28,CA1-CA3,expert,CA1,30,0.4007,0.0211,0.3424,-0.0805,0.4768,0.5279,-0.1024,0.5475,-0.0337,0.697,0.5168,0.2145,0.5012,0.8696
28,CA1-CA3,expert,CA3,15,0.2786,-0.2145,-0.4464,-0.4053,0.5571,0.5912,0.295,0.1165,0.1631,0.578,0.4643,0.0294,0.6214,0.8464
28,CA1-CA3,intermediate,CA1,30,0.2899,0.1743,0.2721,0.166,0.2538,0.1704,-0.2029,0.1478,-0.1539,0.533,0.2085,0.1057,0.2049,0.8625
28,CA1-CA3,intermediate,CA3,12,-0.2587,-0.1102,-0.6154,-0.4958,0.4266,-0.3182,-0.1785,-0.7,-0.5223,0.6455,-0.4476,-0.3072,0.5315,0.8531
28,CA1-CA3,naive,CA1,29,-0.0798,0.0238,0.2,0.2653,-0.1123,0.3823,-0.1002,0.2754,0.0955,0.5192,0.0005,-0.0144,0.0103,0.7847
28,CA1-CA3,naive,CA3,10,-0.103,-0.2946,-0.8182,-0.6956,0.6,0.5476,0.3701,0.0476,0.3958,0.4524,-0.4909,-0.6427,0.6455,0.8545
28,CA1-DG,expert,CA1,30,0.3522,-0.0476,0.3615,0.076,0.4768,0.4621,-0.2059,0.426,-0.0523,0.697,0.4256,0.054,0.5012,0.8696
28,CA1-DG,expert,DG,13,-0.1648,-0.1521,-0.3736,-0.3631,0.1374,-0.4066,-0.4191,-0.4121,-0.4188,0.5604,-0.3626,-0.3616,0.533,0.6484
28,CA1-DG,intermediate,CA1,30,0.1622,-0.0126,0.2151,0.1144,0.2538,0.2163,-0.192,0.2586,0.0556,0.533,0.1226,-0.0216,0.2049,0.8625
28,CA1-DG,intermediate,DG,13,0.3791,0.2723,0.0549,-0.2495,0.2747,0.6868,0.5,0.2088,-0.4101,0.5604,0.7088,0.6241,0.4396,0.6978
28,CA1-DG,naive,CA1,29,-0.1655,-0.1228,0.1025,0.1592,-0.1123,0.2448,-0.2177,0.2197,0.024,0.5192,-0.034,-0.0597,0.0103,0.7847
28,CA1-DG,naive,DG,12,0.7063,0.7015,0.028,-0.0729,0.2797,0.9301,0.9321,0.3566,0.2505,0.4266,0.8881,0.8208,0.6294,0.6434
28,CA1-V1,expert,CA1,30,0.4447,0.1728,0.2863,-0.0113,0.4768,0.596,0.2028,0.5439,0.2019,0.697,0.4999,0.2375,0.5012,0.8696
28,CA1-V1,expert,V1,69,0.2546,0.0945,0.2837,0.0986,0.5661,0.151,-0.0954,0.1787,-0.1115,0.7347,0.1742,0.0225,0.4874,0.9123
28,CA1-V1,intermediate,CA1,30,0.5853,0.55,0.2352,0.1606,0.2538,0.2985,0.1995,0.1783,0.0318,0.533,0.5355,0.5067,0.2049,0.8625
28,CA1-V1,intermediate,V1,67,0.325,0.2117,0.0438,-0.0614,0.5353,0.1686,-0.0258,-0.0384,-0.2067,0.7293,0.3268,0.1981,0.469,0.9091
28,CA1-V1,naive,CA1,29,0.3547,0.4171,0.1345,0.1826,-0.1123,0.4015,0.2863,0.2552,0.1048,0.5192,0.3783,0.3969,0.0103,0.7847
28,CA1-V1,naive,V1,67,0.6723,0.4684,0.5587,0.2976,0.6675,0.5889,0.2765,0.5269,0.1807,0.8045,0.6218,0.3973,0.6204,0.9209
28,CA3-DG,expert,CA3,15,0.1393,-0.2101,-0.4571,-0.4399,0.5571,0.6088,0.4013,0.2044,0.2396,0.578,0.3321,0.0154,0.6214,0.8464
28,CA3-DG,expert,DG,13,0.3901,0.3871,-0.3901,-0.3794,0.1374,0.6703,0.5067,-0.4011,-0.402,0.5604,0.6484,0.4876,0.533,0.6484
28,CA3-DG,intermediate,CA3,12,-0.4825,-0.5825,-0.7203,-0.6511,0.4266,-0.0909,-0.1576,-0.7091,-0.5165,0.6455,-0.4895,-0.6424,0.5315,0.8531
28,CA3-DG,intermediate,DG,13,0.3846,0.2818,0.011,-0.2798,0.2747,0.3901,0.0378,0.1703,-0.4054,0.5604,0.1813,-0.1561,0.4396,0.6978
28,CA3-DG,naive,CA3,10,0.103,-0.2381,-0.8545,-0.7643,0.6,0.7381,0.7627,0.0952,0.3413,0.4524,-0.2455,-0.4831,0.6455,0.8545
28,CA3-DG,naive,DG,12,0.4056,0.3363,-0.007,-0.1116,0.2797,0.7133,0.6578,0.3077,0.1931,0.4266,0.6573,0.5789,0.6294,0.6434
34,CA1-CA3,expert,CA1,25,0.4562,-0.0989,0.38,-0.0461,0.5746,0.6208,-0.2405,0.5562,-0.0262,0.8015,0.3892,-0.204,0.5492,0.8646
34,CA1-CA3,expert,CA3,13,0.3901,0.003,-0.2582,0.0829,0.6484,0.4066,-0.1726,-0.4835,-0.1773,0.8132,0.1813,-0.4305,0.7088,0.7088
34,CA1-CA3,intermediate,CA1,25,0.4246,-0.0541,0.3338,-0.1998,0.5138,0.6731,-0.1455,0.6254,-0.1847,0.82,0.4169,-0.274,0.6023,0.79
34,CA1-CA3,intermediate,CA3,13,0.4505,-0.5393,-0.4341,-0.1437,0.6319,0.8242,-0.1513,-0.6264,-0.3864,0.9011,0.6538,-0.1876,0.7418,0.544
34,CA1-CA3,naive,CA1,25,0.3092,-0.3252,0.4031,0.1302,0.4808,0.6238,-0.0868,0.5577,0.1566,0.7215,0.4024,-0.2672,0.5638,0.9015
34,CA1-CA3,naive,CA3,12,0.5385,-0.0228,0.028,-0.2313,0.7133,0.6273,0.0941,0.3545,-0.3339,0.8,0.6783,0.2121,0.7692,0.7063
34,CA1-V1,expert,CA1,25,0.6885,0.566,0.5192,0.1171,0.5746,0.5415,0.2718,0.6208,-0.068,0.8015,0.5292,0.3518,0.5492,0.8646
34,CA1-V1,expert,V1,117,0.6122,0.3281,0.3394,0.1482,0.7111,0.5517,0.1104,0.23,-0.0794,0.8751,0.5946,0.2996,0.6924,0.9268
34,CA1-V1,intermediate,CA1,25,0.6962,0.5914,0.2338,-0.1551,0.5138,0.6369,0.4588,0.5546,0.0469,0.82,0.6262,0.4705,0.6023,0.79
34,CA1-V1,intermediate,V1,117,0.5754,0.3622,0.2833,0.0764,0.7347,0.4387,0.1004,0.1735,-0.1247,0.8765,0.5158,0.2744,0.7029,0.9525
34,CA1-V1,naive,CA1,25,0.49,0.3134,0.2777,0.0801,0.4808,0.5538,0.2849,0.4377,0.186,0.7215,0.4968,0.2518,0.5638,0.9015
34,CA1-V1,naive,V1,117,0.5693,0.3555,0.4747,0.283,0.7337,0.2664,-0.275,0.1935,-0.275,0.8238,0.5099,0.2788,0.6525,0.8935
36,CA1-CA3,expert,CA1,37,0.2729,-0.358,0.2734,-0.0469,0.624,0.5526,-0.1053,0.4167,0.0379,0.8118,0.4877,-0.3408,0.7947,0.7639
36,CA1-CA3,expert,CA3,12,-0.0629,-0.1224,0.4895,0.5039,0.4825,0.028,0.0174,0.0559,0.044,0.1189,0.1469,0.1326,0.1888,0.7343
36,CA1-CA3,intermediate,CA1,37,0.4552,-0.3488,0.2798,-0.3729,0.7632,0.5403,-0.329,0.3952,-0.2763,0.8362,0.4433,-0.3169,0.7326,0.8872
36,CA1-CA3,intermediate,CA3,12,0.3846,0.3915,0.1678,0.1592,0.4126,0.7622,0.7878,0.035,0.0168,0.3427,0.7133,0.7621,0.4406,0.7972
36,CA1-CA3,naive,CA1,35,0.2482,-0.3113,0.221,-0.1046,0.5779,0.3931,-0.4514,0.2327,-0.3258,0.7898,0.2978,-0.2271,0.581,0.6406
36,CA1-CA3,naive,CA3,12,0.5734,0.565,0.5315,0.5535,0.2028,0.7552,0.7514,0.2727,0.2821,0.1329,0.8531,0.8536,0.2168,0.7552
36,CA1-V1,expert,CA1,37,0.3917,0.1593,0.1674,-0.0793,0.624,0.3761,-0.0238,0.3673,0.1336,0.8118,0.5717,0.2926,0.7947,0.7639
36,CA1-V1,expert,V1,29,0.43,0.4049,0.1069,0.0388,0.2064,0.3502,0.2951,0.3108,0.1849,0.4517,0.3645,0.3285,0.267,0.8901
36,CA1-V1,intermediate,CA1,37,0.5273,-0.0034,0.1745,-0.3177,0.7632,0.542,-0.0948,0.2864,-0.2139,0.8362,0.419,-0.2374,0.7326,0.8872
36,CA1-V1,intermediate,V1,29,0.3365,0.2615,0.2296,0.168,0.3512,0.2852,0.1628,0.2867,0.2085,0.5241,0.2291,0.136,0.3719,0.9374
36,CA1-V1,naive,CA1,35,0.3807,0.1065,0.202,0.0052,0.5779,0.3436,-0.1506,0.1664,-0.1805,0.7898,0.3745,0.0954,0.581,0.6406
36,CA1-V1,naive,V1,29,0.3601,0.3302,0.2936,0.2637,0.1537,0.2438,0.0619,0.4158,0.3265,0.5212,0.2099,0.128,0.2542,0.8823
41,CA1-CA3,expert,CA1,20,0.1564,-0.2709,0.0902,0.1262,0.3744,0.4511,-0.4859,-0.2075,-0.2432,0.7774,0.2692,-0.2225,0.4737,0.8406
41,CA1-CA3,expert,CA3,23,0.6561,0.5567,0.1621,0.1105,0.4536,0.5766,0.5652,0.0312,-0.0313,0.3039,0.6621,0.606,0.4239,0.6818
41,CA1-CA3,intermediate,CA1,20,0.0797,-0.3972,-0.2992,-0.1623,0.4361,0.5654,-0.3694,-0.2962,-0.2145,0.8647,0.3442,-0.3316,0.661,0.8812
41,CA1-CA3,intermediate,CA3,22,0.1406,0.1097,-0.4082,-0.4049,0.0898,0.5623,0.2278,-0.1805,-0.2824,0.6182,0.3529,0.2246,0.2829,0.7301
41,CA1-CA3,naive,CA1,21,0.2338,-0.4287,0.026,-0.0067,0.5766,0.5018,-0.2084,-0.3,-0.2254,0.7912,0.4065,-0.2011,0.6416,0.8416
41,CA1-CA3,naive,CA3,22,0.1632,0.1159,-0.2298,-0.2763,0.1158,0.6398,0.4266,0.1508,-0.0106,0.5562,0.3113,0.0954,0.3538,0.834
41,CA1-V1,expert,CA1,20,0.5383,0.4955,-0.0406,-0.0523,0.3744,0.3624,0.2764,-0.2165,-0.3704,0.7774,0.606,0.572,0.4737,0.8406
41,CA1-V1,expert,V1,176,0.4602,0.2942,0.2804,0.2315,0.6609,0.2852,-0.0384,0.0505,-0.1321,0.7901,0.4151,0.2725,0.5143,0.9169
41,CA1-V1,intermediate,CA1,20,0.5263,0.5111,-0.3188,-0.2035,0.4361,0.3038,0.365,-0.2692,-0.2495,0.8647,0.3714,0.2778,0.661,0.8812
41,CA1-V1,intermediate,V1,176,0.4273,0.268,0.3456,0.2391,0.6423,0.2228,-0.0896,0.0836,-0.179,0.768,0.3017,0.1462,0.4999,0.9153
41,CA1-V1,naive,CA1,21,0.6299,0.506,0.0104,-0.0517,0.5766,0.3421,0.2202,-0.2667,-0.2325,0.7912,0.6532,0.5301,0.6416,0.8416
41,CA1-V1,naive,V1,176,0.6116,0.4333,0.5008,0.3609,0.6611,0.3668,-0.0736,0.2493,-0.1055,0.8103,0.5267,0.3703,0.4978,0.8825
52,CA1-CA3,expert,CA1,56,0.2887,0.2385,0.2237,0.1968,0.4971,0.1471,0.0436,0.0702,-0.0046,0.6772,0.2447,0.1697,0.4616,0.8618
52,CA1-CA3,expert,CA3,58,0.0893,-0.0398,0.0362,-0.0334,0.4465,0.2144,0.0489,0.17,0.1172,0.6659,0.1974,0.0125,0.5711,0.7142
52,CA1-CA3,intermediate,CA1,56,0.4222,0.2401,0.2234,0.2482,0.4881,0.4202,0.1208,0.0195,0.0136,0.7036,0.4717,0.3079,0.4735,0.8087
52,CA1-CA3,intermediate,CA3,61,0.4133,0.1343,0.0315,-0.0933,0.4931,0.4102,-0.1244,-0.1133,-0.4309,0.7843,0.3667,-0.0065,0.5616,0.634
52,CA1-CA3,naive,CA1,56,0.4781,0.0294,0.27,-0.0114,0.6811,0.4297,-0.0384,0.2499,-0.0085,0.6821,0.4306,-0.023,0.6533,0.7911
52,CA1-CA3,naive,CA3,60,0.3133,-0.0294,0.2426,0.0821,0.4923,0.4949,0.0824,0.2954,0.1073,0.6832,0.4036,0.0097,0.5762,0.6512
52,CA1-DG,expert,CA1,56,0.3718,0.2706,0.2224,0.1969,0.4971,0.1937,-0.0104,0.0593,-0.0165,0.6772,0.3453,0.2299,0.4616,0.8618
52,CA1-DG,expert,DG,33,0.4535,0.2649,0.0949,-0.0299,0.5414,0.4373,0.2116,0.0803,-0.0359,0.7093,0.4886,0.2675,0.6517,0.7797
52,CA1-DG,intermediate,CA1,56,0.3466,0.0911,0.2275,0.251,0.4881,0.3752,-0.0532,0.0243,0.017,0.7036,0.268,0.013,0.4735,0.8087
52,CA1-DG,intermediate,DG,32,0.4945,0.2419,0.0557,0.1756,0.607,0.3387,-0.0354,-0.0161,0.0978,0.6562,0.4021,0.0244,0.6564,0.651
52,CA1-DG,naive,CA1,56,0.3651,-0.0245,0.2648,-0.013,0.6811,0.366,0.0034,0.252,0.0012,0.6821,0.3858,0.0338,0.6533,0.7911
