animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
28,1,CA1-CA3,t1-5,5,2970,0.0636,0,0.0,-0.0071,3,0.3547,0.6937,86.66,65.86,88.76,88.5,0.0716,0.3441,0.7625
28,1,CA1-CA3,t1-7,7,4105,-0.0111,0,0.0,-0.0226,3,0.342,0.6636,81.38,79.63,83.48,78.47,0.01,0.4394,0.8596
28,1,CA1-CA3,t1-10,10,5797,0.0264,0,0.0,-0.0756,-9,0.2161,0.6689,86.2,87.53,87.87,77.26,0.0785,0.4039,0.8459
28,1,CA1-CA3,late,10,6324,0.195,2,0.0387,-0.0197,0,0.3456,0.3172,71.29,86.89,,,0.1725,0.3276,0.4596
28,1,CA1-DG,t1-5,5,2970,0.1927,1,0.029,-0.0015,2,0.3504,0.2369,84.57,69.53,81.29,83.96,0.1387,0.4288,0.3502
28,1,CA1-DG,t1-7,7,4105,0.2506,2,0.0664,0.008,-1,0.3373,0.2383,87.66,75.7,86.09,86.07,0.1682,0.4012,0.3263
28,1,CA1-DG,t1-10,10,5797,0.3114,2,0.0814,0.0041,-1,0.2778,0.2058,89.32,68.0,87.94,82.12,0.2832,0.5064,0.3524
28,1,CA1-DG,late,10,6324,0.57,3,0.2469,0.0324,0,0.2613,0.4299,59.3,49.91,,,0.1894,0.3312,0.2097
28,1,CA1-V1,t1-5,5,2970,0.2978,0,0.0,-0.0455,-9,0.4165,0.368,86.61,84.89,85.81,89.78,0.2865,0.406,0.4058
28,1,CA1-V1,t1-7,7,4105,0.3093,1,0.0503,-0.0253,-9,0.3999,0.3661,79.27,78.65,82.16,85.89,0.3876,0.4508,0.4139
28,1,CA1-V1,t1-10,10,5797,0.3444,1,0.0631,0.0002,1,0.3647,0.383,89.3,85.82,82.22,87.32,0.3362,0.4368,0.3904
28,1,CA1-V1,late,10,6324,0.2215,1,0.0252,-0.0046,0,0.3073,0.3147,81.08,80.7,,,0.1235,0.3759,0.287
28,1,CA3-DG,t1-5,5,2970,0.13,0,0.0,-0.0211,0,0.6935,0.2807,68.49,82.73,84.44,86.95,0.0307,0.7782,0.262
28,1,CA3-DG,t1-7,7,4105,0.2022,1,0.0209,-0.0854,0,0.6636,0.2787,84.97,84.7,82.62,87.64,0.1301,0.784,0.3357
28,1,CA3-DG,t1-10,10,5797,0.2023,1,0.0209,-0.0847,0,0.6692,0.2339,56.46,69.11,85.48,86.03,0.0793,0.7814,0.3163
28,1,CA3-DG,late,10,6324,0.16,1,0.013,-0.0158,0,0.3151,0.4466,55.35,73.39,,,0.2187,0.4545,0.3458
34,1,CA1-CA3,t1-5,5,2757,0.462,2,0.1898,0.0088,0,0.8891,0.4572,68.09,51.26,52.7,78.72,0.4808,0.5498,0.4331
34,1,CA1-CA3,t1-7,7,3752,0.3783,2,0.1489,0.0105,0,0.9417,0.5103,80.37,47.3,89.95,80.55,0.4782,0.4712,0.4654
34,1,CA1-CA3,t1-10,10,5199,0.3857,2,0.1818,0.0206,0,0.9415,0.5555,76.1,41.72,89.95,80.77,0.5062,0.5052,0.4643
34,1,CA1-CA3,late,10,5608,0.4777,3,0.2051,-0.0111,0,0.9457,0.1739,26.32,15.82,,,0.3842,0.486,0.4794
34,1,CA1-V1,t1-5,5,2757,0.2381,0,0.0,0.0164,0,0.8519,0.3398,80.14,87.58,85.12,89.31,0.2476,0.4896,0.3491
34,1,CA1-V1,t1-7,7,3752,0.2389,0,0.0,0.0222,0,0.8991,0.3319,89.28,84.9,89.49,83.71,0.2698,0.4772,0.3265
34,1,CA1-V1,t1-10,10,5199,0.2133,0,0.0,0.0274,0,0.8948,0.3338,88.25,84.17,89.82,80.75,0.2162,0.5009,0.3815
34,1,CA1-V1,late,10,5608,0.3923,1,0.0836,-0.0362,-5,0.929,0.3196,57.78,58.53,,,0.3764,0.4422,0.3437
36,1,CA1-V1,t1-5,5,3106,0.0529,0,0.0,0.0103,9,0.3269,0.0817,89.79,80.06,89.23,77.64,0.0753,0.4646,0.2571
36,1,CA1-V1,t1-7,7,4132,0.1042,0,0.0,0.0153,9,0.3286,0.0759,80.2,68.66,87.49,88.97,0.1051,0.4692,0.2673
36,1,CA1-V1,t1-10,10,5646,0.1838,0,0.0,0.028,9,0.3218,0.0675,82.74,69.77,88.08,76.86,0.1835,0.4391,0.2178
36,1,CA1-V1,late,10,6390,0.2441,0,0.0,-0.0298,-1,0.2201,0.1004,68.28,60.95,,,0.1281,0.3371,0.24
41,1,CA1-CA3,t1-5,5,3017,1.0,3,3.1788,-0.0273,0,0.8014,0.9286,54.59,70.26,87.38,43.33,0.2462,0.5527,0.554
41,1,CA1-CA3,t1-7,7,4008,1.0,3,3.1712,-0.0145,0,0.8051,0.9272,53.28,43.01,87.43,41.26,0.3057,0.4127,0.4775
41,1,CA1-CA3,t1-10,10,5523,1.0,3,3.1835,-0.0069,0,0.8011,0.9368,72.53,61.1,87.39,34.98,0.297,0.4862,0.5277
41,1,CA1-CA3,late,10,7184,0.3915,4,0.1693,0.0163,0,0.1836,0.9284,31.84,43.4,,,0.2633,0.385,0.4383
41,1,CA1-V1,t1-5,5,3017,0.1111,0,0.0,-0.012,-3,0.2713,0.3031,79.57,89.73,75.98,81.59,0.1292,0.4999,0.3033
41,1,CA1-V1,t1-7,7,4008,0.1073,0,0.0,-0.0179,-1,0.2804,0.3065,61.44,79.33,76.85,82.76,0.0522,0.4952,0.2742
41,1,CA1-V1,t1-10,10,5523,0.1062,0,0.0,-0.0326,-10,0.3032,0.3004,85.51,83.45,76.36,83.19,0.1976,0.4767,0.2815
41,1,CA1-V1,late,10,7184,0.1982,0,0.0,0.024,5,0.1907,0.2841,78.41,68.52,,,0.1904,0.3494,0.288
52,1,CA1-RSC,t1-5,5,3929,0.1259,0,0.0,0.0127,3,0.3794,0.1526,88.94,86.88,89.67,63.19,0.0022,0.3596,0.4055
52,1,CA1-RSC,t1-7,7,5335,0.0584,1,0.008,0.0269,0,0.3818,0.1174,87.46,85.61,88.05,75.5,0.1572,0.357,0.2434
52,1,CA1-RSC,t1-10,10,7372,-0.1214,2,0.0333,0.0422,2,0.3471,0.1092,86.9,81.37,87.48,65.95,0.0692,0.3214,0.336
52,1,CA1-RSC,late,10,7161,-0.0106,1,0.0451,0.0283,0,0.4368,0.0885,85.89,74.88,,,-0.0167,0.418,0.1514
52,1,CA1-CA3,t1-5,5,3929,0.3357,2,0.103,-0.0274,0,0.3279,0.3106,83.66,88.9,86.32,85.02,0.3408,0.4043,0.3883
52,1,CA1-CA3,t1-7,7,5335,0.301,2,0.0855,-0.0028,0,0.3226,0.288,70.36,74.44,84.94,84.52,0.1916,0.3906,0.345
52,1,CA1-CA3,t1-10,10,7372,0.3074,3,0.1035,0.0475,0,0.3105,0.2885,54.88,61.55,89.21,84.07,0.2275,0.367,0.3679
52,1,CA1-CA3,late,10,7161,0.4345,6,0.2415,0.0241,0,0.3798,0.373,49.79,52.91,,,0.1686,0.4312,0.4947
52,1,CA1-DG,t1-5,5,3929,0.2105,2,0.0419,-0.0167,0,0.3316,0.1858,70.56,82.28,87.77,58.2,0.23,0.4293,0.314
52,1,CA1-DG,t1-7,7,5335,0.2171,2,0.0435,-0.0161,0,0.3267,0.1898,70.09,75.38,89.52,53.54,0.1881,0.3768,0.2926
52,1,CA1-DG,t1-10,10,7372,0.0931,10,0.2021,0.0066,0,0.3106,0.1773,88.59,87.45,87.6,62.24,0.2565,0.3949,0.3111
52,1,CA1-DG,late,10,7161,0.4792,6,0.2998,-0.0072,0,0.3833,0.1674,62.14,73.52,,,0.1741,0.4327,0.3481
52,1,CA1-V1,t1-5,5,3929,0.2441,0,0.0,-0.028,0,0.3275,0.2573,86.28,85.8,88.58,84.95,0.1317,0.4137,0.262
