animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
28,1,CA1-CA3,t1-5,5,14873,0.0039,0,0.0,-0.0889,0,0.3356,0.6598,82.9,87.71,85.04,86.55,,,
28,1,CA1-CA3,t1-7,7,20550,0.0183,0,0.0,-0.1442,-4,0.3194,0.627,89.33,89.34,81.65,81.08,,,
28,1,CA1-CA3,t1-10,10,29009,0.021,0,0.0,-0.0776,-4,0.2265,0.6334,83.5,77.48,84.93,83.09,,,
28,1,CA1-CA3,late,10,31644,0.1112,2,0.0125,0.0145,0,0.3368,0.3054,69.59,77.54,,,,,
28,1,CA1-DG,t1-5,5,14873,0.1883,2,0.0268,0.0155,-4,0.3457,0.218,71.83,71.09,84.92,80.83,,,
28,1,CA1-DG,t1-7,7,20550,0.2218,2,0.037,0.0227,3,0.3031,0.2221,77.34,59.04,85.75,86.46,,,
28,1,CA1-DG,t1-10,10,29009,0.2214,2,0.0368,0.0259,2,0.2707,0.1972,81.81,68.34,85.84,87.27,,,
28,1,CA1-DG,late,10,31644,0.3499,3,0.0819,0.0414,0,0.2756,0.442,43.73,48.96,,,,,
28,1,CA1-V1,t1-5,5,14873,0.1548,1,0.0121,-0.0029,-6,0.3905,0.4448,85.89,76.75,83.43,82.51,,,
28,1,CA1-V1,t1-7,7,20550,0.1646,1,0.0137,-0.0095,-6,0.3709,0.4492,54.22,86.42,85.3,78.46,,,
28,1,CA1-V1,t1-10,10,29009,0.191,1,0.0186,-0.0034,9,0.3545,0.4478,57.0,76.69,87.19,81.41,,,
28,1,CA1-V1,late,10,31644,0.1159,2,0.0111,0.0301,0,0.2869,0.3849,87.4,86.95,,,,,
28,1,CA3-DG,t1-5,5,14873,0.0364,1,0.0094,-0.0253,0,0.6598,0.2656,81.46,86.02,87.75,84.69,,,
28,1,CA3-DG,t1-7,7,20550,0.1622,1,0.0133,-0.0383,0,0.6271,0.2665,82.46,88.16,87.87,81.87,,,
28,1,CA3-DG,t1-10,10,29009,0.1372,1,0.0095,-0.0504,0,0.6336,0.2292,56.35,62.81,87.2,78.27,,,
28,1,CA3-DG,late,10,31644,0.1263,1,0.008,0.011,0,0.3051,0.4224,53.74,66.26,,,,,
34,1,CA1-CA3,t1-5,5,13808,0.281,2,0.0736,0.0462,6,0.9132,0.4458,49.85,50.65,57.79,82.16,,,
34,1,CA1-CA3,t1-7,7,18788,0.2239,2,0.0522,0.0377,6,0.9623,0.4968,75.97,66.71,89.92,83.88,,,
34,1,CA1-CA3,t1-10,10,26033,0.2238,2,0.0636,0.0391,6,0.9641,0.5447,83.31,48.4,89.91,84.62,,,
34,1,CA1-CA3,late,10,28078,0.2704,3,0.0569,-0.0046,0,0.9684,0.1776,32.2,24.1,,,,,
34,1,CA1-V1,t1-5,5,13808,0.1563,0,0.0,0.0201,0,0.9105,0.4471,87.15,83.44,87.42,89.21,,,
34,1,CA1-V1,t1-7,7,18788,0.1348,0,0.0,0.0174,0,0.9528,0.4394,87.69,75.85,89.97,85.99,,,
34,1,CA1-V1,t1-10,10,26033,0.1045,0,0.0,0.0228,0,0.9482,0.448,87.02,85.75,89.88,83.68,,,
