animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
28,1,CA1-CA3,t1-5,5,14873,0.2399,1,0.0296,0.0372,0,0.3278,0.6442,78.76,77.98,77.67,60.65,,,
28,1,CA1-CA3,t1-7,7,20550,0.235,2,0.04,0.0306,0,0.2885,0.6228,85.56,76.42,79.33,64.23,,,
28,1,CA1-CA3,t1-10,10,29009,0.2498,2,0.0443,0.0531,0,0.2152,0.6466,87.43,85.42,81.63,70.8,,,
28,1,CA1-CA3,late,10,31644,0.2503,2,0.039,0.0135,0,0.3694,0.2609,70.64,69.29,,,,,
28,1,CA1-DG,t1-5,5,14873,0.2992,2,0.0564,-0.0416,0,0.2929,0.2201,63.02,27.12,85.87,85.58,,,
28,1,CA1-DG,t1-7,7,20550,0.2948,2,0.0569,-0.0368,0,0.2912,0.2244,67.52,28.46,85.61,84.25,,,
28,1,CA1-DG,t1-10,10,29009,0.3019,3,0.0661,-0.0382,0,0.2609,0.2005,76.43,29.04,84.48,82.04,,,
28,1,CA1-DG,late,10,31644,0.4068,4,0.1263,0.0201,0,0.3276,0.4411,56.57,52.13,,,,,
28,1,CA1-V1,t1-5,5,14873,0.156,1,0.0123,-0.0074,-6,0.3552,0.4517,88.19,80.38,89.96,85.35,,,
28,1,CA1-V1,t1-7,7,20550,0.1735,1,0.0153,-0.0151,-6,0.3345,0.442,60.43,82.1,88.57,82.53,,,
28,1,CA1-V1,t1-10,10,29009,0.1972,1,0.0198,-0.0092,-4,0.3235,0.4363,62.95,66.91,89.65,83.35,,,
28,1,CA1-V1,late,10,31644,0.1603,2,0.0174,0.0352,0,0.3275,0.3827,84.14,83.16,,,,,
28,1,CA3-DG,t1-5,5,14873,0.5016,2,0.1538,-0.0057,0,0.6463,0.2239,84.01,79.36,89.19,76.32,,,
28,1,CA3-DG,t1-7,7,20550,0.5123,3,0.1717,-0.0083,0,0.625,0.2229,80.35,64.86,87.26,84.34,,,
28,1,CA3-DG,t1-10,10,29009,0.5133,3,0.1683,-0.0051,0,0.6314,0.1981,89.12,26.29,89.63,85.98,,,
28,1,CA3-DG,late,10,31644,0.5096,2,0.166,0.0442,0,0.2884,0.4479,56.32,49.9,,,,,
34,1,CA1-CA3,t1-5,5,13808,0.4987,2,0.1797,-0.0258,0,0.4158,0.3364,83.01,84.42,89.95,86.83,,,
34,1,CA1-CA3,t1-7,7,18788,0.3375,3,0.12,-0.0232,0,0.946,0.3774,57.0,33.19,89.98,80.76,,,
34,1,CA1-CA3,t1-10,10,26033,0.3376,3,0.1242,-0.0208,0,0.9459,0.4224,36.04,24.36,89.98,82.56,,,
34,1,CA1-CA3,late,10,28078,0.3058,8,0.3503,0.0266,0,0.9506,0.1226,13.63,25.46,,,,,
34,1,CA1-V1,t1-5,5,13808,0.2946,2,0.063,0.0031,0,0.8837,0.4447,81.24,84.3,81.78,85.68,,,
34,1,CA1-V1,t1-7,7,18788,0.2346,1,0.0283,0.0153,0,0.9243,0.4251,84.13,68.22,89.99,90.0,,,
34,1,CA1-V1,t1-10,10,26033,0.1836,1,0.0171,0.0208,0,0.9243,0.4357,85.37,65.28,89.72,86.08,,,
34,1,CA1-V1,late,10,28078,0.2545,1,0.0335,-0.0123,-1,0.953,0.4231,51.63,61.84,,,,,
36,1,CA1-CA3,t1-5,5,15556,0.3162,2,0.0667,0.0146,2,0.3777,0.126,60.05,58.3,86.07,85.23,,,
36,1,CA1-CA3,t1-7,7,20692,0.32,3,0.0726,0.0147,2,0.3743,0.1185,45.26,30.98,82.47,84.27,,,
36,1,CA1-CA3,t1-10,10,28270,0.3181,3,0.0748,0.0073,2,0.3829,0.1005,35.2,32.32,82.37,84.72,,,
36,1,CA1-CA3,late,10,31944,0.3437,3,0.0973,0.0205,0,0.3554,0.0678,37.07,28.39,,,,,
36,1,CA1-V1,t1-5,5,15556,0.0198,0,0.0,-0.0165,-7,0.3387,0.0758,69.93,68.51,87.62,81.57,,,
36,1,CA1-V1,t1-7,7,20692,0.0302,0,0.0,-0.0163,-7,0.3368,0.0707,79.04,76.2,82.65,89.34,,,
36,1,CA1-V1,t1-10,10,28270,0.0725,0,0.0,-0.0166,-4,0.3208,0.0626,69.98,65.54,81.74,89.97,,,
36,1,CA1-V1,late,10,31944,0.0977,0,0.0,-0.0211,-7,0.2882,0.082,75.51,60.71,,,,,
41,1,CA1-CA3,t1-5,5,15099,1.0,3,3.3208,0.0234,0,0.8943,0.9572,18.08,33.99,88.38,30.84,,,
41,1,CA1-CA3,t1-7,7,20067,1.0,3,3.3221,0.0255,0,0.8907,0.9562,16.86,22.87,88.35,31.44,,,
41,1,CA1-CA3,t1-10,10,27649,1.0,4,3.3272,0.0249,0,0.8798,0.9561,21.92,28.92,88.3,27.27,,,
41,1,CA1-CA3,late,10,35931,0.4594,6,0.2175,0.0349,2,0.1911,0.9019,19.86,26.86,,,,,
41,1,CA1-V1,t1-5,5,15099,0.0912,0,0.0,-0.024,-5,0.2174,0.4296,65.85,87.87,81.54,85.93,,,
41,1,CA1-V1,t1-7,7,20067,0.0904,0,0.0,-0.0276,-5,0.2136,0.4225,67.9,72.93,82.41,86.73,,,
41,1,CA1-V1,t1-10,10,27649,0.1308,0,0.0,-0.0309,-5,0.2269,0.4224,65.38,73.89,77.62,83.74,,,
41,1,CA1-V1,late,10,35931,0.104,0,0.0,0.0239,7,0.1939,0.386,65.5,61.91,,,,,
52,1,CA1-RSC,t1-5,5,19651,-0.0139,2,0.0242,0.1134,3,0.4076,0.12,85.55,81.51,89.89,80.18,,,
52,1,CA1-RSC,t1-7,7,26694,0.0342,1,0.0059,0.1198,3,0.4057,0.0914,83.86,58.91,88.29,74.65,,,
52,1,CA1-RSC,t1-10,10,36887,-0.033,2,0.0116,0.1334,5,0.3879,0.0777,80.33,89.65,89.71,88.07,,,
52,1,CA1-RSC,late,10,35803,0.1116,4,0.0672,0.1079,5,0.4747,0.089,87.65,81.64,,,,,
52,1,CA1-CA3,t1-5,5,19651,0.2203,3,0.0458,-0.0253,0,0.3798,0.3642,74.48,72.87,88.12,85.53,,,
52,1,CA1-CA3,t1-7,7,26694,0.2095,3,0.0428,0.001,0,0.3808,0.3573,45.95,42.98,89.12,80.06,,,
52,1,CA1-CA3,t1-10,10,36887,0.1953,4,0.0454,0.0016,0,0.3674,0.3445,46.98,49.2,86.61,78.38,,,
52,1,CA1-CA3,late,10,35803,0.2461,4,0.0513,0.0704,0,0.4233,0.4577,89.22,82.1,,,,,
52,1,CA1-DG,t1-5,5,19651,0.3342,8,0.1193,-0.025,0,0.3811,0.1667,62.86,64.29,87.38,66.09,,,
52,1,CA1-DG,t1-7,7,26694,0.3397,8,0.1176,-0.0417,0,0.3819,0.1798,59.95,65.95,84.89,63.57,,,
52,1,CA1-DG,t1-10,10,36887,0.3556,12,0.2368,-0.0189,0,0.3673,0.1671,81.86,81.61,84.62,77.01,,,
52,1,CA1-DG,late,10,35803,0.5018,14,0.608,0.0132,0,0.4291,0.1738,66.69,72.69,,,,,
52,1,CA1-V1,t1-5,5,19651,0.2362,5,0.0845,-0.0239,0,0.3805,0.3404,73.02,84.17,88.06,84.44,,,
52,1,CA1-V1,t1-7,7,26694,0.2695,4,0.1157,-0.0267,0,0.3813,0.3308,69.88,83.55,89.15,89.01,,,
52,1,CA1-V1,t1-10,10,36887,0.3195,13,0.2948,-0.0266,0,0.3673,0.3032,68.87,72.32,89.95,88.53,,,
52,1,CA1-V1,late,10,35803,0.2971,8,0.2299,-0.0126,0,0.4317,0.4181,76.37,54.3,,,,,
52,1,CA3-DG,t1-5,5,19651,0.2014,20,0.8177,0.03,0,0.3631,0.1615,33.56,31.42,54.68,41.66,,,
52,1,CA3-DG,t1-7,7,26694,0.5367,19,0.9319,0.0357,0,0.3563,0.1768,32.26,24.04,53.2,39.99,,,
52,1,CA3-DG,t1-10,10,36887,0.5991,20,0.9679,0.0466,0,0.346,0.1642,26.99,17.83,52.91,39.67,,,
52,1,CA3-DG,late,10,35803,0.5517,7,0.3836,0.0226,0,0.4578,0.1707,22.64,20.64,,,,,
52,1,V1-RSC,t1-5,5,19651,-0.1415,5,0.1286,-0.0197,0,0.3084,0.1212,81.52,81.87,86.9,69.66,,,
52,1,V1-RSC,t1-7,7,26694,-0.2346,3,0.1215,-0.0134,0,0.3035,0.0926,68.11,66.07,88.02,77.91,,,
52,1,V1-RSC,t1-10,10,36887,-0.0644,3,0.0661,-0.0096,0,0.2644,0.0784,64.73,67.8,87.02,83.4,,,
52,1,V1-RSC,late,10,35803,-0.2271,6,0.2211,0.0346,1,0.3906,0.0899,65.85,47.44,,,,,
61,1,CA1-RSC,t1-5,5,14530,0.1243,0,0.0,0.1104,4,0.4626,0.3822,75.73,85.06,88.79,87.93,,,
61,1,CA1-RSC,t1-7,7,20000,0.1427,1,0.0103,0.1055,0,0.4606,0.3895,86.35,87.56,89.63,83.09,,,
61,1,CA1-RSC,t1-10,10,28149,0.0835,0,0.0,0.1013,0,0.4693,0.3929,88.81,69.63,88.45,76.36,,,
61,1,CA1-RSC,late,10,32475,0.1396,4,0.0319,0.0576,5,0.4482,0.3101,72.53,78.07,,,,,
