animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
28,1,CA1-CA3,t1-5,5,2970,0.2456,0,0.0,0.0063,3,0.3513,0.6752,87.02,79.22,88.36,86.03,0.2498,0.3957,0.6788
28,1,CA1-CA3,t1-7,7,4105,0.234,0,0.0,-0.0197,0,0.3315,0.6553,79.78,78.66,88.17,69.45,0.2554,0.3501,0.6895
28,1,CA1-CA3,t1-10,10,5797,0.274,2,0.0551,-0.0844,-9,0.2252,0.6774,89.81,89.42,89.49,75.54,0.2942,0.4097,0.7583
28,1,CA1-CA3,late,10,6324,0.3917,2,0.1023,-0.042,0,0.39,0.2693,85.61,88.77,,,0.4222,0.3576,0.4777
28,1,CA1-DG,t1-5,5,2970,0.4652,2,0.164,-0.0007,0,0.3305,0.2407,84.41,32.66,86.73,86.65,0.4356,0.4852,0.3103
28,1,CA1-DG,t1-7,7,4105,0.4511,2,0.1526,0.0006,0,0.3498,0.2422,70.38,55.4,84.21,89.68,0.4264,0.435,0.3378
28,1,CA1-DG,t1-10,10,5797,0.451,3,0.179,-0.013,0,0.263,0.2125,87.11,36.29,83.17,84.62,0.4199,0.4641,0.3362
28,1,CA1-DG,late,10,6324,0.615,3,0.3411,0.0142,0,0.3341,0.4331,48.77,48.9,,,0.363,0.4111,0.3366
28,1,CA1-V1,t1-5,5,2970,0.2965,0,0.0,-0.0483,-9,0.3765,0.364,89.48,87.83,82.75,79.6,0.2949,0.3702,0.3851
28,1,CA1-V1,t1-7,7,4105,0.315,1,0.0522,-0.0302,-9,0.359,0.3626,71.58,86.29,81.89,80.97,0.4,0.4148,0.3991
28,1,CA1-V1,t1-10,10,5797,0.3593,1,0.0691,-0.0137,1,0.3312,0.3687,86.85,84.84,82.49,79.78,0.3435,0.4225,0.3899
28,1,CA1-V1,late,10,6324,0.2206,1,0.025,-0.0041,0,0.3398,0.3183,81.15,76.21,,,0.1115,0.3378,0.2908
28,1,CA3-DG,t1-5,5,2970,0.5921,1,0.2158,-0.0198,0,0.6778,0.2444,72.27,70.19,89.95,82.99,0.5785,0.7132,0.4244
28,1,CA3-DG,t1-7,7,4105,0.598,2,0.235,-0.0397,0,0.658,0.2393,54.73,44.39,89.22,88.21,0.505,0.6969,0.3265
28,1,CA3-DG,t1-10,10,5797,0.5987,2,0.235,-0.0254,0,0.6855,0.2076,62.42,50.34,88.8,89.99,0.5533,0.6589,0.3268
28,1,CA3-DG,late,10,6324,0.6406,2,0.2806,-0.0137,0,0.2831,0.4552,58.6,55.73,,,0.5954,0.4583,0.4049
34,1,CA1-CA3,t1-5,5,2757,0.5273,2,0.2362,-0.0101,0,0.9704,0.352,90.0,48.26,65.18,89.66,0.6679,0.5181,0.3631
34,1,CA1-CA3,t1-7,7,3752,0.4666,3,0.257,-0.0101,0,0.9195,0.3914,58.8,36.48,89.98,78.26,0.6403,0.4648,0.3526
34,1,CA1-CA3,t1-10,10,5199,0.4656,3,0.2759,-0.0003,0,0.917,0.4338,48.16,29.87,89.98,80.85,0.6338,0.4827,0.3887
34,1,CA1-CA3,late,10,5608,0.4943,8,0.5392,0.0172,0,0.908,0.1226,16.59,22.97,,,0.636,0.475,0.3266
34,1,CA1-V1,t1-5,5,2757,0.4088,1,0.0914,-0.0058,0,0.8404,0.338,80.59,85.83,76.66,87.46,0.2359,0.3987,0.3333
34,1,CA1-V1,t1-7,7,3752,0.3517,1,0.066,0.0236,0,0.8856,0.3287,85.5,89.71,89.79,86.69,0.3589,0.3721,0.3235
34,1,CA1-V1,t1-10,10,5199,0.3011,1,0.0475,0.0359,0,0.88,0.3355,81.69,73.94,89.56,82.08,0.2696,0.4109,0.381
34,1,CA1-V1,late,10,5608,0.4526,1,0.1146,-0.029,0,0.8996,0.3346,49.07,50.4,,,0.4523,0.3936,0.3364
36,1,CA1-CA3,t1-5,5,3106,0.5295,2,0.2106,-0.047,0,0.3691,0.1301,51.44,47.25,88.7,86.06,0.4994,0.3995,0.2185
36,1,CA1-CA3,t1-7,7,4132,0.5159,2,0.2076,-0.0375,0,0.3687,0.1246,47.94,39.32,89.7,82.04,0.5025,0.4257,0.23
36,1,CA1-CA3,t1-10,10,5646,0.5109,3,0.2286,-0.0337,0,0.3674,0.1078,37.09,33.12,89.29,81.89,0.5124,0.4377,0.162
