animal,learner,pair,ordinal,trial_id,n_bins,cc1,ifi,optimal_lag,gini_part_x,gini_part_y
28,1,CA1-CA3,1,1,525,0.0053,0.3911,7,0.4864,0.5055
28,1,CA1-CA3,4,4,719,-0.0829,-0.8075,-9,0.4848,0.6987
28,1,CA1-CA3,7,7,557,0.1133,1.0,0,0.4897,0.6814
28,1,CA1-CA3,10,10,625,0.0397,-0.2163,3,0.4924,0.6567
28,1,CA1-DG,1,1,525,0.3093,-0.1271,0,0.6222,0.5664
28,1,CA1-DG,4,4,719,0.2336,0.0856,0,0.6166,0.5078
28,1,CA1-DG,7,7,557,0.2654,-0.0729,3,0.5556,0.4886
28,1,CA1-DG,10,10,625,0.3336,-0.085,0,0.5858,0.5589
28,1,CA1-V1,1,1,525,0.2,-0.0237,-8,0.4095,0.4152
28,1,CA1-V1,4,4,719,0.263,-0.0202,3,0.4989,0.4753
28,1,CA1-V1,7,7,557,0.4025,-0.0032,5,0.5205,0.4727
28,1,CA1-V1,10,10,625,0.4118,0.0265,-1,0.5648,0.4585
28,1,CA3-DG,1,1,525,0.1257,0.104,0,0.489,0.4894
28,1,CA3-DG,4,4,719,0.1287,0.2651,0,0.683,0.5801
28,1,CA3-DG,7,7,557,0.2361,-0.1361,-3,0.7687,0.5654
28,1,CA3-DG,10,10,625,0.1992,0.6572,0,0.7188,0.5431
34,1,CA1-CA3,1,1,776,0.5052,-0.0492,0,0.6674,0.6484
34,1,CA1-CA3,4,4,503,0.5042,0.0079,0,0.6534,0.6495
34,1,CA1-CA3,7,7,488,0.5045,-0.0538,0,0.6955,0.6276
34,1,CA1-CA3,10,10,483,0.4911,0.0952,0,0.6176,0.6492
34,1,CA1-V1,1,1,776,0.0126,-0.9344,-1,0.5383,0.4771
34,1,CA1-V1,4,4,503,0.1546,0.0917,6,0.5064,0.4148
34,1,CA1-V1,7,7,488,0.0056,0.7849,6,0.5439,0.453
34,1,CA1-V1,10,10,483,0.1752,-0.0992,-8,0.4346,0.4833
36,1,CA1-V1,1,1,756,0.1155,-0.1546,-4,0.4486,0.4707
36,1,CA1-V1,4,4,562,0.2142,0.2519,1,0.5372,0.4548
36,1,CA1-V1,7,7,504,0.1343,-0.147,10,0.6334,0.4839
36,1,CA1-V1,10,10,503,0.2078,0.0038,0,0.5872,0.3849
41,1,CA1-CA3,1,1,768,0.2833,0.1205,0,0.7535,0.5083
41,1,CA1-CA3,4,4,528,0.422,-0.0457,0,0.7675,0.6226
41,1,CA1-CA3,7,7,464,0.2551,0.0259,0,0.7227,0.5941
41,1,CA1-CA3,10,10,484,0.3074,-0.2363,0,0.7328,0.6451
41,1,CA1-V1,1,1,768,0.0859,-0.2517,0,0.5132,0.4318
41,1,CA1-V1,4,4,528,0.069,0.5763,8,0.4982,0.4099
41,1,CA1-V1,7,7,464,0.2759,0.0397,5,0.6322,0.4711
41,1,CA1-V1,10,10,484,0.2375,-0.0932,-6,0.563,0.4321
52,1,CA1-RSC,1,1,763,0.1638,-0.1569,0,0.4507,0.4551
52,1,CA1-RSC,4,4,825,0.0824,0.5406,8,0.4607,0.5211
52,1,CA1-RSC,7,7,697,0.1132,0.3446,2,0.4258,0.5298
52,1,CA1-RSC,10,10,683,0.0626,-0.121,-1,0.4797,0.4659
52,1,CA1-CA3,1,1,763,0.2399,-0.1902,0,0.5651,0.5254
52,1,CA1-CA3,4,4,825,0.276,-0.2693,0,0.5339,0.5354
52,1,CA1-CA3,7,7,697,0.1335,0.0418,0,0.5536,0.529
52,1,CA1-CA3,10,10,683,0.1568,0.2808,0,0.5125,0.4595
52,1,CA1-DG,1,1,763,0.3012,-0.1246,0,0.5589,0.5025
52,1,CA1-DG,4,4,825,0.3017,-0.5224,0,0.5747,0.4862
52,1,CA1-DG,7,7,697,0.2676,0.015,0,0.5589,0.4868
52,1,CA1-DG,10,10,683,0.2646,0.0642,0,0.5349,0.4552
52,1,CA1-V1,1,1,763,0.1589,-0.2221,0,0.4808,0.3703
52,1,CA1-V1,4,4,825,0.0922,0.8533,9,0.5157,0.3719
52,1,CA1-V1,7,7,697,0.0374,-0.6899,-8,0.524,0.4241
52,1,CA1-V1,10,10,683,0.2953,-0.0791,0,0.4618,0.496
52,1,CA3-DG,1,1,763,0.6037,0.0696,0,0.5487,0.5249
52,1,CA3-DG,4,4,825,0.5973,-0.2534,0,0.5674,0.5326
52,1,CA3-DG,7,7,697,0.5991,-0.2146,0,0.5164,0.541
52,1,CA3-DG,10,10,683,0.6792,-0.1908,0,0.5339,0.5149
52,1,V1-RSC,1,1,763,0.1573,0.018,0,0.4874,0.5925
52,1,V1-RSC,4,4,825,0.3123,-0.1238,-3,0.4482,0.6826
52,1,V1-RSC,7,7,697,0.3268,-0.0493,0,0.4448,0.719
52,1,V1-RSC,10,10,683,0.3294,-0.0094,0,0.4416,0.6489
61,1,CA1-RSC,1,1,658,0.0568,-0.2476,0,0.5342,0.4309
61,1,CA1-RSC,4,4,569,0.0797,-0.192,-10,0.4797,0.441
61,1,CA1-RSC,7,7,566,0.0973,0.1978,0,0.4049,0.4202
61,1,CA1-RSC,10,10,534,0.0414,-0.3866,-1,0.4756,0.39
61,1,CA1-CA3,1,1,658,0.3917,-0.0194,0,0.5445,0.6274
61,1,CA1-CA3,4,4,569,0.3602,-0.1719,0,0.5492,0.6148
61,1,CA1-CA3,7,7,566,0.2907,-0.1748,0,0.526,0.5728
61,1,CA1-CA3,10,10,534,0.2551,0.0458,0,0.5035,0.5516
61,1,CA1-DG,1,1,658,0.3459,-0.2049,0,0.4887,0.608
61,1,CA1-DG,4,4,569,0.2583,-0.0892,0,0.449,0.6281
61,1,CA1-DG,7,7,566,0.275,-0.0487,0,0.4651,0.6145
61,1,CA1-DG,10,10,534,0.3456,-0.2242,0,0.4665,0.6205
61,1,CA1-V1,1,1,658,0.1777,0.0015,0,0.4654,0.4627
61,1,CA1-V1,4,4,569,0.1252,-0.4868,-9,0.4692,0.4358
61,1,CA1-V1,7,7,566,0.0849,0.1125,0,0.4672,0.4239
61,1,CA1-V1,10,10,534,0.0999,-0.0935,0,0.4303,0.406
61,1,CA3-DG,1,1,658,0.4636,0.1605,0,0.5983,0.6339
61,1,CA3-DG,4,4,569,0.4515,-0.0556,0,0.6655,0.646
61,1,CA3-DG,7,7,566,0.3889,-0.3041,0,0.6198,0.6377
61,1,CA3-DG,10,10,534,0.4645,-0.0296,0,0.5836,0.609
61,1,V1-RSC,1,1,658,0.2531,0.1529,0,0.4788,0.4108
61,1,V1-RSC,4,4,569,0.3947,0.112,0,0.5094,0.4105
61,1,V1-RSC,7,7,566,0.216,0.5928,5,0.4669,0.4222
61,1,V1-RSC,10,10,534,0.479,0.026,0,0.5215,0.4328
63,1,CA1-RSC,1,1,713,0.1378,-0.1841,0,0.6966,0.4521
63,1,CA1-RSC,4,4,628,0.1097,0.3229,8,0.6609,0.5581
63,1,CA1-RSC,7,7,604,0.1223,0.2602,0,0.7111,0.4573
63,1,CA1-RSC,10,10,609,0.0903,0.3683,5,0.6651,0.459
66,1,CA1-RSC,1,1,803,0.058,-0.4614,-8,0.4888,0.4392
66,1,CA1-RSC,4,4,486,0.1763,-0.1898,-5,0.5457,0.4511
66,1,CA1-RSC,7,7,603,0.1159,-0.4072,0,0.4869,0.4019
66,1,CA1-RSC,10,10,485,0.1447,-0.3014,0,0.4931,0.4798
66,1,CA1-DG,1,1,803,0.3467,0.0408,0,0.5813,0.4524
66,1,CA1-DG,4,4,486,0.354,-0.29,0,0.5674,0.4737
66,1,CA1-DG,7,7,603,0.3343,-0.0488,0,0.503,0.4689
66,1,CA1-DG,10,10,485,0.5014,-0.0835,0,0.5562,0.4834
66,1,CA1-V1,1,1,803,0.1198,0.4507,1,0.4816,0.3986
66,1,CA1-V1,4,4,486,0.2016,-0.1295,0,0.4808,0.4365
66,1,CA1-V1,7,7,603,0.0467,-0.2991,-4,0.484,0.4147
66,1,CA1-V1,10,10,485,0.0804,-0.0645,-1,0.4506,0.4311
66,1,CA1-SUB,1,1,803,0.1971,0.2287,0,0.5134,0.4306
66,1,CA1-SUB,4,4,486,0.0871,-0.6229,-3,0.5649,0.456
66,1,CA1-SUB,7,7,603,0.1356,0.0662,0,0.4577,0.4371
66,1,CA1-SUB,10,10,485,0.1147,-0.4296,0,0.4942,0.4818
66,1,RSC-SUB,1,1,803,0.0642,0.0584,9,0.347,0.4248
66,1,RSC-SUB,4,4,486,0.1593,0.1159,0,0.4014,0.4462
66,1,RSC-SUB,7,7,603,0.0658,0.1208,10,0.4823,0.4245
66,1,RSC-SUB,10,10,485,0.1651,0.021,0,0.5222,0.3955
66,1,V1-RSC,1,1,803,0.3736,-0.0084,1,0.396,0.5485
66,1,V1-RSC,4,4,486,0.23,-0.0064,0,0.4257,0.5661
66,1,V1-RSC,7,7,603,0.1856,-0.0378,0,0.5279,0.5759
66,1,V1-RSC,10,10,485,0.2211,-0.423,0,0.4073,0.5034
68,1,CA1-RSC,1,1,645,0.1038,0.0874,-8,0.2922,0.4901
68,1,CA1-RSC,4,4,483,0.0471,0.4416,7,0.3195,0.5408
68,1,CA1-RSC,7,7,413,0.072,-0.5988,-6,0.3681,0.4611
68,1,CA1-RSC,10,10,422,0.0655,-0.2474,-8,0.3224,0.5239
68,1,CA1-CA3,1,1,645,0.4448,-0.1952,0,0.6716,0.6661
68,1,CA1-CA3,4,4,483,0.3901,-0.1264,0,0.5745,0.6293
68,1,CA1-CA3,7,7,413,0.5372,-0.0968,0,0.6437,0.7494
68,1,CA1-CA3,10,10,422,0.4481,0.0509,0,0.7071,0.7123
68,1,CA1-DG,1,1,645,0.4535,0.0466,0,0.6401,0.6394
68,1,CA1-DG,4,4,483,0.3397,0.1734,0,0.577,0.5232
68,1,CA1-DG,7,7,413,0.3061,0.1568,0,0.7137,0.5355
68,1,CA1-DG,10,10,422,0.3388,-0.0193,0,0.6796,0.5743
68,1,CA3-DG,1,1,645,0.4513,0.0603,0,0.7704,0.4393
68,1,CA3-DG,4,4,483,0.3563,-0.0235,0,0.7103,0.5272
68,1,CA3-DG,7,7,413,0.3696,-0.1483,0,0.6741,0.6257
68,1,CA3-DG,10,10,422,0.3402,-0.0353,0,0.6502,0.5025
70,0,CA1-RSC,1,1,1155,0.1823,-0.2918,0,0.4068,0.4419
70,0,CA1-RSC,4,4,1083,0.1553,-0.1405,0,0.4459,0.4677
70,0,CA1-RSC,7,7,1124,0.1762,-0.3117,0,0.4559,0.4603
70,0,CA1-RSC,10,10,1152,0.143,0.0714,0,0.418,0.472
