animal,learner,pair,ordinal,trial_id,n_bins,cc1,ifi,optimal_lag,gini_part_x,gini_part_y
28,1,CA1-CA3,1,1,2626,-0.0331,-0.2118,-5,0.5543,0.4328
28,1,CA1-CA3,2,2,2822,-0.0097,0.6384,2,0.549,0.6025
28,1,CA1-CA3,4,4,3609,-0.0535,-0.1277,-8,0.5428,0.7506
28,1,CA1-CA3,7,7,2785,0.0758,0.7861,0,0.5489,0.735
28,1,CA1-CA3,10,10,3121,0.0289,0.6136,1,0.5499,0.663
28,1,CA1-DG,1,1,2626,0.1925,-0.2467,0,0.652,0.5459
28,1,CA1-DG,2,2,2822,0.1368,-0.162,0,0.6041,0.5334
28,1,CA1-DG,4,4,3609,0.1851,0.4259,1,0.6642,0.5274
28,1,CA1-DG,7,7,2785,0.2317,0.4723,1,0.5547,0.5198
28,1,CA1-DG,10,10,3121,0.224,0.2591,1,0.678,0.5731
28,1,CA1-V1,1,1,2626,0.0886,0.0342,-10,0.486,0.4117
28,1,CA1-V1,2,2,2822,0.115,0.0564,3,0.4935,0.4901
28,1,CA1-V1,4,4,3609,0.132,-0.0208,-8,0.5242,0.4834
28,1,CA1-V1,7,7,2785,0.1973,-0.0415,-3,0.5958,0.481
28,1,CA1-V1,10,10,3121,0.2033,-0.0164,-5,0.5835,0.4993
28,1,CA3-DG,1,1,2626,0.071,-0.3726,-1,0.5589,0.586
28,1,CA3-DG,2,2,2822,0.0943,-0.2891,0,0.6138,0.5398
28,1,CA3-DG,4,4,3609,0.0581,0.4879,2,0.7769,0.5716
28,1,CA3-DG,7,7,2785,0.1061,-0.3955,0,0.8235,0.5603
28,1,CA3-DG,10,10,3121,0.1316,-0.2811,0,0.6702,0.5405
34,1,CA1-CA3,1,1,3889,0.2914,-0.1249,0,0.6546,0.6583
34,1,CA1-CA3,2,2,2595,0.3048,0.0537,0,0.6485,0.6541
34,1,CA1-CA3,4,4,2520,0.3076,-0.0543,0,0.7024,0.6278
34,1,CA1-CA3,7,7,2442,0.3147,0.0242,0,0.6798,0.6509
34,1,CA1-CA3,10,10,2423,0.3063,-0.0145,0,0.6713,0.6725
34,1,CA1-V1,1,1,3889,0.006,-0.7645,-8,0.572,0.4879
34,1,CA1-V1,2,2,2595,0.0093,-0.4998,-4,0.5381,0.4872
34,1,CA1-V1,4,4,2520,0.0654,-0.06,-5,0.6156,0.4761
34,1,CA1-V1,7,7,2442,0.003,-0.5739,-9,0.5541,0.4945
34,1,CA1-V1,10,10,2423,0.0766,-0.0195,-2,0.4748,0.5152
36,1,CA1-V1,1,1,3789,0.0497,-0.0702,-3,0.5879,0.4363
36,1,CA1-V1,2,2,3049,0.0672,-0.062,-6,0.6075,0.4948
36,1,CA1-V1,4,4,2806,0.0813,0.0375,5,0.645,0.494
36,1,CA1-V1,7,7,2526,0.0923,-0.1645,-1,0.6521,0.487
36,1,CA1-V1,10,10,2514,0.0709,-0.1452,-4,0.6001,0.4338
41,1,CA1-CA3,1,1,3838,0.1203,0.2185,0,0.7511,0.5831
41,1,CA1-CA3,2,2,3160,0.1048,0.2607,3,0.7204,0.5664
41,1,CA1-CA3,4,4,2645,0.1619,0.1286,0,0.7801,0.6595
41,1,CA1-CA3,7,7,2328,0.1429,0.0301,0,0.7152,0.594
41,1,CA1-CA3,10,10,2425,0.1549,0.1063,0,0.7739,0.5992
41,1,CA1-V1,1,1,3838,0.0264,-0.394,-9,0.5533,0.4692
41,1,CA1-V1,2,2,3160,0.0055,0.4239,7,0.4153,0.4529
41,1,CA1-V1,4,4,2645,0.0083,0.0655,-10,0.44,0.4873
41,1,CA1-V1,7,7,2328,0.1293,0.0507,7,0.5946,0.5107
41,1,CA1-V1,10,10,2425,0.1576,-0.0586,0,0.6042,0.4643
52,1,CA1-RSC,1,1,3813,0.0419,-0.2802,1,0.5639,0.3613
52,1,CA1-RSC,2,2,3705,0.0514,-0.2763,-1,0.5213,0.3452
52,1,CA1-RSC,4,4,4127,0.0207,0.2199,-3,0.5147,0.3945
52,1,CA1-RSC,7,7,3491,0.0169,0.271,10,0.5123,0.3992
52,1,CA1-RSC,10,10,3416,-0.0135,-0.6382,-6,0.5281,0.3519
52,1,CA1-CA3,1,1,3813,0.1644,0.1333,0,0.5931,0.5496
52,1,CA1-CA3,2,2,3705,0.1508,0.2891,0,0.5731,0.5841
52,1,CA1-CA3,4,4,4127,0.1757,0.3096,0,0.5775,0.5856
52,1,CA1-CA3,7,7,3491,0.1081,0.5158,0,0.5996,0.5642
52,1,CA1-CA3,10,10,3416,0.1494,0.623,0,0.5571,0.5596
52,1,CA1-DG,1,1,3813,0.2222,0.1024,0,0.5663,0.4922
52,1,CA1-DG,2,2,3705,0.2321,-0.0935,0,0.5763,0.5152
52,1,CA1-DG,4,4,4127,0.2296,0.0146,0,0.5727,0.4766
52,1,CA1-DG,7,7,3491,0.164,0.0638,0,0.5618,0.4768
52,1,CA1-DG,10,10,3416,0.2049,0.449,0,0.5132,0.498
52,1,CA1-V1,1,1,3813,0.0018,-0.7616,-9,0.4892,0.4379
52,1,CA1-V1,2,2,3705,0.0923,0.1515,0,0.4567,0.4696
52,1,CA1-V1,4,4,4127,0.0987,0.0621,7,0.5321,0.435
52,1,CA1-V1,7,7,3491,0.0646,0.1263,4,0.5386,0.4615
52,1,CA1-V1,10,10,3416,0.0603,0.0808,-1,0.5252,0.4658
52,1,CA3-DG,1,1,3813,0.4766,-0.1077,0,0.5424,0.5124
52,1,CA3-DG,2,2,3705,0.4692,-0.1175,0,0.5417,0.503
52,1,CA3-DG,4,4,4127,0.4592,-0.0599,0,0.5077,0.5021
52,1,CA3-DG,7,7,3491,0.4438,-0.0828,0,0.5333,0.5387
52,1,CA3-DG,10,10,3416,0.4982,-0.1144,0,0.5323,0.5398
52,1,V1-RSC,1,1,3813,0.0605,0.1923,3,0.4656,0.4473
52,1,V1-RSC,2,2,3705,0.0699,0.0643,0,0.4663,0.467
52,1,V1-RSC,4,4,4127,0.0693,0.0002,1,0.4835,0.3706
52,1,V1-RSC,7,7,3491,0.0923,0.0843,10,0.4851,0.4588
52,1,V1-RSC,10,10,3416,0.0619,0.1892,9,0.4867,0.4662
61,1,CA1-RSC,1,1,3292,0.06,-0.194,0,0.4742,0.4493
61,1,CA1-RSC,2,2,2822,0.0821,0.164,4,0.4962,0.4437
61,1,CA1-RSC,4,4,2841,0.073,0.3355,1,0.4524,0.4621
61,1,CA1-RSC,7,7,2832,0.0842,0.0666,0,0.4528,0.448
61,1,CA1-RSC,10,10,2675,0.0765,0.1673,2,0.4775,0.4451
