animal,learner,pair,ordinal,trial_id,n_bins,cc1,ifi,optimal_lag,gini_part_x,gini_part_y
28,1,CA1-CA3,1,1,2626,0.2248,-0.002,0,0.5854,0.764
28,1,CA1-CA3,2,2,2822,0.1879,-0.1469,0,0.541,0.7245
28,1,CA1-CA3,4,4,3609,0.1988,-0.1046,0,0.5646,0.7686
28,1,CA1-CA3,7,7,2785,0.201,0.3068,0,0.6003,0.8104
28,1,CA1-CA3,10,10,3121,0.1726,0.1553,0,0.5675,0.7516
28,1,CA1-DG,1,1,2626,0.289,-0.1209,0,0.6045,0.584
28,1,CA1-DG,2,2,2822,0.3093,-0.1079,0,0.6039,0.5907
28,1,CA1-DG,4,4,3609,0.2803,-0.0691,0,0.6177,0.6315
28,1,CA1-DG,7,7,2785,0.3083,-0.1855,0,0.6094,0.5788
28,1,CA1-DG,10,10,3121,0.2949,-0.3368,0,0.6247,0.5922
28,1,CA1-V1,1,1,2626,0.0681,0.0102,-10,0.4665,0.4035
28,1,CA1-V1,2,2,2822,0.0852,0.0241,3,0.4691,0.4692
28,1,CA1-V1,4,4,3609,0.1199,-0.0143,-8,0.5004,0.4626
28,1,CA1-V1,7,7,2785,0.1921,-0.0398,-3,0.5686,0.4689
28,1,CA1-V1,10,10,3121,0.1936,-0.0131,-5,0.582,0.4975
28,1,CA3-DG,1,1,2626,0.5301,0.2103,0,0.7197,0.6111
28,1,CA3-DG,2,2,2822,0.4918,0.048,0,0.7797,0.5903
28,1,CA3-DG,4,4,3609,0.5214,-0.0304,0,0.7657,0.5608
28,1,CA3-DG,7,7,2785,0.5183,-0.067,0,0.769,0.5691
28,1,CA3-DG,10,10,3121,0.5488,-0.0551,0,0.803,0.5978
34,1,CA1-CA3,1,1,3889,0.461,0.0206,0,0.6397,0.539
34,1,CA1-CA3,2,2,2595,0.4438,0.0399,0,0.6299,0.5524
34,1,CA1-CA3,4,4,2520,0.4275,-0.0216,0,0.6385,0.4851
34,1,CA1-CA3,7,7,2442,0.433,0.0569,0,0.6453,0.4591
34,1,CA1-CA3,10,10,2423,0.4845,-0.0415,0,0.6201,0.5161
34,1,CA1-V1,1,1,3889,0.0245,-0.4845,-10,0.6,0.4738
34,1,CA1-V1,2,2,2595,0.0216,0.1429,9,0.5671,0.4523
34,1,CA1-V1,4,4,2520,0.0932,-0.0701,-5,0.5567,0.4598
34,1,CA1-V1,7,7,2442,0.0389,0.1074,4,0.5749,0.4795
34,1,CA1-V1,10,10,2423,0.0828,-0.0048,-2,0.4982,0.478
36,1,CA1-CA3,1,1,3789,0.329,0.2811,0,0.6148,0.5123
36,1,CA1-CA3,2,2,3049,0.3024,0.5165,1,0.6145,0.5454
36,1,CA1-CA3,4,4,2806,0.2701,0.658,1,0.648,0.5233
36,1,CA1-CA3,7,7,2526,0.279,0.5232,0,0.6658,0.4723
36,1,CA1-CA3,10,10,2514,0.2926,0.5316,1,0.601,0.5206
36,1,CA1-V1,1,1,3789,0.0058,-0.5534,-6,0.5845,0.4782
36,1,CA1-V1,2,2,3049,0.0451,-0.121,-9,0.5893,0.5321
36,1,CA1-V1,4,4,2806,0.0789,0.0787,5,0.601,0.5346
36,1,CA1-V1,7,7,2526,0.0774,-0.1722,-1,0.6548,0.5051
36,1,CA1-V1,10,10,2514,0.0424,-0.1703,-3,0.5863,0.461
41,1,CA1-CA3,1,1,3838,0.5328,0.145,0,0.7171,0.6988
41,1,CA1-CA3,2,2,3160,0.5126,0.097,0,0.7637,0.7108
41,1,CA1-CA3,4,4,2645,0.5296,0.1345,0,0.7147,0.6866
41,1,CA1-CA3,7,7,2328,0.5118,0.1816,0,0.7015,0.7044
41,1,CA1-CA3,10,10,2425,0.4869,0.182,0,0.7324,0.6741
41,1,CA1-V1,1,1,3838,0.1091,-0.0813,0,0.5087,0.4719
41,1,CA1-V1,2,2,3160,-0.0006,0.0,0,0.4951,0.4693
41,1,CA1-V1,4,4,2645,-0.0009,-0.71,-10,0.6103,0.474
41,1,CA1-V1,7,7,2328,0.0259,-0.1005,-8,0.6482,0.4601
41,1,CA1-V1,10,10,2425,0.1366,-0.0365,-5,0.6594,0.4687
52,1,CA1-RSC,1,1,3813,0.035,0.3406,5,0.5397,0.4974
52,1,CA1-RSC,2,2,3705,0.0122,-0.0701,-2,0.5293,0.4966
52,1,CA1-RSC,4,4,4127,0.0189,0.7805,3,0.5741,0.5514
52,1,CA1-RSC,7,7,3491,0.0122,0.4889,3,0.5467,0.5024
52,1,CA1-RSC,10,10,3416,0.0038,-0.0256,8,0.5069,0.4671
52,1,CA1-CA3,1,1,3813,0.1829,0.1119,0,0.6335,0.49
52,1,CA1-CA3,2,2,3705,0.1618,0.2601,0,0.6121,0.501
52,1,CA1-CA3,4,4,4127,0.212,0.2837,0,0.6001,0.4787
52,1,CA1-CA3,7,7,3491,0.1333,0.5089,0,0.6199,0.5295
52,1,CA1-CA3,10,10,3416,0.192,0.5647,0,0.5868,0.5059
52,1,CA1-DG,1,1,3813,0.2416,0.1077,0,0.5744,0.5293
52,1,CA1-DG,2,2,3705,0.2545,-0.0854,0,0.5787,0.5269
52,1,CA1-DG,4,4,4127,0.2193,-0.0938,0,0.5938,0.5147
52,1,CA1-DG,7,7,3491,0.203,-0.0885,0,0.551,0.5294
52,1,CA1-DG,10,10,3416,0.2028,0.3962,0,0.5519,0.5396
52,1,CA1-V1,1,1,3813,0.0311,0.0162,2,0.5072,0.5318
52,1,CA1-V1,2,2,3705,0.0814,-0.0492,1,0.4608,0.5015
52,1,CA1-V1,4,4,4127,0.0124,0.7405,2,0.4343,0.5445
52,1,CA1-V1,7,7,3491,0.0472,0.2067,9,0.49,0.5136
