animal,learner,pair,ordinal,trial_id,n_bins,cc1,ifi,optimal_lag,gini_part_x,gini_part_y
28,1,CA1-CA3,1,1,525,0.3236,0.3063,0,0.5413,0.5767
28,1,CA1-CA3,4,4,719,0.2459,-0.141,0,0.5519,0.6634
28,1,CA1-CA3,7,7,557,0.3268,0.094,0,0.5509,0.6504
28,1,CA1-CA3,10,10,625,0.2812,0.1601,0,0.5059,0.6111
28,1,CA1-DG,1,1,525,0.421,-0.0443,0,0.5865,0.5088
28,1,CA1-DG,4,4,719,0.4367,-0.0175,0,0.59,0.583
28,1,CA1-DG,7,7,557,0.4115,-0.0802,0,0.5899,0.5048
28,1,CA1-DG,10,10,625,0.4076,0.1313,0,0.6028,0.5656
28,1,CA1-V1,1,1,525,0.2056,-0.0488,0,0.4088,0.4063
28,1,CA1-V1,4,4,719,0.2404,-0.008,3,0.4812,0.4647
28,1,CA1-V1,7,7,557,0.4037,0.0081,5,0.4768,0.4433
28,1,CA1-V1,10,10,625,0.4087,0.0158,-1,0.5613,0.453
28,1,CA3-DG,1,1,525,0.6468,-0.0592,0,0.6795,0.5737
28,1,CA3-DG,4,4,719,0.6341,0.079,0,0.7182,0.5531
28,1,CA3-DG,7,7,557,0.6084,0.0728,0,0.7043,0.5758
28,1,CA3-DG,10,10,625,0.6437,-0.0407,0,0.6826,0.614
34,1,CA1-CA3,1,1,776,0.6524,-0.0109,0,0.6323,0.5726
34,1,CA1-CA3,4,4,503,0.5646,0.0285,0,0.5883,0.4676
34,1,CA1-CA3,7,7,488,0.6014,-0.0394,0,0.5979,0.4942
34,1,CA1-CA3,10,10,483,0.6605,0.0772,0,0.6201,0.5303
34,1,CA1-V1,1,1,776,0.0277,-0.2793,-2,0.5266,0.4616
34,1,CA1-V1,4,4,503,0.2008,-0.0724,-7,0.4686,0.418
34,1,CA1-V1,7,7,488,0.1303,0.3366,6,0.4788,0.4465
34,1,CA1-V1,10,10,483,0.2436,-0.1348,-8,0.4287,0.4606
36,1,CA1-CA3,1,1,756,0.512,-0.1005,0,0.5901,0.4781
36,1,CA1-CA3,4,4,562,0.4467,-0.0789,0,0.6004,0.4896
36,1,CA1-CA3,7,7,504,0.437,0.0366,0,0.615,0.4648
36,1,CA1-CA3,10,10,503,0.4488,-0.0704,0,0.5489,0.474
36,1,CA1-V1,1,1,756,0.05,-0.4952,-4,0.4976,0.4448
36,1,CA1-V1,4,4,562,0.2289,0.2138,8,0.5623,0.5282
36,1,CA1-V1,7,7,504,0.1405,-0.1131,-1,0.6176,0.5287
36,1,CA1-V1,10,10,503,0.1032,-0.0335,8,0.5547,0.4138
41,1,CA1-CA3,1,1,768,0.7195,0.0048,0,0.7102,0.6694
41,1,CA1-CA3,4,4,528,0.7352,-0.0322,0,0.6659,0.6479
41,1,CA1-CA3,7,7,464,0.7013,-0.0393,0,0.6479,0.666
41,1,CA1-CA3,10,10,484,0.6829,-0.0599,0,0.5927,0.6376
41,1,CA1-V1,1,1,768,0.2082,-0.1677,-9,0.5618,0.4636
41,1,CA1-V1,4,4,528,0.0597,0.2459,-7,0.5513,0.5271
41,1,CA1-V1,7,7,464,0.1231,-0.205,-2,0.6111,0.4788
41,1,CA1-V1,10,10,484,0.1976,-0.2075,-7,0.6069,0.4795
52,1,CA1-RSC,1,1,763,0.0536,0.2289,-4,0.4569,0.5656
52,1,CA1-RSC,4,4,825,0.0245,0.0338,2,0.5159,0.5331
52,1,CA1-RSC,7,7,697,0.0617,0.3208,-2,0.5065,0.5345
52,1,CA1-RSC,10,10,683,0.0563,-0.3051,-7,0.4734,0.5184
52,1,CA1-CA3,1,1,763,0.3038,-0.4591,0,0.5678,0.4422
52,1,CA1-CA3,4,4,825,0.3667,-0.0166,0,0.5566,0.4495
52,1,CA1-CA3,7,7,697,0.2039,0.0788,0,0.5847,0.4781
52,1,CA1-CA3,10,10,683,0.2129,0.682,0,0.5588,0.4384
52,1,CA1-DG,1,1,763,0.339,-0.1918,0,0.559,0.5313
52,1,CA1-DG,4,4,825,0.2758,-0.2636,0,0.5608,0.5586
52,1,CA1-DG,7,7,697,0.2853,-0.0708,0,0.5323,0.5155
52,1,CA1-DG,10,10,683,0.2532,0.2429,0,0.522,0.5266
52,1,CA1-V1,1,1,763,0.1293,0.1255,0,0.4464,0.3877
52,1,CA1-V1,4,4,825,0.0344,1.0,9,0.488,0.3729
52,1,CA1-V1,7,7,697,0.0978,-0.6176,-8,0.4817,0.3782
52,1,CA1-V1,10,10,683,0.2946,-0.0565,-3,0.4177,0.4668
52,1,CA3-DG,1,1,763,0.6365,-0.0024,0,0.5176,0.4973
52,1,CA3-DG,4,4,825,0.5918,-0.4514,0,0.5274,0.5025
52,1,CA3-DG,7,7,697,0.6059,-0.2364,0,0.502,0.5055
52,1,CA3-DG,10,10,683,0.6801,-0.2695,0,0.5152,0.4803
52,1,V1-RSC,1,1,763,0.3879,-0.0498,0,0.4376,0.4796
52,1,V1-RSC,4,4,825,0.2913,-0.0756,0,0.461,0.4967
52,1,V1-RSC,7,7,697,0.2655,0.1242,0,0.4481,0.4946
52,1,V1-RSC,10,10,683,0.3795,0.0372,0,0.4572,0.4594
61,1,CA1-RSC,1,1,658,0.2824,-0.2908,0,0.4756,0.4036
61,1,CA1-RSC,4,4,569,0.1192,-0.3121,0,0.4482,0.4507
61,1,CA1-RSC,7,7,566,0.1769,-0.6549,0,0.4132,0.4353
61,1,CA1-RSC,10,10,534,0.1744,0.3598,0,0.4375,0.4604
61,1,CA1-CA3,1,1,658,0.1037,0.2406,0,0.4854,0.5583
61,1,CA1-CA3,4,4,569,0.2179,0.0266,0,0.4922,0.5086
61,1,CA1-CA3,7,7,566,0.1961,0.1164,0,0.5137,0.6011
61,1,CA1-CA3,10,10,534,0.284,-0.1452,0,0.5198,0.5229
61,1,CA1-DG,1,1,658,0.3927,-0.2636,0,0.5174,0.6214
61,1,CA1-DG,4,4,569,0.3178,-0.1519,0,0.5163,0.639
61,1,CA1-DG,7,7,566,0.3216,0.0091,0,0.5533,0.6247
61,1,CA1-DG,10,10,534,0.3624,-0.0742,0,0.5233,0.6439
61,1,CA1-V1,1,1,658,0.0467,1.0,0,0.4141,0.4341
61,1,CA1-V1,4,4,569,0.0217,-1.0,-7,0.4634,0.4442
61,1,CA1-V1,7,7,566,0.0207,0.0208,0,0.4205,0.4281
61,1,CA1-V1,10,10,534,0.1743,0.0743,0,0.4624,0.4334
61,1,CA3-DG,1,1,658,0.3931,-0.1575,0,0.5504,0.5915
61,1,CA3-DG,4,4,569,0.4233,0.1748,0,0.5647,0.639
61,1,CA3-DG,7,7,566,0.4095,-0.3999,0,0.5003,0.5519
61,1,CA3-DG,10,10,534,0.3517,0.2704,0,0.5543,0.5574
61,1,V1-RSC,1,1,658,0.207,0.287,0,0.4974,0.4439
61,1,V1-RSC,4,4,569,0.374,0.1192,0,0.4971,0.4206
61,1,V1-RSC,7,7,566,0.45,0.1818,0,0.4874,0.442
61,1,V1-RSC,10,10,534,0.5562,0.0212,0,0.4987,0.4233
63,1,CA1-RSC,1,1,713,0.16,-0.1431,0,0.5886,0.5298
63,1,CA1-RSC,4,4,628,0.1468,0.1752,8,0.616,0.4696
63,1,CA1-RSC,7,7,604,0.1863,0.0661,0,0.6624,0.4341
63,1,CA1-RSC,10,10,609,0.1464,0.3467,0,0.6131,0.4566
66,1,CA1-RSC,1,1,803,0.0668,-0.8819,0,0.5047,0.4648
66,1,CA1-RSC,4,4,486,0.1792,-0.2025,0,0.5004,0.3934
66,1,CA1-RSC,7,7,603,0.1125,-0.2328,0,0.4501,0.4776
66,1,CA1-RSC,10,10,485,0.1223,-0.6871,0,0.4321,0.4656
66,1,CA1-DG,1,1,803,0.4129,0.0561,0,0.5807,0.4624
66,1,CA1-DG,4,4,486,0.4013,-0.1615,0,0.5722,0.474
66,1,CA1-DG,7,7,603,0.3821,-0.0477,0,0.5283,0.4831
66,1,CA1-DG,10,10,485,0.4867,-0.0699,0,0.5803,0.4824
66,1,CA1-V1,1,1,803,0.0941,0.1035,7,0.5326,0.4833
66,1,CA1-V1,4,4,486,0.1363,-0.1821,0,0.5639,0.5299
66,1,CA1-V1,7,7,603,0.1182,-0.4818,-8,0.454,0.5012
66,1,CA1-V1,10,10,485,0.1515,-0.1668,-8,0.5906,0.5022
66,1,CA1-SUB,1,1,803,0.2344,0.1208,0,0.5208,0.4055
66,1,CA1-SUB,4,4,486,0.1225,-0.494,-3,0.5152,0.4845
66,1,CA1-SUB,7,7,603,0.1065,0.0911,0,0.4311,0.4636
66,1,CA1-SUB,10,10,485,0.1321,-0.4266,0,0.5207,0.4597
66,1,RSC-SUB,1,1,803,0.0765,0.042,9,0.4446,0.555
66,1,RSC-SUB,4,4,486,0.1163,-0.1402,-10,0.4221,0.4626
66,1,RSC-SUB,7,7,603,0.1317,0.0858,10,0.4456,0.3971
66,1,RSC-SUB,10,10,485,0.1624,0.1477,0,0.4458,0.4666
66,1,V1-RSC,1,1,803,0.352,-0.1044,1,0.3566,0.4694
66,1,V1-RSC,4,4,486,0.2337,0.2071,0,0.3917,0.4091
66,1,V1-RSC,7,7,603,0.1928,0.3531,0,0.4078,0.343
66,1,V1-RSC,10,10,485,0.2052,-0.7364,0,0.3516,0.393
68,1,CA1-RSC,1,1,645,0.1113,0.0339,1,0.421,0.4519
68,1,CA1-RSC,4,4,483,0.1304,0.1847,-3,0.4371,0.5113
68,1,CA1-RSC,7,7,413,0.0526,0.2206,1,0.4282,0.4706
68,1,CA1-RSC,10,10,422,0.1261,0.2459,1,0.5152,0.5014
68,1,CA1-CA3,1,1,645,0.4789,-0.1811,0,0.6362,0.6073
68,1,CA1-CA3,4,4,483,0.4232,-0.1319,0,0.5261,0.5443
68,1,CA1-CA3,7,7,413,0.5202,0.0049,0,0.6398,0.6273
68,1,CA1-CA3,10,10,422,0.4887,0.0592,0,0.6789,0.5941
68,1,CA1-DG,1,1,645,0.3742,0.3164,0,0.6287,0.6245
68,1,CA1-DG,4,4,483,0.3234,0.0507,0,0.5442,0.5781
68,1,CA1-DG,7,7,413,0.279,0.157,0,0.6455,0.5441
68,1,CA1-DG,10,10,422,0.335,-0.1912,0,0.6464,0.5602
68,1,CA3-DG,1,1,645,0.5163,-0.0254,0,0.6567,0.4845
68,1,CA3-DG,4,4,483,0.4188,0.1513,0,0.6036,0.5662
68,1,CA3-DG,7,7,413,0.4317,-0.0159,0,0.6915,0.6633
68,1,CA3-DG,10,10,422,0.3814,0.0191,0,0.6455,0.5042
70,0,CA1-RSC,1,1,1155,0.2044,-0.1034,0,0.4428,0.4316
70,0,CA1-RSC,4,4,1083,0.1398,-0.2025,0,0.4895,0.4455
70,0,CA1-RSC,7,7,1124,0.1517,-0.3195,0,0.4862,0.4599
70,0,CA1-RSC,10,10,1152,0.1221,0.1525,0,0.4456,0.4661
70,0,CA1-DG,1,1,1155,0.9826,-0.6727,0,0.064,0.026
70,0,CA1-DG,4,4,1083,0.4111,-0.0248,0,0.4958,0.6694
70,0,CA1-DG,7,7,1124,0.3757,0.0706,0,0.5168,0.6863
70,0,CA1-DG,10,10,1152,0.4341,-0.171,0,0.5259,0.7132
70,0,CA1-V1,1,1,1155,0.7127,-0.298,0,0.0778,0.0519
70,0,CA1-V1,4,4,1083,0.3798,0.0101,0,0.5244,0.4727
70,0,CA1-V1,7,7,1124,0.3802,-0.0026,0,0.5283,0.452
70,0,CA1-V1,10,10,1152,0.3489,-0.0115,0,0.5301,0.4528
70,0,CA1-SUB,1,1,1155,0.9977,0.2684,0,0.0693,0.101
70,0,CA1-SUB,4,4,1083,0.2191,0.3197,0,0.4589,0.6026
70,0,CA1-SUB,7,7,1124,0.2906,-0.0318,0,0.4504,0.635
70,0,CA1-SUB,10,10,1152,0.303,0.0413,0,0.4561,0.6427
70,0,RSC-SUB,1,1,1155,0.476,0.0663,0,0.4833,0.6616
70,0,RSC-SUB,4,4,1083,0.3418,0.0928,0,0.4729,0.6632
70,0,RSC-SUB,7,7,1124,0.3823,-0.0544,0,0.4882,0.6235
70,0,RSC-SUB,10,10,1152,0.4266,0.0571,0,0.4929,0.621
70,0,V1-RSC,1,1,1155,0.5265,0.0963,0,0.4554,0.5549
70,0,V1-RSC,4,4,1083,0.4933,0.1514,0,0.4555,0.4652
70,0,V1-RSC,7,7,1124,0.4875,0.0551,0,0.453,0.4965
70,0,V1-RSC,10,10,1152,0.4716,0.1742,0,0.4689,0.5388
71,0,CA1-RSC,1,1,712,0.129,0.2046,0,0.5551,0.4457
71,0,CA1-RSC,4,4,523,0.0977,-0.6055,0,0.5764,0.4343
71,0,CA1-RSC,7,7,492,-0.0511,0.6893,2,0.5676,0.4793
71,0,CA1-RSC,10,10,533,0.0683,-0.373,7,0.5552,0.4779
71,0,CA1-CA3,1,1,712,0.3361,-0.0953,0,0.6508,0.4501
