readout,pair,metric,n,plateau,lmm_p,d_4,pt_4,pw_4,d_7,pt_7,pw_7,d_10,pt_10,pw_10,d_t1-5,pt_t1-5,pw_t1-5,d_t1-7,pt_t1-7,pw_t1-7,d_t1-10,pt_t1-10,pw_t1-10,p_t1-5,p_t1-7,p_t1-10
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-RSC,CC,12,0,0.4506,-0.0275,0.2325,0.2334,-0.0108,0.4833,0.5693,-0.0316,0.3827,0.3804,,,,,,,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-RSC,IFI,12,0,0.3831,0.2536,0.0541,0.0342,0.0639,0.8473,0.5693,-0.0021,0.6984,0.9097,,,,,,,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-RSC,lag,12,0,0.4727,1.5,0.147,0.1953,0.0,0.1836,0.3125,0.0,0.1039,0.1562,,,,,,,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-RSC,partGini_x,12,0,0.8287,0.0016,0.7576,0.791,-0.0134,0.2918,0.3394,-0.0126,0.9155,0.7334,,,,,,,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-RSC,partGini_y,12,1,0.3825,0.0133,0.0327,0.0269,0.005,0.9483,0.9097,0.001,0.7703,0.8501,,,,,,,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-CA3,CC,7,0,0.5004,-0.0231,0.9075,0.6875,-0.0007,0.9881,1.0,-0.0141,0.2594,0.4688,,,,,,,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-CA3,IFI,7,0,0.6516,-0.1321,0.2162,0.0781,0.0984,0.232,0.2969,0.0652,0.8415,0.9375,,,,,,,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-CA3,lag,7,0,0.9209,0.0,0.3559,,0.0,0.3559,,0.0,0.3559,,,,,,,,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-CA3,partGini_x,7,0,0.1147,-0.014,0.1306,0.1562,-0.0185,0.1767,0.2188,-0.041,0.1491,0.1094,,,,,,,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-CA3,partGini_y,7,0,0.4762,0.01,0.2353,0.375,0.0046,0.2333,0.2969,0.0008,0.511,0.6875,,,,,,,,,,,,
