readout,pair,metric,n,plateau,d_4,p_4,d_7,p_7,d_10,p_10,d_t1-5,p_t1-5,d_t1-7,p_t1-7,d_t1-10,p_t1-10
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-RSC,CC,12,0,-0.0289,0.1763,-0.0557,0.1294,-0.0343,0.2334,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-RSC,IFI,12,0,0.0301,0.9097,0.1224,0.2334,-0.0057,0.9097,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-RSC,lag,12,0,0.0,0.625,0.0,0.875,0.0,0.75,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-RSC,partGini_x,12,0,0.0,0.8501,0.0098,0.9697,0.0026,0.9697,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-RSC,partGini_y,12,0,0.0022,1.0,0.0037,0.9097,-0.0033,0.8501,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-CA3,CC,9,0,-0.0446,0.4961,-0.0182,0.4961,-0.0366,0.25,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-CA3,IFI,9,0,0.0216,0.9102,0.1371,0.3008,0.0301,0.7344,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-CA3,lag,9,0,0.0,,0.0,,0.0,,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-CA3,partGini_x,9,0,-0.0112,0.2031,0.0036,0.8203,-0.0354,0.1289,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-CA3,partGini_y,9,0,0.0073,1.0,0.02,0.4258,-0.0132,0.4258,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-DG,CC,11,0,-0.0116,0.8984,-0.0308,0.2402,-0.0134,1.0,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-DG,IFI,11,0,-0.0718,0.9658,-0.0359,0.5771,-0.0839,0.8984,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-DG,lag,11,0,0.0,,0.0,,0.0,,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-DG,partGini_x,11,0,0.0035,0.3203,0.0034,0.7002,0.0163,0.1748,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-DG,partGini_y,11,0,0.0116,0.5195,-0.004,0.8311,0.0146,0.5771,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-V1,CC,13,0,0.0348,0.8926,0.0298,0.3054,0.0574,0.0266,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-V1,IFI,13,0,0.3081,0.2439,0.2954,0.4143,0.0193,0.5417,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-V1,lag,13,0,0.0,0.6953,0.0,0.7344,0.0,0.8203,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-V1,partGini_x,13,0,0.0272,0.6848,0.0071,0.5417,0.0451,0.2734,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA1-V1,partGini_y,13,0,-0.011,0.4973,0.0021,0.4548,0.0018,0.4973,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA3-DG,CC,5,0,-0.0127,0.8125,-0.0306,0.8125,-0.0031,0.8125,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA3-DG,IFI,5,0,0.1382,0.625,0.0095,0.8125,0.0445,0.4375,,,,,,
PROJECTED per-trial (trial 1 vs 4/7/10),CA3-DG,lag,5,0,0.0,,0.0,,0.0,,,,,,,
