animal,pair,epoch,dim,peak_cc,sig,ifi,lag
28,CA1-CA3,naive,1,0.0211,0,-0.0349,-2
28,CA1-CA3,naive,2,0.0294,0,0.0355,2
28,CA1-CA3,naive,3,0.0152,0,0.0138,2
28,CA1-CA3,naive,4,0.0102,0,0.0265,5
28,CA1-CA3,naive,5,-0.0062,0,-0.0087,-1
28,CA1-CA3,naive,6,-0.0025,0,-0.0103,-7
28,CA1-CA3,naive,7,0.0093,0,-0.0254,-7
28,CA1-CA3,naive,8,0.0064,0,-0.0641,-7
28,CA1-CA3,naive,9,-0.0364,0,-0.0823,-7
28,CA1-CA3,intermediate,1,0.3201,1,-0.002,0
28,CA1-CA3,intermediate,2,0.3046,1,0.0127,0
28,CA1-CA3,intermediate,3,-0.1759,0,-0.003,0
28,CA1-CA3,intermediate,4,-0.1141,0,-0.0346,0
28,CA1-CA3,intermediate,5,0.2459,1,-0.0223,0
28,CA1-CA3,intermediate,6,-0.1866,0,-0.0352,-7
28,CA1-CA3,intermediate,7,-0.1366,0,-0.0426,0
28,CA1-CA3,intermediate,8,0.2,1,-0.0097,0
28,CA1-CA3,intermediate,9,0.1767,1,0.0011,0
28,CA1-CA3,intermediate,10,-0.2012,0,0.0635,-8
28,CA1-CA3,expert,1,0.1898,1,-0.0162,0
28,CA1-CA3,expert,2,0.0143,0,0.0432,7
28,CA1-CA3,expert,3,0.0592,0,0.0034,0
28,CA1-CA3,expert,4,-0.0037,0,0.0175,-1
28,CA1-CA3,expert,5,0.04,0,0.0638,6
28,CA1-CA3,expert,6,0.0093,0,0.052,6
28,CA1-CA3,expert,7,0.0264,0,0.0117,0
28,CA1-CA3,expert,8,0.0288,0,0.021,0
28,CA1-CA3,expert,9,-0.0036,0,-0.0056,6
28,CA1-CA3,expert,10,0.0082,0,-0.0417,-6
28,CA1-CA3,expert,11,0.006,0,-0.0455,8
28,CA1-CA3,expert,12,-0.0049,0,-0.0176,-3
28,CA1-DG,naive,1,0.2881,1,-0.0055,1
28,CA1-DG,naive,2,0.205,1,-0.0121,5
28,CA1-DG,naive,3,0.047,0,-0.0654,-5
28,CA1-DG,naive,4,0.052,0,-0.0516,0
28,CA1-DG,naive,5,0.0341,0,-0.0417,0
28,CA1-DG,naive,6,0.0355,0,-0.0377,-5
28,CA1-DG,naive,7,0.0196,0,-0.0452,-1
28,CA1-DG,naive,8,0.024,0,-0.0362,-3
28,CA1-DG,naive,9,0.0032,0,-0.0325,-3
28,CA1-DG,naive,10,0.002,0,-0.045,-3
28,CA1-DG,naive,11,0.015,0,0.0211,-3
28,CA1-DG,naive,12,0.0085,0,0.0341,-4
28,CA1-DG,intermediate,1,0.336,1,0.0284,1
28,CA1-DG,intermediate,2,0.0413,0,0.0433,0
28,CA1-DG,intermediate,3,0.0228,0,0.0304,0
28,CA1-DG,intermediate,4,0.1309,1,-0.0291,0
28,CA1-DG,intermediate,5,0.0529,0,-0.005,-6
28,CA1-DG,intermediate,6,-0.0197,0,-0.0052,2
28,CA1-DG,intermediate,7,0.0017,0,0.0072,0
28,CA1-DG,intermediate,8,0.0108,0,-0.0,0
28,CA1-DG,intermediate,9,-0.0001,0,0.0062,-8
28,CA1-DG,intermediate,10,0.006,0,-0.021,-4
28,CA1-DG,intermediate,11,0.0806,0,-0.0709,-4
28,CA1-DG,intermediate,12,0.0273,0,-0.0369,-3
28,CA1-DG,intermediate,13,0.0394,0,-0.0034,-1
28,CA1-DG,expert,1,0.3381,1,0.0524,1
28,CA1-DG,expert,2,-0.0157,0,0.0649,0
28,CA1-DG,expert,3,-0.1264,0,-0.0119,1
28,CA1-DG,expert,4,0.2069,1,-0.0058,0
28,CA1-DG,expert,5,0.1849,1,0.0139,0
28,CA1-DG,expert,6,-0.1021,0,0.0061,0
28,CA1-DG,expert,7,0.2053,1,-0.0007,0
28,CA1-DG,expert,8,0.1429,1,-0.0034,0
28,CA1-DG,expert,9,-0.194,0,-0.0104,-1
28,CA1-DG,expert,10,0.1942,1,0.0161,-1
28,CA1-DG,expert,11,0.1555,1,-0.0138,-5
28,CA1-DG,expert,12,-0.1777,0,-0.0195,-3
28,CA1-DG,expert,13,0.1007,1,-0.0664,-1
28,CA1-V1,naive,1,0.2564,1,-0.0014,-2
28,CA1-V1,naive,2,0.1796,0,-0.0407,-6
28,CA1-V1,naive,3,0.0329,0,-0.0528,-6
28,CA1-V1,naive,4,0.0224,0,-0.0271,-8
28,CA1-V1,naive,5,0.0275,0,-0.0301,-2
28,CA1-V1,naive,6,0.0239,0,-0.0061,-2
28,CA1-V1,naive,7,0.0482,0,-0.0329,-2
28,CA1-V1,naive,8,0.0404,0,-0.0298,-1
28,CA1-V1,naive,9,0.0098,0,-0.0314,7
28,CA1-V1,naive,10,0.0213,0,-0.0051,-1
28,CA1-V1,naive,11,0.0093,0,-0.0006,-3
28,CA1-V1,naive,12,0.0045,0,0.0034,-3
28,CA1-V1,naive,13,-0.0001,0,0.022,3
28,CA1-V1,naive,14,-0.0031,0,0.0021,-8
28,CA1-V1,naive,15,-0.0064,0,0.0138,-2
28,CA1-V1,naive,16,-0.0132,0,0.0086,-2
28,CA1-V1,naive,17,0.023,0,0.0686,2
28,CA1-V1,naive,18,0.0017,0,0.0638,3
28,CA1-V1,naive,19,0.0027,0,0.0175,-6
28,CA1-V1,naive,20,-0.0011,0,-0.1827,-5
28,CA1-V1,intermediate,1,0.1937,1,0.0108,0
28,CA1-V1,intermediate,2,0.1191,0,-0.0124,0
28,CA1-V1,intermediate,3,0.0902,0,-0.0429,-5
28,CA1-V1,intermediate,4,0.106,0,-0.0069,0
28,CA1-V1,intermediate,5,0.0469,0,0.0125,-5
28,CA1-V1,intermediate,6,0.0507,0,0.0151,6
28,CA1-V1,intermediate,7,0.0366,0,0.0239,-6
28,CA1-V1,intermediate,8,0.019,0,0.0166,1
28,CA1-V1,intermediate,9,0.0129,0,0.0189,6
28,CA1-V1,intermediate,10,-0.0015,0,0.0137,1
28,CA1-V1,intermediate,11,0.0097,0,0.0049,6
28,CA1-V1,intermediate,12,-0.0057,0,-0.0124,-1
28,CA1-V1,intermediate,13,-0.0116,0,-0.0108,0
28,CA1-V1,intermediate,14,0.0121,0,0.0408,-5
28,CA1-V1,intermediate,15,0.0147,0,-0.0047,-5
28,CA1-V1,intermediate,16,0.0246,0,-0.0187,-5
28,CA1-V1,intermediate,17,0.0011,0,0.0059,-5
28,CA1-V1,intermediate,18,-0.0137,0,0.0052,-5
28,CA1-V1,intermediate,19,0.0238,0,-0.0548,-2
28,CA1-V1,intermediate,20,-0.001,0,-0.3473,-2
28,CA1-V1,expert,1,0.3456,1,0.0227,0
28,CA1-V1,expert,2,0.039,0,-0.014,-1
28,CA1-V1,expert,3,0.1833,0,-0.0292,-8
28,CA1-V1,expert,4,0.2305,1,-0.0374,-7
28,CA1-V1,expert,5,0.2209,1,-0.0017,0
28,CA1-V1,expert,6,-0.167,0,0.0014,1
28,CA1-V1,expert,7,0.0595,0,-0.001,-6
28,CA1-V1,expert,8,0.2188,1,-0.0011,-1
28,CA1-V1,expert,9,0.1998,1,-0.0156,-1
28,CA1-V1,expert,10,-0.1663,0,0.0001,-1
28,CA1-V1,expert,11,0.217,1,0.0037,0
28,CA1-V1,expert,12,0.1892,0,-0.0276,-6
28,CA1-V1,expert,13,-0.1735,0,-0.0018,1
28,CA1-V1,expert,14,-0.0444,0,-0.0304,-1
28,CA1-V1,expert,15,-0.1562,0,-0.0513,-7
28,CA1-V1,expert,16,-0.1455,0,-0.0638,-7
28,CA1-V1,expert,17,-0.1238,0,-0.0129,-7
28,CA1-V1,expert,18,0.1737,0,-0.0619,-7
28,CA1-V1,expert,19,-0.1785,0,-0.0733,-7
28,CA1-V1,expert,20,0.1822,0,0.0129,1
28,CA3-DG,naive,1,0.1968,1,-0.0254,0
28,CA3-DG,naive,2,0.0544,0,-0.0843,0
28,CA3-DG,naive,3,-0.0902,0,-0.0517,0
28,CA3-DG,naive,4,-0.0165,0,-0.0256,-5
28,CA3-DG,naive,5,-0.0405,0,-0.0071,-1
28,CA3-DG,naive,6,-0.0726,0,-0.0045,-1
28,CA3-DG,naive,7,-0.0171,0,-0.0228,0
28,CA3-DG,naive,8,-0.0229,0,-0.0245,5
28,CA3-DG,naive,9,-0.0192,0,-0.0648,-1
28,CA3-DG,intermediate,1,-0.0244,0,0.0531,-1
28,CA3-DG,intermediate,2,-0.1054,0,-0.0657,-3
28,CA3-DG,intermediate,3,-0.1348,0,-0.0291,0
28,CA3-DG,intermediate,4,0.2286,1,-0.054,0
28,CA3-DG,intermediate,5,0.1495,1,-0.0369,3
28,CA3-DG,intermediate,6,-0.1896,0,-0.0364,-7
28,CA3-DG,intermediate,7,-0.0214,0,-0.0499,3
28,CA3-DG,intermediate,8,-0.1995,0,-0.0266,3
28,CA3-DG,intermediate,9,-0.1366,0,-0.0281,-1
28,CA3-DG,intermediate,10,-0.1789,0,-0.0527,3
28,CA3-DG,expert,1,0.1307,1,0.0184,-5
28,CA3-DG,expert,2,0.0725,0,0.0319,0
28,CA3-DG,expert,3,0.0042,0,-0.0821,-6
28,CA3-DG,expert,4,0.0146,0,-0.0845,-5
28,CA3-DG,expert,5,0.0466,0,-0.0848,-5
28,CA3-DG,expert,6,0.018,0,-0.1026,-1
28,CA3-DG,expert,7,-0.0058,0,-0.0532,0
28,CA3-DG,expert,8,0.0309,0,-0.0541,0
28,CA3-DG,expert,9,0.0221,0,-0.053,0
28,CA3-DG,expert,10,0.0015,0,-0.0662,0
28,CA3-DG,expert,11,0.0211,0,0.0069,0
28,CA3-DG,expert,12,-0.0107,0,-0.0588,1
34,CA1-CA3,naive,1,0.3735,1,0.0155,0
34,CA1-CA3,naive,2,0.0819,0,-0.0567,-8
34,CA1-CA3,naive,3,0.0554,0,0.0153,0
34,CA1-CA3,naive,4,-0.0063,0,-0.0098,-6
34,CA1-CA3,naive,5,0.0176,0,-0.014,7
34,CA1-CA3,naive,6,0.0168,0,-0.0021,-6
34,CA1-CA3,naive,7,0.0116,0,-0.0202,0
34,CA1-CA3,naive,8,0.0227,0,0.0912,2
34,CA1-CA3,intermediate,1,0.4029,1,0.0036,0
34,CA1-CA3,intermediate,2,0.1548,1,0.0253,1
34,CA1-CA3,intermediate,3,0.0756,0,-0.0205,0
34,CA1-CA3,intermediate,4,0.0392,0,-0.045,0
34,CA1-CA3,intermediate,5,0.0407,0,0.0238,0
34,CA1-CA3,intermediate,6,-0.0124,0,0.0614,2
34,CA1-CA3,intermediate,7,0.0087,0,0.0848,2
34,CA1-CA3,intermediate,8,0.0111,0,0.0469,2
34,CA1-CA3,expert,1,0.4101,1,-0.0001,0
34,CA1-CA3,expert,2,0.161,1,0.0402,1
34,CA1-CA3,expert,3,0.1032,1,-0.0385,0
34,CA1-CA3,expert,4,0.0326,0,-0.0217,0
34,CA1-CA3,expert,5,0.0174,0,-0.0301,0
34,CA1-CA3,expert,6,0.0152,0,-0.0098,1
34,CA1-CA3,expert,7,-0.0035,0,0.0009,1
34,CA1-CA3,expert,8,-0.0198,0,0.0301,-4
34,CA1-V1,naive,1,0.1692,0,0.0297,3
34,CA1-V1,naive,2,0.0813,0,0.0228,4
34,CA1-V1,naive,3,0.0595,0,-0.0,-7
34,CA1-V1,naive,4,0.0843,0,0.0235,4
34,CA1-V1,naive,5,0.0595,0,0.0212,4
34,CA1-V1,naive,6,0.0429,0,-0.016,-8
34,CA1-V1,naive,7,0.0448,0,-0.0445,-4
34,CA1-V1,naive,8,0.0266,0,-0.0354,-7
34,CA1-V1,naive,9,-0.0135,0,-0.005,-4
34,CA1-V1,naive,10,0.0342,0,-0.0136,-4
34,CA1-V1,naive,11,0.0125,0,-0.019,-4
34,CA1-V1,naive,12,-0.005,0,-0.015,4
34,CA1-V1,naive,13,0.0104,0,0.0095,-4
34,CA1-V1,naive,14,-0.0109,0,-0.0425,-4
34,CA1-V1,naive,15,-0.0337,0,-0.0144,-4
34,CA1-V1,naive,16,0.0095,0,-0.0165,-8
34,CA1-V1,naive,17,0.0227,0,0.0008,-8
34,CA1-V1,naive,18,0.0037,0,0.0304,4
34,CA1-V1,naive,19,-0.1001,0,-0.0644,-4
34,CA1-V1,naive,20,0.0313,0,-0.1376,-8
