animal,pair,epoch,dim,peak_cc,sig,ifi,lag
28,CA1-CA3,naive,1,0.0224,0,-0.0882,-4
28,CA1-CA3,naive,2,0.0221,0,0.013,5
28,CA1-CA3,naive,3,0.0078,0,-0.0141,5
28,CA1-CA3,naive,4,0.0016,0,-0.0287,-2
28,CA1-CA3,naive,5,0.013,0,-0.0401,-1
28,CA1-CA3,naive,6,0.0125,0,-0.0691,-2
28,CA1-CA3,naive,7,-0.0014,0,-0.0699,-2
28,CA1-CA3,naive,8,-0.0118,0,-0.054,-7
28,CA1-CA3,naive,9,0.009,0,-0.134,-7
28,CA1-CA3,intermediate,1,0.2092,1,-0.0393,0
28,CA1-CA3,intermediate,2,0.2582,1,0.0783,0
28,CA1-CA3,intermediate,3,0.2261,1,0.0828,1
28,CA1-CA3,intermediate,4,0.2009,1,0.0352,1
28,CA1-CA3,intermediate,5,-0.1321,0,0.0023,1
28,CA1-CA3,intermediate,6,0.1353,1,0.0031,0
28,CA1-CA3,intermediate,7,0.2161,1,0.0136,0
28,CA1-CA3,intermediate,8,0.2048,1,-0.0092,0
28,CA1-CA3,intermediate,9,0.1895,1,0.0606,5
28,CA1-CA3,intermediate,10,0.1814,1,0.053,5
28,CA1-CA3,expert,1,0.1385,1,-0.0744,0
28,CA1-CA3,expert,2,0.0166,0,0.0142,8
28,CA1-CA3,expert,3,0.0351,0,0.0143,0
28,CA1-CA3,expert,4,0.0052,0,0.0057,8
28,CA1-CA3,expert,5,0.0167,0,-0.0068,-3
28,CA1-CA3,expert,6,0.0001,0,0.0217,-1
28,CA1-CA3,expert,7,0.0172,0,-0.0246,-1
28,CA1-CA3,expert,8,-0.0014,0,-0.0234,1
28,CA1-CA3,expert,9,0.0064,0,0.006,1
28,CA1-CA3,expert,10,-0.0069,0,-0.0017,-6
28,CA1-CA3,expert,11,-0.012,0,0.0792,2
28,CA1-CA3,expert,12,-0.0046,0,0.0164,2
28,CA1-DG,naive,1,0.2233,1,0.0191,2
28,CA1-DG,naive,2,0.1528,1,-0.0141,-1
28,CA1-DG,naive,3,0.0492,0,-0.0082,-2
28,CA1-DG,naive,4,0.0065,0,-0.0399,0
28,CA1-DG,naive,5,0.0324,0,-0.0453,0
28,CA1-DG,naive,6,0.0496,0,-0.0666,-2
28,CA1-DG,naive,7,0.0172,0,-0.0725,-2
28,CA1-DG,naive,8,-0.0079,0,-0.0792,-5
28,CA1-DG,naive,9,0.0013,0,-0.0531,-1
28,CA1-DG,naive,10,0.0159,0,-0.0616,-1
28,CA1-DG,naive,11,0.0012,0,-0.0606,-1
28,CA1-DG,naive,12,0.0077,0,-0.0717,-2
28,CA1-DG,intermediate,1,0.2624,1,0.0367,2
28,CA1-DG,intermediate,2,0.0494,0,0.0732,7
28,CA1-DG,intermediate,3,0.0359,0,0.0169,4
28,CA1-DG,intermediate,4,0.0821,1,-0.021,0
28,CA1-DG,intermediate,5,0.0063,0,-0.0049,-3
28,CA1-DG,intermediate,6,0.0196,0,0.0029,0
28,CA1-DG,intermediate,7,0.0546,0,-0.005,0
28,CA1-DG,intermediate,8,0.0146,0,-0.022,0
28,CA1-DG,intermediate,9,-0.0402,0,0.0009,-4
28,CA1-DG,intermediate,10,0.055,0,0.0043,-8
28,CA1-DG,intermediate,11,0.0269,0,0.0007,-8
28,CA1-DG,intermediate,12,0.0353,0,0.0362,0
28,CA1-DG,intermediate,13,0.0814,1,-0.0472,0
28,CA1-DG,expert,1,0.2128,1,0.038,2
28,CA1-DG,expert,2,-0.0358,0,0.1063,0
28,CA1-DG,expert,3,-0.1514,0,0.0368,0
28,CA1-DG,expert,4,0.2071,1,0.0094,3
28,CA1-DG,expert,5,0.0288,0,-0.0056,-1
28,CA1-DG,expert,6,0.2055,1,0.0063,-1
28,CA1-DG,expert,7,-0.1832,0,0.0082,7
28,CA1-DG,expert,8,0.0695,0,-0.0097,-1
28,CA1-DG,expert,9,-0.0448,0,-0.0324,7
28,CA1-DG,expert,10,0.1237,1,-0.0619,-3
28,CA1-DG,expert,11,0.192,1,-0.0181,1
28,CA1-DG,expert,12,-0.1312,0,-0.0047,8
28,CA1-DG,expert,13,0.1335,1,-0.0177,-3
28,CA1-V1,naive,1,0.1879,1,-0.0123,-4
28,CA1-V1,naive,2,0.1108,0,-0.028,-6
28,CA1-V1,naive,3,0.0161,0,-0.0605,-3
28,CA1-V1,naive,4,0.0008,0,-0.0309,-8
28,CA1-V1,naive,5,0.0254,0,-0.0239,-5
28,CA1-V1,naive,6,0.0231,0,-0.0196,-4
28,CA1-V1,naive,7,0.0257,0,-0.0395,-4
28,CA1-V1,naive,8,-0.0032,0,-0.0385,-5
28,CA1-V1,naive,9,-0.0007,0,-0.0436,-5
28,CA1-V1,naive,10,0.0015,0,-0.0441,-6
28,CA1-V1,naive,11,0.0122,0,-0.0608,-6
28,CA1-V1,naive,12,0.0065,0,-0.062,-6
28,CA1-V1,naive,13,0.0124,0,-0.0393,0
28,CA1-V1,naive,14,0.0027,0,-0.0518,0
28,CA1-V1,naive,15,0.0194,0,-0.0374,0
28,CA1-V1,naive,16,0.0105,0,-0.0205,8
28,CA1-V1,naive,17,0.0045,0,-0.0006,-7
28,CA1-V1,naive,18,-0.0106,0,-0.0146,4
28,CA1-V1,naive,19,-0.0077,0,-0.0162,-4
28,CA1-V1,naive,20,0.0046,0,-0.0026,8
28,CA1-V1,intermediate,1,0.1361,1,0.0027,0
28,CA1-V1,intermediate,2,0.086,0,-0.003,0
28,CA1-V1,intermediate,3,0.0525,0,-0.0068,-1
28,CA1-V1,intermediate,4,0.0481,0,-0.0266,0
28,CA1-V1,intermediate,5,0.0262,0,-0.0027,-4
28,CA1-V1,intermediate,6,0.0181,0,0.0053,0
28,CA1-V1,intermediate,7,0.0111,0,0.0195,1
28,CA1-V1,intermediate,8,0.0142,0,-0.0004,3
28,CA1-V1,intermediate,9,0.0111,0,0.0158,3
28,CA1-V1,intermediate,10,0.0054,0,0.0071,1
28,CA1-V1,intermediate,11,0.0014,0,0.014,3
28,CA1-V1,intermediate,12,0.0089,0,-0.0068,3
28,CA1-V1,intermediate,13,0.0207,0,-0.0065,-3
28,CA1-V1,intermediate,14,0.0127,0,-0.0023,6
28,CA1-V1,intermediate,15,0.0028,0,0.0347,4
28,CA1-V1,intermediate,16,-0.0066,0,-0.0247,4
28,CA1-V1,intermediate,17,0.0013,0,-0.0602,3
28,CA1-V1,intermediate,18,0.0057,0,-0.0964,-3
28,CA1-V1,intermediate,19,0.0031,0,-0.0023,-6
28,CA1-V1,intermediate,20,0.0086,0,-0.2071,-3
28,CA1-V1,expert,1,0.0483,0,-0.004,-1
28,CA1-V1,expert,2,-0.043,0,-0.0353,-3
28,CA1-V1,expert,3,-0.0561,0,-0.0277,-6
28,CA1-V1,expert,4,0.1053,0,-0.009,-8
28,CA1-V1,expert,5,0.1173,0,-0.0186,-2
28,CA1-V1,expert,6,-0.0744,0,0.0168,1
28,CA1-V1,expert,7,-0.1648,0,0.016,2
28,CA1-V1,expert,8,0.161,1,0.0057,-2
28,CA1-V1,expert,9,-0.1634,0,-0.0143,0
28,CA1-V1,expert,10,0.2038,1,0.0056,-2
28,CA1-V1,expert,11,-0.0562,0,-0.0066,-2
28,CA1-V1,expert,12,0.1977,1,-0.0156,-2
28,CA1-V1,expert,13,0.0462,0,-0.0141,1
28,CA1-V1,expert,14,0.0772,0,-0.0403,-8
28,CA1-V1,expert,15,-0.1897,0,0.006,-3
28,CA1-V1,expert,16,0.201,1,-0.056,2
28,CA1-V1,expert,17,-0.0798,0,-0.0214,5
28,CA1-V1,expert,18,0.0008,0,0.0655,5
28,CA1-V1,expert,19,-0.1673,0,-0.0799,5
28,CA1-V1,expert,20,0.074,0,-0.2021,4
28,CA3-DG,naive,1,0.1372,1,-0.0304,0
28,CA3-DG,naive,2,0.0554,0,-0.0616,0
28,CA3-DG,naive,3,-0.105,0,-0.0559,-5
28,CA3-DG,naive,4,-0.0481,0,-0.039,-7
28,CA3-DG,naive,5,-0.0672,0,-0.0545,0
28,CA3-DG,naive,6,-0.0334,0,-0.1005,0
28,CA3-DG,naive,7,-0.0196,0,-0.1036,-2
28,CA3-DG,naive,8,-0.0562,0,-0.1414,-3
28,CA3-DG,naive,9,0.0363,0,0.0135,0
28,CA3-DG,intermediate,1,0.259,1,0.057,5
28,CA3-DG,intermediate,2,0.1801,1,0.0157,0
28,CA3-DG,intermediate,3,0.0278,0,0.0337,0
28,CA3-DG,intermediate,4,-0.1671,0,-0.0053,0
28,CA3-DG,intermediate,5,0.0714,1,-0.0505,-1
28,CA3-DG,intermediate,6,-0.1872,0,-0.0054,0
28,CA3-DG,intermediate,7,0.1624,1,-0.0495,0
28,CA3-DG,intermediate,8,0.1061,1,-0.0054,-1
28,CA3-DG,intermediate,9,-0.0012,0,-0.0033,-1
28,CA3-DG,intermediate,10,0.1556,1,0.0477,6
28,CA3-DG,expert,1,0.1015,1,0.0648,0
28,CA3-DG,expert,2,0.0815,0,0.0653,0
28,CA3-DG,expert,3,0.0025,0,-0.0275,0
28,CA3-DG,expert,4,0.0163,0,-0.0485,1
28,CA3-DG,expert,5,0.0004,0,-0.0395,2
28,CA3-DG,expert,6,-0.0108,0,-0.0358,1
28,CA3-DG,expert,7,0.0066,0,-0.0099,1
28,CA3-DG,expert,8,0.0079,0,-0.0172,0
28,CA3-DG,expert,9,0.0007,0,-0.0383,-4
28,CA3-DG,expert,10,0.0078,0,-0.0794,-6
28,CA3-DG,expert,11,0.0026,0,-0.1659,0
28,CA3-DG,expert,12,-0.0015,0,-0.2664,-7
34,CA1-CA3,naive,1,0.2733,1,0.0526,6
34,CA1-CA3,naive,2,0.0523,0,0.1578,4
34,CA1-CA3,naive,3,0.0394,0,0.0784,4
34,CA1-CA3,naive,4,-0.0015,0,0.0291,3
34,CA1-CA3,naive,5,0.0105,0,0.0228,4
34,CA1-CA3,naive,6,0.0092,0,0.001,4
34,CA1-CA3,naive,7,0.0009,0,0.0649,3
34,CA1-CA3,naive,8,0.0112,0,0.1934,4
34,CA1-CA3,intermediate,1,0.2892,1,0.026,0
34,CA1-CA3,intermediate,2,0.1054,1,0.0778,3
34,CA1-CA3,intermediate,3,0.0439,0,-0.044,-1
34,CA1-CA3,intermediate,4,0.0248,0,0.0268,1
34,CA1-CA3,intermediate,5,0.0266,0,0.0472,1
34,CA1-CA3,intermediate,6,0.0039,0,0.0653,1
34,CA1-CA3,intermediate,7,0.0089,0,0.0708,5
34,CA1-CA3,intermediate,8,0.0141,0,0.1651,1
34,CA1-CA3,expert,1,0.2954,1,0.0118,0
34,CA1-CA3,expert,2,0.101,1,0.1124,3
34,CA1-CA3,expert,3,0.0439,0,-0.0632,-5
34,CA1-CA3,expert,4,0.0407,0,-0.0076,0
34,CA1-CA3,expert,5,0.0224,0,0.0055,0
34,CA1-CA3,expert,6,-0.0001,0,0.0721,2
34,CA1-CA3,expert,7,0.0033,0,0.1031,1
34,CA1-CA3,expert,8,-0.0074,0,0.1019,3
34,CA1-V1,naive,1,0.115,0,0.0245,8
34,CA1-V1,naive,2,0.0638,0,0.0269,2
34,CA1-V1,naive,3,0.0604,0,-0.0128,-4
34,CA1-V1,naive,4,0.0561,0,0.0059,7
34,CA1-V1,naive,5,-0.0128,0,0.0135,-1
34,CA1-V1,naive,6,0.0286,0,0.0254,5
34,CA1-V1,naive,7,-0.0447,0,-0.0093,0
34,CA1-V1,naive,8,0.0545,0,0.0033,2
34,CA1-V1,naive,9,0.007,0,0.0,2
34,CA1-V1,naive,10,0.0066,0,-0.0128,-3
34,CA1-V1,naive,11,0.0222,0,0.0036,0
34,CA1-V1,naive,12,0.015,0,-0.0126,-7
34,CA1-V1,naive,13,0.0191,0,-0.0376,0
34,CA1-V1,naive,14,-0.0308,0,-0.047,-2
34,CA1-V1,naive,15,0.0228,0,-0.0076,0
34,CA1-V1,naive,16,-0.0013,0,-0.0518,-4
34,CA1-V1,naive,17,-0.0221,0,-0.0372,-6
34,CA1-V1,naive,18,-0.0658,0,0.0512,-3
34,CA1-V1,naive,19,-0.0366,0,0.0501,2
34,CA1-V1,naive,20,0.0182,0,-0.0684,-3
34,CA1-V1,intermediate,1,0.1852,1,-0.0076,-7
34,CA1-V1,intermediate,2,0.1058,0,-0.0694,-6
34,CA1-V1,intermediate,3,0.0576,0,-0.0737,-6
34,CA1-V1,intermediate,4,0.0751,0,-0.0942,-5
34,CA1-V1,intermediate,5,0.0306,0,-0.0554,-1
34,CA1-V1,intermediate,6,0.0245,0,-0.0223,-8
34,CA1-V1,intermediate,7,0.0236,0,-0.0485,-5
34,CA1-V1,intermediate,8,0.033,0,-0.0204,-6
34,CA1-V1,intermediate,9,-0.003,0,-0.0008,2
34,CA1-V1,intermediate,10,0.0003,0,0.0011,1
34,CA1-V1,intermediate,11,0.0094,0,0.0204,1
34,CA1-V1,intermediate,12,0.0072,0,-0.0077,0
34,CA1-V1,intermediate,13,0.0021,0,-0.0356,-5
34,CA1-V1,intermediate,14,0.004,0,-0.0283,-4
34,CA1-V1,intermediate,15,0.0037,0,-0.0359,-7
34,CA1-V1,intermediate,16,0.0068,0,-0.0418,-6
34,CA1-V1,intermediate,17,0.0164,0,-0.0241,6
34,CA1-V1,intermediate,18,-0.0023,0,-0.0738,6
34,CA1-V1,intermediate,19,0.0052,0,0.0388,-3
34,CA1-V1,intermediate,20,-0.0016,0,0.0157,8
34,CA1-V1,expert,1,0.2484,1,-0.0009,-3
34,CA1-V1,expert,2,0.1412,0,-0.0174,0
34,CA1-V1,expert,3,0.0814,0,-0.0037,8
34,CA1-V1,expert,4,0.0579,0,0.0147,1
34,CA1-V1,expert,5,0.0351,0,-0.0399,-6
34,CA1-V1,expert,6,0.0291,0,-0.0212,-5
34,CA1-V1,expert,7,0.0426,0,-0.0028,0
34,CA1-V1,expert,8,0.0335,0,0.0135,0
34,CA1-V1,expert,9,0.0376,0,0.0102,-5
34,CA1-V1,expert,10,0.0206,0,-0.0222,-5
34,CA1-V1,expert,11,0.0222,0,-0.0464,-5
34,CA1-V1,expert,12,0.0069,0,-0.0499,0
34,CA1-V1,expert,13,-0.0089,0,-0.0084,-4
34,CA1-V1,expert,14,0.0017,0,0.0155,4
34,CA1-V1,expert,15,0.0177,0,-0.0209,7
34,CA1-V1,expert,16,-0.0172,0,-0.0032,-2
34,CA1-V1,expert,17,0.0069,0,-0.0359,-4
34,CA1-V1,expert,18,-0.0045,0,-0.036,-1
34,CA1-V1,expert,19,-0.0018,0,0.0273,1
34,CA1-V1,expert,20,-0.0047,0,0.0147,8
36,CA1-V1,naive,1,0.0746,0,-0.0125,-1
36,CA1-V1,naive,2,0.0328,0,-0.0277,-1
36,CA1-V1,naive,3,0.0202,0,-0.0137,-2
36,CA1-V1,naive,4,0.0412,0,-0.0508,-3
36,CA1-V1,naive,5,0.0121,0,-0.0006,3
36,CA1-V1,naive,6,0.0192,0,-0.007,-8
36,CA1-V1,naive,7,0.0319,0,-0.0024,3
36,CA1-V1,naive,8,-0.0007,0,0.008,8
36,CA1-V1,naive,9,0.0039,0,0.0091,8
36,CA1-V1,naive,10,0.0018,0,-0.0197,-3
36,CA1-V1,naive,11,0.0143,0,-0.003,0
36,CA1-V1,naive,12,0.012,0,-0.0289,0
36,CA1-V1,naive,13,0.0066,0,-0.009,0
36,CA1-V1,naive,14,0.016,0,-0.008,0
36,CA1-V1,naive,15,0.0122,0,0.0206,-1
36,CA1-V1,naive,16,0.002,0,0.0388,-8
36,CA1-V1,naive,17,-0.0094,0,0.0328,-1
36,CA1-V1,naive,18,-0.0071,0,0.037,3
36,CA1-V1,naive,19,0.0049,0,0.0191,8
36,CA1-V1,naive,20,0.0008,0,-0.1459,8
36,CA1-V1,intermediate,1,0.0827,0,0.0045,8
36,CA1-V1,intermediate,2,0.0416,0,0.0548,2
36,CA1-V1,intermediate,3,0.0109,0,0.0289,5
36,CA1-V1,intermediate,4,-0.0255,0,0.0127,-7
36,CA1-V1,intermediate,5,-0.02,0,0.0122,-2
36,CA1-V1,intermediate,6,-0.0032,0,0.015,-8
36,CA1-V1,intermediate,7,0.0083,0,0.0083,5
36,CA1-V1,intermediate,8,-0.004,0,-0.0142,-8
36,CA1-V1,intermediate,9,-0.0045,0,-0.019,-8
36,CA1-V1,intermediate,10,0.0021,0,-0.0115,-8
36,CA1-V1,intermediate,11,-0.0166,0,-0.0016,-8
36,CA1-V1,intermediate,12,-0.0032,0,0.0166,8
36,CA1-V1,intermediate,13,0.0088,0,-0.009,-8
36,CA1-V1,intermediate,14,-0.0113,0,-0.0078,4
36,CA1-V1,intermediate,15,-0.0059,0,-0.0292,4
36,CA1-V1,intermediate,16,-0.0082,0,-0.0399,-5
36,CA1-V1,intermediate,17,-0.0078,0,-0.0146,-3
36,CA1-V1,intermediate,18,0.0014,0,-0.101,-7
36,CA1-V1,intermediate,19,0.0003,0,-0.1258,-8
36,CA1-V1,intermediate,20,0.0061,0,-0.1174,-1
36,CA1-V1,expert,1,0.0719,0,-0.0209,-7
36,CA1-V1,expert,2,0.0688,0,0.0197,8
36,CA1-V1,expert,3,0.0596,0,0.0044,5
36,CA1-V1,expert,4,0.0273,0,-0.0373,-4
36,CA1-V1,expert,5,0.0397,0,-0.0228,-7
36,CA1-V1,expert,6,0.011,0,-0.0203,-7
36,CA1-V1,expert,7,-0.0007,0,-0.0163,-4
36,CA1-V1,expert,8,0.0143,0,0.0091,3
36,CA1-V1,expert,9,0.0104,0,0.0052,8
36,CA1-V1,expert,10,0.0135,0,0.0103,5
36,CA1-V1,expert,11,0.016,0,0.0191,5
36,CA1-V1,expert,12,0.0187,0,0.0121,7
36,CA1-V1,expert,13,0.0076,0,0.0395,-4
36,CA1-V1,expert,14,0.0082,0,0.0275,1
36,CA1-V1,expert,15,0.0047,0,0.0105,-2
36,CA1-V1,expert,16,-0.006,0,-0.0256,-4
36,CA1-V1,expert,17,-0.0051,0,0.0282,-3
36,CA1-V1,expert,18,-0.0081,0,0.0692,6
36,CA1-V1,expert,19,-0.0032,0,0.1343,4
36,CA1-V1,expert,20,-0.0001,0,0.0015,-3
41,CA1-CA3,expert,1,0.2261,1,0.0393,0
41,CA1-CA3,expert,2,0.1847,1,-0.0929,0
41,CA1-CA3,expert,3,0.1371,1,0.0026,0
41,CA1-CA3,expert,4,0.0299,0,-0.0119,0
41,CA1-CA3,expert,5,0.036,0,-0.005,0
41,CA1-CA3,expert,6,0.008,0,0.0429,0
41,CA1-CA3,expert,7,0.0038,0,0.0285,1
41,CA1-CA3,expert,8,0.0034,0,0.0067,1
41,CA1-CA3,expert,9,0.0077,0,0.0104,1
41,CA1-CA3,expert,10,0.0135,0,0.0036,-8
41,CA1-CA3,expert,11,0.0086,0,-0.0373,-8
