animal,pair,epoch,dim,peak_cc,sig,ifi,lag
28,CA1-CA3,naive,1,0.2449,1,0.0578,0
28,CA1-CA3,naive,2,0.1442,1,-0.0157,0
28,CA1-CA3,naive,3,0.0119,0,-0.1239,-8
28,CA1-CA3,naive,4,0.0239,0,-0.0363,-1
28,CA1-CA3,naive,5,0.0312,0,-0.0471,0
28,CA1-CA3,naive,6,-0.0032,0,-0.0829,-1
28,CA1-CA3,naive,7,0.0241,0,-0.0564,-2
28,CA1-CA3,naive,8,0.0247,0,-0.0822,-2
28,CA1-CA3,naive,9,0.0141,0,-0.0886,-2
28,CA1-CA3,naive,10,0.0103,0,-0.1204,-2
28,CA1-CA3,naive,11,0.0043,0,-0.1596,-5
28,CA1-CA3,naive,12,-0.0204,0,-0.1872,-2
28,CA1-CA3,intermediate,1,0.1693,1,-0.0128,0
28,CA1-CA3,intermediate,2,0.2909,1,0.0265,0
28,CA1-CA3,intermediate,3,0.1737,1,0.0131,0
28,CA1-CA3,intermediate,4,0.2579,1,0.021,0
28,CA1-CA3,intermediate,5,0.2181,1,0.017,0
28,CA1-CA3,intermediate,6,0.151,1,-0.0364,0
28,CA1-CA3,intermediate,7,-0.184,0,-0.0165,-4
28,CA1-CA3,intermediate,8,-0.1839,0,-0.0298,0
28,CA1-CA3,intermediate,9,0.2162,1,-0.0259,0
28,CA1-CA3,intermediate,10,0.196,1,0.0271,1
28,CA1-CA3,intermediate,11,0.1298,1,0.0293,1
28,CA1-CA3,intermediate,12,0.1768,1,0.0421,7
28,CA1-CA3,intermediate,13,0.2061,1,0.0825,1
28,CA1-CA3,expert,1,0.1631,1,-0.0285,0
28,CA1-CA3,expert,2,0.1503,1,-0.0226,0
28,CA1-CA3,expert,3,0.1051,1,0.0051,0
28,CA1-CA3,expert,4,0.0588,0,-0.0113,0
28,CA1-CA3,expert,5,0.0219,0,-0.0274,-2
28,CA1-CA3,expert,6,0.0156,0,-0.028,-3
28,CA1-CA3,expert,7,0.002,0,-0.007,-2
28,CA1-CA3,expert,8,0.0017,0,0.0188,-1
28,CA1-CA3,expert,9,0.0048,0,0.06,1
28,CA1-CA3,expert,10,0.0085,0,0.0531,0
28,CA1-CA3,expert,11,0.0292,0,0.0817,0
28,CA1-CA3,expert,12,-0.0168,0,0.0407,6
28,CA1-CA3,expert,13,0.0128,0,0.0806,2
28,CA1-CA3,expert,14,-0.0167,0,0.0486,3
28,CA1-CA3,expert,15,-0.0117,0,0.1463,6
28,CA1-DG,naive,1,0.2953,1,-0.0455,0
28,CA1-DG,naive,2,0.1577,1,-0.0048,0
28,CA1-DG,naive,3,0.1074,1,-0.0442,0
28,CA1-DG,naive,4,0.0545,0,-0.0235,0
28,CA1-DG,naive,5,0.0196,0,-0.0544,-2
28,CA1-DG,naive,6,0.0154,0,-0.0494,-2
28,CA1-DG,naive,7,0.0242,0,-0.0561,-2
28,CA1-DG,naive,8,0.0362,0,-0.0955,-2
28,CA1-DG,naive,9,0.0044,0,-0.0615,-1
28,CA1-DG,naive,10,0.0068,0,-0.0518,0
28,CA1-DG,naive,11,0.0066,0,-0.0692,-1
28,CA1-DG,naive,12,0.0133,0,-0.081,-2
28,CA1-DG,intermediate,1,0.2091,1,0.0308,0
28,CA1-DG,intermediate,2,0.1176,1,-0.0411,0
28,CA1-DG,intermediate,3,0.0937,1,-0.0353,0
28,CA1-DG,intermediate,4,0.0548,0,-0.0486,-1
28,CA1-DG,intermediate,5,0.0139,0,-0.0008,0
28,CA1-DG,intermediate,6,0.0204,0,0.0094,0
28,CA1-DG,intermediate,7,0.0055,0,0.0181,0
28,CA1-DG,intermediate,8,0.0296,0,0.0033,1
28,CA1-DG,intermediate,9,0.0887,1,-0.0134,0
28,CA1-DG,intermediate,10,-0.0012,0,0.0047,1
28,CA1-DG,intermediate,11,0.0774,1,0.0509,3
28,CA1-DG,intermediate,12,0.0024,0,0.0658,8
28,CA1-DG,intermediate,13,0.116,1,0.0076,3
28,CA1-DG,expert,1,0.1127,1,0.0633,0
28,CA1-DG,expert,2,0.2716,1,-0.0403,0
28,CA1-DG,expert,3,-0.1086,0,-0.0811,0
28,CA1-DG,expert,4,0.2221,1,0.0203,0
28,CA1-DG,expert,5,0.1459,1,0.0147,0
28,CA1-DG,expert,6,-0.1706,0,0.0,-1
28,CA1-DG,expert,7,0.1259,1,-0.0123,0
28,CA1-DG,expert,8,0.1048,1,-0.0383,0
28,CA1-DG,expert,9,0.1765,1,-0.057,-5
28,CA1-DG,expert,10,-0.1751,0,-0.0556,-5
28,CA1-DG,expert,11,0.1408,1,-0.0584,-5
28,CA1-DG,expert,12,-0.1918,0,-0.0436,-5
28,CA1-DG,expert,13,-0.0375,0,-0.1047,-3
28,CA1-V1,naive,1,0.1919,1,-0.0195,-4
28,CA1-V1,naive,2,0.1003,0,-0.031,-6
28,CA1-V1,naive,3,0.0508,0,-0.0523,0
28,CA1-V1,naive,4,-0.0021,0,-0.0491,-7
28,CA1-V1,naive,5,0.0156,0,-0.0238,-3
28,CA1-V1,naive,6,0.0179,0,-0.008,-4
28,CA1-V1,naive,7,0.0214,0,-0.0172,-5
28,CA1-V1,naive,8,-0.0014,0,-0.0328,-5
28,CA1-V1,naive,9,0.0059,0,-0.0411,-4
28,CA1-V1,naive,10,0.0,0,-0.0379,-4
28,CA1-V1,naive,11,0.0254,0,-0.0478,0
28,CA1-V1,naive,12,0.0021,0,-0.0295,7
28,CA1-V1,naive,13,0.0173,0,-0.0406,-6
28,CA1-V1,naive,14,0.0097,0,-0.0484,-5
28,CA1-V1,naive,15,0.0081,0,-0.0334,0
28,CA1-V1,naive,16,0.0094,0,-0.0336,0
28,CA1-V1,naive,17,0.0027,0,0.0099,0
28,CA1-V1,naive,18,0.0105,0,-0.0161,-7
28,CA1-V1,naive,19,0.016,0,-0.0944,-7
28,CA1-V1,naive,20,0.0147,0,0.0424,0
28,CA1-V1,intermediate,1,0.1036,0,0.0022,0
28,CA1-V1,intermediate,2,0.085,0,-0.0106,0
28,CA1-V1,intermediate,3,0.0272,0,-0.037,-1
28,CA1-V1,intermediate,4,0.0473,0,-0.03,0
28,CA1-V1,intermediate,5,0.035,0,0.0158,1
28,CA1-V1,intermediate,6,0.0369,0,-0.0064,0
28,CA1-V1,intermediate,7,0.027,0,0.0026,0
28,CA1-V1,intermediate,8,-0.0119,0,0.013,1
28,CA1-V1,intermediate,9,0.0112,0,-0.0434,-5
28,CA1-V1,intermediate,10,0.0026,0,-0.0351,3
28,CA1-V1,intermediate,11,0.013,0,-0.038,-6
28,CA1-V1,intermediate,12,0.0244,0,-0.0168,1
28,CA1-V1,intermediate,13,0.0074,0,-0.0443,1
28,CA1-V1,intermediate,14,0.0009,0,-0.0641,-3
28,CA1-V1,intermediate,15,0.0112,0,-0.0439,-1
28,CA1-V1,intermediate,16,0.0157,0,-0.0135,0
28,CA1-V1,intermediate,17,0.012,0,0.0574,3
28,CA1-V1,intermediate,18,-0.0028,0,-0.0063,0
28,CA1-V1,intermediate,19,0.0106,0,0.0186,-5
28,CA1-V1,intermediate,20,0.0041,0,-0.0263,5
28,CA1-V1,expert,1,0.0458,0,0.0107,2
28,CA1-V1,expert,2,0.2567,1,-0.0301,-3
28,CA1-V1,expert,3,-0.1317,0,-0.0088,-4
28,CA1-V1,expert,4,0.0318,0,-0.0155,-5
28,CA1-V1,expert,5,0.0719,0,0.0081,1
28,CA1-V1,expert,6,-0.1595,0,-0.0067,1
28,CA1-V1,expert,7,0.1936,1,0.0097,1
28,CA1-V1,expert,8,0.1903,1,0.0292,1
28,CA1-V1,expert,9,0.1964,1,0.0099,-1
28,CA1-V1,expert,10,0.1825,1,0.0083,-1
28,CA1-V1,expert,11,-0.1732,0,-0.0162,-3
28,CA1-V1,expert,12,0.1822,1,0.0014,1
28,CA1-V1,expert,13,-0.1899,0,-0.0081,-6
