animal,pair,epoch,dim,peak_cc,sig,ifi,lag
28,CA1-CA3,naive,1,0.2534,1,0.0326,0
28,CA1-CA3,naive,2,0.1819,1,-0.0152,0
28,CA1-CA3,naive,3,0.0406,0,-0.0126,-2
28,CA1-CA3,naive,4,-0.0017,0,-0.0211,0
28,CA1-CA3,naive,5,-0.0049,0,-0.021,-1
28,CA1-CA3,naive,6,0.0179,0,0.0002,0
28,CA1-CA3,naive,7,0.0212,0,-0.0287,-1
28,CA1-CA3,naive,8,0.007,0,-0.0403,-6
28,CA1-CA3,naive,9,0.0135,0,-0.0224,5
28,CA1-CA3,naive,10,0.0255,0,-0.0696,0
28,CA1-CA3,naive,11,0.0237,0,-0.0986,-1
28,CA1-CA3,naive,12,-0.0023,0,-0.1188,0
28,CA1-CA3,intermediate,1,0.283,1,-0.03,0
28,CA1-CA3,intermediate,2,0.296,1,0.0493,0
28,CA1-CA3,intermediate,3,0.3033,1,0.0382,0
28,CA1-CA3,intermediate,4,0.2328,1,-0.0203,0
28,CA1-CA3,intermediate,5,-0.1553,0,-0.0113,0
28,CA1-CA3,intermediate,6,-0.0157,0,-0.0291,-7
28,CA1-CA3,intermediate,7,-0.1422,0,-0.0287,0
28,CA1-CA3,intermediate,8,0.1127,0,-0.0246,0
28,CA1-CA3,intermediate,9,0.0929,0,-0.0481,0
28,CA1-CA3,intermediate,10,0.0576,0,-0.0304,0
28,CA1-CA3,intermediate,11,0.1783,1,-0.0817,0
28,CA1-CA3,intermediate,12,0.2077,1,-0.0811,0
28,CA1-CA3,intermediate,13,-0.1795,0,-0.0127,0
28,CA1-CA3,expert,1,0.1997,1,-0.0078,0
28,CA1-CA3,expert,2,0.1853,1,-0.0196,0
28,CA1-CA3,expert,3,0.1069,0,0.0363,0
28,CA1-CA3,expert,4,0.0847,0,0.0019,0
28,CA1-CA3,expert,5,0.0266,0,-0.0046,0
28,CA1-CA3,expert,6,0.0074,0,0.0093,5
28,CA1-CA3,expert,7,0.0067,0,0.0229,0
28,CA1-CA3,expert,8,0.0216,0,0.0288,0
28,CA1-CA3,expert,9,0.0345,0,-0.0123,0
28,CA1-CA3,expert,10,0.0161,0,0.0082,-6
28,CA1-CA3,expert,11,0.0128,0,0.0307,0
28,CA1-CA3,expert,12,0.0097,0,-0.0088,0
28,CA1-CA3,expert,13,0.0185,0,0.0265,0
28,CA1-CA3,expert,14,-0.0231,0,-0.0075,-6
28,CA1-CA3,expert,15,-0.0132,0,-0.0931,-7
28,CA1-DG,naive,1,0.3866,1,-0.0135,0
28,CA1-DG,naive,2,0.2222,1,-0.0254,0
28,CA1-DG,naive,3,0.1648,1,-0.0484,0
28,CA1-DG,naive,4,0.0661,0,-0.0366,0
