animal,learner,pair,epoch,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
28,1,CA1-CA3,naive,11598,0.0209,0,0.0,-0.0349,-2,0.2996,0.6576
28,1,CA1-CA3,intermediate,10675,0.2087,2,0.032,-0.002,0,0.2396,0.9223
28,1,CA1-CA3,expert,10879,0.2111,1,0.0228,-0.0162,0,0.2851,0.1491
28,1,CA1-DG,naive,11598,0.2891,2,0.0635,-0.0055,1,0.2753,0.2011
28,1,CA1-DG,intermediate,10675,0.2789,2,0.059,0.0284,1,0.2309,0.09
28,1,CA1-DG,expert,10879,0.2778,2,0.0585,0.0524,1,0.2567,0.1753
28,1,CA1-V1,naive,11598,0.2562,1,0.0339,-0.0014,-2,0.2774,0.4739
28,1,CA1-V1,intermediate,10675,0.1958,1,0.0195,0.0108,0,0.1936,0.3127
28,1,CA1-V1,expert,10879,0.2129,1,0.0232,0.0227,0,0.2539,0.3164
28,1,CA3-DG,naive,11598,0.1361,1,0.0093,-0.0254,0,0.6578,0.22
28,1,CA3-DG,intermediate,10675,0.1468,1,0.0109,0.0531,-1,0.9223,0.1184
28,1,CA3-DG,expert,10879,0.1693,2,0.0229,0.0184,-5,0.1498,0.172
34,1,CA1-CA3,naive,10405,0.379,1,0.0775,0.0155,0,0.3405,0.5563
34,1,CA1-CA3,intermediate,11662,0.409,2,0.1005,0.0036,0,0.3089,0.1099
34,1,CA1-CA3,expert,9260,0.4107,3,0.1107,-0.0001,0,0.4088,0.1191
34,1,CA1-V1,naive,10405,0.1078,0,0.0,0.0297,3,0.2782,0.4301
34,1,CA1-V1,intermediate,11662,0.2644,1,0.0362,-0.0018,-2,0.1728,0.292
34,1,CA1-V1,expert,9260,0.3515,1,0.0659,-0.0073,-7,0.3863,0.3313
36,1,CA1-V1,naive,11302,0.1062,0,0.0,-0.0052,0,0.3931,0.1443
36,1,CA1-V1,intermediate,12027,0.1412,1,0.0101,0.0284,5,0.3392,0.1593
36,1,CA1-V1,expert,11125,0.1317,0,0.0,-0.0165,-8,0.322,0.139
