animal,learner,pair,epoch,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_x_conn,gini_y_conn,gini_x_sig,gini_y_sig
28,1,CA1-CA3,naive,29009,0.0224,0,0.0,-0.0882,-4,0.3043,0.6334,0.4021,0.6293,nan,nan
28,1,CA1-CA3,intermediate,26696,0.2092,9,0.1933,-0.0393,0,0.259,0.7957,0.2965,0.8248,0.2807,0.8052
28,1,CA1-CA3,expert,27215,0.1385,1,0.0097,-0.0744,0,0.2697,0.1427,0.4829,0.4866,0.5769,0.6261
28,1,CA1-DG,naive,29009,0.2233,2,0.0374,0.0191,2,0.2893,0.1972,0.4463,0.4468,0.5248,0.5462
28,1,CA1-DG,intermediate,26696,0.2624,3,0.0424,0.0367,2,0.2273,0.073,0.3955,0.27,0.3681,0.2683
28,1,CA1-DG,expert,27215,0.2128,6,0.1022,0.038,2,0.2568,0.1739,0.3127,0.2644,0.3083,0.257
28,1,CA1-V1,naive,29009,0.1879,1,0.018,-0.0123,-4,0.2786,0.5228,0.4352,0.5246,0.5725,0.5788
28,1,CA1-V1,intermediate,26696,0.1361,1,0.0093,0.0027,0,0.1912,0.3771,0.3444,0.3801,0.455,0.527
28,1,CA1-V1,expert,27215,0.0483,4,0.0749,-0.004,-1,0.2561,0.3599,0.2879,0.3889,0.3031,0.4154
28,1,CA3-DG,naive,29009,0.1372,1,0.0095,-0.0304,0,0.6336,0.2292,0.5296,0.4309,0.6058,0.5374
28,1,CA3-DG,intermediate,26696,0.259,6,0.085,0.057,5,0.7779,0.0902,0.6641,0.2314,0.6806,0.1978
28,1,CA3-DG,expert,27215,0.1015,1,0.0052,0.0648,0,0.1427,0.1511,0.2828,0.42,0.467,0.5596
34,1,CA1-CA3,naive,26033,0.2733,1,0.0388,0.0526,6,0.3751,0.5447,0.5817,0.5071,0.7177,0.57
34,1,CA1-CA3,intermediate,29176,0.2892,2,0.0493,0.026,0,0.2877,0.1101,0.5185,0.5291,0.526,0.6038
34,1,CA1-CA3,expert,23156,0.2954,2,0.0508,0.0118,0,0.3341,0.1178,0.5585,0.5305,0.5968,0.5851
34,1,CA1-V1,naive,26033,0.115,0,0.0,0.0245,8,0.2685,0.4752,0.3595,0.4645,nan,nan
34,1,CA1-V1,intermediate,29176,0.1852,1,0.0175,-0.0076,-7,0.1754,0.3401,0.3996,0.3806,0.5354,0.5098
34,1,CA1-V1,expert,23156,0.2484,1,0.0318,-0.0009,-3,0.3634,0.3928,0.4172,0.4061,0.5783,0.5014
