animal,learner,pair,epoch,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_x_conn,gini_y_conn,gini_x_sig,gini_y_sig
28,1,CA1-CA3,naive,29009,0.2449,2,0.0414,0.0578,0,0.3447,0.6466,0.5497,0.5372,0.5525,0.5679
28,1,CA1-CA3,intermediate,26696,0.1693,11,0.234,-0.0128,0,0.3113,0.8061,0.3188,0.8358,0.314,0.8128
28,1,CA1-CA3,expert,27215,0.1631,3,0.0305,-0.0285,0,0.3455,0.1288,0.4591,0.4472,0.4682,0.5056
28,1,CA1-DG,naive,29009,0.2953,3,0.064,-0.0455,0,0.3489,0.2005,0.5412,0.4671,0.5647,0.5397
28,1,CA1-DG,intermediate,26696,0.2091,6,0.0474,0.0308,0,0.3091,0.0792,0.3911,0.2315,0.3646,0.1739
28,1,CA1-DG,expert,27215,0.1127,8,0.1201,0.0633,0,0.3405,0.1734,0.3689,0.1972,0.3447,0.2184
28,1,CA1-V1,naive,29009,0.1919,1,0.0188,-0.0195,-4,0.3269,0.5158,0.479,0.5144,0.6138,0.5959
28,1,CA1-V1,intermediate,26696,0.1036,0,0.0,0.0022,0,0.2953,0.3704,0.3869,0.3701,nan,nan
28,1,CA1-V1,expert,27215,0.0458,9,0.1776,0.0107,2,0.3114,0.3525,0.358,0.3788,0.359,0.3886
28,1,CA3-DG,naive,29009,0.5133,3,0.1683,-0.0054,0,0.6314,0.1981,0.5578,0.5541,0.5199,0.4086
28,1,CA3-DG,intermediate,26696,0.6322,10,0.4123,0.0188,0,0.7647,0.0749,0.7033,0.2655,0.7285,0.135
28,1,CA3-DG,expert,27215,0.5114,2,0.1654,0.0371,0,0.1316,0.1728,0.5677,0.5179,0.5317,0.5043
34,1,CA1-CA3,naive,26033,0.4617,3,0.1544,-0.0093,0,0.3626,0.4224,0.6239,0.4609,0.6093,0.4359
34,1,CA1-CA3,intermediate,29176,0.4686,4,0.1907,0.0404,0,0.3244,0.0783,0.5844,0.4437,0.5155,0.3727
34,1,CA1-CA3,expert,23156,0.5051,6,0.2793,0.0282,0,0.3594,0.0901,0.5296,0.2583,0.4423,0.1673
34,1,CA1-V1,naive,26033,0.1663,1,0.014,0.0209,3,0.3227,0.4546,0.4674,0.4187,0.6725,0.5822
34,1,CA1-V1,intermediate,29176,0.235,1,0.0284,-0.0029,-7,0.2544,0.3342,0.4597,0.3819,0.5665,0.5093
34,1,CA1-V1,expert,23156,0.3168,1,0.0529,-0.0031,-3,0.3164,0.3763,0.4849,0.4066,0.6579,0.5343
36,1,CA1-CA3,naive,28270,0.3164,3,0.0709,-0.008,2,0.4964,0.1005,0.6344,0.3291,0.6441,0.2415
