animal,learner,pair,epoch,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
28,1,CA1-CA3,naive,11598,0.2534,2,0.05,0.0326,0,0.3427,0.6683
28,1,CA1-CA3,intermediate,10675,0.283,6,0.2019,-0.03,0,0.3115,0.9389
28,1,CA1-CA3,expert,10879,0.1997,2,0.0378,-0.0078,0,0.3322,0.134
28,1,CA1-DG,naive,11598,0.3866,3,0.12,-0.0135,0,0.3447,0.2053
28,1,CA1-DG,intermediate,10675,0.2152,6,0.0658,0.0511,0,0.3005,0.0981
28,1,CA1-DG,expert,10879,0.1889,6,0.1742,0.1068,0,0.3297,0.1755
28,1,CA1-V1,naive,11598,0.2689,1,0.0375,-0.0093,-6,0.3115,0.4694
28,1,CA1-V1,intermediate,10675,0.1759,1,0.0157,0.0017,1,0.2942,0.3091
28,1,CA1-V1,expert,10879,0.3485,8,0.2591,0.0216,0,0.3053,0.3105
28,1,CA3-DG,naive,11598,0.5536,3,0.2018,-0.0204,0,0.6485,0.2024
28,1,CA3-DG,intermediate,10675,0.5616,4,0.2405,0.0203,0,0.9389,0.0929
28,1,CA3-DG,expert,10879,0.5672,2,0.2148,0.0468,0,0.1508,0.1739
34,1,CA1-CA3,naive,10405,0.5455,4,0.2451,0.0099,2,0.3682,0.4344
34,1,CA1-CA3,intermediate,11662,0.5781,3,0.324,0.0496,0,0.2946,0.0751
34,1,CA1-CA3,expert,9260,0.5811,6,0.4022,0.0306,0,0.3575,0.0886
34,1,CA1-V1,naive,10405,0.2341,1,0.0282,0.0321,4,0.3203,0.4171
34,1,CA1-V1,intermediate,11662,0.3126,1,0.0514,-0.0049,0,0.2418,0.2975
34,1,CA1-V1,expert,9260,0.4189,1,0.0965,-0.0091,0,0.3166,0.3237
36,1,CA1-CA3,naive,11302,0.4233,3,0.1412,-0.0468,1,0.4435,0.1017
36,1,CA1-CA3,intermediate,12027,0.3796,3,0.1321,-0.0235,1,0.4275,0.0376
36,1,CA1-CA3,expert,11125,0.3929,3,0.1436,-0.011,1,0.3573,0.0405
36,1,CA1-V1,naive,11302,0.0762,0,0.0,-0.0185,-5,0.4171,0.1547
36,1,CA1-V1,intermediate,12027,0.1521,1,0.0117,0.0365,7,0.4078,0.1635
36,1,CA1-V1,expert,11125,0.1252,0,0.0,-0.0162,-8,0.3614,0.1585
41,1,CA1-CA3,naive,11058,0.639,3,0.3766,0.0018,1,0.2032,0.3136
41,1,CA1-CA3,intermediate,10668,0.6025,3,0.4288,-0.0023,1,0.2705,0.2691
41,1,CA1-CA3,expert,10378,0.5884,3,0.4031,0.0017,1,0.2168,0.2151
41,1,CA1-V1,naive,11058,0.1727,0,0.0,-0.0343,-6,0.2009,0.3789
41,1,CA1-V1,intermediate,10668,0.2395,0,0.0,-0.0194,-6,0.2734,0.2864
41,1,CA1-V1,expert,10378,0.1967,0,0.0,-0.0007,0,0.2165,0.2695
52,1,CA1-RSC,naive,14752,-0.1551,5,0.0627,0.0634,4,0.4168,0.0778
52,1,CA1-RSC,intermediate,12721,0.0501,0,0.0,0.0031,-4,0.3731,0.0452
52,1,CA1-RSC,expert,9651,0.0778,4,0.1622,0.004,2,0.3954,0.036
52,1,CA1-CA3,naive,14752,0.2522,4,0.0727,-0.0063,0,0.4128,0.3964
52,1,CA1-CA3,intermediate,12721,0.1841,2,0.0277,-0.0026,0,0.3714,0.3856
52,1,CA1-CA3,expert,9651,-0.0715,6,0.1031,0.0188,0,0.3853,0.4164
52,1,CA1-DG,naive,14752,0.3625,8,0.227,0.0102,0,0.4145,0.2492
52,1,CA1-DG,intermediate,12721,0.2125,3,0.0375,0.0098,0,0.3749,0.1865
52,1,CA1-DG,expert,9651,0.5207,9,0.4602,0.0061,0,0.3848,0.2082
52,1,CA1-V1,naive,14752,0.3578,8,0.2438,-0.0334,0,0.4137,0.2851
52,1,CA1-V1,intermediate,12721,0.2615,2,0.0638,-0.0616,0,0.3743,0.2572
52,1,CA1-V1,expert,9651,0.0823,1,0.0377,-0.0002,0,0.3797,0.3062
52,1,CA3-DG,naive,14752,0.6363,15,0.9925,0.0179,0,0.4003,0.262
52,1,CA3-DG,intermediate,12721,0.5625,7,0.5312,-0.0035,0,0.3828,0.1968
52,1,CA3-DG,expert,9651,0.3659,7,0.6857,0.014,0,0.4162,0.2087
52,1,V1-RSC,naive,14752,-0.0088,3,0.0478,-0.0077,0,0.2704,0.0786
52,1,V1-RSC,intermediate,12721,0.2683,3,0.0498,-0.0069,0,0.2402,0.0454
52,1,V1-RSC,expert,9651,0.5247,6,0.5396,0.0685,0,0.2879,0.0372
61,1,CA1-RSC,naive,11254,0.2326,1,0.0278,0.0643,0,0.5151,0.3579
61,1,CA1-RSC,intermediate,12777,0.257,6,0.0981,0.0252,0,0.4562,0.2321
61,1,CA1-RSC,expert,13797,0.3425,4,0.116,0.0163,0,0.4867,0.2538
61,1,CA1-CA3,naive,11254,-0.1485,2,0.1198,-0.0594,-1,0.5115,0.3536
61,1,CA1-CA3,intermediate,12777,0.4629,12,0.3379,0.0398,0,0.4547,0.3273
61,1,CA1-CA3,expert,13797,0.5469,5,0.3293,-0.0152,0,0.4925,0.3419
61,1,CA1-DG,naive,11254,0.2182,1,0.0244,-0.0235,0,0.5174,0.2474
61,1,CA1-DG,intermediate,12777,0.2453,2,0.0366,0.0109,0,0.4602,0.2304
61,1,CA1-DG,expert,13797,0.2709,1,0.0381,-0.0069,0,0.4968,0.24
61,1,CA1-V1,naive,11254,0.0726,1,0.0089,0.0261,2,0.5238,0.4598
61,1,CA1-V1,intermediate,12777,0.1262,1,0.0243,-0.0272,0,0.4571,0.3736
61,1,CA1-V1,expert,13797,0.281,2,0.0494,-0.005,0,0.4943,0.3826
61,1,CA3-DG,naive,11254,0.3659,4,0.2911,-0.0536,0,0.3524,0.2409
61,1,CA3-DG,intermediate,12777,0.4494,4,0.2343,-0.0362,0,0.3248,0.2225
61,1,CA3-DG,expert,13797,0.4393,5,0.3219,-0.02,0,0.3358,0.238
61,1,V1-RSC,naive,11254,0.425,3,0.1816,0.026,0,0.4491,0.3546
61,1,V1-RSC,intermediate,12777,0.4238,4,0.2684,0.005,0,0.3698,0.2268
61,1,V1-RSC,expert,13797,0.4472,5,0.283,0.0033,0,0.3821,0.2585
63,1,CA1-RSC,naive,11997,0.1721,1,0.015,0.0391,1,0.1006,0.3802
63,1,CA1-RSC,intermediate,8181,0.1854,1,0.0175,-0.0054,2,0.1049,0.2786
63,1,CA1-RSC,expert,7336,0.1631,1,0.0135,0.0074,2,0.0831,0.3397
66,1,CA1-RSC,naive,11096,0.1511,2,0.0203,0.012,0,0.3351,0.2298
66,1,CA1-RSC,intermediate,8501,0.139,0,0.0,0.0656,1,0.2745,0.1096
66,1,CA1-RSC,expert,8577,0.1333,0,0.0,0.0622,0,0.2732,0.1002
66,1,CA1-DG,naive,11096,0.3782,3,0.1113,0.0147,0,0.3292,0.274
66,1,CA1-DG,intermediate,8501,0.3747,3,0.1129,0.0026,0,0.2756,0.2566
66,1,CA1-DG,expert,8577,0.3333,2,0.0824,0.059,0,0.2726,0.2716
66,1,CA1-V1,naive,11096,0.1611,0,0.0,0.0213,0,0.3303,0.1172
66,1,CA1-V1,intermediate,8501,0.1313,0,0.0,-0.0037,0,0.275,0.1042
66,1,CA1-V1,expert,8577,0.136,0,0.0,-0.0121,0,0.2735,0.0832
66,1,CA1-SUB,naive,11096,0.1676,2,0.0191,-0.0097,0,0.3652,0.0641
66,1,CA1-SUB,intermediate,8501,0.2155,1,0.0238,-0.077,0,0.2876,0.0355
66,1,CA1-SUB,expert,8577,0.1914,2,0.0269,-0.001,0,0.2969,0.0485
66,1,RSC-SUB,naive,11096,0.0944,1,0.0045,-0.0206,0,0.2595,0.0651
66,1,RSC-SUB,intermediate,8501,0.0989,0,0.0,-0.0016,1,0.1585,0.0355
66,1,RSC-SUB,expert,8577,0.1142,1,0.0066,0.0408,0,0.1177,0.0495
66,1,V1-RSC,naive,11096,0.1964,2,0.0313,-0.0075,1,0.1256,0.2309
66,1,V1-RSC,intermediate,8501,0.1171,1,0.0108,-0.0171,0,0.1108,0.1099
66,1,V1-RSC,expert,8577,0.2192,1,0.0246,-0.0763,-2,0.0918,0.1
68,1,CA1-RSC,naive,9753,0.1043,0,0.0,0.0031,0,0.2217,0.119
68,1,CA1-RSC,intermediate,10031,0.1201,0,0.0,0.039,2,0.0864,0.1103
68,1,CA1-RSC,expert,8583,0.1076,0,0.0,0.0019,2,0.1142,0.1438
68,1,CA1-CA3,naive,9753,0.5043,3,0.2207,-0.0278,0,0.2498,0.5473
