animal,pair,epoch,area,unit,contrib,contrib_conn
28,CA1-CA3,naive,CA1,0,0.682082,0.006027
28,CA1-CA3,naive,CA1,1,0.466489,0.007058
28,CA1-CA3,naive,CA1,2,0.571313,0.004336
28,CA1-CA3,naive,CA1,3,1.003987,0.010123
28,CA1-CA3,naive,CA1,4,0.501634,0.00353
28,CA1-CA3,naive,CA1,5,0.771909,0.0061
28,CA1-CA3,naive,CA1,6,0.942536,0.016995
28,CA1-CA3,naive,CA1,7,0.858381,0.009936
28,CA1-CA3,naive,CA1,8,0.696805,0.005728
28,CA1-CA3,naive,CA1,9,0.014258,0.000104
28,CA1-CA3,naive,CA1,10,0.871256,0.00914
28,CA1-CA3,naive,CA1,11,0.57727,0.004732
28,CA1-CA3,naive,CA1,12,0.406919,0.002784
28,CA1-CA3,naive,CA1,13,0.001168,1.3e-05
28,CA1-CA3,naive,CA1,14,0.484754,0.004516
28,CA1-CA3,naive,CA1,15,0.545166,0.004288
28,CA1-CA3,naive,CA1,16,0.763676,0.006987
28,CA1-CA3,naive,CA1,17,0.693477,0.013559
28,CA1-CA3,naive,CA1,18,0.520029,0.006339
28,CA1-CA3,naive,CA1,19,0.016352,0.000268
28,CA1-CA3,naive,CA1,20,0.55441,0.005023
28,CA1-CA3,naive,CA1,21,0.004452,8.2e-05
28,CA1-CA3,naive,CA1,22,0.759728,0.012499
28,CA1-CA3,naive,CA1,23,0.364919,0.004411
28,CA1-CA3,naive,CA3,0,1.030019,0.019807
28,CA1-CA3,naive,CA3,1,2.44507,0.049416
28,CA1-CA3,naive,CA3,2,1.844668,0.024679
28,CA1-CA3,naive,CA3,3,0.0,0.0
28,CA1-CA3,naive,CA3,4,0.812161,0.006358
28,CA1-CA3,naive,CA3,5,1.834215,0.010841
28,CA1-CA3,naive,CA3,6,0.0,0.0
28,CA1-CA3,naive,CA3,7,7.331578,0.062567
28,CA1-CA3,naive,CA3,8,9.197588,0.0222
28,CA1-CA3,naive,CA3,9,1.532983,0.017997
28,CA1-CA3,naive,CA3,10,13.895227,0.099479
28,CA1-CA3,naive,CA3,11,14.918788,0.163106
28,CA1-CA3,intermediate,CA1,0,0.798021,0.116903
28,CA1-CA3,intermediate,CA1,1,0.832556,0.095539
28,CA1-CA3,intermediate,CA1,2,0.01994,0.002677
28,CA1-CA3,intermediate,CA1,3,0.763847,0.167517
28,CA1-CA3,intermediate,CA1,4,0.941291,0.201515
28,CA1-CA3,intermediate,CA1,5,0.494935,0.096772
28,CA1-CA3,intermediate,CA1,6,0.674007,0.129007
28,CA1-CA3,intermediate,CA1,7,0.976569,0.195977
28,CA1-CA3,intermediate,CA1,8,0.884165,0.169722
28,CA1-CA3,intermediate,CA1,9,0.498026,0.093726
28,CA1-CA3,intermediate,CA1,10,0.756261,0.111065
28,CA1-CA3,intermediate,CA1,11,0.847279,0.149137
28,CA1-CA3,intermediate,CA1,12,0.386398,0.065995
28,CA1-CA3,intermediate,CA1,13,0.040871,0.004933
28,CA1-CA3,intermediate,CA1,14,0.503572,0.073222
28,CA1-CA3,intermediate,CA1,15,0.538424,0.10879
28,CA1-CA3,intermediate,CA1,16,0.553781,0.084344
28,CA1-CA3,intermediate,CA1,17,0.692665,0.106818
28,CA1-CA3,intermediate,CA1,18,1.175012,0.252166
