animal,pair,epoch,area,unit,contrib,contrib_conn
28,CA1-CA3,naive,CA1,0,0.484641,0.033987
28,CA1-CA3,naive,CA1,1,0.70315,0.091175
28,CA1-CA3,naive,CA1,2,0.927509,0.097557
28,CA1-CA3,naive,CA1,3,0.518223,0.015055
28,CA1-CA3,naive,CA1,4,0.669875,0.008481
28,CA1-CA3,naive,CA1,5,0.44119,0.028987
28,CA1-CA3,naive,CA1,6,0.535522,0.020966
28,CA1-CA3,naive,CA1,7,0.527354,0.026445
28,CA1-CA3,naive,CA1,8,0.516865,0.007218
28,CA1-CA3,naive,CA1,9,0.396923,0.046054
28,CA1-CA3,naive,CA1,10,0.078504,0.004946
28,CA1-CA3,naive,CA1,11,0.848937,0.035901
28,CA1-CA3,naive,CA1,12,0.274272,0.006969
28,CA1-CA3,naive,CA1,13,0.021471,0.001573
28,CA1-CA3,naive,CA1,14,0.938063,0.023605
28,CA1-CA3,naive,CA1,15,0.790641,0.047253
28,CA1-CA3,naive,CA1,16,0.241062,0.011424
28,CA1-CA3,naive,CA1,17,0.002108,0.000165
28,CA1-CA3,naive,CA1,18,0.612032,0.017919
28,CA1-CA3,naive,CA1,19,0.650377,0.025922
28,CA1-CA3,naive,CA1,20,0.037998,0.004355
28,CA1-CA3,naive,CA1,21,0.741653,0.06943
28,CA1-CA3,naive,CA1,22,0.502775,0.019721
28,CA1-CA3,naive,CA1,23,0.015012,0.000618
28,CA1-CA3,naive,CA1,24,0.611405,0.012597
28,CA1-CA3,naive,CA1,25,0.00546,0.000446
28,CA1-CA3,naive,CA1,26,1.085975,0.024589
28,CA1-CA3,naive,CA1,27,0.805438,0.142279
28,CA1-CA3,naive,CA1,28,0.710338,0.046805
28,CA1-CA3,naive,CA1,29,0.561027,0.015118
28,CA1-CA3,naive,CA3,0,1.03198,0.041649
28,CA1-CA3,naive,CA3,1,1.083725,0.133695
28,CA1-CA3,naive,CA3,2,2.445432,0.067799
28,CA1-CA3,naive,CA3,3,1.847532,0.039463
28,CA1-CA3,naive,CA3,4,0.0,0.0
28,CA1-CA3,naive,CA3,5,0.813006,0.018665
28,CA1-CA3,naive,CA3,6,1.834599,0.031296
28,CA1-CA3,naive,CA3,7,0.0,0.0
28,CA1-CA3,naive,CA3,8,7.331686,0.161347
28,CA1-CA3,naive,CA3,9,9.198311,0.071013
28,CA1-CA3,naive,CA3,10,0.795023,0.084025
28,CA1-CA3,naive,CA3,11,1.538327,0.026967
28,CA1-CA3,naive,CA3,12,1.212363,0.241105
28,CA1-CA3,naive,CA3,13,13.896694,0.225727
