animal,learner,pair,epoch,dim,bin_ms,lag_bins,lag_ms,r,n_bins,n_fit_trials,r_fit
28,1,CA1-CA3,naive,1,10,-25,-250,-0.06356,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-24,-240,-0.05867,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-23,-230,-0.06051,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-22,-220,-0.05691,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-21,-210,-0.02434,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-20,-200,0.01364,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-19,-190,-0.01735,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-18,-180,0.00426,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-17,-170,-0.00859,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-16,-160,-0.00801,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-15,-150,-0.01208,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-14,-140,-0.03966,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-13,-130,-0.03605,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-12,-120,-0.02495,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-11,-110,-0.02945,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-10,-100,-0.02669,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-9,-90,-0.01876,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-8,-80,-0.03814,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-7,-70,-0.00617,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-6,-60,0.00055,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-5,-50,-0.00593,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-4,-40,-0.04414,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-3,-30,-0.02495,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-2,-20,-0.04958,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,-1,-10,-0.03033,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,0,0,-0.04713,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,1,10,-0.05345,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,2,20,-0.03117,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,3,30,-0.02208,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,4,40,-0.02635,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,5,50,-0.02579,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,6,60,0.00176,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,7,70,-0.02045,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,8,80,-0.00123,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,9,90,-0.01108,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,10,100,-0.00978,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,11,110,-0.00807,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,12,120,-0.02355,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,13,130,-0.02113,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,14,140,-0.02168,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,15,150,-0.01573,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,16,160,-0.00437,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,17,170,-0.01907,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,18,180,-0.04074,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,19,190,-0.00489,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,20,200,-0.00797,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,21,210,-0.02214,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,22,220,-0.00612,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,23,230,-0.01842,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,24,240,-0.03384,6000,30,0.2627
28,1,CA1-CA3,naive,1,10,25,250,-0.02448,6000,30,0.2627
28,1,CA1-CA3,naive,2,10,-25,-250,0.00639,6000,30,0.105
28,1,CA1-CA3,naive,2,10,-24,-240,0.00667,6000,30,0.105
28,1,CA1-CA3,naive,2,10,-23,-230,0.00237,6000,30,0.105
28,1,CA1-CA3,naive,2,10,-22,-220,-0.0092,6000,30,0.105
28,1,CA1-CA3,naive,2,10,-21,-210,-0.0086,6000,30,0.105
28,1,CA1-CA3,naive,2,10,-20,-200,0.00394,6000,30,0.105
28,1,CA1-CA3,naive,2,10,-19,-190,-0.00085,6000,30,0.105
28,1,CA1-CA3,naive,2,10,-18,-180,0.00316,6000,30,0.105
28,1,CA1-CA3,naive,2,10,-17,-170,0.01249,6000,30,0.105
28,1,CA1-CA3,naive,2,10,-16,-160,0.00698,6000,30,0.105
28,1,CA1-CA3,naive,2,10,-15,-150,-0.00137,6000,30,0.105
