animal,learner,pair,epoch,dim,bin_ms,lag_bins,lag_ms,r,n_bins,n_fit_trials,r_fit
28,1,CA1-CA3,naive,1,10,-25,-250,0.07188,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-24,-240,0.04772,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-23,-230,0.04815,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-22,-220,0.02309,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-21,-210,0.04802,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-20,-200,0.06391,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-19,-190,0.02703,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-18,-180,0.00095,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-17,-170,0.04555,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-16,-160,0.01807,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-15,-150,0.02897,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-14,-140,0.04244,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-13,-130,0.05658,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-12,-120,0.05004,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-11,-110,0.06246,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-10,-100,0.04277,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-9,-90,0.04919,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-8,-80,0.0296,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-7,-70,0.03752,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-6,-60,0.06424,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-5,-50,0.0443,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-4,-40,0.0489,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-3,-30,0.04082,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-2,-20,0.04222,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,-1,-10,0.09307,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,0,0,0.2954,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,1,10,0.09875,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,2,20,0.04854,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,3,30,0.0256,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,4,40,0.03035,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,5,50,0.0306,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,6,60,0.04614,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,7,70,0.0427,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,8,80,0.02819,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,9,90,0.01434,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,10,100,0.00379,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,11,110,0.03692,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,12,120,0.04261,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,13,130,0.04245,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,14,140,0.05359,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,15,150,0.02874,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,16,160,0.04352,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,17,170,0.03552,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,18,180,0.04263,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,19,190,0.0418,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,20,200,0.05354,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,21,210,0.06222,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,22,220,0.03174,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,23,230,0.0206,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,24,240,0.01518,6000,30,0.2722
28,1,CA1-CA3,naive,1,10,25,250,0.03101,6000,30,0.2722
28,1,CA1-CA3,naive,2,10,-25,-250,0.03029,6000,30,0.2389
