animal,pair,epoch,peak_r,peak_lag_ms,ifi,width_ms,side_peak_ms,side_peak_ratio,n_bins,r_fit
28,CA1-CA3,expert,0.01543,-50.0,-0.4029425011259571,10.0,70.0,0.948801036941024,6000,0.2627
28,CA1-CA3,intermediate,0.02873,210.0,0.23338994121489218,10.0,120.0,0.8955795335885833,6000,0.2627
28,CA1-CA3,naive,0.01364,-200.0,-0.8258287976249382,0.0,20.0,0.312316715542522,6000,0.2627
28,CA1-DG,expert,0.2463,0.0,0.11153713660940277,40.0,140.0,0.7546894031668696,6000,0.2337
28,CA1-DG,intermediate,0.23824,10.0,0.18850079303531828,40.0,140.0,0.8051544660846205,6000,0.2337
28,CA1-DG,naive,0.25046,10.0,0.06038958370433282,40.0,140.0,0.8942346083206899,6000,0.2337
28,CA1-V1,expert,0.07082,0.0,0.06275329395729218,110.0,130.0,0.921491104207851,6000,0.1434
28,CA1-V1,intermediate,0.08771,0.0,0.06543335701123149,30.0,90.0,0.722038536084825,6000,0.1434
28,CA1-V1,naive,0.15331,-110.0,-0.035806804444188496,500.0,,,6000,0.1434
28,CA3-DG,expert,0.04051,80.0,-0.10147489149433417,30.0,120.0,0.9047148852135276,6000,0.1342
28,CA3-DG,intermediate,0.08214,-40.0,-0.057417211083577356,50.0,150.0,0.8601168736303871,6000,0.1342
28,CA3-DG,naive,0.05109,120.0,-0.07850311316515815,20.0,150.0,0.9800352319436288,6000,0.1342
34,CA1-CA3,expert,0.28832,0.0,-0.026409822036710356,40.0,140.0,0.7695615982241952,6000,0.3375
34,CA1-CA3,intermediate,0.27165,0.0,0.02044146342380411,40.0,140.0,0.7441928952696485,6000,0.3375
34,CA1-CA3,naive,0.21727,0.0,-0.05799741475297237,30.0,140.0,0.8738436047314402,6000,0.3375
34,CA1-V1,expert,0.09349,-170.0,0.029600318263399466,100.0,410.0,0.9905872285805968,6000,0.2339
34,CA1-V1,intermediate,0.08247,70.0,0.10429627722715622,240.0,230.0,0.8895355886989207,6000,0.2339
34,CA1-V1,naive,0.03901,250.0,-0.10044218142838007,10.0,460.0,0.8595231991796973,6000,0.2339
36,CA1-V1,expert,0.12002,10.0,0.04529981801865939,500.0,,,6000,0.1226
36,CA1-V1,intermediate,0.14022,-10.0,-0.016855058950855782,500.0,,,6000,0.1226
36,CA1-V1,naive,0.1201,0.0,-0.03731703429044351,430.0,230.0,0.7084929225645296,6000,0.1226
41,CA1-CA3,expert,0.36012,0.0,0.013604488078541274,50.0,140.0,0.35427079862268135,6000,0.2711
41,CA1-CA3,intermediate,0.27536,0.0,0.04385226483400719,50.0,140.0,0.48187826844857645,6000,0.2711
41,CA1-CA3,naive,0.16095,0.0,-0.139159099642041,50.0,140.0,0.6485243864554209,6000,0.2711
41,CA1-V1,expert,0.11041,0.0,-0.1001052724628131,290.0,110.0,0.8020106874377322,6000,0.0836
41,CA1-V1,intermediate,0.0747,-80.0,-0.03785047307928985,280.0,280.0,0.7440428380187416,6000,0.0836
41,CA1-V1,naive,0.07754,0.0,0.03413497635320802,280.0,170.0,0.8908950219241683,6000,0.0836
52,CA1-CA3,expert,0.18682,0.0,-0.0063617126049748795,30.0,140.0,0.5871427042072582,6000,0.1844
52,CA1-CA3,intermediate,0.19078,0.0,0.035469059938133714,30.0,130.0,0.5458119299716951,6000,0.1844
52,CA1-CA3,naive,0.17561,0.0,0.15567877202986036,40.0,130.0,0.49894652924093164,6000,0.1844
52,CA1-DG,expert,0.21822,0.0,0.1049523980161089,10.0,130.0,0.46480615892218863,6000,0.2133
52,CA1-DG,intermediate,0.20112,0.0,0.011550092673885418,10.0,140.0,0.4334228321400159,6000,0.2133
52,CA1-DG,naive,0.21864,0.0,-0.09633977206488308,20.0,140.0,0.35057628979143796,6000,0.2133
52,CA1-RSC,expert,0.05165,40.0,-0.023206516801760498,20.0,40.0,0.9548886737657309,6000,0.0764
52,CA1-RSC,intermediate,0.08791,30.0,-0.12372336662426896,60.0,40.0,0.6199522238653168,6000,0.0764
52,CA1-RSC,naive,0.12914,30.0,0.3943305886732989,180.0,150.0,0.28898869444014247,6000,0.0764
52,CA1-V1,expert,0.20229,-20.0,-0.04574277718559786,500.0,,,6000,0.2244
52,CA1-V1,intermediate,0.24198,-150.0,-0.24524081997027433,370.0,300.0,0.5065707909744607,6000,0.2244
52,CA1-V1,naive,0.26485,0.0,-0.14084345917789529,500.0,,,6000,0.2244
52,CA3-DG,expert,0.50707,0.0,-0.05665499483530796,10.0,140.0,0.31666239375234184,6000,0.5171
52,CA3-DG,intermediate,0.52764,0.0,-0.05956285851975066,20.0,130.0,0.30528390569327574,6000,0.5171
52,CA3-DG,naive,0.52119,0.0,-0.0729936338301844,20.0,150.0,0.20088643297070166,6000,0.5171
52,V1-RSC,expert,0.15097,0.0,0.01905678915307526,390.0,210.0,0.7015963436444327,6000,0.2199
52,V1-RSC,intermediate,0.21961,0.0,0.09245714931122379,430.0,220.0,0.4377305222895132,6000,0.2199
52,V1-RSC,naive,0.26826,70.0,0.10235475409019648,470.0,,,6000,0.2199
61,CA1-CA3,expert,0.18585,0.0,-0.26301304643182705,30.0,160.0,0.6728544525154695,6000,0.22
61,CA1-CA3,intermediate,0.21956,0.0,-0.27472050363616646,20.0,150.0,0.6639642922208052,6000,0.22
61,CA1-CA3,naive,0.23155,0.0,-0.1276357174373278,40.0,130.0,0.7894623191535305,6000,0.22
61,CA1-DG,expert,0.05563,-80.0,-0.0888818670157542,0.0,130.0,0.6361675355024268,6000,0.2042
61,CA1-DG,intermediate,0.02287,230.0,0.12139087239987571,10.0,430.0,0.6125929164844774,6000,0.2042
61,CA1-DG,naive,0.05662,180.0,0.03413167846407446,10.0,410.0,0.6056163899682092,6000,0.2042
61,CA1-RSC,expert,0.09999,0.0,-0.06580969456361653,20.0,30.0,0.507950795079508,6000,0.207
61,CA1-RSC,intermediate,0.10271,0.0,-0.06910579292486325,10.0,150.0,0.6460909356440464,6000,0.207
61,CA1-RSC,naive,0.10223,0.0,-0.08361894411540598,170.0,180.0,0.9040399100068474,6000,0.207
61,CA1-V1,expert,0.07731,0.0,0.11090495066205606,30.0,130.0,0.7119389470961065,6000,0.2063
61,CA1-V1,intermediate,0.05728,0.0,-0.3899402776700535,0.0,40.0,0.5986382681564246,6000,0.2063
61,CA1-V1,naive,0.07347,0.0,0.14197473861339413,50.0,140.0,0.8731455015652648,6000,0.2063
61,CA3-DG,expert,0.04555,100.0,0.04331919847010897,10.0,140.0,0.7942919868276619,6000,0.3599
61,CA3-DG,intermediate,0.03157,250.0,0.11309827967978188,20.0,440.0,0.6312955337345582,6000,0.3599
61,CA3-DG,naive,0.04538,-160.0,-0.21531633581549095,20.0,140.0,0.9290436315557515,6000,0.3599
61,V1-RSC,expert,0.32551,-10.0,-0.01255950434861652,500.0,,,6000,0.3199
61,V1-RSC,intermediate,0.3315,-10.0,-0.01056351132713455,500.0,,,6000,0.3199
61,V1-RSC,naive,0.33413,100.0,0.1838931144559322,460.0,,,6000,0.3199
63,CA1-RSC,expert,0.09069,150.0,-0.0010334628131570952,20.0,150.0,0.8720917410960414,6000,0.1015
63,CA1-RSC,intermediate,0.09282,0.0,0.07674707458978894,20.0,130.0,0.6930618401206636,6000,0.1015
63,CA1-RSC,naive,0.0802,0.0,0.13074471897488557,30.0,140.0,0.9897755610972571,6000,0.1015
66,CA1-DG,expert,0.27385,0.0,-0.02161032740001927,20.0,140.0,0.6086543728318423,6000,0.2888
66,CA1-DG,intermediate,0.30571,0.0,-0.05193812986616108,30.0,140.0,0.636322004514082,6000,0.2888
66,CA1-DG,naive,0.22684,0.0,-0.03541780912580612,20.0,150.0,0.6613472050784693,6000,0.2888
66,CA1-RSC,expert,0.10895,0.0,-0.04321051590851318,40.0,90.0,0.5892611289582377,6000,0.1777
66,CA1-RSC,intermediate,0.11349,0.0,-0.06629537313917375,20.0,130.0,0.6722178165477135,6000,0.1777
66,CA1-RSC,naive,0.18933,0.0,-0.013104811496480101,500.0,,,6000,0.1777
66,CA1-SUB,expert,0.11571,0.0,-0.12559140560655524,40.0,110.0,0.5531933281479561,6000,0.1522
66,CA1-SUB,intermediate,0.09187,0.0,-0.06804654881407114,40.0,130.0,0.6427560683574617,6000,0.1522
66,CA1-SUB,naive,0.11216,0.0,-0.0640053147712963,0.0,230.0,0.35511768901569185,6000,0.1522
66,CA1-V1,expert,0.12093,0.0,0.0023032474442034453,0.0,190.0,0.7076821301579427,6000,0.2083
66,CA1-V1,intermediate,0.21669,0.0,0.11282963860439583,0.0,210.0,0.2825695694309844,6000,0.2083
66,CA1-V1,naive,0.19514,0.0,-0.03210217142428164,0.0,70.0,0.3943322742646305,6000,0.2083
66,RSC-SUB,expert,0.20918,0.0,0.20638217965870956,50.0,150.0,0.28697772253561527,6000,0.221
66,RSC-SUB,intermediate,0.30351,10.0,0.3248481375358167,50.0,60.0,0.129880399327864,6000,0.221
66,RSC-SUB,naive,0.26048,10.0,0.3133455812848715,30.0,110.0,0.2647036240786241,6000,0.221
