animal,pair,epoch,peak_r,peak_lag_ms,ifi,width_ms,side_peak_ms,side_peak_ratio,n_bins,r_fit
28,CA1-CA3,expert,0.25535,0.0,0.09213553701169042,0.0,190.0,0.2715880164480125,6000,0.2722
28,CA1-CA3,intermediate,0.26788,0.0,0.15349224464015274,0.0,190.0,0.22510079139913394,6000,0.2722
28,CA1-CA3,naive,0.2954,0.0,-0.08487606804710947,0.0,60.0,0.2174678402166554,6000,0.2722
28,CA1-DG,expert,0.18752,0.0,-0.07804203585073917,20.0,130.0,0.4844816552901024,6000,0.244
28,CA1-DG,intermediate,0.23927,0.0,-0.05689671298076425,30.0,140.0,0.532160320976303,6000,0.244
28,CA1-DG,naive,0.29876,0.0,-0.11296198628747628,30.0,140.0,0.5970678805730352,6000,0.244
28,CA1-V1,expert,0.10299,-30.0,-0.04453216764374266,450.0,260.0,0.7138557141470045,6000,0.1935
28,CA1-V1,intermediate,0.0988,0.0,-0.03172080001898028,70.0,160.0,0.8330971659919028,6000,0.1935
28,CA1-V1,naive,0.21866,-120.0,-0.07154368746472815,500.0,,,6000,0.1935
28,CA3-DG,expert,0.56153,0.0,0.0439401947080122,20.0,140.0,0.514700906452015,6000,0.537
28,CA3-DG,intermediate,0.54063,0.0,-0.006491109787845484,20.0,140.0,0.5438654902613617,6000,0.537
28,CA3-DG,naive,0.50842,0.0,0.010376942738784204,20.0,130.0,0.49573187522127377,6000,0.537
34,CA1-CA3,expert,0.52344,0.0,-0.03615158619461681,30.0,140.0,0.7424919761577258,6000,0.5024
34,CA1-CA3,intermediate,0.49716,0.0,-0.08350903077883921,30.0,140.0,0.7074181350068389,6000,0.5024
34,CA1-CA3,naive,0.47543,0.0,-0.0024374624774865274,30.0,130.0,0.7614790820941043,6000,0.5024
34,CA1-V1,expert,0.3076,0.0,-0.020219126011972437,0.0,150.0,0.4198634590377113,6000,0.3096
34,CA1-V1,intermediate,0.24238,0.0,-0.06525366918172605,0.0,30.0,0.25138212723822095,6000,0.3096
34,CA1-V1,naive,0.28559,0.0,-0.35938048858374577,0.0,160.0,0.11786126965229875,6000,0.3096
36,CA1-CA3,expert,0.36903,0.0,0.06400049638687624,30.0,140.0,0.8230767146302468,6000,0.3279
36,CA1-CA3,intermediate,0.31046,0.0,0.1226156933492794,40.0,140.0,0.8101204664046898,6000,0.3279
36,CA1-CA3,naive,0.31103,10.0,0.17552309044066192,40.0,140.0,0.7742018454811433,6000,0.3279
36,CA1-V1,expert,0.12185,0.0,0.04206779094404055,500.0,,,6000,0.1334
36,CA1-V1,intermediate,0.14132,-30.0,-0.03137370042697096,500.0,,,6000,0.1334
36,CA1-V1,naive,0.13897,0.0,-0.007236742818952043,500.0,,,6000,0.1334
41,CA1-CA3,expert,0.51107,0.0,0.07046073063131761,30.0,140.0,0.7414444205294773,6000,0.5219
41,CA1-CA3,intermediate,0.52062,0.0,0.044684206217273495,30.0,130.0,0.8082094425876839,6000,0.5219
41,CA1-CA3,naive,0.5343,0.0,0.05525338704898039,30.0,130.0,0.8666292345124462,6000,0.5219
41,CA1-V1,expert,0.13215,-170.0,0.005176763313404993,500.0,,,6000,0.1455
41,CA1-V1,intermediate,0.16089,220.0,0.010151299079379299,500.0,,,6000,0.1455
41,CA1-V1,naive,0.15693,0.0,0.02854429411906739,500.0,,,6000,0.1455
52,CA1-CA3,expert,0.21202,0.0,-0.041085521555706425,30.0,130.0,0.387557777568154,6000,0.2065
52,CA1-CA3,intermediate,0.19818,0.0,-0.10207055519493427,30.0,130.0,0.45388031082853975,6000,0.2065
52,CA1-CA3,naive,0.1927,0.0,-0.04027373671397197,20.0,120.0,0.36829268292682926,6000,0.2065
52,CA1-DG,expert,0.18592,0.0,-0.025323292027963733,10.0,130.0,0.33853270223752147,6000,0.1977
52,CA1-DG,intermediate,0.18493,0.0,0.07891265883866819,10.0,150.0,0.32698859027740224,6000,0.1977
52,CA1-DG,naive,0.22263,0.0,-0.02115673852604703,20.0,130.0,0.2387818353321655,6000,0.1977
52,CA1-RSC,expert,0.10512,0.0,0.02673360303353298,50.0,240.0,0.6776065449010654,6000,0.1052
52,CA1-RSC,intermediate,0.09035,30.0,0.020885152051409638,100.0,230.0,0.7714443829551743,6000,0.1052
52,CA1-RSC,naive,0.11348,0.0,0.17717399390017108,70.0,150.0,0.7188050757842792,6000,0.1052
52,CA1-V1,expert,0.22393,0.0,-0.06759069845113352,500.0,,,6000,0.2464
52,CA1-V1,intermediate,0.23678,0.0,-0.19968782632056895,420.0,210.0,0.4566686375538475,6000,0.2464
52,CA1-V1,naive,0.26804,0.0,-0.10108283250474395,500.0,,,6000,0.2464
52,CA3-DG,expert,0.54142,0.0,-0.09802528525084091,0.0,140.0,0.2564183074138377,6000,0.5432
52,CA3-DG,intermediate,0.55003,0.0,-0.021406814345394598,10.0,130.0,0.19668018108103194,6000,0.5432
52,CA3-DG,naive,0.53722,0.0,-0.03951692250310281,20.0,110.0,0.11862923941774318,6000,0.5432
52,V1-RSC,expert,0.21058,0.0,0.02771471859116712,300.0,240.0,0.4945388925823915,6000,0.2648
52,V1-RSC,intermediate,0.24756,0.0,0.15603912460335645,360.0,140.0,0.5356681208595896,6000,0.2648
52,V1-RSC,naive,0.30754,0.0,0.0701859451212209,450.0,,,6000,0.2648
61,CA1-CA3,expert,0.26036,0.0,0.009826375116752195,20.0,130.0,0.2935550775848825,6000,0.2076
