animal,learner,pair,bin_ms,n_bins,window_bins,window_ms,ifi,cc_pos,cc_neg,peak_lag_bins,peak_lag_ms
28,1,CA1-CA3,10,370577,1,10,0.0501,0.1435,0.1298,0,0
28,1,CA1-CA3,10,370577,2,20,0.0957,0.1439,0.1188,0,0
28,1,CA1-CA3,10,370577,3,30,0.0831,0.1396,0.1182,0,0
28,1,CA1-CA3,10,370577,4,40,0.0516,0.136,0.1226,0,0
28,1,CA1-CA3,10,370577,5,50,0.0181,0.1299,0.1253,0,0
28,1,CA1-CA3,10,370577,6,60,-0.0103,0.1222,0.1247,0,0
28,1,CA1-CA3,10,370577,7,70,-0.0109,0.118,0.1206,0,0
28,1,CA1-CA3,10,370577,8,80,0.0043,0.1174,0.1164,0,0
28,1,CA1-CA3,10,370577,9,90,0.0304,0.1187,0.1117,0,0
28,1,CA1-CA3,10,370577,10,100,0.0457,0.1188,0.1084,0,0
28,1,CA1-CA3,10,370577,11,110,0.0463,0.1168,0.1065,0,0
28,1,CA1-CA3,10,370577,12,120,0.0359,0.1139,0.106,0,0
28,1,CA1-CA3,10,370577,13,130,0.0235,0.1115,0.1064,0,0
28,1,CA1-CA3,10,370577,14,140,0.0202,0.1106,0.1062,0,0
28,1,CA1-CA3,10,370577,15,150,0.0251,0.1102,0.1048,0,0
28,1,CA1-CA3,10,370577,16,160,0.0329,0.11,0.103,0,0
28,1,CA1-CA3,10,370577,17,170,0.0362,0.1095,0.1018,0,0
28,1,CA1-CA3,10,370577,18,180,0.0325,0.1085,0.1016,0,0
28,1,CA1-CA3,10,370577,19,190,0.024,0.1067,0.1017,0,0
28,1,CA1-CA3,10,370577,20,200,0.0165,0.1044,0.101,0,0
28,1,CA1-CA3,10,370577,21,210,0.0142,0.1028,0.0999,0,0
28,1,CA1-CA3,10,370577,22,220,0.0173,0.1019,0.0984,0,0
28,1,CA1-CA3,10,370577,23,230,0.0235,0.1014,0.0967,0,0
28,1,CA1-CA3,10,370577,24,240,0.0305,0.1008,0.0949,0,0
28,1,CA1-CA3,10,370577,25,250,0.0311,0.0998,0.0938,0,0
28,1,CA1-DG,10,370577,1,10,-0.2494,0.1063,0.1768,0,0
28,1,CA1-DG,10,370577,2,20,-0.1935,0.1103,0.1632,0,0
28,1,CA1-DG,10,370577,3,30,-0.1394,0.1178,0.156,0,0
28,1,CA1-DG,10,370577,4,40,-0.083,0.125,0.1477,0,0
28,1,CA1-DG,10,370577,5,50,-0.036,0.1298,0.1395,0,0
28,1,CA1-DG,10,370577,6,60,0.0001,0.132,0.132,0,0
28,1,CA1-DG,10,370577,7,70,0.0161,0.1322,0.128,0,0
28,1,CA1-DG,10,370577,8,80,0.0156,0.1298,0.1258,0,0
28,1,CA1-DG,10,370577,9,90,0.0116,0.1277,0.1248,0,0
28,1,CA1-DG,10,370577,10,100,0.0115,0.127,0.1241,0,0
28,1,CA1-DG,10,370577,11,110,0.0193,0.1277,0.1229,0,0
28,1,CA1-DG,10,370577,12,120,0.032,0.1283,0.1204,0,0
28,1,CA1-DG,10,370577,13,130,0.0447,0.1284,0.1174,0,0
28,1,CA1-DG,10,370577,14,140,0.0468,0.1273,0.1159,0,0
28,1,CA1-DG,10,370577,15,150,0.0418,0.1255,0.1155,0,0
28,1,CA1-DG,10,370577,16,160,0.0346,0.1236,0.1154,0,0
28,1,CA1-DG,10,370577,17,170,0.0316,0.1225,0.115,0,0
28,1,CA1-DG,10,370577,18,180,0.0339,0.1217,0.1137,0,0
28,1,CA1-DG,10,370577,19,190,0.0383,0.1209,0.112,0,0
28,1,CA1-DG,10,370577,20,200,0.0432,0.12,0.1101,0,0
28,1,CA1-DG,10,370577,21,210,0.0458,0.1187,0.1083,0,0
28,1,CA1-DG,10,370577,22,220,0.0448,0.117,0.1069,0,0
28,1,CA1-DG,10,370577,23,230,0.0431,0.1155,0.106,0,0
28,1,CA1-DG,10,370577,24,240,0.0435,0.1145,0.105,0,0
28,1,CA1-DG,10,370577,25,250,0.0468,0.114,0.1038,0,0
28,1,CA1-V1,10,370577,1,10,0.0024,0.1233,0.1227,-14,-140
28,1,CA1-V1,10,370577,2,20,0.0001,0.1235,0.1235,-14,-140
28,1,CA1-V1,10,370577,3,30,-0.0035,0.1233,0.1242,-14,-140
28,1,CA1-V1,10,370577,4,40,-0.0069,0.1232,0.1249,-14,-140
28,1,CA1-V1,10,370577,5,50,-0.009,0.1232,0.1254,-14,-140
28,1,CA1-V1,10,370577,6,60,-0.0066,0.1236,0.1252,-14,-140
28,1,CA1-V1,10,370577,7,70,-0.0057,0.1237,0.1251,-14,-140
28,1,CA1-V1,10,370577,8,80,-0.0054,0.1238,0.1251,-14,-140
28,1,CA1-V1,10,370577,9,90,-0.0036,0.124,0.1249,-14,-140
28,1,CA1-V1,10,370577,10,100,-0.0036,0.124,0.1249,-14,-140
28,1,CA1-V1,10,370577,11,110,-0.0039,0.1239,0.1249,-14,-140
28,1,CA1-V1,10,370577,12,120,-0.0042,0.124,0.125,-14,-140
28,1,CA1-V1,10,370577,13,130,-0.0035,0.1241,0.125,-14,-140
28,1,CA1-V1,10,370577,14,140,-0.0045,0.1241,0.1252,-14,-140
28,1,CA1-V1,10,370577,15,150,-0.0045,0.124,0.1251,-14,-140
28,1,CA1-V1,10,370577,16,160,-0.0053,0.1238,0.1252,-14,-140
28,1,CA1-V1,10,370577,17,170,-0.0055,0.1238,0.1252,-14,-140
28,1,CA1-V1,10,370577,18,180,-0.0052,0.1237,0.125,-14,-140
28,1,CA1-V1,10,370577,19,190,-0.0053,0.1236,0.1249,-14,-140
28,1,CA1-V1,10,370577,20,200,-0.0053,0.1235,0.1248,-14,-140
28,1,CA1-V1,10,370577,21,210,-0.0045,0.1235,0.1247,-14,-140
28,1,CA1-V1,10,370577,22,220,-0.0048,0.1235,0.1247,-14,-140
28,1,CA1-V1,10,370577,23,230,-0.0051,0.1234,0.1247,-14,-140
28,1,CA1-V1,10,370577,24,240,-0.0053,0.1233,0.1246,-14,-140
28,1,CA1-V1,10,370577,25,250,-0.0046,0.1232,0.1244,-14,-140
28,1,CA3-DG,10,370577,1,10,-0.0109,0.305,0.3118,0,0
28,1,CA3-DG,10,370577,2,20,0.0565,0.3079,0.2749,0,0
28,1,CA3-DG,10,370577,3,30,0.0738,0.2903,0.2504,0,0
28,1,CA3-DG,10,370577,4,40,0.0467,0.2644,0.2408,0,0
28,1,CA3-DG,10,370577,5,50,0.0145,0.2505,0.2433,0,0
28,1,CA3-DG,10,370577,6,60,0.0027,0.2508,0.2494,0,0
28,1,CA3-DG,10,370577,7,70,0.0056,0.256,0.2532,0,0
28,1,CA3-DG,10,370577,8,80,0.0164,0.2591,0.2507,0,0
28,1,CA3-DG,10,370577,9,90,0.0295,0.2572,0.2424,0,0
28,1,CA3-DG,10,370577,10,100,0.0359,0.251,0.2336,0,0
28,1,CA3-DG,10,370577,11,110,0.0277,0.2439,0.2308,0,0
28,1,CA3-DG,10,370577,12,120,0.0177,0.2401,0.2318,0,0
28,1,CA3-DG,10,370577,13,130,0.0122,0.2393,0.2336,0,0
28,1,CA3-DG,10,370577,14,140,0.0104,0.2398,0.2348,0,0
28,1,CA3-DG,10,370577,15,150,0.0129,0.2402,0.2341,0,0
28,1,CA3-DG,10,370577,16,160,0.0186,0.2397,0.231,0,0
28,1,CA3-DG,10,370577,17,170,0.0237,0.2368,0.2258,0,0
28,1,CA3-DG,10,370577,18,180,0.0207,0.2313,0.2219,0,0
28,1,CA3-DG,10,370577,19,190,0.0147,0.2264,0.2199,0,0
28,1,CA3-DG,10,370577,20,200,0.0112,0.224,0.219,0,0
28,1,CA3-DG,10,370577,21,210,0.0113,0.2232,0.2182,0,0
28,1,CA3-DG,10,370577,22,220,0.0146,0.2227,0.2163,0,0
28,1,CA3-DG,10,370577,23,230,0.0196,0.2212,0.2127,0,0
