animal,learner,pair,bin_ms,n_bins,window_bins,window_ms,ifi,cc_pos,cc_neg,peak_lag_bins,peak_lag_ms
28,1,CA1-CA3,25,148162,1,25,-0.1401,0.0967,0.1282,0,0
28,1,CA1-CA3,25,148162,2,50,-0.0477,0.0948,0.1043,0,0
28,1,CA1-CA3,25,148162,3,75,-0.0352,0.0858,0.092,0,0
28,1,CA1-CA3,25,148162,4,100,-0.0351,0.0818,0.0878,0,0
28,1,CA1-CA3,25,148162,5,125,-0.0126,0.0865,0.0887,0,0
28,1,CA1-CA3,25,148162,6,150,-0.0241,0.0874,0.0917,0,0
28,1,CA1-CA3,25,148162,7,175,-0.0221,0.0882,0.0921,0,0
28,1,CA1-CA3,25,148162,8,200,-0.0109,0.0876,0.0896,0,0
28,1,CA1-CA3,25,148162,9,225,-0.0114,0.085,0.087,0,0
28,1,CA1-CA3,25,148162,10,250,-0.0051,0.0847,0.0855,0,0
28,1,CA1-CA3,25,148162,11,275,-0.0002,0.0862,0.0863,0,0
28,1,CA1-CA3,25,148162,12,300,-0.0026,0.0872,0.0877,0,0
28,1,CA1-DG,25,148162,1,25,0.0665,0.2991,0.2618,1,25
28,1,CA1-DG,25,148162,2,50,-0.0085,0.2652,0.2697,1,25
28,1,CA1-DG,25,148162,3,75,0.0293,0.2562,0.2416,1,25
28,1,CA1-DG,25,148162,4,100,0.0453,0.2584,0.236,1,25
28,1,CA1-DG,25,148162,5,125,0.0301,0.2485,0.234,1,25
28,1,CA1-DG,25,148162,6,150,0.0412,0.2444,0.2251,1,25
28,1,CA1-DG,25,148162,7,175,0.0354,0.2405,0.2241,1,25
28,1,CA1-DG,25,148162,8,200,0.0187,0.2286,0.2203,1,25
28,1,CA1-DG,25,148162,9,225,0.034,0.2254,0.2105,1,25
28,1,CA1-DG,25,148162,10,250,0.0361,0.222,0.2065,1,25
28,1,CA1-DG,25,148162,11,275,0.0328,0.2156,0.202,1,25
28,1,CA1-DG,25,148162,12,300,0.0352,0.2118,0.1974,1,25
28,1,CA1-V1,25,148162,1,25,-0.0079,0.2054,0.2087,0,0
28,1,CA1-V1,25,148162,2,50,-0.0085,0.2061,0.2096,0,0
28,1,CA1-V1,25,148162,3,75,-0.004,0.2065,0.2081,0,0
28,1,CA1-V1,25,148162,4,100,-0.0021,0.2065,0.2074,0,0
28,1,CA1-V1,25,148162,5,125,-0.0023,0.2066,0.2076,0,0
28,1,CA1-V1,25,148162,6,150,-0.0016,0.2067,0.2074,0,0
28,1,CA1-V1,25,148162,7,175,-0.001,0.2066,0.207,0,0
28,1,CA1-V1,25,148162,8,200,0.0,0.2064,0.2064,0,0
28,1,CA1-V1,25,148162,9,225,-0.0,0.2063,0.2063,0,0
28,1,CA1-V1,25,148162,10,250,0.0016,0.2062,0.2055,0,0
28,1,CA1-V1,25,148162,11,275,0.0015,0.2061,0.2055,0,0
28,1,CA1-V1,25,148162,12,300,0.0019,0.206,0.2052,0,0
28,1,CA3-DG,25,148162,1,25,-0.0262,0.1668,0.1758,0,0
28,1,CA3-DG,25,148162,2,50,0.0768,0.1662,0.1425,0,0
28,1,CA3-DG,25,148162,3,75,0.0531,0.152,0.1367,0,0
28,1,CA3-DG,25,148162,4,100,0.031,0.1487,0.1397,0,0
28,1,CA3-DG,25,148162,5,125,0.0556,0.1488,0.1332,0,0
28,1,CA3-DG,25,148162,6,150,0.0333,0.1397,0.1307,0,0
28,1,CA3-DG,25,148162,7,175,0.0374,0.138,0.128,0,0
28,1,CA3-DG,25,148162,8,200,0.0514,0.135,0.1218,0,0
28,1,CA3-DG,25,148162,9,225,0.0369,0.1287,0.1195,0,0
28,1,CA3-DG,25,148162,10,250,0.0332,0.1265,0.1184,0,0
28,1,CA3-DG,25,148162,11,275,0.0398,0.1238,0.1143,0,0
