pair,window_bins,window_ms,n_animals,ifi_naive,ifi_expert,delta,t,p
CA1-RSC,1,10,7,0.17525374270148145,-0.21231349947745376,-0.3875672421789352,-3.0303549207662805,0.023087375083698798
CA1-RSC,2,20,7,0.07035879984640687,-0.17110613791790066,-0.2414649377643075,-2.2308062454620785,0.06719134914527565
CA1-RSC,3,30,7,0.009525448601245795,-0.07101197264189586,-0.08053742124314164,-0.7861602378235242,0.46168380417434063
CA1-RSC,4,40,7,0.006641037367873074,-0.056732194897783174,-0.06337323226565626,-0.6762843790398272,0.5240585797414457
CA1-RSC,5,50,7,-0.030626806405415208,-0.05975870079404575,-0.029131894388630557,-0.3657075658827588,0.7271304727045214
CA1-RSC,6,60,7,-0.07287017314627801,-0.008595812561803879,0.06427436058447412,0.6715474161006919,0.5268673432977257
CA1-RSC,7,70,7,-0.08618551222493451,-0.03231232920733655,0.05387318301759795,0.57239571260941,0.5878439576319321
CA1-RSC,8,80,7,-0.10015304661944735,-0.051837322141083976,0.048315724478363395,0.6209879309433866,0.5574459605560034
CA1-RSC,9,90,7,-0.07889873697121144,-0.06772740148497207,0.011171335486239364,0.32953969887911877,0.7529481115434504
CA1-RSC,10,100,7,-0.0745214377051546,-0.05225130540927773,0.02227013229587687,0.8241553301212713,0.44137441706543273
CA1-RSC,11,110,7,-0.057066605621991125,-0.043578538986260094,0.013488066635731034,0.40932235310546394,0.696514093789705
CA1-RSC,12,120,7,-0.04564824442019635,-0.0387115918172204,0.006936652602975961,0.18383370184277115,0.86019934649596
CA1-RSC,13,130,7,-0.04497260989035623,-0.03087133505509909,0.014101274835257143,0.3733249899145449,0.7217412126661205
CA1-RSC,14,140,7,-0.042724557309115806,-0.03298268579476242,0.00974187151435339,0.285506635744195,0.7848560234635491
CA1-RSC,15,150,7,-0.03959754455303197,-0.034732776411355214,0.004864768141676755,0.1261682636882135,0.9037204057828276
CA1-RSC,16,160,7,-0.05160316100980239,-0.034210749960322286,0.017392411049480107,0.4722761444286093,0.6534173009392045
CA1-RSC,17,170,7,-0.05650471306133921,-0.03282321722964794,0.023681495831691265,0.7214396751317941,0.49777604077645854
CA1-RSC,18,180,7,-0.05778559547855735,-0.037021932542544,0.020763662936013342,0.6753845352025971,0.5245913902033721
CA1-RSC,19,190,7,-0.05739483931292826,-0.04475974876559326,0.01263509054733501,0.3653430734192902,0.7273887803896009
CA1-RSC,20,200,7,-0.06604930263794022,-0.04758866942954849,0.018460633208391745,0.4524750695711956,0.6668261028720419
CA1-RSC,21,210,7,-0.06667365786452752,-0.050194060987347064,0.016479596877180456,0.39338277759676143,0.7076346844346675
CA1-RSC,22,220,7,-0.06485323475073211,-0.05596192738559387,0.008891307365138221,0.21415052879196897,0.837521983605058
CA1-RSC,23,230,7,-0.06591683936631618,-0.054196386994930346,0.011720452371385831,0.2486196639050133,0.8119461495287854
