pair,window_bins,window_ms,n_animals,ifi_naive,ifi_expert,delta,t,p
CA1-RSC,1,10,7,-0.2932286839887067,-0.16540832561277288,0.12782035837593383,1.2820757208816331,0.2471229445332585
CA1-RSC,2,20,7,-0.3701216685719091,-0.1537561264275,0.2163655421444092,2.733477533073878,0.03402869250592623
CA1-RSC,3,30,7,-0.3874042934757441,-0.16454780923643536,0.2228564842393088,2.305990447274116,0.06060085547656553
CA1-RSC,4,40,7,-0.38304742741323217,-0.16122347107003376,0.22182395634319838,2.195815669483715,0.07050748009313322
CA1-RSC,5,50,7,-0.3860303544717508,-0.020177038983580697,0.36585331548817007,2.3933626517604925,0.05377914398257681
CA1-RSC,6,60,7,-0.3334309622933352,-0.015203558253406583,0.3182274040399286,2.6046302498412794,0.040410421825578684
CA1-RSC,7,70,7,-0.24148964784946628,-0.024052733564957757,0.2174369142845085,1.956018535902654,0.09823587394205975
CA1-RSC,8,80,7,-0.22476302657825545,-0.1344145848876089,0.09034844169064656,0.6227415915575177,0.5563671902608487
CA1-RSC,9,90,7,-0.2028516592903713,-0.12992334970707295,0.07292830958329836,0.5189146509747323,0.6223961452423084
CA1-RSC,10,100,7,-0.18485511345615527,-0.11754989865239103,0.0673052148037642,0.4757507283647045,0.6510787548908836
CA1-RSC,11,110,7,-0.17879314002124466,-0.11112476125795671,0.06766837876328795,0.5140668816355585,0.6255828754747468
CA1-RSC,12,120,7,-0.16747900274802596,-0.1260444917134048,0.04143451103462116,0.29620986225029405,0.777054922357082
CA1-RSC,13,130,7,-0.12566915093619438,-0.12132812464696874,0.004341026289225656,0.026849585061329163,0.9794504482190556
CA1-RSC,14,140,7,-0.11685368743208703,-0.13948441520202676,-0.02263072776993969,-0.1254155539263884,0.9042912922300541
CA1-RSC,15,150,7,-0.11838073446113151,-0.13379873119755434,-0.015417996736422853,-0.08478933404274046,0.935187268443884
CA1-RSC,16,160,7,-0.1177249632147028,-0.1367126330812258,-0.018987669866522998,-0.1022596974186348,0.9218825116782563
CA1-RSC,17,170,7,-0.14752677086159274,-0.145041036372452,0.0024857344891406827,0.014979651974652205,0.9885340928129744
CA1-RSC,18,180,7,-0.1620882283604204,-0.156301519433401,0.0057867089270194055,0.036658746155300174,0.971946323225333
CA1-RSC,19,190,7,-0.17909138244604178,-0.15742650798714278,0.021664874458899006,0.1514549263375731,0.8845809130559333
CA1-RSC,20,200,7,-0.18800590925643587,-0.1557008994925179,0.03230500976391799,0.23741215521256462,0.8202359513029517
CA1-RSC,21,210,7,-0.19398201964668108,-0.15374829463832587,0.0402337250083552,0.3117462429801021,0.7657818979001041
CA1-RSC,22,220,7,-0.1918913362374031,-0.16006023112184556,0.03183110511555752,0.2414908949571867,0.8172160370318013
CA1-RSC,23,230,7,-0.19622787337842237,-0.16190392933404932,0.0343239440443731,0.2734740467546456,0.7936588122108773
CA1-RSC,24,240,7,-0.19972347380292876,-0.1629695695896519,0.036753904213276824,0.3031322892895817,0.772024537020974
CA1-RSC,25,250,7,-0.2007292552227296,-0.16336675892187372,0.0373624963008559,0.31484848647931785,0.7635383462614408
CA1-CA3,1,10,7,-0.05436510050219279,-0.0967118888281485,-0.04234678832595571,-0.41812278893120125,0.6904092772124364
CA1-CA3,2,20,7,-0.08510666132744772,-0.1342893589242578,-0.049182697596810085,-0.48094199719877095,0.6475929016074706
CA1-CA3,3,30,7,-0.10537019547406103,-0.1530472689773895,-0.04767707350332844,-0.537241249087959,0.6104301594472309
CA1-CA3,4,40,7,-0.0841088208593782,-0.15040510003845675,-0.06629627917907856,-0.6791476051326817,0.5223655610339741
CA1-CA3,5,50,7,-0.08947687831682523,-0.15402021587149786,-0.06454333755467263,-0.6183886755926035,0.5590472712266747
CA1-CA3,6,60,7,-0.06790758258172226,-0.1426054023647906,-0.07469781978306833,-0.668050543168661,0.5289470328900641
CA1-CA3,7,70,7,-0.05769411668481107,-0.1378368423570738,-0.08014272567226276,-0.6768236688287436,0.5237394268944333
CA1-CA3,8,80,7,-0.057391594525895616,-0.1434267439998295,-0.08603514947393387,-0.7416897764712824,0.48628188498918634
CA1-CA3,9,90,7,-0.049514189272338076,-0.1363572245639162,-0.0868430352915781,-0.7636714041935728,0.47401208537494366
CA1-CA3,10,100,7,-0.04109636077309984,-0.12378482173009323,-0.0826884609569934,-0.7585804851351493,0.4768344899225162
CA1-CA3,11,110,7,-0.03786391628758767,-0.1067723363114115,-0.06890842002382382,-0.6631271921205261,0.5318840411652002
CA1-CA3,12,120,7,-0.03413376918637856,-0.08642450803739776,-0.05229073885101922,-0.5211972656994373,0.6208987373994234
