pair,window_bins,window_ms,n_animals,ifi_naive,ifi_expert,delta,t,p
CA1-RSC,1,10,8,0.044188186020110966,0.10196627333165778,0.05777808731154681,0.6040727339575923,0.564850959477051
CA1-RSC,2,20,8,0.04538019650972719,0.12049558577680677,0.07511538926707959,0.8048180239701953,0.44739359672917867
CA1-RSC,3,30,8,0.06036651659482386,0.12531606266835754,0.06494954607353369,0.7615571474500992,0.4711976532708717
CA1-RSC,4,40,8,0.05452849694239538,0.14395332425581622,0.08942482731342083,1.0033331033024557,0.3491147736284202
CA1-RSC,5,50,8,0.061003323087378714,0.1537605307406847,0.09275720765330599,1.254252268855674,0.2500090389597438
CA1-RSC,6,60,8,0.05805086252445323,0.1564440982640106,0.09839323573955737,1.4930935719048979,0.1790503707612368
CA1-RSC,7,70,8,0.057122179597372855,0.14338278980017538,0.08626061020280254,1.4717567355187584,0.18456248371076575
CA1-RSC,8,80,8,0.043924234300556406,0.1257958892947984,0.08187165499424201,1.515276789739042,0.17347874042035485
CA1-RSC,9,90,8,0.030927872363530902,0.11238786662324071,0.08145999425970982,1.6919036580936486,0.1345021374387933
CA1-RSC,10,100,8,0.014901466169466568,0.09452428033640442,0.07962281416693784,1.8529965192910636,0.10629862716581451
CA1-RSC,11,110,8,0.0015134488358861074,0.07846999476557376,0.07695654592968766,1.9595640118633424,0.09087805483594519
CA1-RSC,12,120,8,-0.0059796576789436385,0.0681806818365262,0.07416033951546985,1.9173780031679086,0.09670215093180877
CA1-RSC,13,130,8,-0.008375184466314656,0.0655059589787376,0.07388114344505226,2.0079213017986177,0.08462484268348085
CA1-RSC,14,140,8,-0.006379307812124566,0.06630512149864379,0.07268442931076835,2.063666284251567,0.07794212359047399
CA1-RSC,15,150,8,-0.00038917932515246736,0.06800999477238008,0.06839917409753254,1.9740652649521737,0.08895660120277808
CA1-RSC,16,160,8,0.0061882111234087545,0.06805260427570858,0.06186439315229983,1.6875578491254566,0.13535383301176984
CA1-RSC,17,170,8,0.008185303108697781,0.05764467667591414,0.04945937356721636,1.2772689465501723,0.24223770560607635
CA1-RSC,18,180,8,0.00792697829520883,0.04451030866091467,0.03658333036570584,0.8569801699573203,0.4198240743040321
CA1-RSC,19,190,8,0.010407672391645643,0.042206872623844524,0.031799200232198885,0.704855792431803,0.503670362597938
CA1-RSC,20,200,8,0.008127518295386016,0.04132526462467105,0.03319774632928503,0.7307287529536958,0.4886753377505946
CA1-RSC,21,210,8,0.002236996554600478,0.038249461371789126,0.036012464817188644,0.7807453954246972,0.4605348737407291
CA1-RSC,22,220,8,0.004068481913362084,0.03459278238208176,0.030524300468719665,0.7119307037818752,0.4995405805105353
CA1-RSC,23,230,8,0.00045262937440959314,0.03007977832658918,0.02962714895217959,0.7146384825631289,0.49796583625266266
CA1-RSC,24,240,8,-0.005833694061442487,0.024226678512228463,0.03006037257367095,0.7455402624388014,0.4802250661475753
CA1-RSC,25,250,8,-0.007303866112285735,0.017594323782206624,0.024898189894492363,0.6477303238158673,0.5378159994114068
CA1-CA3,1,10,7,0.09220495390636041,0.18520189691368946,0.09299694300732907,0.6848013617565654,0.5190329771608585
CA1-CA3,2,20,7,0.11033823624678142,0.20638265010923007,0.09604441386244865,0.7632801346098901,0.474228592306566
CA1-CA3,3,30,7,0.11024814897090289,0.2437609252329104,0.13351277626200747,0.9810985557296779,0.3644329668507156
CA1-CA3,4,40,7,0.10118193211445477,0.2440739411084159,0.14289200899396118,1.0548629885612033,0.33210101396051106
