animal,pair,dim,epoch,window_bins,window_ms,ifi,degenerate,label,sig
28,CA1-CA3,1,expert,1,10,0.15942028985507248,0,FF,1
28,CA1-CA3,1,expert,2,20,0.3038156209987196,0,FF,1
28,CA1-CA3,1,expert,3,30,0.4262135922330097,0,FF,1
28,CA1-CA3,1,expert,4,40,0.47130549775383596,0,FF,1
28,CA1-CA3,1,expert,5,50,0.47130549775383596,0,FF,1
28,CA1-CA3,1,expert,6,60,0.47130549775383607,0,FF,1
28,CA1-CA3,1,expert,7,70,0.4713054977538359,0,FF,1
28,CA1-CA3,1,expert,8,80,0.47130549775383596,0,FF,1
28,CA1-CA3,1,expert,9,90,0.47130549775383596,0,FF,1
28,CA1-CA3,1,expert,10,100,0.44868259803921573,0,FF,1
28,CA1-CA3,1,expert,11,110,0.3386177854842705,0,FF,1
28,CA1-CA3,1,expert,12,120,0.18432420673151634,0,FF,1
28,CA1-CA3,1,expert,13,130,0.07082261717400486,0,FF,1
28,CA1-CA3,1,expert,14,140,0.048364644931707515,0,FF,1
28,CA1-CA3,1,expert,15,150,0.05985614360433182,0,FF,1
28,CA1-CA3,1,expert,16,160,0.09770513455506027,0,FF,1
28,CA1-CA3,1,expert,17,170,0.13918946589172934,0,FF,1
28,CA1-CA3,1,expert,18,180,0.14866969904666968,0,FF,1
28,CA1-CA3,1,expert,19,190,0.14866969904666957,0,FF,1
28,CA1-CA3,1,expert,20,200,0.14866969904666957,0,FF,1
28,CA1-CA3,1,expert,21,210,0.1486696990466696,0,FF,1
28,CA1-CA3,1,expert,22,220,0.14866969904666957,0,FF,1
28,CA1-CA3,1,expert,23,230,0.14866969904666963,0,FF,1
28,CA1-CA3,1,expert,24,240,0.14722217900648749,0,FF,1
28,CA1-CA3,1,expert,25,250,0.1177130384697002,0,FF,1
28,CA1-CA3,1,intermediate,1,10,0.09109044503769764,0,FF,1
28,CA1-CA3,1,intermediate,2,20,0.20340662971256562,0,FF,1
28,CA1-CA3,1,intermediate,3,30,0.3066428092149407,0,FF,1
28,CA1-CA3,1,intermediate,4,40,0.32224564691184504,0,FF,1
28,CA1-CA3,1,intermediate,5,50,0.32224564691184504,0,FF,1
28,CA1-CA3,1,intermediate,6,60,0.322245646911845,0,FF,1
28,CA1-CA3,1,intermediate,7,70,0.32224564691184504,0,FF,1
28,CA1-CA3,1,intermediate,8,80,0.3222456469118451,0,FF,1
28,CA1-CA3,1,intermediate,9,90,0.3222456469118451,0,FF,1
28,CA1-CA3,1,intermediate,10,100,0.32224564691184504,0,FF,1
28,CA1-CA3,1,intermediate,11,110,0.24375697749574002,0,FF,1
28,CA1-CA3,1,intermediate,12,120,0.1341409799228176,0,FF,1
28,CA1-CA3,1,intermediate,13,130,0.06478319757349153,0,FF,1
28,CA1-CA3,1,intermediate,14,140,0.04779694874160372,0,FF,1
28,CA1-CA3,1,intermediate,15,150,0.05655761976491187,0,FF,1
28,CA1-CA3,1,intermediate,16,160,0.08720352140111755,0,FF,1
28,CA1-CA3,1,intermediate,17,170,0.12198177740241284,0,FF,1
28,CA1-CA3,1,intermediate,18,180,0.1311278511770013,0,FF,1
28,CA1-CA3,1,intermediate,19,190,0.13112785117700135,0,FF,1
28,CA1-CA3,1,intermediate,20,200,0.1311278511770013,0,FF,1
28,CA1-CA3,1,intermediate,21,210,0.1311278511770013,0,FF,1
28,CA1-CA3,1,intermediate,22,220,0.13112785117700126,0,FF,1
28,CA1-CA3,1,intermediate,23,230,0.1311278511770014,0,FF,1
28,CA1-CA3,1,intermediate,24,240,0.13112785117700126,0,FF,1
28,CA1-CA3,1,intermediate,25,250,0.10778521016056113,0,FF,1
28,CA1-CA3,1,naive,1,10,0.0022001116474567495,0,FF,1
28,CA1-CA3,1,naive,2,20,0.07323258569438956,0,FF,1
28,CA1-CA3,1,naive,3,30,0.13351731643798337,0,FF,1
28,CA1-CA3,1,naive,4,40,0.1335173164379834,0,FF,1
28,CA1-CA3,1,naive,5,50,0.13351731643798345,0,FF,1
28,CA1-CA3,1,naive,6,60,0.13351731643798337,0,FF,1
28,CA1-CA3,1,naive,7,70,0.13351731643798334,0,FF,1
28,CA1-CA3,1,naive,8,80,0.1335173164379834,0,FF,1
28,CA1-CA3,1,naive,9,90,0.13351731643798342,0,FF,1
28,CA1-CA3,1,naive,10,100,0.1268378446260554,0,FF,1
28,CA1-CA3,1,naive,11,110,0.04648789708760594,0,FF,1
28,CA1-CA3,1,naive,12,120,-0.004797274446685155,0,FF,1
28,CA1-CA3,1,naive,13,130,-0.009658386260287994,0,FF,1
28,CA1-CA3,1,naive,14,140,0.0062345553061732865,0,FF,1
28,CA1-CA3,1,naive,15,150,0.02548480866483481,0,FF,1
28,CA1-CA3,1,naive,16,160,0.04217384276815577,0,FF,1
28,CA1-CA3,1,naive,17,170,0.05413402745377306,0,FF,1
28,CA1-CA3,1,naive,18,180,0.05413402745377307,0,FF,1
