pair,window_bins,window_ms,n_animals,ifi_naive,ifi_expert,delta,t,p
CA1-RSC,1,10,8,-0.14550218340353036,-0.06994034949845054,0.07556183390507978,0.5763990491731316,0.5823964796018826
CA1-RSC,2,20,8,-0.14165544660723614,-0.02829097052646083,0.11336447608077531,0.9719756746115787,0.36344306619479305
CA1-RSC,3,30,8,-0.07970614648452591,0.005338012260076616,0.08504415874460253,0.8084757102402583,0.44541990330174974
CA1-RSC,4,40,8,-0.01994129702701512,0.02231355840436106,0.04225485543137618,0.34724198034537795,0.7386154720832079
CA1-RSC,5,50,8,-0.0017552460845623383,0.03383271251311043,0.035587958597672775,0.30995161146173567,0.7656215879890187
CA1-RSC,6,60,8,0.008062345598263937,0.02725994378759578,0.019197598189331838,0.16545508479831408,0.8732628352593449
CA1-RSC,7,70,8,0.005045972676398482,0.025053398253690993,0.0200074255772925,0.1644800740297372,0.8740020146383756
CA1-RSC,8,80,8,0.0008621280614221349,0.02098838679193834,0.020126258730516218,0.16454089763976454,0.8739558988250391
CA1-RSC,9,90,8,-0.015651214233525765,0.011078247446380177,0.02672946167990594,0.21897025981830387,0.8329208217155457
CA1-RSC,10,100,8,-0.019084291947658216,-0.001629314530881094,0.017454977416777116,0.17373983306559215,0.866987520275933
CA1-RSC,11,110,8,-0.0028448547670252306,-0.0026168263172095356,0.00022802844981569675,0.002570648295966627,0.9980206472573453
CA1-RSC,12,120,8,0.02103103349074332,-0.0059333446579829426,-0.026964378148726265,-0.2897938011829148,0.7803699272508443
CA1-RSC,13,130,8,0.03376326359028793,-0.0024642594682615024,-0.03622752305854943,-0.38583282662102175,0.7110785464445544
CA1-RSC,14,140,8,0.02501927187081652,-0.0064756466196207365,-0.03149491849043726,-0.33948403486556633,0.7442028991132846
CA1-RSC,15,150,8,0.011075766095392913,-0.00021598507233036059,-0.011291751167723268,-0.1302358442855031,0.900043429654702
CA1-RSC,16,160,8,0.009116860070621187,0.0046016899232980985,-0.004515170147323087,-0.04689228727415676,0.9639088560413487
CA1-RSC,17,170,8,0.002847749665010427,0.00513605533724242,0.0022883056722319897,0.021402271859106255,0.9835220542802892
CA1-RSC,18,180,8,0.007589917747658476,0.00461046228689355,-0.0029794554607649355,-0.026342931500679408,0.979719073872747
CA1-RSC,19,190,8,0.017131146735416065,0.009617911242779659,-0.0075132354926363935,-0.06764226568444844,0.9479619592056547
CA1-RSC,20,200,8,0.009388290238666969,0.013685110600272714,0.0042968203616057556,0.041614779360614064,0.9679678972611507
CA1-RSC,21,210,8,-0.000538221639519389,0.013869367194076831,0.014407588833596219,0.14348252356129254,0.8899522372246497
CA1-RSC,22,220,8,-0.0066594864406760695,0.013765846414202696,0.020425332854878762,0.2052545572267945,0.8432143851521772
CA1-RSC,23,230,8,-0.017404467396032262,0.01496844412532021,0.03237291152135248,0.33001290954670576,0.7510466230734969
CA1-RSC,24,240,8,-0.015542168288613803,0.016973001169391325,0.03251516945800512,0.32382935619278647,0.7555278340513589
CA1-RSC,25,250,8,-0.012254083005347298,0.01366597433636479,0.02592005734171209,0.2575249160878223,0.8041799340930815
CA1-CA3,1,10,6,0.1788528113155918,-0.03506723389471187,-0.21392004521030364,-1.1287141754151606,0.31024481421601147
CA1-CA3,2,20,6,0.20428678670393163,-0.04133343570477335,-0.24562022240870499,-1.2840446664516072,0.2554049660792702
CA1-CA3,3,30,6,0.22479676641982985,-0.025951958109385245,-0.2507487245292151,-1.2586993809394011,0.26370956093589026
CA1-CA3,4,40,6,0.2359536561170952,-0.022935287490133637,-0.2588889436072288,-1.269178308974639,0.26024661234548235
CA1-CA3,5,50,6,0.23621189221099834,-0.023080964247661234,-0.25929285645865957,-1.2657632920714545,0.2613705858956824
CA1-CA3,6,60,6,0.2362118922109984,-0.02416308524967599,-0.26037497746067434,-1.264594248083797,0.2617563654727667
CA1-CA3,7,70,6,0.23621189221099836,-0.022634164752447866,-0.2588460569634462,-1.2662487715590576,0.26121053209356604
CA1-CA3,8,80,6,0.23621189221099834,-0.019361582960281478,-0.25557347517127976,-1.2698551820891835,0.26002435962531883
