animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
28,1,CA1-CA3,session,900,0.1895,0.0876,2,0.0474,-0.2512,0,0.3548,0.5672
28,1,CA1-CA3,naive,900,0.0988,-0.0836,1,0.0049,0.4059,3,0.4539,0.8443
28,1,CA1-CA3,intermediate,900,0.1277,0.133,3,0.0236,0.0182,1,0.3562,0.7468
28,1,CA1-CA3,expert,900,0.1311,-0.0304,1,0.0087,-0.8406,0,0.3838,0.5516
28,1,CA1-DG,session,900,0.2036,0.1857,2,0.0338,0.12,0,0.325,0.2369
28,1,CA1-DG,naive,900,0.2342,0.2083,1,0.0282,-0.1067,0,0.451,0.3427
28,1,CA1-DG,intermediate,900,0.1666,0.1374,3,0.0455,0.0724,0,0.4257,0.3505
28,1,CA1-DG,expert,900,0.2562,0.0828,1,0.0339,0.0025,0,0.4067,0.3645
28,1,CA1-V1,session,900,0.0669,0.0567,1,0.0022,0.3029,4,0.3396,0.302
28,1,CA1-V1,naive,900,0.2354,0.2073,1,0.0285,0.0738,0,0.4178,0.4526
28,1,CA1-V1,intermediate,900,0.1565,0.0628,2,0.0145,-0.1578,-3,0.4778,0.3433
28,1,CA1-V1,expert,900,0.1449,-0.0514,2,0.02,0.1245,4,0.402,0.3392
28,1,CA3-DG,session,900,0.061,0.0536,1,0.0088,-0.1119,-2,0.5475,0.2733
28,1,CA3-DG,naive,900,0.0605,0.0687,3,0.0118,-0.1927,-3,0.8026,0.3117
28,1,CA3-DG,intermediate,900,0.1964,0.2428,2,0.0324,-0.4421,-2,0.7132,0.3444
28,1,CA3-DG,expert,900,0.1573,0.0785,1,0.0125,0.4516,0,0.4249,0.3006
34,1,CA1-CA3,session,900,0.3411,0.2086,3,0.0729,-0.2541,0,0.5593,0.3855
34,1,CA1-CA3,naive,900,0.3892,0.3166,1,0.0821,0.343,0,0.4239,0.5008
34,1,CA1-CA3,intermediate,900,0.3075,0.1641,3,0.0738,-0.2664,0,0.4506,0.3946
34,1,CA1-CA3,expert,900,0.3282,0.1143,3,0.0673,-0.1494,0,0.4329,0.5725
34,1,CA1-V1,session,900,0.0583,0.0462,0,0.0,0.3796,1,0.4568,0.2854
34,1,CA1-V1,naive,900,0.1036,0.262,2,0.0117,0.4115,3,0.5157,0.3375
34,1,CA1-V1,intermediate,900,0.3451,-0.0295,1,0.0634,-0.2248,-1,0.3898,0.3519
