animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
28,1,CA1-CA3,session,900,0.2431,0.2006,2,0.0479,-0.478,0,0.3386,0.5068
28,1,CA1-CA3,naive,900,0.1487,0.1557,3,0.0203,0.1793,0,0.4449,0.7701
28,1,CA1-CA3,intermediate,900,0.2296,0.1645,2,0.0441,-0.2324,0,0.3514,0.6576
28,1,CA1-CA3,expert,900,0.2093,-0.0461,3,0.041,-0.2828,0,0.3693,0.4982
28,1,CA1-DG,session,900,0.2707,0.2367,3,0.0481,0.5698,0,0.3295,0.3102
28,1,CA1-DG,naive,900,0.3627,0.4103,2,0.0737,-0.021,0,0.4649,0.3305
28,1,CA1-DG,intermediate,900,0.1798,0.1472,3,0.0285,0.0808,0,0.3869,0.3991
28,1,CA1-DG,expert,900,0.1342,0.3192,2,0.0302,-0.2347,0,0.4553,0.3685
28,1,CA1-V1,session,900,0.0682,0.1333,0,0.0,0.5288,4,0.3458,0.3252
28,1,CA1-V1,naive,900,0.2449,0.1628,1,0.0309,-0.0284,0,0.4538,0.4507
28,1,CA1-V1,intermediate,900,0.0559,-0.0021,3,0.0167,0.3632,1,0.4524,0.345
28,1,CA1-V1,expert,900,0.1596,0.2168,1,0.0129,0.2193,4,0.4056,0.3376
28,1,CA3-DG,session,900,0.6027,0.6313,2,0.2358,-0.9599,0,0.5804,0.3255
28,1,CA3-DG,naive,900,0.5105,0.4953,3,0.1703,-0.013,0,0.6921,0.4351
28,1,CA3-DG,intermediate,900,0.5633,0.577,1,0.1909,-0.1699,0,0.6477,0.3137
28,1,CA3-DG,expert,900,0.5261,0.5931,2,0.1716,0.574,0,0.4588,0.4008
34,1,CA1-CA3,session,900,0.5196,0.5507,3,0.2161,0.6014,0,0.4563,0.2767
34,1,CA1-CA3,naive,900,0.5672,0.5151,3,0.2245,0.5167,0,0.4412,0.3367
34,1,CA1-CA3,intermediate,900,0.4612,0.4731,3,0.1956,-0.5566,0,0.4926,0.3758
34,1,CA1-CA3,expert,900,0.5423,0.5145,2,0.3073,0.0794,0,0.4828,0.4264
34,1,CA1-V1,session,900,0.0476,0.0813,1,0.0195,-0.3678,-1,0.3624,0.3589
34,1,CA1-V1,naive,900,0.1578,-0.0036,2,0.0204,0.2885,3,0.458,0.3426
34,1,CA1-V1,intermediate,900,0.3527,0.2257,1,0.0664,-0.2265,0,0.4086,0.3439
34,1,CA1-V1,expert,900,0.3868,0.3961,2,0.0867,0.0604,0,0.3784,0.3865
36,1,CA1-CA3,session,900,0.3137,0.3096,2,0.0588,0.3409,0,0.4153,0.1499
36,1,CA1-CA3,naive,900,0.3895,0.3815,2,0.1056,0.6535,0,0.4422,0.2498
36,1,CA1-CA3,intermediate,900,0.3526,0.3134,2,0.0914,-0.2695,0,0.4711,0.2149
36,1,CA1-CA3,expert,900,0.4121,0.3359,3,0.1587,-0.1294,0,0.4684,0.2936
36,1,CA1-V1,session,900,-0.0738,0.0296,0,0.0,-0.3816,-1,0.3431,0.2417
36,1,CA1-V1,naive,900,0.0809,0.1212,0,0.0,0.2427,2,0.3948,0.196
36,1,CA1-V1,intermediate,900,-0.0355,-0.0059,0,0.0,-0.3872,-4,0.3801,0.2697
36,1,CA1-V1,expert,900,0.0752,0.0959,0,0.0,-0.1838,1,0.4116,0.2515
41,1,CA1-CA3,session,900,0.577,0.6497,3,0.332,0.882,0,0.4998,0.4249
41,1,CA1-CA3,naive,900,0.6566,0.5796,3,0.3852,-0.5583,0,0.565,0.4871
41,1,CA1-CA3,intermediate,900,0.6126,0.415,3,0.4294,-0.0598,0,0.5682,0.5176
41,1,CA1-CA3,expert,900,0.5813,-0.5222,3,0.4849,-0.4484,0,0.4825,0.3831
41,1,CA1-V1,session,900,0.0808,0.1148,1,0.0033,0.5672,3,0.3542,0.2976
41,1,CA1-V1,naive,900,0.1128,0.2296,2,0.0073,-0.3559,-1,0.4378,0.3406
41,1,CA1-V1,intermediate,900,0.1035,0.045,2,0.0107,0.0817,-1,0.4851,0.3042
41,1,CA1-V1,expert,900,0.1206,0.0517,0,0.0,0.14,-4,0.4366,0.3609
52,1,CA1-RSC,session,900,0.0045,0.1188,0,0.0,0.6896,3,0.3229,0.3323
52,1,CA1-RSC,naive,900,0.0231,-0.148,0,0.0,0.3239,1,0.4043,0.1766
52,1,CA1-RSC,intermediate,900,0.1123,-0.0552,1,0.0063,0.8391,1,0.3513,0.1722
52,1,CA1-RSC,expert,900,0.0249,-0.0196,0,0.0,0.1617,0,0.3583,0.2847
52,1,CA1-CA3,session,900,0.0732,0.2164,2,0.0112,0.0322,4,0.3683,0.4546
52,1,CA1-CA3,naive,900,0.2513,0.11,3,0.0585,-0.0387,0,0.4635,0.5072
