animal,learner,pair,n_matched,unc_cc_kcca,cue_cc_kcca,d_cc_kcca,unc_cc_linear,cue_cc_linear,d_cc_linear,unc_n_sig,cue_n_sig,d_n_sig,unc_mi_sig,cue_mi_sig,d_mi_sig,unc_ifi,cue_ifi,d_ifi,unc_gini_x,cue_gini_x,d_gini_x
41,1,CA1-CA3,900,0.1203,0.2779,0.1576,0.0318,0.5,0.4682,3.0,3.0,0.0,0.0173,0.0726,0.0553,-0.7382,-0.3172,0.421,0.5754,0.6171,0.0417
41,1,CA1-V1,900,0.0476,0.0239,-0.0238,-0.1497,-0.1381,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,-0.6847,0.9756,1.6603,0.621,0.5308,-0.0902
52,1,CA1-RSC,900,-0.0069,0.0908,0.0977,0.0418,-0.0296,-0.0714,0.0,3.0,3.0,0.0,0.0137,0.0137,-0.7566,-0.4534,0.3032,0.4613,0.4712,0.0099
52,1,CA1-CA3,900,0.1513,0.1934,0.042,0.1132,0.1496,0.0364,3.0,3.0,0.0,0.0303,0.0361,0.0058,-0.0261,-1.0,-0.9739,0.4373,0.4487,0.0114
52,1,CA1-DG,900,0.2495,0.0523,-0.1973,0.2432,0.1455,-0.0977,3.0,3.0,0.0,0.0564,0.0088,-0.0476,0.2709,-1.0,-1.2709,0.4715,0.4835,0.012
52,1,CA1-V1,900,0.0807,0.0992,0.0185,0.0638,0.1645,0.1007,0.0,1.0,1.0,0.0,0.0177,0.0177,-0.0202,-0.0001,0.0201,0.4817,0.4837,0.002
52,1,CA3-DG,900,0.4849,0.3665,-0.1184,0.4874,0.3743,-0.1131,3.0,3.0,0.0,0.2224,0.3023,0.0799,0.8254,-0.1995,-1.025,0.5,0.5663,0.0663
52,1,V1-RSC,900,0.1894,0.1203,-0.0691,-0.0533,0.0904,0.1437,1.0,0.0,-1.0,0.0183,0.0,-0.0183,0.4689,0.6809,0.212,0.4246,0.3149,-0.1097
61,1,CA1-RSC,900,-0.0118,0.0704,0.0822,-0.0506,0.0825,0.1331,0.0,0.0,0.0,0.0,0.0,0.0,-0.311,-0.1781,0.1329,0.4361,0.4805,0.0444
61,1,CA1-CA3,900,0.1005,0.2365,0.1361,0.1499,-0.0383,-0.1882,0.0,2.0,2.0,0.0,0.0323,0.0323,0.3915,0.5301,0.1386,0.459,0.4626,0.0036
61,1,CA1-DG,900,0.2285,0.1727,-0.0558,0.1565,0.1082,-0.0483,2.0,3.0,1.0,0.038,0.024,-0.0141,0.6817,-0.462,-1.1436,0.4408,0.4787,0.0379
61,1,CA1-V1,900,-0.0059,0.0598,0.0657,-0.0001,0.1651,0.1652,0.0,1.0,1.0,0.0,0.0102,0.0102,-1.0,-0.3245,0.6755,0.4637,0.4431,-0.0206
61,1,CA3-DG,900,0.346,0.3044,-0.0416,0.1868,0.4049,0.2182,3.0,3.0,0.0,0.1701,0.0659,-0.1042,-0.2691,-0.6282,-0.3592,0.4638,0.5281,0.0643
61,1,V1-RSC,900,0.2039,0.0344,-0.1695,0.4333,0.1078,-0.3255,2.0,1.0,-1.0,0.0307,0.0288,-0.0019,-0.0935,-0.9009,-0.8075,0.4755,0.3746,-0.1009
63,1,CA1-RSC,900,0.0771,-0.0311,-0.1082,-0.0389,-0.0172,0.0216,0.0,1.0,1.0,0.0,0.0007,0.0007,0.2076,0.2961,0.0885,0.2629,0.4022,0.1393
66,1,CA1-RSC,900,0.0206,0.0042,-0.0164,-0.2283,-0.4234,-0.1951,0.0,0.0,0.0,0.0,0.0,0.0,0.307,-0.755,-1.062,0.5274,0.4575,-0.0699
