animal,learner,pair,n_matched,unc_cc_kcca,cue_cc_kcca,d_cc_kcca,unc_cc_linear,cue_cc_linear,d_cc_linear,unc_n_sig,cue_n_sig,d_n_sig,unc_mi_sig,cue_mi_sig,d_mi_sig,unc_ifi,cue_ifi,d_ifi,unc_gini_x,cue_gini_x,d_gini_x
41,1,CA1-CA3,900,0.6021,0.5812,-0.0208,0.6097,0.89,0.2803,3.0,3.0,0.0,0.3485,0.3887,0.0402,-0.3255,0.0208,0.3463,0.5364,0.5564,0.02
41,1,CA1-V1,900,0.0256,0.0343,0.0087,-0.0165,0.0778,0.0943,1.0,0.0,-1.0,0.0034,0.0,-0.0034,-0.0431,1.0,1.0431,0.5148,0.5146,-0.0002
52,1,CA1-RSC,900,0.0923,-0.0085,-0.1007,0.1057,-0.1938,-0.2995,1.0,2.0,1.0,0.0043,0.0073,0.0031,-0.1604,-0.0669,0.0935,0.4518,0.4566,0.0048
52,1,CA1-CA3,900,0.2033,0.1826,-0.0207,0.258,0.0932,-0.1648,2.0,2.0,0.0,0.0359,0.0261,-0.0098,-0.4355,-0.6814,-0.246,0.4446,0.4658,0.0212
52,1,CA1-DG,900,0.2153,0.1399,-0.0755,0.1627,0.1351,-0.0276,3.0,2.0,-1.0,0.0559,0.0143,-0.0417,0.0703,-0.8188,-0.8891,0.4679,0.4663,-0.0017
52,1,CA1-V1,900,0.1284,0.0848,-0.0435,0.3108,0.1681,-0.1428,1.0,1.0,0.0,0.0083,0.017,0.0087,-0.3574,0.452,0.8095,0.4634,0.4653,0.0019
52,1,CA3-DG,900,0.5058,0.4341,-0.0718,0.5344,0.4429,-0.0915,3.0,3.0,0.0,0.2438,0.3316,0.0878,0.8366,-0.0705,-0.9072,0.4748,0.5447,0.0699
52,1,V1-RSC,900,0.1158,0.1664,0.0506,-0.078,0.1549,0.233,1.0,2.0,1.0,0.0067,0.0327,0.026,-0.3673,0.3625,0.7298,0.3983,0.3316,-0.0668
61,1,CA1-RSC,900,-0.0131,0.0404,0.0535,-0.0034,0.0829,0.0862,0.0,3.0,3.0,0.0,0.0115,0.0115,0.2138,0.1212,-0.0926,0.4387,0.42,-0.0187
61,1,CA1-CA3,900,0.0815,0.0987,0.0173,0.1012,0.0613,-0.0399,2.0,3.0,1.0,0.0145,0.0105,-0.004,0.2915,-0.8692,-1.1608,0.4364,0.4332,-0.0033
61,1,CA1-DG,900,0.2261,0.1771,-0.049,0.1206,0.2004,0.0798,1.0,2.0,1.0,0.0262,0.0254,-0.0009,-0.4282,0.0554,0.4836,0.4167,0.4353,0.0187
61,1,CA1-V1,900,0.0367,0.1299,0.0932,-0.0934,0.1547,0.2481,2.0,2.0,0.0,0.0012,0.0258,0.0246,-0.88,-0.5922,0.2878,0.4289,0.4584,0.0295
61,1,CA3-DG,900,0.3886,0.3125,-0.0761,0.2106,0.3961,0.1855,3.0,3.0,0.0,0.1701,0.0817,-0.0884,0.7729,-0.4172,-1.19,0.4716,0.4988,0.0272
61,1,V1-RSC,900,0.3116,0.1797,-0.1318,0.7107,0.4447,-0.266,2.0,3.0,1.0,0.0624,0.0672,0.0048,-0.6113,-0.1299,0.4814,0.4584,0.3737,-0.0847
63,1,CA1-RSC,900,0.0206,-0.0334,-0.0541,-0.0311,-0.0032,0.0279,0.0,0.0,0.0,0.0,0.0,0.0,0.3592,-0.2579,-0.6171,0.3008,0.3003,-0.0005
66,1,CA1-RSC,900,0.0073,0.0012,-0.0061,0.1766,-0.4202,-0.5967,0.0,0.0,0.0,0.0,0.0,0.0,0.3346,-1.0,-1.3346,0.5039,0.4468,-0.0571
66,1,CA1-DG,900,0.284,0.3578,0.0738,0.1695,0.3749,0.2054,2.0,1.0,-1.0,0.06,0.0685,0.0085,-0.0894,-0.0432,0.0462,0.507,0.4234,-0.0836
66,1,CA1-V1,900,-0.0593,-0.0157,0.0437,-0.085,-0.4583,-0.3733,0.0,1.0,1.0,0.0,0.0049,0.0049,0.6887,0.0793,-0.6094,0.555,0.5066,-0.0483
66,1,CA1-SUB,900,0.0702,0.0959,0.0257,-0.175,0.464,0.639,0.0,1.0,1.0,0.0,0.0046,0.0046,0.966,-0.5311,-1.4971,0.4912,0.4944,0.0032
66,1,RSC-SUB,900,0.1435,0.0448,-0.0987,0.0314,0.0239,-0.0074,2.0,0.0,-2.0,0.019,0.0,-0.019,-1.0,0.0624,1.0624,0.3817,0.2844,-0.0973
66,1,V1-RSC,900,0.1798,0.2841,0.1043,0.0959,0.4305,0.3345,2.0,2.0,0.0,0.0245,0.0542,0.0297,-0.6355,0.2964,0.9319,0.3497,0.2307,-0.119
68,1,CA1-RSC,900,0.0871,-0.0316,-0.1187,-0.0525,0.0151,0.0676,2.0,0.0,-2.0,0.0077,0.0,-0.0077,-0.8881,0.0915,0.9796,0.2098,0.3175,0.1077
68,1,CA1-CA3,900,0.407,0.4319,0.025,0.447,0.4741,0.0271,2.0,3.0,1.0,0.1146,0.1227,0.0081,0.3877,-0.0223,-0.41,0.4689,0.3441,-0.1248
68,1,CA1-DG,900,0.1795,0.2644,0.0849,0.1028,0.3114,0.2086,1.0,1.0,0.0,0.0164,0.0362,0.0198,0.254,0.1734,-0.0807,0.4158,0.3331,-0.0827
68,1,CA3-DG,900,0.3402,0.2794,-0.0608,0.3828,0.4589,0.0761,3.0,3.0,0.0,0.0717,0.0951,0.0234,-0.4584,0.4609,0.9193,0.4766,0.4034,-0.0733
70,0,CA1-RSC,900,0.1976,0.0995,-0.0981,0.0961,0.174,0.0778,1.0,0.0,-1.0,0.0199,0.0,-0.0199,0.1875,0.3943,0.2068,0.4093,0.3957,-0.0136
70,0,CA1-DG,900,0.2273,0.1962,-0.0312,0.1389,0.1438,0.0049,2.0,3.0,1.0,0.0327,0.0421,0.0094,-0.2847,0.6146,0.8993,0.3779,0.3756,-0.0022
70,0,CA1-V1,900,0.0823,0.2958,0.2136,0.2183,0.1493,-0.069,1.0,2.0,1.0,0.0034,0.0545,0.0511,-0.0001,0.0245,0.0246,0.3763,0.4252,0.0489
70,0,CA1-SUB,900,0.1278,0.1586,0.0307,0.1011,0.1101,0.009,2.0,3.0,1.0,0.0216,0.0521,0.0306,-0.4978,-0.1479,0.35,0.3414,0.3983,0.057
70,0,RSC-SUB,900,0.1294,0.2405,0.1111,0.0499,0.2472,0.1972,2.0,1.0,-1.0,0.0127,0.0298,0.017,1.0,-0.0141,-1.0141,0.3801,0.3759,-0.0042
70,0,V1-RSC,900,0.2225,0.3453,0.1228,0.4312,0.377,-0.0543,2.0,2.0,0.0,0.0395,0.0827,0.0432,0.0481,0.4674,0.4193,0.4226,0.3691,-0.0535
71,0,CA1-RSC,900,0.0569,0.0741,0.0172,0.0157,-0.2614,-0.2771,2.0,0.0,-2.0,0.0055,0.0,-0.0055,-0.4573,-0.8696,-0.4123,0.5298,0.4181,-0.1117
71,0,CA1-CA3,900,0.0128,-0.0467,-0.0595,-0.0268,-0.0003,0.0265,0.0,0.0,0.0,0.0,0.0,0.0,-0.1335,0.3584,0.4918,0.3272,0.4173,0.0901
71,0,CA1-DG,900,0.143,0.1419,-0.0011,-0.0194,-0.276,-0.2566,2.0,3.0,1.0,0.0145,0.0249,0.0103,-0.5983,0.0652,0.6635,0.4038,0.3651,-0.0388
71,0,CA1-V1,900,0.0281,0.0565,0.0283,0.0442,0.0771,0.0329,0.0,0.0,0.0,0.0,0.0,0.0,0.7313,1.0,0.2687,0.4246,0.4333,0.0088
71,0,CA3-DG,900,0.2784,0.299,0.0206,0.257,0.1833,-0.0737,3.0,3.0,0.0,0.0629,0.1134,0.0505,0.2541,-0.2963,-0.5504,0.3541,0.3593,0.0052
71,0,CA1-SUB,900,0.1195,0.1541,0.0346,-0.0831,0.1806,0.2637,2.0,1.0,-1.0,0.0206,0.012,-0.0086,-0.0426,-0.6707,-0.6281,0.3609,0.3804,0.0195
71,0,RSC-SUB,900,0.1511,0.0845,-0.0665,0.2085,0.0707,-0.1378,3.0,2.0,-1.0,0.0295,0.0049,-0.0246,-0.0017,0.1774,0.1791,0.3933,0.3866,-0.0067
71,0,V1-RSC,900,0.1693,0.271,0.1016,0.2231,0.0355,-0.1875,2.0,3.0,1.0,0.0273,0.0592,0.0319,-1.0,-0.0701,0.9299,0.3796,0.3096,-0.07
73,1,CA1-RSC,900,0.0478,0.0119,-0.0358,-0.0374,-0.1239,-0.0865,1.0,0.0,-1.0,0.0071,0.0,-0.0071,-0.7512,-0.1037,0.6475,0.5145,0.4432,-0.0713
73,1,CA1-DG,900,0.1102,0.0732,-0.0369,0.0776,0.1259,0.0483,1.0,1.0,0.0,0.0061,0.0089,0.0028,-0.1528,0.4034,0.5561,0.545,0.4513,-0.0937
73,1,CA1-V1,900,0.0238,0.1108,0.087,0.0643,0.2174,0.1531,0.0,2.0,2.0,0.0,0.0082,0.0082,0.0961,0.5612,0.4651,0.4984,0.4892,-0.0092
73,1,CA1-SUB,900,0.108,0.1205,0.0125,0.1914,0.0021,-0.1893,1.0,1.0,0.0,0.0059,0.0073,0.0014,0.2507,0.3956,0.1449,0.4875,0.4954,0.0079
73,1,RSC-SUB,900,0.0001,0.0976,0.0975,0.0231,0.2028,0.1798,0.0,1.0,1.0,0.0,0.0048,0.0048,0.3811,-0.0026,-0.3837,0.4465,0.4691,0.0226
73,1,V1-RSC,900,0.176,0.2894,0.1134,0.1046,0.0354,-0.0692,3.0,2.0,-1.0,0.0211,0.0562,0.0351,-0.2137,-0.1397,0.074,0.3877,0.392,0.0043
75,1,CA1-RSC,900,0.0855,0.021,-0.0645,0.0108,0.1064,0.0956,1.0,1.0,0.0,0.0037,0.0051,0.0014,1.0,-0.4478,-1.4478,0.488,0.4971,0.0091
75,1,CA1-DG,900,0.1876,0.2031,0.0155,0.0665,0.2419,0.1754,1.0,1.0,0.0,0.0179,0.0211,0.0032,-0.2037,-0.2602,-0.0566,0.5132,0.4691,-0.044
75,1,CA1-V1,900,-0.0651,0.1183,0.1834,-0.0628,0.1018,0.1646,0.0,2.0,2.0,0.0,0.0114,0.0114,-0.6221,-0.4785,0.1436,0.4253,0.4021,-0.0232
75,1,CA1-SUB,900,0.0557,0.1057,0.0499,-0.0448,0.0228,0.0675,0.0,3.0,3.0,0.0,0.0146,0.0146,-0.3172,1.0,1.3172,0.4189,0.4705,0.0516
75,1,RSC-SUB,900,0.0907,0.1865,0.0959,0.0216,0.205,0.1834,3.0,3.0,0.0,0.0168,0.045,0.0282,0.4307,0.5189,0.0883,0.5693,0.4767,-0.0926
75,1,V1-RSC,900,0.0734,0.1678,0.0945,0.0348,0.3869,0.3521,1.0,3.0,2.0,0.0027,0.0506,0.0479,0.6381,0.4016,-0.2365,0.4172,0.3258,-0.0914
77,1,CA1-RSC,900,0.0135,0.0269,0.0134,-0.0527,0.1113,0.164,2.0,0.0,-2.0,0.0034,0.0,-0.0034,-0.1102,-0.3928,-0.2826,0.3321,0.2186,-0.1135
77,1,CA1-DG,900,0.0454,0.0128,-0.0327,0.0579,-0.2197,-0.2775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1983,-0.8017,0.3491,0.2962,-0.0528
77,1,CA1-V1,900,-0.0003,0.0103,0.0106,0.1558,-0.0414,-0.1972,0.0,0.0,0.0,0.0,0.0,0.0,0.4431,-0.23,-0.6732,0.2558,0.2012,-0.0546
77,1,CA1-SUB,900,-0.0142,-0.0568,-0.0426,0.0197,-0.2462,-0.2659,1.0,0.0,-1.0,0.0056,0.0,-0.0056,-0.3064,-1.0,-0.6936,0.291,0.2425,-0.0485
77,1,RSC-SUB,900,-0.0445,0.182,0.2265,-0.0162,0.5838,0.6,0.0,2.0,2.0,0.0,0.0373,0.0373,-0.7005,-0.135,0.5654,0.401,0.3946,-0.0063
77,1,V1-RSC,900,0.1374,0.1905,0.0531,0.0077,0.1508,0.1431,1.0,1.0,0.0,0.0095,0.0185,0.0089,0.5026,-0.1548,-0.6574,0.4433,0.2739,-0.1694
98,0,CA1-RSC,900,-0.0019,0.0306,0.0326,-0.0047,0.061,0.0658,0.0,1.0,1.0,0.0,0.0019,0.0019,-0.0134,-0.0825,-0.0691,0.4964,0.4206,-0.0758
98,0,CA1-CA3,900,0.5459,0.592,0.0461,0.518,0.5269,0.0089,3.0,3.0,0.0,0.2334,0.2824,0.049,0.0896,-0.0148,-0.1044,0.5328,0.5082,-0.0246
100,0,CA1-RSC,900,0.0425,0.0566,0.0141,0.035,0.2074,0.1723,3.0,3.0,0.0,0.0155,0.0126,-0.0029,0.2962,-0.3291,-0.6253,0.4105,0.4077,-0.0028
100,0,CA1-DG,900,0.2514,0.3779,0.1266,0.2164,0.4607,0.2443,2.0,2.0,0.0,0.0368,0.0806,0.0438,-1.0,-0.1778,0.8222,0.3761,0.3363,-0.0398
100,0,CA1-V1,900,0.0599,0.0181,-0.0418,0.0805,0.0881,0.0075,0.0,2.0,2.0,0.0,0.0072,0.0072,0.8855,-0.967,-1.8526,0.4149,0.3432,-0.0716
100,0,CA1-SUB,900,0.1916,0.0205,-0.1711,-0.039,-0.0515,-0.0125,3.0,1.0,-2.0,0.0352,0.0048,-0.0304,0.097,0.0038,-0.0932,0.3818,0.4001,0.0183
100,0,RSC-SUB,900,0.1054,-0.009,-0.1144,-0.0244,0.0451,0.0696,0.0,0.0,0.0,0.0,0.0,0.0,0.0903,0.8747,0.7844,0.3818,0.3951,0.0133
100,0,V1-RSC,900,0.389,0.2479,-0.1411,0.4822,0.6914,0.2092,3.0,3.0,0.0,0.1091,0.1039,-0.0052,0.6777,-0.3853,-1.063,0.3981,0.3327,-0.0655
