animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
28,1,CA1-CA3,session,900,0.1201,0.0595,2,0.0115,-0.4733,0,0.3313,0.3637
28,1,CA1-CA3,naive,900,0.0736,0.0485,0,0.0,0.6591,2,0.3917,0.845
28,1,CA1-CA3,intermediate,900,0.1994,0.279,1,0.0203,0.5449,8,0.3658,0.7288
28,1,CA1-CA3,expert,900,0.1464,0.0431,1,0.0108,0.7178,0,0.3487,0.4741
28,1,CA1-DG,session,900,0.2257,0.1606,3,0.0415,-0.2466,0,0.3577,0.3061
28,1,CA1-DG,naive,900,0.2838,0.2548,3,0.0711,-0.2313,0,0.5032,0.3506
28,1,CA1-DG,intermediate,900,0.3788,0.3957,3,0.1148,-0.6521,0,0.4508,0.3688
28,1,CA1-DG,expert,900,0.334,0.8101,1,0.0591,0.071,0,0.442,0.4149
28,1,CA1-V1,session,900,0.2775,0.2091,2,0.0517,0.0479,0,0.3268,0.2561
28,1,CA1-V1,naive,900,0.3485,0.2589,2,0.0912,0.0962,2,0.4229,0.4052
28,1,CA1-V1,intermediate,900,0.1366,0.1289,3,0.0357,-0.1822,0,0.3148,0.3492
28,1,CA1-V1,expert,900,0.2257,-0.2497,2,0.0387,0.1221,0,0.3762,0.2973
28,1,CA3-DG,session,900,0.1964,0.2527,3,0.04,0.4919,0,0.3352,0.2448
28,1,CA3-DG,naive,900,0.0793,0.0911,1,0.0078,-0.2131,0,0.7814,0.3163
28,1,CA3-DG,intermediate,900,0.1689,0.2822,2,0.0282,0.5618,7,0.648,0.2881
28,1,CA3-DG,expert,900,0.1584,-0.0527,2,0.0291,-0.204,0,0.4417,0.3105
34,1,CA1-CA3,session,900,0.3878,0.4363,3,0.0991,0.4697,0,0.3983,0.4051
34,1,CA1-CA3,naive,900,0.5066,0.4176,2,0.1648,-0.311,0,0.5052,0.4643
