animal,learner,pair,dim,bin_ms,lag_bins,lag_ms,cos_same_x,cos_best_x,best_dim_x,cos_same_y,cos_best_y,best_dim_y,cos_split_x,cos_split_y,split_best_x,split_best_y,r_lag,sig,p_perdim,r_zero,n_pairs
28,1,CA1-CA3,1,10,-25,-250,0.35563,0.48509,2,0.09601,0.35714,12,0.28533,0.59019,0.32913,0.89002,0.1479,1,0.01493,0.26442,11500
28,1,CA1-CA3,2,10,-25,-250,0.30699,0.42524,1,0.00343,0.66381,12,0.64491,0.15279,0.84284,0.68394,0.09779,1,0.00498,0.17811,11500
28,1,CA1-CA3,3,10,-25,-250,0.55189,0.67293,2,0.02064,0.3924,12,0.43655,0.32327,0.71174,0.44606,0.08176,1,0.00498,0.10519,11500
28,1,CA1-CA3,4,10,-25,-250,0.21894,0.45122,11,0.01036,0.77854,8,0.01166,0.08619,0.49997,0.78496,0.07997,1,0.00995,0.08405,11500
28,1,CA1-CA3,5,10,-25,-250,0.25038,0.63861,7,0.02998,0.68659,12,0.09607,0.07404,0.15489,0.70297,0.06581,0,0.02985,0.06761,11500
28,1,CA1-CA3,6,10,-25,-250,0.41252,0.52905,7,0.05636,0.44777,11,0.16809,0.19711,0.523,0.73716,0.0597,0,0.16915,0.05625,11500
28,1,CA1-CA3,7,10,-25,-250,0.10732,0.47187,2,0.01332,0.70632,12,0.10568,0.37819,0.79787,0.69501,0.05381,0,0.25373,0.04767,11500
28,1,CA1-CA3,8,10,-25,-250,0.35187,0.35187,8,0.74979,0.74979,8,0.04455,0.04004,0.69994,0.70752,0.04976,0,0.90547,0.03979,11500
28,1,CA1-CA3,9,10,-25,-250,0.65495,0.72399,3,0.46149,0.76397,8,0.27481,0.18224,0.51469,0.70567,0.04528,0,0.73134,0.03401,11500
28,1,CA1-CA3,10,10,-25,-250,0.338,0.74633,4,0.14183,0.84341,12,0.10512,0.31615,0.58516,0.80739,0.03152,0,0.86567,0.02964,11500
28,1,CA1-CA3,1,10,-24,-240,0.37384,0.51212,3,0.068,0.40691,13,0.30146,0.60551,0.30146,0.95449,0.13696,1,0.01493,0.26442,11520
28,1,CA1-CA3,2,10,-24,-240,0.22634,0.41257,1,0.03398,0.75545,13,0.17209,0.03128,0.77646,0.91127,0.10227,1,0.00498,0.17811,11520
28,1,CA1-CA3,3,10,-24,-240,0.6317,0.63927,2,0.06507,0.44612,11,0.05081,0.38873,0.67742,0.60943,0.09537,1,0.00498,0.10519,11520
28,1,CA1-CA3,4,10,-24,-240,0.09957,0.55831,8,0.37299,0.80194,9,0.04149,0.12888,0.46594,0.76726,0.07454,1,0.00995,0.08405,11520
28,1,CA1-CA3,5,10,-24,-240,0.38057,0.59956,1,0.0982,0.83347,13,0.04444,0.10051,0.44289,0.71161,0.06257,0,0.02985,0.06761,11520
28,1,CA1-CA3,6,10,-24,-240,0.53581,0.53581,6,0.01659,0.62096,12,0.03067,0.08363,0.48941,0.71187,0.05968,0,0.16915,0.05625,11520
28,1,CA1-CA3,7,10,-24,-240,0.32686,0.43184,1,0.04205,0.75485,11,0.07216,0.16125,0.74278,0.83224,0.05056,0,0.25373,0.04767,11520
28,1,CA1-CA3,8,10,-24,-240,0.07825,0.45974,11,0.04662,0.66076,9,0.05463,0.03927,0.6536,0.9225,0.04082,0,0.90547,0.03979,11520
28,1,CA1-CA3,9,10,-24,-240,0.0011,0.60305,8,0.75544,0.75544,9,0.283,0.4719,0.51252,0.88355,0.03899,0,0.73134,0.03401,11520
28,1,CA1-CA3,10,10,-24,-240,0.16076,0.67727,2,0.19791,0.948,13,0.13224,0.23572,0.53838,0.97809,0.02993,0,0.86567,0.02964,11520
28,1,CA1-CA3,1,10,-23,-230,0.4128,0.42466,3,0.17656,0.48245,3,0.0192,0.30017,0.24595,0.90852,0.14329,1,0.01493,0.26442,11540
28,1,CA1-CA3,2,10,-23,-230,0.3413,0.49729,13,0.01746,0.67198,13,0.64065,0.02238,0.64065,0.62751,0.13724,1,0.00498,0.17811,11540
28,1,CA1-CA3,3,10,-23,-230,0.66118,0.69943,9,0.04461,0.40888,13,0.03074,0.28815,0.55766,0.9261,0.10182,1,0.00498,0.10519,11540
28,1,CA1-CA3,4,10,-23,-230,0.3099,0.54293,5,0.10422,0.49756,3,0.01469,0.24021,0.38345,0.49518,0.09323,1,0.00995,0.08405,11540
28,1,CA1-CA3,5,10,-23,-230,0.38331,0.60666,1,0.04501,0.87961,11,0.06291,0.11782,0.10911,0.66915,0.06916,0,0.02985,0.06761,11540
28,1,CA1-CA3,6,10,-23,-230,0.01811,0.4086,5,0.27319,0.48762,9,0.00341,0.05038,0.40848,0.59939,0.05624,0,0.16915,0.05625,11540
28,1,CA1-CA3,7,10,-23,-230,0.04841,0.44452,1,0.02786,0.70758,13,0.00552,0.00767,0.60811,0.38531,0.04996,0,0.25373,0.04767,11540
28,1,CA1-CA3,8,10,-23,-230,0.28312,0.41272,11,0.08806,0.50781,11,0.16715,0.02668,0.53276,0.61385,0.04778,0,0.90547,0.03979,11540
28,1,CA1-CA3,9,10,-23,-230,0.49541,0.62419,1,0.15643,0.45429,11,0.3762,0.39054,0.3762,0.41834,0.04285,0,0.73134,0.03401,11540
28,1,CA1-CA3,10,10,-23,-230,0.15966,0.71105,4,0.16842,0.90114,11,0.18718,0.0402,0.47918,0.39315,0.03916,0,0.86567,0.02964,11540
28,1,CA1-CA3,1,10,-22,-220,0.27746,0.42718,12,0.03703,0.42318,13,0.00591,0.211,0.21432,0.89383,0.11339,1,0.01493,0.26442,11560
28,1,CA1-CA3,2,10,-22,-220,0.36991,0.36991,2,0.01318,0.77288,13,0.51658,0.00799,0.51658,0.41289,0.10391,1,0.00498,0.17811,11560
28,1,CA1-CA3,3,10,-22,-220,0.22041,0.7014,4,0.45641,0.45641,3,0.00546,0.31882,0.47708,0.47534,0.09739,1,0.00498,0.10519,11560
28,1,CA1-CA3,4,10,-22,-220,0.48848,0.48848,4,0.06081,0.68456,3,0.28948,0.08976,0.28948,0.90841,0.08574,1,0.00995,0.08405,11560
28,1,CA1-CA3,5,10,-22,-220,0.61702,0.63573,4,0.11096,0.84835,13,0.02172,0.08421,0.07085,0.85979,0.06367,0,0.02985,0.06761,11560
28,1,CA1-CA3,6,10,-22,-220,0.32681,0.44052,4,0.01281,0.66229,11,0.03273,0.06445,0.29416,0.88328,0.05915,0,0.16915,0.05625,11560
28,1,CA1-CA3,7,10,-22,-220,0.36178,0.53054,6,0.02788,0.83569,12,0.02431,0.07411,0.50978,0.77232,0.0551,0,0.25373,0.04767,11560
28,1,CA1-CA3,8,10,-22,-220,0.187,0.23375,9,0.08012,0.65525,3,0.1314,0.10985,0.44389,0.46903,0.04793,0,0.90547,0.03979,11560
