animal,learner,pair,epoch,bin_ms,lag_bins,lag_ms,n_samples,cc1,cc_mean3,n_sig,angle_x,angle_y,angle_x_cc1,angle_y_cc1,floor_x,floor_y,floor_x_cc1,floor_y_cc1,gini_x_conn,gini_y_conn,angle_ff_fb_x,angle_ff_fb_y,angle_ff_fb_cc1
28,1,CA1-CA3,session,10,0,0,12000,0.0589,0.0368,0,0.0,0.0,0.0,0.0,87.49,89.25,76.45,72.96,0.2307,0.6277,85.92,84.04,88.17
28,1,CA1-CA3,session,10,1,10,11980,0.0084,0.0075,0,84.98,60.92,43.56,60.77,87.49,89.25,76.45,72.96,0.31,0.6545,85.92,84.04,88.17
28,1,CA1-CA3,session,10,-1,-10,11980,0.0446,0.0181,0,76.06,76.58,48.25,28.67,87.49,89.25,76.45,72.96,0.3094,0.6642,85.92,84.04,88.17
28,1,CA1-CA3,session,10,2,20,11960,0.001,-0.0052,0,75.84,82.52,82.06,58.41,87.49,89.25,76.45,72.96,0.3237,0.749,85.92,84.04,88.17
28,1,CA1-CA3,session,10,-2,-20,11960,-0.0018,0.0091,0,71.02,75.8,67.82,78.95,87.49,89.25,76.45,72.96,0.266,0.7394,85.92,84.04,88.17
28,1,CA1-CA3,session,10,3,30,11940,0.0072,-0.0019,0,89.54,68.73,85.37,75.39,87.49,89.25,76.45,72.96,0.2869,0.6786,85.92,84.04,88.17
28,1,CA1-CA3,session,10,-3,-30,11940,-0.0054,0.0072,0,70.48,84.14,67.86,82.88,87.49,89.25,76.45,72.96,0.4393,0.6836,85.92,84.04,88.17
28,1,CA1-CA3,session,10,4,40,11920,-0.0132,-0.0018,0,78.6,81.48,77.66,46.91,87.49,89.25,76.45,72.96,0.3002,0.6848,85.92,84.04,88.17
28,1,CA1-CA3,session,10,-4,-40,11920,0.0116,0.0067,0,78.19,83.34,67.54,79.51,87.49,89.25,76.45,72.96,0.463,0.5538,85.92,84.04,88.17
28,1,CA1-CA3,session,10,5,50,11900,0.0003,-0.0013,0,83.53,47.52,78.48,76.23,87.49,89.25,76.45,72.96,0.3492,0.7448,85.92,84.04,88.17
28,1,CA1-CA3,session,10,-5,-50,11900,-0.0158,-0.0167,0,88.98,82.58,88.72,88.2,87.49,89.25,76.45,72.96,0.3411,0.66,85.92,84.04,88.17
28,1,CA1-CA3,session,10,7,70,11860,-0.0092,-0.0017,0,88.02,53.2,69.04,64.65,87.49,89.25,76.45,72.96,0.424,0.6799,85.92,84.04,88.17
28,1,CA1-CA3,session,10,-7,-70,11860,0.0124,0.0162,0,84.36,89.02,59.71,89.52,87.49,89.25,76.45,72.96,0.3583,0.7772,85.92,84.04,88.17
28,1,CA1-CA3,session,10,10,100,11800,-0.0036,-0.0049,0,88.92,86.81,63.18,51.03,87.49,89.25,76.45,72.96,0.4625,0.5564,85.92,84.04,88.17
28,1,CA1-CA3,session,10,-10,-100,11800,0.003,0.002,0,88.08,87.6,67.77,88.71,87.49,89.25,76.45,72.96,0.3387,0.7731,85.92,84.04,88.17
28,1,CA1-CA3,session,10,15,150,11700,0.04,0.0166,0,88.98,87.34,79.68,86.91,87.49,89.25,76.45,72.96,0.4286,0.5626,85.92,84.04,88.17
28,1,CA1-CA3,session,10,-15,-150,11700,0.0066,0.005,0,84.95,86.34,59.65,87.4,87.49,89.25,76.45,72.96,0.4717,0.8866,85.92,84.04,88.17
28,1,CA1-CA3,session,10,20,200,11600,-0.0105,-0.0073,0,89.62,88.26,68.1,78.71,87.49,89.25,76.45,72.96,0.4566,0.6404,85.92,84.04,88.17
28,1,CA1-CA3,session,10,-20,-200,11600,0.0019,0.0042,0,85.97,85.6,85.58,88.47,87.49,89.25,76.45,72.96,0.3355,0.7334,85.92,84.04,88.17
28,1,CA1-CA3,session,10,25,250,11500,0.0142,0.0038,0,84.45,64.08,59.43,89.7,87.49,89.25,76.45,72.96,0.3517,0.5478,85.92,84.04,88.17
28,1,CA1-CA3,session,10,-25,-250,11500,-0.0208,-0.0039,0,87.75,87.69,68.25,84.8,87.49,89.25,76.45,72.96,0.559,0.8355,85.92,84.04,88.17
28,1,CA1-DG,session,10,0,0,12000,0.2841,0.1578,2,0.0,0.0,0.0,0.0,74.99,73.87,47.89,21.02,0.3373,0.342,77.64,66.76,55.97
28,1,CA1-DG,session,10,1,10,11980,0.2624,0.1267,2,70.49,45.96,26.71,19.05,74.99,73.87,47.89,21.02,0.3263,0.477,77.64,66.76,55.97
28,1,CA1-DG,session,10,-1,-10,11980,0.1956,0.1082,2,33.83,20.83,34.51,13.99,74.99,73.87,47.89,21.02,0.33,0.437,77.64,66.76,55.97
28,1,CA1-DG,session,10,2,20,11960,0.2745,0.1297,2,81.83,52.73,53.25,35.91,74.99,73.87,47.89,21.02,0.3867,0.5039,77.64,66.76,55.97
28,1,CA1-DG,session,10,-2,-20,11960,0.1982,0.1008,2,85.06,84.22,72.5,66.11,74.99,73.87,47.89,21.02,0.4039,0.4591,77.64,66.76,55.97
28,1,CA1-DG,session,10,3,30,11940,0.2543,0.1161,2,79.2,57.71,66.86,51.76,74.99,73.87,47.89,21.02,0.4154,0.4988,77.64,66.76,55.97
28,1,CA1-DG,session,10,-3,-30,11940,0.2321,0.1087,2,89.75,73.27,87.94,54.33,74.99,73.87,47.89,21.02,0.3524,0.4654,77.64,66.76,55.97
28,1,CA1-DG,session,10,4,40,11920,0.2219,0.1014,2,76.13,66.69,88.28,67.37,74.99,73.87,47.89,21.02,0.3984,0.4839,77.64,66.76,55.97
28,1,CA1-DG,session,10,-4,-40,11920,0.2477,0.1055,2,87.78,64.73,76.59,47.72,74.99,73.87,47.89,21.02,0.3917,0.4935,77.64,66.76,55.97
28,1,CA1-DG,session,10,5,50,11900,0.1659,0.0945,2,86.58,89.44,74.04,72.83,74.99,73.87,47.89,21.02,0.2999,0.4608,77.64,66.76,55.97
28,1,CA1-DG,session,10,-5,-50,11900,0.2495,0.12,2,58.26,57.01,60.17,39.3,74.99,73.87,47.89,21.02,0.3336,0.5172,77.64,66.76,55.97
28,1,CA1-DG,session,10,7,70,11860,0.1976,0.1109,2,87.16,75.41,53.6,25.97,74.99,73.87,47.89,21.02,0.2879,0.4405,77.64,66.76,55.97
28,1,CA1-DG,session,10,-7,-70,11860,0.1889,0.1111,2,62.54,85.93,32.5,27.91,74.99,73.87,47.89,21.02,0.34,0.4596,77.64,66.76,55.97
28,1,CA1-DG,session,10,10,100,11800,0.2136,0.101,2,82.52,64.03,83.97,51.35,74.99,73.87,47.89,21.02,0.3559,0.4835,77.64,66.76,55.97
28,1,CA1-DG,session,10,-10,-100,11800,0.2072,0.0969,2,82.56,61.69,75.74,62.0,74.99,73.87,47.89,21.02,0.3569,0.4428,77.64,66.76,55.97
28,1,CA1-DG,session,10,15,150,11700,0.2215,0.1005,2,64.42,76.04,53.37,18.44,74.99,73.87,47.89,21.02,0.3451,0.4909,77.64,66.76,55.97
28,1,CA1-DG,session,10,-15,-150,11700,0.1344,0.0802,2,75.27,81.35,34.6,18.7,74.99,73.87,47.89,21.02,0.3426,0.4654,77.64,66.76,55.97
28,1,CA1-DG,session,10,20,200,11600,0.0864,0.0569,2,78.08,40.25,36.4,37.19,74.99,73.87,47.89,21.02,0.3983,0.3617,77.64,66.76,55.97
28,1,CA1-DG,session,10,-20,-200,11600,0.1894,0.0732,2,86.18,78.53,72.6,27.53,74.99,73.87,47.89,21.02,0.399,0.5068,77.64,66.76,55.97
28,1,CA1-DG,session,10,25,250,11500,0.132,0.0647,2,71.36,64.09,78.67,73.18,74.99,73.87,47.89,21.02,0.4083,0.4378,77.64,66.76,55.97
28,1,CA1-DG,session,10,-25,-250,11500,0.1796,0.0727,2,58.3,37.82,68.86,41.42,74.99,73.87,47.89,21.02,0.4,0.4,77.64,66.76,55.97
28,1,CA1-V1,session,10,0,0,12000,0.1658,0.0739,1,0.0,0.0,0.0,0.0,84.11,89.95,84.1,72.72,0.3836,0.4941,72.86,72.5,37.68
28,1,CA1-V1,session,10,1,10,11980,0.081,0.0441,1,71.88,73.8,28.44,24.48,84.11,89.95,84.1,72.72,0.3715,0.5108,72.86,72.5,37.68
28,1,CA1-V1,session,10,-1,-10,11980,0.0806,0.0521,1,66.1,72.92,22.28,21.86,84.11,89.95,84.1,72.72,0.3839,0.4911,72.86,72.5,37.68
28,1,CA1-V1,session,10,2,20,11960,0.0603,0.0439,1,78.5,85.55,45.77,31.07,84.11,89.95,84.1,72.72,0.3972,0.5006,72.86,72.5,37.68
28,1,CA1-V1,session,10,-2,-20,11960,0.0557,0.0541,1,70.21,78.16,31.73,30.92,84.11,89.95,84.1,72.72,0.3775,0.4998,72.86,72.5,37.68
28,1,CA1-V1,session,10,3,30,11940,0.0499,0.0348,1,72.21,80.89,42.73,28.8,84.11,89.95,84.1,72.72,0.322,0.4824,72.86,72.5,37.68
28,1,CA1-V1,session,10,-3,-30,11940,0.0629,0.0502,1,78.98,87.53,38.98,29.37,84.11,89.95,84.1,72.72,0.3573,0.4939,72.86,72.5,37.68
28,1,CA1-V1,session,10,4,40,11920,0.0389,0.0354,1,61.66,81.73,35.34,33.31,84.11,89.95,84.1,72.72,0.2959,0.496,72.86,72.5,37.68
28,1,CA1-V1,session,10,-4,-40,11920,0.0674,0.0506,1,84.5,87.32,46.98,31.25,84.11,89.95,84.1,72.72,0.379,0.5211,72.86,72.5,37.68
28,1,CA1-V1,session,10,5,50,11900,0.0571,0.0382,1,70.17,75.02,53.08,32.48,84.11,89.95,84.1,72.72,0.3689,0.487,72.86,72.5,37.68
28,1,CA1-V1,session,10,-5,-50,11900,0.0715,0.0328,1,80.57,80.4,46.17,29.0,84.11,89.95,84.1,72.72,0.3782,0.4846,72.86,72.5,37.68
28,1,CA1-V1,session,10,7,70,11860,0.0528,0.0414,1,76.25,84.0,39.6,38.78,84.11,89.95,84.1,72.72,0.3486,0.5136,72.86,72.5,37.68
28,1,CA1-V1,session,10,-7,-70,11860,0.0516,0.0298,1,80.57,83.44,41.64,27.03,84.11,89.95,84.1,72.72,0.3737,0.4828,72.86,72.5,37.68
28,1,CA1-V1,session,10,10,100,11800,0.0493,0.0532,1,86.1,66.3,29.51,31.56,84.11,89.95,84.1,72.72,0.3526,0.5238,72.86,72.5,37.68
28,1,CA1-V1,session,10,-10,-100,11800,0.0702,0.0422,1,76.74,85.98,46.67,32.43,84.11,89.95,84.1,72.72,0.3633,0.4818,72.86,72.5,37.68
28,1,CA1-V1,session,10,15,150,11700,0.0521,0.0294,1,50.24,73.38,22.47,31.72,84.11,89.95,84.1,72.72,0.3558,0.4739,72.86,72.5,37.68
28,1,CA1-V1,session,10,-15,-150,11700,0.0794,0.0466,1,72.27,83.75,31.8,27.71,84.11,89.95,84.1,72.72,0.3181,0.4927,72.86,72.5,37.68
28,1,CA1-V1,session,10,20,200,11600,0.0746,0.0451,1,62.4,85.5,57.31,32.14,84.11,89.95,84.1,72.72,0.4147,0.489,72.86,72.5,37.68
28,1,CA1-V1,session,10,-20,-200,11600,0.0585,0.0501,1,89.87,88.89,52.5,38.44,84.11,89.95,84.1,72.72,0.4361,0.5019,72.86,72.5,37.68
28,1,CA1-V1,session,10,25,250,11500,0.071,0.0559,1,78.26,76.45,65.71,30.34,84.11,89.95,84.1,72.72,0.4131,0.5121,72.86,72.5,37.68
28,1,CA1-V1,session,10,-25,-250,11500,0.0382,0.0318,1,81.73,84.29,33.93,30.51,84.11,89.95,84.1,72.72,0.376,0.4938,72.86,72.5,37.68
28,1,CA3-DG,session,10,0,0,12000,0.1218,0.1091,6,0.0,0.0,0.0,0.0,67.92,71.5,87.38,21.81,0.6459,0.195,71.87,73.19,58.84
28,1,CA3-DG,session,10,1,10,11980,0.1189,0.0643,6,73.57,63.71,87.03,17.58,67.92,71.5,87.38,21.81,0.5404,0.4095,71.87,73.19,58.84
28,1,CA3-DG,session,10,-1,-10,11980,0.1619,0.0884,6,72.05,44.95,26.99,17.95,67.92,71.5,87.38,21.81,0.5726,0.4244,71.87,73.19,58.84
28,1,CA3-DG,session,10,2,20,11960,0.1031,0.0546,6,62.6,57.17,82.84,46.09,67.92,71.5,87.38,21.81,0.5293,0.4315,71.87,73.19,58.84
28,1,CA3-DG,session,10,-2,-20,11960,0.1405,0.0686,6,59.73,54.08,33.45,28.89,67.92,71.5,87.38,21.81,0.6685,0.5233,71.87,73.19,58.84
28,1,CA3-DG,session,10,3,30,11940,0.1026,0.0375,6,64.43,68.74,38.03,72.2,67.92,71.5,87.38,21.81,0.5569,0.4435,71.87,73.19,58.84
28,1,CA3-DG,session,10,-3,-30,11940,0.122,0.0667,6,89.76,60.85,33.67,34.72,67.92,71.5,87.38,21.81,0.6293,0.4795,71.87,73.19,58.84
28,1,CA3-DG,session,10,4,40,11920,0.1251,0.0405,6,66.29,84.69,23.87,83.64,67.92,71.5,87.38,21.81,0.5911,0.3899,71.87,73.19,58.84
28,1,CA3-DG,session,10,-4,-40,11920,0.0836,0.0588,6,81.06,66.62,49.84,63.47,67.92,71.5,87.38,21.81,0.5632,0.4569,71.87,73.19,58.84
28,1,CA3-DG,session,10,5,50,11900,0.1222,0.0414,6,88.31,71.2,22.89,52.8,67.92,71.5,87.38,21.81,0.5531,0.3627,71.87,73.19,58.84
28,1,CA3-DG,session,10,-5,-50,11900,0.075,0.036,6,67.55,53.46,63.48,51.04,67.92,71.5,87.38,21.81,0.4801,0.4599,71.87,73.19,58.84
28,1,CA3-DG,session,10,7,70,11860,0.1001,0.0496,6,89.63,73.19,89.25,19.93,67.92,71.5,87.38,21.81,0.8315,0.4285,71.87,73.19,58.84
28,1,CA3-DG,session,10,-7,-70,11860,0.1043,0.0489,6,67.1,65.6,26.79,22.93,67.92,71.5,87.38,21.81,0.5034,0.504,71.87,73.19,58.84
28,1,CA3-DG,session,10,10,100,11800,0.0749,0.028,6,81.96,82.35,81.67,71.01,67.92,71.5,87.38,21.81,0.7801,0.4408,71.87,73.19,58.84
28,1,CA3-DG,session,10,-10,-100,11800,0.0933,0.0374,6,77.65,88.08,23.29,81.94,67.92,71.5,87.38,21.81,0.5279,0.3842,71.87,73.19,58.84
28,1,CA3-DG,session,10,15,150,11700,0.0921,0.0347,6,80.3,74.16,86.2,20.63,67.92,71.5,87.38,21.81,0.7602,0.4478,71.87,73.19,58.84
28,1,CA3-DG,session,10,-15,-150,11700,0.114,0.0488,6,49.43,58.35,18.87,25.56,67.92,71.5,87.38,21.81,0.5751,0.4469,71.87,73.19,58.84
28,1,CA3-DG,session,10,20,200,11600,0.0824,0.0227,6,87.93,82.59,87.57,42.85,67.92,71.5,87.38,21.81,0.839,0.5004,71.87,73.19,58.84
28,1,CA3-DG,session,10,-20,-200,11600,0.0565,0.029,6,69.93,87.6,26.56,27.39,67.92,71.5,87.38,21.81,0.5312,0.4291,71.87,73.19,58.84
28,1,CA3-DG,session,10,25,250,11500,0.0864,0.0382,6,89.42,89.54,86.13,61.47,67.92,71.5,87.38,21.81,0.7411,0.4071,71.87,73.19,58.84
28,1,CA3-DG,session,10,-25,-250,11500,0.0554,0.0297,6,84.58,84.98,68.06,71.78,67.92,71.5,87.38,21.81,0.5692,0.3605,71.87,73.19,58.84
34,1,CA1-CA3,session,10,0,0,12000,0.3148,0.0538,1,0.0,0.0,0.0,0.0,88.77,86.71,52.3,12.73,0.5893,0.3245,54.05,61.7,75.53
34,1,CA1-CA3,session,10,1,10,11980,0.2753,0.1054,1,38.38,66.72,19.28,8.31,88.77,86.71,52.3,12.73,0.5432,0.4355,54.05,61.7,75.53
34,1,CA1-CA3,session,10,-1,-10,11980,0.267,0.132,1,86.92,36.17,25.19,15.61,88.77,86.71,52.3,12.73,0.464,0.514,54.05,61.7,75.53
34,1,CA1-CA3,session,10,2,20,11960,0.1994,0.1036,1,53.92,65.24,40.58,21.88,88.77,86.71,52.3,12.73,0.4633,0.421,54.05,61.7,75.53
34,1,CA1-CA3,session,10,-2,-20,11960,0.1965,0.0869,1,84.29,50.15,43.27,19.21,88.77,86.71,52.3,12.73,0.4561,0.4435,54.05,61.7,75.53
34,1,CA1-CA3,session,10,3,30,11940,0.1579,0.0934,1,62.5,85.61,72.04,31.04,88.77,86.71,52.3,12.73,0.4573,0.4326,54.05,61.7,75.53
34,1,CA1-CA3,session,10,-3,-30,11940,0.1301,0.0796,1,86.11,61.35,75.65,27.03,88.77,86.71,52.3,12.73,0.4641,0.3538,54.05,61.7,75.53
34,1,CA1-CA3,session,10,4,40,11920,0.0699,0.0953,1,85.18,71.19,89.53,80.11,88.77,86.71,52.3,12.73,0.5377,0.7243,54.05,61.7,75.53
34,1,CA1-CA3,session,10,-4,-40,11920,0.1361,0.0864,1,75.84,52.17,60.36,35.66,88.77,86.71,52.3,12.73,0.4437,0.4102,54.05,61.7,75.53
34,1,CA1-CA3,session,10,5,50,11900,0.2347,0.0822,1,49.7,86.26,36.67,30.31,88.77,86.71,52.3,12.73,0.5575,0.5805,54.05,61.7,75.53
34,1,CA1-CA3,session,10,-5,-50,11900,0.2034,0.075,1,54.56,71.28,48.51,22.36,88.77,86.71,52.3,12.73,0.5666,0.5142,54.05,61.7,75.53
34,1,CA1-CA3,session,10,7,70,11860,0.301,0.1058,1,78.08,79.32,22.5,24.04,88.77,86.71,52.3,12.73,0.5448,0.5427,54.05,61.7,75.53
34,1,CA1-CA3,session,10,-7,-70,11860,0.2815,0.1038,1,54.83,84.89,22.06,20.77,88.77,86.71,52.3,12.73,0.58,0.5187,54.05,61.7,75.53
34,1,CA1-CA3,session,10,10,100,11800,0.118,0.0698,1,85.15,64.58,82.25,9.02,88.77,86.71,52.3,12.73,0.4953,0.3636,54.05,61.7,75.53
34,1,CA1-CA3,session,10,-10,-100,11800,0.0657,0.0474,1,48.16,74.21,84.48,37.87,88.77,86.71,52.3,12.73,0.5409,0.2814,54.05,61.7,75.53
34,1,CA1-CA3,session,10,15,150,11700,0.1861,0.0528,1,75.79,63.89,34.41,25.51,88.77,86.71,52.3,12.73,0.4843,0.4683,54.05,61.7,75.53
34,1,CA1-CA3,session,10,-15,-150,11700,0.1972,0.0912,1,80.38,62.06,38.32,17.82,88.77,86.71,52.3,12.73,0.3906,0.5213,54.05,61.7,75.53
34,1,CA1-CA3,session,10,20,200,11600,0.2272,0.0669,1,78.8,84.47,35.94,24.85,88.77,86.71,52.3,12.73,0.5708,0.564,54.05,61.7,75.53
34,1,CA1-CA3,session,10,-20,-200,11600,0.0819,0.1049,1,86.45,66.51,87.51,80.68,88.77,86.71,52.3,12.73,0.4445,0.7124,54.05,61.7,75.53
34,1,CA1-CA3,session,10,25,250,11500,0.1024,0.0484,1,80.0,69.54,65.88,20.79,88.77,86.71,52.3,12.73,0.4202,0.373,54.05,61.7,75.53
34,1,CA1-CA3,session,10,-25,-250,11500,0.1093,0.0565,1,89.43,56.46,51.08,26.39,88.77,86.71,52.3,12.73,0.3747,0.416,54.05,61.7,75.53
34,1,CA1-V1,session,10,0,0,12000,0.0761,0.0521,0,0.0,0.0,0.0,0.0,89.23,73.31,87.1,51.62,0.3777,0.5326,87.96,83.59,85.95
34,1,CA1-V1,session,10,1,10,11980,0.0789,0.0547,0,82.82,69.77,24.02,16.88,89.23,73.31,87.1,51.62,0.3512,0.5277,87.96,83.59,85.95
34,1,CA1-V1,session,10,-1,-10,11980,0.0714,0.0575,0,59.16,54.57,25.67,18.02,89.23,73.31,87.1,51.62,0.3639,0.5253,87.96,83.59,85.95
34,1,CA1-V1,session,10,2,20,11960,0.0689,0.034,0,75.61,67.34,30.14,22.26,89.23,73.31,87.1,51.62,0.3345,0.5216,87.96,83.59,85.95
34,1,CA1-V1,session,10,-2,-20,11960,0.0728,0.053,0,66.95,66.04,60.63,46.71,89.23,73.31,87.1,51.62,0.3899,0.5436,87.96,83.59,85.95
34,1,CA1-V1,session,10,3,30,11940,0.0645,0.0403,0,83.22,80.88,27.63,26.75,89.23,73.31,87.1,51.62,0.4141,0.5227,87.96,83.59,85.95
34,1,CA1-V1,session,10,-3,-30,11940,0.0564,0.0489,0,71.35,86.44,81.28,74.74,89.23,73.31,87.1,51.62,0.4106,0.5444,87.96,83.59,85.95
34,1,CA1-V1,session,10,4,40,11920,0.0733,0.0404,0,74.44,68.39,24.14,25.34,89.23,73.31,87.1,51.62,0.3444,0.5284,87.96,83.59,85.95
34,1,CA1-V1,session,10,-4,-40,11920,0.0764,0.0642,0,69.59,77.18,34.04,30.43,89.23,73.31,87.1,51.62,0.3341,0.5336,87.96,83.59,85.95
34,1,CA1-V1,session,10,5,50,11900,0.0532,0.0489,0,78.1,74.6,33.88,27.57,89.23,73.31,87.1,51.62,0.3782,0.5437,87.96,83.59,85.95
34,1,CA1-V1,session,10,-5,-50,11900,0.089,0.0629,0,67.89,76.47,83.82,80.5,89.23,73.31,87.1,51.62,0.3906,0.5341,87.96,83.59,85.95
34,1,CA1-V1,session,10,7,70,11860,0.0384,0.0484,0,72.52,77.09,39.38,22.8,89.23,73.31,87.1,51.62,0.3708,0.5233,87.96,83.59,85.95
34,1,CA1-V1,session,10,-7,-70,11860,0.0808,0.0483,0,70.87,55.38,52.46,42.02,89.23,73.31,87.1,51.62,0.44,0.5244,87.96,83.59,85.95
34,1,CA1-V1,session,10,10,100,11800,0.0704,0.0552,0,69.97,76.79,23.93,24.39,89.23,73.31,87.1,51.62,0.3053,0.5235,87.96,83.59,85.95
34,1,CA1-V1,session,10,-10,-100,11800,0.1018,0.059,0,73.83,66.0,35.73,34.24,89.23,73.31,87.1,51.62,0.3584,0.5258,87.96,83.59,85.95
34,1,CA1-V1,session,10,15,150,11700,0.0457,0.0369,0,83.56,81.72,24.22,25.93,89.23,73.31,87.1,51.62,0.3013,0.5095,87.96,83.59,85.95
34,1,CA1-V1,session,10,-15,-150,11700,0.074,0.0427,0,76.64,74.6,49.69,44.52,89.23,73.31,87.1,51.62,0.357,0.5247,87.96,83.59,85.95
34,1,CA1-V1,session,10,20,200,11600,0.0582,0.0379,0,65.28,89.99,35.73,26.87,89.23,73.31,87.1,51.62,0.3584,0.5246,87.96,83.59,85.95
34,1,CA1-V1,session,10,-20,-200,11600,0.1122,0.0683,0,86.49,64.11,35.2,31.29,89.23,73.31,87.1,51.62,0.4039,0.5377,87.96,83.59,85.95
34,1,CA1-V1,session,10,25,250,11500,0.0275,0.0295,0,69.93,73.34,26.81,21.98,89.23,73.31,87.1,51.62,0.314,0.5245,87.96,83.59,85.95
34,1,CA1-V1,session,10,-25,-250,11500,0.1227,0.0545,0,59.37,71.86,28.55,30.9,89.23,73.31,87.1,51.62,0.426,0.5533,87.96,83.59,85.95
36,1,CA1-V1,session,10,0,0,12000,0.0088,0.0293,0,0.0,0.0,0.0,0.0,77.08,85.31,76.84,79.92,0.4094,0.2841,73.86,76.43,61.25
36,1,CA1-V1,session,10,1,10,11980,0.0275,0.0309,0,58.83,48.28,80.74,54.37,77.08,85.31,76.84,79.92,0.3487,0.275,73.86,76.43,61.25
36,1,CA1-V1,session,10,-1,-10,11980,0.006,0.0176,0,54.66,51.25,57.28,36.82,77.08,85.31,76.84,79.92,0.3161,0.2311,73.86,76.43,61.25
36,1,CA1-V1,session,10,2,20,11960,0.0233,0.0181,0,85.07,51.14,87.23,60.85,77.08,85.31,76.84,79.92,0.3673,0.2296,73.86,76.43,61.25
36,1,CA1-V1,session,10,-2,-20,11960,0.0318,0.0177,0,78.53,75.39,64.36,63.59,77.08,85.31,76.84,79.92,0.3317,0.2297,73.86,76.43,61.25
36,1,CA1-V1,session,10,3,30,11940,0.0285,0.0285,0,63.62,47.89,70.92,53.5,77.08,85.31,76.84,79.92,0.4248,0.2669,73.86,76.43,61.25
36,1,CA1-V1,session,10,-3,-30,11940,0.0273,0.0175,0,85.23,81.73,46.45,40.05,77.08,85.31,76.84,79.92,0.3201,0.2212,73.86,76.43,61.25
36,1,CA1-V1,session,10,4,40,11920,0.0304,0.0167,0,65.2,49.83,73.2,76.64,77.08,85.31,76.84,79.92,0.3643,0.2591,73.86,76.43,61.25
36,1,CA1-V1,session,10,-4,-40,11920,0.0286,0.0157,0,76.91,61.88,88.33,43.47,77.08,85.31,76.84,79.92,0.3017,0.1887,73.86,76.43,61.25
36,1,CA1-V1,session,10,5,50,11900,0.0187,0.0182,0,88.86,87.71,31.54,47.49,77.08,85.31,76.84,79.92,0.3521,0.1925,73.86,76.43,61.25
36,1,CA1-V1,session,10,-5,-50,11900,0.037,0.0337,0,75.54,53.95,77.72,63.56,77.08,85.31,76.84,79.92,0.3299,0.2313,73.86,76.43,61.25
36,1,CA1-V1,session,10,7,70,11860,0.0003,0.02,0,55.94,56.53,41.79,86.08,77.08,85.31,76.84,79.92,0.3894,0.2101,73.86,76.43,61.25
36,1,CA1-V1,session,10,-7,-70,11860,-0.01,0.0033,0,86.37,70.24,74.23,32.82,77.08,85.31,76.84,79.92,0.3523,0.2094,73.86,76.43,61.25
36,1,CA1-V1,session,10,10,100,11800,0.0104,0.0062,0,70.66,63.94,70.04,36.22,77.08,85.31,76.84,79.92,0.3639,0.1872,73.86,76.43,61.25
36,1,CA1-V1,session,10,-10,-100,11800,0.0438,0.0285,0,83.18,81.61,49.82,46.04,77.08,85.31,76.84,79.92,0.3422,0.204,73.86,76.43,61.25
