animal,learner,pair,epoch,bin_ms,lag_bins,lag_ms,n_samples,cc1,cc_mean3,n_sig,angle_x,angle_y,angle_x_cc1,angle_y_cc1,floor_x,floor_y,floor_cc1,gini_x_conn,gini_y_conn,angle_ff_fb_x,angle_ff_fb_y,angle_ff_fb_cc1
28,1,CA1-CA3,naive,10,0,0,6000,0.1519,-0.0125,0,0.0,0.0,0.0,0.0,87.4,59.88,78.63,0.5572,0.8154,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,1,10,5990,0.0508,0.0124,0,76.42,64.44,4.89,1.12,87.4,59.88,78.63,0.6843,0.9181,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,-1,-10,5990,0.054,0.0344,0,60.47,72.05,74.64,6.38,87.4,59.88,78.63,0.6144,0.8093,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,2,20,5980,0.0256,0.0012,0,87.79,54.51,88.45,63.76,87.4,59.88,78.63,0.446,0.7179,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,-2,-20,5980,0.0588,0.0057,0,86.09,82.7,81.6,0.63,87.4,59.88,78.63,0.5717,0.7914,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,3,30,5970,-0.0072,0.0037,0,87.57,77.61,82.69,86.51,87.4,59.88,78.63,0.4132,0.7911,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,-3,-30,5970,0.0188,-0.0276,0,83.68,82.93,76.16,1.13,87.4,59.88,78.63,0.5673,0.8395,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,4,40,5960,0.0192,0.0159,0,85.54,76.38,78.52,80.16,87.4,59.88,78.63,0.3895,0.8113,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,-4,-40,5960,0.0009,-0.0001,0,89.65,85.0,86.74,88.02,87.4,59.88,78.63,0.5538,0.7947,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,5,50,5950,0.0114,0.0074,0,86.54,68.62,71.85,69.79,87.4,59.88,78.63,0.3506,0.6113,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,-5,-50,5950,-0.0027,0.0018,0,85.19,86.05,89.43,89.02,87.4,59.88,78.63,0.4945,0.6939,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,7,70,5930,0.0081,-0.0069,0,88.99,73.86,89.14,66.5,87.4,59.88,78.63,0.4115,0.8052,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,-7,-70,5930,-0.0222,0.0005,0,58.81,60.39,10.52,3.33,87.4,59.88,78.63,0.5903,0.7537,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,10,100,5900,0.0009,0.0005,0,83.01,89.58,73.96,83.5,87.4,59.88,78.63,0.5416,0.7609,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,-10,-100,5900,-0.0128,-0.0136,0,88.95,82.25,82.71,88.39,87.4,59.88,78.63,0.3658,0.6623,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,15,150,5850,0.0088,-0.0003,0,81.38,89.96,88.38,89.49,87.4,59.88,78.63,0.8901,0.7476,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,-15,-150,5850,0.0079,-0.0052,0,87.34,84.5,80.07,86.55,87.4,59.88,78.63,0.4545,0.7501,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,20,200,5800,0.0076,0.0035,0,81.43,66.86,89.95,70.4,87.4,59.88,78.63,0.8327,0.7394,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,-20,-200,5800,-0.0099,0.0044,0,79.14,82.97,76.15,86.79,87.4,59.88,78.63,0.4701,0.7591,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,25,250,5750,-0.0002,0.0008,0,85.78,60.41,89.06,42.0,87.4,59.88,78.63,0.8444,0.7314,88.4,83.72,77.68
28,1,CA1-CA3,naive,10,-25,-250,5750,-0.0043,-0.0057,0,89.76,85.96,81.26,87.66,87.4,59.88,78.63,0.4072,0.6583,88.4,83.72,77.68
28,1,CA1-DG,naive,10,0,0,6000,0.2835,0.1531,1,0.0,0.0,0.0,0.0,72.24,49.51,51.86,0.3556,0.4341,73.2,85.71,83.45
28,1,CA1-DG,naive,10,1,10,5990,0.2582,0.1346,1,66.28,46.07,22.29,24.5,72.24,49.51,51.86,0.3691,0.4872,73.2,85.71,83.45
28,1,CA1-DG,naive,10,-1,-10,5990,0.2035,0.1159,1,45.86,26.96,34.53,16.96,72.24,49.51,51.86,0.3318,0.4049,73.2,85.71,83.45
28,1,CA1-DG,naive,10,2,20,5980,0.2466,0.1185,1,88.39,56.34,48.04,31.24,72.24,49.51,51.86,0.3918,0.446,73.2,85.71,83.45
28,1,CA1-DG,naive,10,-2,-20,5980,0.1859,0.1079,1,62.12,56.24,75.78,63.09,72.24,49.51,51.86,0.3838,0.5147,73.2,85.71,83.45
28,1,CA1-DG,naive,10,3,30,5970,0.2086,0.1105,1,89.82,50.29,67.52,52.54,72.24,49.51,51.86,0.4531,0.4662,73.2,85.71,83.45
28,1,CA1-DG,naive,10,-3,-30,5970,0.2146,0.107,1,83.29,50.91,79.08,62.18,72.24,49.51,51.86,0.3978,0.4476,73.2,85.71,83.45
28,1,CA1-DG,naive,10,4,40,5960,0.1838,0.086,1,85.29,75.73,78.4,63.73,72.24,49.51,51.86,0.3533,0.4138,73.2,85.71,83.45
28,1,CA1-DG,naive,10,-4,-40,5960,0.2459,0.1017,1,87.7,73.19,51.72,64.1,72.24,49.51,51.86,0.4322,0.5433,73.2,85.71,83.45
