animal,learner,pair,epoch,bin_ms,lag_bins,lag_ms,n_samples,cc1,cc_mean3,n_sig,angle_x,angle_y,angle_x_cc1,angle_y_cc1,floor_x,floor_y,floor_x_cc1,floor_y_cc1,gini_x_conn,gini_y_conn,angle_ff_fb_x,angle_ff_fb_y,angle_ff_fb_cc1
28,1,CA1-CA3,naive,10,0,0,6000,0.2569,0.19,2,0.0,0.0,0.0,0.0,83.29,90.0,74.22,90.0,0.5383,0.7586,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,1,10,5990,0.0677,0.0714,2,53.54,70.14,5.69,2.79,83.29,90.0,74.22,90.0,0.4436,0.7212,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,-1,-10,5990,0.0487,0.0711,2,83.02,47.31,75.03,7.46,83.29,90.0,74.22,90.0,0.3898,0.6498,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,2,20,5980,0.0951,0.04,2,74.12,82.13,79.9,67.65,83.29,90.0,74.22,90.0,0.3996,0.6933,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,-2,-20,5980,0.0792,0.0356,2,87.74,84.17,81.66,1.94,83.29,90.0,74.22,90.0,0.5257,0.7406,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,3,30,5970,0.1314,0.0427,2,83.06,83.76,85.71,85.56,83.29,90.0,74.22,90.0,0.4098,0.6474,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,-3,-30,5970,0.0314,0.0153,2,82.09,74.23,76.21,2.49,83.29,90.0,74.22,90.0,0.4489,0.6026,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,4,40,5960,0.1534,0.0743,2,72.41,69.39,86.53,86.28,83.29,90.0,74.22,90.0,0.4402,0.648,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,-4,-40,5960,0.1027,0.0424,2,83.45,70.97,89.3,75.02,83.29,90.0,74.22,90.0,0.4722,0.727,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,5,50,5950,0.0725,0.0377,2,77.35,88.87,89.41,78.06,83.29,90.0,74.22,90.0,0.4087,0.5992,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,-5,-50,5950,0.0907,0.0484,2,89.48,78.89,86.57,87.03,83.29,90.0,74.22,90.0,0.484,0.7081,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,7,70,5930,0.0556,0.0212,2,86.66,69.07,65.99,84.15,83.29,90.0,74.22,90.0,0.3657,0.5605,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,-7,-70,5930,-0.0125,0.0129,2,73.14,75.47,11.65,3.69,83.29,90.0,74.22,90.0,0.477,0.6661,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,10,100,5900,0.0838,0.0422,2,87.49,81.38,80.8,75.28,83.29,90.0,74.22,90.0,0.4048,0.6868,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,-10,-100,5900,0.0853,0.035,2,85.47,88.19,81.08,85.79,83.29,90.0,74.22,90.0,0.4805,0.6735,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,15,150,5850,0.0481,0.0223,2,87.3,75.84,88.49,72.73,83.29,90.0,74.22,90.0,0.8347,0.6721,79.29,71.84,76.85
28,1,CA1-CA3,naive,10,-15,-150,5850,0.0208,0.0181,2,72.28,74.25,71.36,81.31,83.29,90.0,74.22,90.0,0.3726,0.6335,79.29,71.84,76.85
