animal,learner,pair,epoch,bin_ms,lag_bins,lag_ms,n_samples,cc1,cc_mean3,n_sig,angle_x,angle_y,angle_x_cc1,angle_y_cc1,floor_x,floor_y,floor_cc1,gini_x_conn,gini_y_conn,angle_ff_fb_x,angle_ff_fb_y,angle_ff_fb_cc1
28,1,CA1-CA3,session,10,0,0,12000,0.2441,0.1495,2,0.0,0.0,0.0,0.0,88.58,80.87,31.47,0.3599,0.5812,57.07,67.94,71.29
28,1,CA1-CA3,session,10,1,10,11980,0.1339,0.0695,2,67.33,79.16,47.07,27.28,88.58,80.87,31.47,0.36,0.545,57.07,67.94,71.29
28,1,CA1-CA3,session,10,-1,-10,11980,0.1251,0.0879,2,63.78,50.75,64.15,43.98,88.58,80.87,31.47,0.3291,0.5396,57.07,67.94,71.29
28,1,CA1-CA3,session,10,2,20,11960,0.1194,0.0506,2,81.99,77.22,85.06,38.2,88.58,80.87,31.47,0.4237,0.6195,57.07,67.94,71.29
28,1,CA1-CA3,session,10,-2,-20,11960,0.0195,0.0249,2,84.38,88.71,66.1,89.2,88.58,80.87,31.47,0.4078,0.6508,57.07,67.94,71.29
28,1,CA1-CA3,session,10,3,30,11940,0.1299,0.058,2,76.98,77.53,89.63,31.34,88.58,80.87,31.47,0.3723,0.6374,57.07,67.94,71.29
28,1,CA1-CA3,session,10,-3,-30,11940,0.0103,0.04,2,79.0,90.0,66.11,89.52,88.58,80.87,31.47,0.335,0.5948,57.07,67.94,71.29
28,1,CA1-CA3,session,10,4,40,11920,0.149,0.0532,2,78.13,82.85,89.64,29.05,88.58,80.87,31.47,0.3845,0.634,57.07,67.94,71.29
28,1,CA1-CA3,session,10,-4,-40,11920,0.1681,0.066,2,83.17,74.33,76.93,43.69,88.58,80.87,31.47,0.4679,0.6449,57.07,67.94,71.29
28,1,CA1-CA3,session,10,5,50,11900,0.1127,0.0602,2,55.58,81.4,86.27,50.52,88.58,80.87,31.47,0.4377,0.55,57.07,67.94,71.29
28,1,CA1-CA3,session,10,-5,-50,11900,0.1666,0.0683,2,71.87,55.0,70.02,46.25,88.58,80.87,31.47,0.3943,0.5969,57.07,67.94,71.29
28,1,CA1-CA3,session,10,7,70,11860,0.0831,0.0372,2,71.56,82.44,62.75,42.5,88.58,80.87,31.47,0.4331,0.5825,57.07,67.94,71.29
28,1,CA1-CA3,session,10,-7,-70,11860,0.0905,0.0398,2,74.41,88.07,88.62,88.31,88.58,80.87,31.47,0.4318,0.8916,57.07,67.94,71.29
28,1,CA1-CA3,session,10,10,100,11800,0.1184,0.0437,2,85.0,79.82,77.01,30.9,88.58,80.87,31.47,0.4525,0.6215,57.07,67.94,71.29
28,1,CA1-CA3,session,10,-10,-100,11800,0.0791,0.0473,2,74.99,86.71,84.67,87.83,88.58,80.87,31.47,0.4524,0.85,57.07,67.94,71.29
28,1,CA1-CA3,session,10,15,150,11700,0.0997,0.0546,2,88.37,83.22,55.63,59.8,88.58,80.87,31.47,0.3086,0.6132,57.07,67.94,71.29
28,1,CA1-CA3,session,10,-15,-150,11700,0.0254,0.0278,2,75.45,85.39,88.07,80.61,88.58,80.87,31.47,0.3899,0.7932,57.07,67.94,71.29
28,1,CA1-CA3,session,10,20,200,11600,0.0498,0.0187,2,76.99,72.81,52.8,60.61,88.58,80.87,31.47,0.5038,0.5178,57.07,67.94,71.29
28,1,CA1-CA3,session,10,-20,-200,11600,0.076,0.0303,2,85.29,87.05,59.3,89.76,88.58,80.87,31.47,0.4163,0.8791,57.07,67.94,71.29
28,1,CA1-CA3,session,10,25,250,11500,0.0607,0.0365,2,86.84,77.28,70.67,80.77,88.58,80.87,31.47,0.4119,0.5271,57.07,67.94,71.29
28,1,CA1-CA3,session,10,-25,-250,11500,0.0676,0.0228,2,88.6,89.09,69.17,84.49,88.58,80.87,31.47,0.5473,0.8196,57.07,67.94,71.29
