pair,dims,lag_ms,n_animals,n_areas_used,angle_minus_floor,t,p,p_bonf,mean_angle,mean_floor,estimable
CA1-RSC,1,-250,7,14,7.5064285714285734,0.7909807535845387,0.45907090720738697,1.0,59.83214285714286,52.325714285714284,True
CA1-RSC,1,-200,7,14,21.712142857142858,2.910387852010325,0.026966783653834675,0.26966783653834675,74.03785714285713,52.325714285714284,True
CA1-RSC,1,-150,7,14,13.691428571428572,2.3528960071718252,0.05683304756214781,0.5683304756214781,66.01714285714286,52.325714285714284,True
CA1-RSC,1,-100,7,14,9.152142857142858,0.9948844585766462,0.35820651319396957,1.0,61.47785714285714,52.325714285714284,True
CA1-RSC,1,-70,7,14,16.734999999999996,2.8466417428805553,0.029310417257021118,0.29310417257021115,69.06071428571428,52.325714285714284,True
CA1-RSC,1,-50,7,14,14.739285714285712,2.928493504703784,0.026338623682085508,0.2633862368208551,67.06500000000001,52.325714285714284,True
CA1-RSC,1,-40,7,14,16.260714285714283,3.294858188939542,0.01651341063537129,0.1651341063537129,68.58642857142857,52.325714285714284,True
CA1-RSC,1,-30,7,14,17.587857142857143,2.6234701779645437,0.03940263599093502,0.3940263599093502,69.91357142857143,52.325714285714284,True
CA1-RSC,1,-20,7,14,16.31571428571429,2.3092245732233745,0.06033289449686074,0.6033289449686073,68.64142857142858,52.325714285714284,True
CA1-RSC,1,-10,7,14,-3.843571428571429,-0.45487192781196545,0.6651956799748795,1.0,48.482142857142854,52.325714285714284,True
CA1-RSC,1,10,7,14,-12.034999999999997,-1.28546751681032,0.24601261085586598,1.0,40.29071428571429,52.325714285714284,True
CA1-RSC,1,20,7,14,2.1421428571428587,0.2123178684199503,0.8388882393346846,1.0,54.46785714285715,52.325714285714284,True
CA1-RSC,1,30,7,14,6.602142857142856,0.869658441847706,0.4179146328154266,1.0,58.92785714285714,52.325714285714284,True
CA1-RSC,1,40,7,14,1.944999999999999,0.2693003715574091,0.7967200631237816,1.0,54.27071428571429,52.325714285714284,True
CA1-RSC,1,50,7,14,9.363571428571431,1.3941798849705422,0.2127038499385591,1.0,61.68928571428571,52.325714285714284,True
CA1-RSC,1,70,7,14,12.471428571428573,1.8862107663986645,0.10821915428698166,1.0,64.79714285714286,52.325714285714284,True
CA1-RSC,1,100,7,14,18.372142857142855,2.849735270250487,0.02919175018970848,0.2919175018970848,70.69785714285713,52.325714285714284,True
CA1-RSC,1,150,7,14,0.6135714285714283,0.07194479367884829,0.9449841015817768,1.0,52.93928571428571,52.325714285714284,True
CA1-RSC,1,200,7,14,13.137142857142859,2.453101022812136,0.049581559250271856,0.49581559250271856,65.46285714285713,52.325714285714284,True
CA1-RSC,1,250,7,14,14.605714285714287,2.1659790957793295,0.07346830785172359,0.7346830785172359,66.93142857142857,52.325714285714284,True
CA1-CA3,1,-250,5,10,23.215000000000003,2.9540443043176774,0.04180097209807527,0.4180097209807527,56.982000000000006,33.767,True
CA1-CA3,1,-200,5,10,19.604000000000003,2.382535052097732,0.07578005573631348,0.7578005573631348,53.371,33.767,True
CA1-CA3,1,-150,5,10,4.820000000000001,1.0950829816730578,0.3349932631261369,1.0,38.586999999999996,33.767,True
CA1-CA3,1,-100,5,10,25.767000000000003,2.821392967588925,0.04776049367088436,0.47760493670884363,59.53399999999999,33.767,True
CA1-CA3,1,-70,5,10,-2.9789999999999996,-0.7155289366012504,0.5138286280254561,1.0,30.788,33.767,True
CA1-CA3,1,-50,5,10,12.171999999999999,3.5031100172330127,0.02482616094318631,0.2482616094318631,45.93900000000001,33.767,True
CA1-CA3,1,-40,5,10,22.988999999999997,6.035258304361771,0.003800008903005086,0.038000089030050865,56.75599999999999,33.767,True
CA1-CA3,1,-30,5,10,16.915,2.8238159655187625,0.04764311410143251,0.4764311410143251,50.682,33.767,True
CA1-CA3,1,-20,5,10,1.1120000000000014,0.1663125529982879,0.8759791833514932,1.0,34.879,33.767,True
CA1-CA3,1,-10,5,10,-11.062999999999999,-2.397715286538194,0.07454084073433861,0.7454084073433862,22.704,33.767,True
CA1-CA3,1,10,5,10,-8.056999999999999,-1.3705821476267934,0.24238409909454756,1.0,25.709999999999997,33.767,True
CA1-CA3,1,20,5,10,9.791,1.4861443850805378,0.21143359684474256,1.0,43.55800000000001,33.767,True
CA1-CA3,1,30,5,10,20.706,3.0979347944892774,0.03629372833464563,0.36293728334645625,54.473,33.767,True
CA1-CA3,1,40,5,10,24.273000000000003,2.4737426406655585,0.06867038210942951,0.6867038210942951,58.040000000000006,33.767,True
CA1-CA3,1,50,5,10,15.964999999999998,2.3849823544934226,0.07557870552446225,0.7557870552446224,49.732,33.767,True
CA1-CA3,1,70,5,10,0.9210000000000012,0.266116920101251,0.8033032639643336,1.0,34.688,33.767,True
CA1-CA3,1,100,5,10,14.580000000000002,4.422576627542804,0.01148791188134552,0.11487911881345521,48.346999999999994,33.767,True
CA1-CA3,1,150,5,10,16.878,2.091719242118708,0.10462724026366743,1.0,50.644999999999996,33.767,True
CA1-CA3,1,200,5,10,12.544,1.4097846975039132,0.2314081755319997,1.0,46.311,33.767,True
CA1-CA3,1,250,5,10,26.082,4.296145442777831,0.01268425675930326,0.1268425675930326,59.849000000000004,33.767,True
CA1-DG,1,-250,9,16,30.46833333333333,6.1241656797546495,0.0002818746979870985,0.002818746979870985,66.040625,35.06375,True
CA1-DG,1,-200,9,16,9.736111111111109,1.5342817189382345,0.16350553062047654,1.0,47.675625,35.06375,True
CA1-DG,1,-150,9,16,8.895000000000001,1.9721281490087739,0.08406644691662103,0.8406644691662103,41.63625,35.06375,True
CA1-DG,1,-100,9,16,29.53611111111111,4.870615401293411,0.0012390049090654307,0.012390049090654307,65.11,35.06375,True
CA1-DG,1,-70,9,16,3.5311111111111106,0.8506456378773609,0.41969618394256825,1.0,39.563125,35.06375,True
CA1-DG,1,-50,9,16,23.075555555555557,7.021885703762181,0.00011020750131941795,0.0011020750131941796,57.519999999999996,35.06375,True
CA1-DG,1,-40,9,16,26.321666666666665,3.4485628374839976,0.008713216069711672,0.08713216069711671,61.609375,35.06375,True
CA1-DG,1,-30,9,16,22.650000000000002,3.325582324043571,0.010452873320530805,0.10452873320530805,57.491875,35.06375,True
CA1-DG,1,-20,9,16,15.42888888888889,2.390085968350598,0.04384994994862219,0.43849949948622186,50.465,35.06375,True
CA1-DG,1,-10,9,16,2.5838888888888882,0.3498870042508208,0.7354562514835715,1.0,37.11125,35.06375,True
CA1-DG,1,10,9,16,1.630555555555556,0.2894222837685132,0.7796172105274719,1.0,34.761250000000004,35.06375,True
CA1-DG,1,20,9,16,17.135555555555555,3.823655361499945,0.005063348226224752,0.05063348226224752,50.5325,35.06375,True
CA1-DG,1,30,9,16,29.609444444444446,5.425355982956416,0.0006267917135426605,0.006267917135426605,63.58,35.06375,True
CA1-DG,1,40,9,16,31.014444444444443,5.3557962796404,0.0006810970577666221,0.006810970577666221,66.635,35.06375,True
CA1-DG,1,50,9,16,21.74388888888889,5.2431457195661055,0.0007803028601737078,0.007803028601737079,56.831875,35.06375,True
CA1-DG,1,70,9,16,9.25,1.6650075570701997,0.13447661300654132,1.0,46.14812499999999,35.06375,True
CA1-DG,1,100,9,16,34.577222222222225,6.625065139259446,0.00016502422766576588,0.0016502422766576587,68.414375,35.06375,True
CA1-DG,1,150,9,16,7.805555555555555,1.5517157171771396,0.15933044792977508,1.0,43.134375,35.06375,True
CA1-DG,1,200,9,16,15.276666666666667,3.173766112438293,0.013120026598540866,0.13120026598540865,51.348125,35.06375,True
CA1-DG,1,250,9,16,30.201666666666668,8.380155852417364,3.121609573530782e-05,0.0003121609573530782,64.64937499999999,35.06375,True
CA1-V1,1,-250,8,12,-6.704375,-0.9251279218620926,0.38568200631725036,1.0,42.244166666666665,48.203333333333326,True
CA1-V1,1,-200,8,12,-7.7387500000000005,-0.7076383590330855,0.5020434839204526,1.0,41.68166666666667,48.203333333333326,True
CA1-V1,1,-150,8,12,-0.8237500000000022,-0.0869622099554793,0.9331368816793787,1.0,45.79,48.203333333333326,True
CA1-V1,1,-100,8,12,-5.091875,-0.49862425232163776,0.6333280616063857,1.0,41.5625,48.203333333333326,True
CA1-V1,1,-70,8,12,-5.456875,-0.6113522000492254,0.5602878183798028,1.0,41.14333333333334,48.203333333333326,True
CA1-V1,1,-50,8,12,6.621874999999999,0.5992437609766239,0.5678900684050927,1.0,50.38666666666666,48.203333333333326,True
CA1-V1,1,-40,8,12,1.318125000000001,0.10980775520858684,0.9156435928071012,1.0,46.644166666666656,48.203333333333326,True
CA1-V1,1,-30,8,12,6.404375,0.5665115969131908,0.588740372564424,1.0,50.305,48.203333333333326,True
CA1-V1,1,-20,8,12,-2.8249999999999993,-0.2580796544988643,0.8037686391613619,1.0,43.9925,48.203333333333326,True
CA1-V1,1,-10,8,12,-4.806875,-0.4103960114159464,0.6937858988451471,1.0,42.4675,48.203333333333326,True
CA1-V1,1,10,8,12,-17.078125,-2.081921212101269,0.0758696275122244,0.7586962751222439,31.430833333333336,48.203333333333326,True
CA1-V1,1,20,8,12,-3.7906249999999995,-0.3058587848051281,0.7686078938959345,1.0,44.48666666666667,48.203333333333326,True
CA1-V1,1,30,8,12,-1.32125,-0.1339819106775615,0.8971876122282172,1.0,45.468333333333334,48.203333333333326,True
CA1-V1,1,40,8,12,-2.362500000000001,-0.2560261429823883,0.8052914888593884,1.0,45.541666666666664,48.203333333333326,True
CA1-V1,1,50,8,12,-0.37125000000000075,-0.035250946938901344,0.9728637963025102,1.0,46.20916666666667,48.203333333333326,True
CA1-V1,1,70,8,12,0.32937499999999975,0.031214613904848764,0.9759697407047122,1.0,47.98,48.203333333333326,True
CA1-V1,1,100,8,12,1.38875,0.12148222973273828,0.9067228732634864,1.0,48.133333333333326,48.203333333333326,True
CA1-V1,1,150,8,12,4.978750000000001,0.501342152349663,0.6315093718470851,1.0,54.14916666666667,48.203333333333326,True
CA1-V1,1,200,8,12,-0.18062499999999826,-0.02022609550967426,0.9844274657344809,1.0,48.10500000000001,48.203333333333326,True
CA1-V1,1,250,8,12,2.426250000000001,0.24237041025596265,0.8154410991017471,1.0,51.56916666666666,48.203333333333326,True
CA3-DG,1,-250,5,9,31.227000000000004,4.241671237534794,0.013245853314962435,0.13245853314962436,66.99777777777777,37.85333333333333,True
CA3-DG,1,-200,5,9,5.648,0.638360534741584,0.5579556648865576,1.0,43.50888888888889,37.85333333333333,True
CA3-DG,1,-150,5,9,0.4929999999999982,0.05665042232217407,0.9575405666165386,1.0,37.98444444444445,37.85333333333333,True
CA3-DG,1,-100,5,9,32.62499999999999,3.3119301892938253,0.029600947476283612,0.2960094747628361,67.42222222222223,37.85333333333333,True
CA3-DG,1,-70,5,9,7.5120000000000005,0.6840899277281336,0.531494050671062,1.0,46.07555555555555,37.85333333333333,True
CA3-DG,1,-50,5,9,9.322999999999997,0.8615563858462081,0.43751655531794276,1.0,44.964444444444446,37.85333333333333,True
CA3-DG,1,-40,5,9,20.445999999999998,2.1115900195910156,0.10230690736361438,1.0,55.94222222222223,37.85333333333333,True
CA3-DG,1,-30,5,9,19.089,2.723960421867294,0.052770683188221694,0.5277068318822169,57.62888888888889,37.85333333333333,True
CA3-DG,1,-20,5,9,7.108999999999999,0.8083199550429817,0.464236942402696,1.0,44.965555555555554,37.85333333333333,True
CA3-DG,1,-10,5,9,-4.445,-0.6090424856125725,0.5753907771264937,1.0,33.343333333333334,37.85333333333333,True
