tag,bin_ms,cca,krule,n_pairs,max_cc_any,n_overfit_pairs,frac_overfit_pairs,median_cc_expert_med,mean_n_sig_expert_med,n_pairs_cc_expert_sig,n_pairs_cc_learn_up,alpha
landmark25_res_fix03,25,res,fix03,8,0.7523632297200651,0,0.0,0.40480161545523613,0.5208333333333333,8,0,0.05
landmark25_res_fix05,25,res,fix05,8,0.8178867997619284,0,0.0,0.4332672632852291,0.9375,8,0,0.05
landmark25_res_fix10,25,res,fix10,8,0.999,0,0.0,0.43620874880325894,1.8083333333333333,8,0,0.05
landmark25_res_fix20,25,res,fix20,8,0.999,0,0.0,0.4171398865427336,4.0,8,0,0.05
landmark25_res_fix30,25,res,fix30,8,0.999,0,0.0,0.4030814246196088,5.833333333333334,8,0,0.05
landmark25_res_samp15,25,res,samp15,8,0.999,0,0.0,0.41360458973521996,2.575,8,0,0.05
landmark25_res_samp25,25,res,samp25,8,0.8048332761584667,0,0.0,0.41535476573754215,1.375,8,0,0.05
landmark25_res_samp40,25,res,samp40,8,0.8265207720849486,0,0.0,0.40075852335298734,0.8125,8,0,0.05
landmark25_res_var75,25,res,var75,8,0.999,0,0.0,0.4030814246196088,5.833333333333334,8,0,0.05
landmark25_res_var85,25,res,var85,8,0.999,0,0.0,0.4030814246196088,5.833333333333334,8,0,0.05
landmark25_res_var95,25,res,var95,8,0.999,0,0.0,0.4030814246196088,5.833333333333334,8,0,0.05
landmark25_sig_fix03,25,sig,fix03,8,0.9369565765177591,0,0.0,0.4111866443110991,0.5833333333333334,8,0,0.05
landmark25_sig_fix05,25,sig,fix05,8,0.9311693488110591,0,0.0,0.4206256246584097,0.6388888888888888,8,0,0.05
landmark25_sig_fix10,25,sig,fix10,8,0.9128328778763221,0,0.0,0.40278081331001797,0.9097222222222222,8,0,0.05
landmark25_sig_fix20,25,sig,fix20,8,0.9239353961477348,0,0.0,0.3917935795601828,1.2777777777777777,8,0,0.05
landmark25_sig_fix30,25,sig,fix30,8,0.9239353961477348,0,0.0,0.3807811477514298,1.2256944444444444,8,0,0.05
landmark25_sig_samp15,25,sig,samp15,8,0.9239353961477348,0,0.0,0.3997380140043776,1.1875,8,0,0.05
landmark25_sig_samp25,25,sig,samp25,8,0.9289992732767279,0,0.0,0.407761154803226,0.8958333333333333,8,0,0.05
landmark25_sig_samp40,25,sig,samp40,8,0.9390504307097773,0,0.0,0.4198449420015055,0.7291666666666667,8,2,0.05
landmark25_sig_var75,25,sig,var75,8,0.9239353961477348,0,0.0,0.3807811477514298,1.2256944444444444,8,0,0.05
landmark25_sig_var85,25,sig,var85,8,0.9239353961477348,0,0.0,0.3807811477514298,1.2256944444444444,8,0,0.05
landmark25_sig_var95,25,sig,var95,8,0.9239353961477348,0,0.0,0.3807811477514298,1.2256944444444444,8,0,0.05
landmark50_res_fix03,50,res,fix03,8,0.8404064736634209,0,0.0,0.5213392735378213,0.5277777777777778,8,0,0.05
landmark50_res_fix05,50,res,fix05,8,0.8392939712898867,0,0.0,0.5057409804469277,0.5486111111111112,8,0,0.05
landmark50_res_fix10,50,res,fix10,8,0.999,0,0.0,0.5306031909712223,1.5625,8,0,0.05
landmark50_res_fix20,50,res,fix20,8,0.999,0,0.0,0.5370476431131009,3.8472222222222223,8,0,0.05
landmark50_res_fix30,50,res,fix30,8,0.999,5,0.625,0.5966832426504962,6.3125,8,0,0.05
landmark50_res_samp15,50,res,samp15,8,0.9056077764346087,0,0.0,0.5165839035742099,0.8333333333333334,8,0,0.05
landmark50_res_samp25,50,res,samp25,8,0.8667987085011323,0,0.0,0.5056502227466747,0.6458333333333334,8,1,0.05
landmark50_res_samp40,50,res,samp40,8,0.8570474808098951,0,0.0,0.46888034322090516,0.36111111111111116,7,0,0.05
landmark50_res_var75,50,res,var75,8,0.999,5,0.625,0.5966832426504962,6.3125,8,0,0.05
landmark50_res_var85,50,res,var85,8,0.999,5,0.625,0.5966832426504962,6.3125,8,0,0.05
landmark50_res_var95,50,res,var95,8,0.999,5,0.625,0.5966832426504962,6.3125,8,0,0.05
landmark50_sig_fix03,50,sig,fix03,8,0.9311354585146192,0,0.0,0.5125129130916031,0.4861111111111111,8,0,0.05
landmark50_sig_fix05,50,sig,fix05,8,0.9452831391378962,0,0.0,0.532996967152901,0.6736111111111112,8,0,0.05
landmark50_sig_fix10,50,sig,fix10,8,0.9314345181010171,0,0.0,0.5177371935474273,0.9583333333333334,8,0,0.05
landmark50_sig_fix20,50,sig,fix20,8,0.9378575694506041,0,0.0,0.48194902687676244,1.0,8,1,0.05
landmark50_sig_fix30,50,sig,fix30,8,0.9378575694506041,0,0.0,0.4729710149216818,1.16875,8,0,0.05
landmark50_sig_samp15,50,sig,samp15,8,0.9439295036789047,0,0.0,0.5209926405939195,0.7361111111111112,8,0,0.05
landmark50_sig_samp25,50,sig,samp25,8,0.9311354585146192,0,0.0,0.5231825183838745,0.6875,8,1,0.05
landmark50_sig_samp40,50,sig,samp40,8,0.9219528630705344,0,0.0,0.4952496638468655,0.4444444444444444,7,1,0.05
landmark50_sig_var75,50,sig,var75,8,0.9378575694506041,0,0.0,0.4729710149216818,1.16875,8,0,0.05
landmark50_sig_var85,50,sig,var85,8,0.9378575694506041,0,0.0,0.4729710149216818,1.16875,8,0,0.05
landmark50_sig_var95,50,sig,var95,8,0.9378575694506041,0,0.0,0.4729710149216818,1.16875,8,0,0.05
